Date,Close,Pred_Prob_1d,Pred_Prob_Std_1d,Pred_Prob_1w,Pred_Prob_Std_1w,Pred_Prob_1m,Pred_Prob_Std_1m,Pred_Prob_6m,Pred_Prob_Std_6m
2024-08-28,13.670000076293944,0.012909021,0.005391049,0.019179635,0.008299915,0.013694898,0.006567164,0.0067407447,0.0040040556
2024-08-29,13.600000381469728,0.013785222,0.008728856,0.016152209,0.010112296,0.00989859,0.0070844735,0.0035445786,0.0026103645
2024-08-30,13.56999969482422,0.006313469,0.004240039,0.011634115,0.0063933535,0.008984997,0.004907965,0.0041590305,0.0022299236
2024-09-03,12.90999984741211,0.025053956,0.023657592,0.017459404,0.014243903,0.007333432,0.007935806,0.0025128315,0.002445892
2024-09-04,12.399999618530272,0.011065025,0.005623771,0.011642468,0.008296615,0.006171226,0.0041052755,0.0029072645,0.0018491307
2024-09-05,12.760000228881836,0.0077115977,0.0040046284,0.007814551,0.0036406764,0.0054537966,0.0029448636,0.0032659746,0.0016351012
2024-09-06,12.359999656677246,0.013249428,0.007880479,0.010389908,0.0052381754,0.007647911,0.0036418503,0.0041820332,0.0025534616
2024-09-09,12.079999923706056,0.06346193,0.03472779,0.035153452,0.018144056,0.020428257,0.012415966,0.010420903,0.007972316
2024-09-10,12.109999656677246,0.016026001,0.007852569,0.009795915,0.004572266,0.007259694,0.0046612388,0.0049107466,0.0037339902
2024-09-11,12.550000190734863,0.023551438,0.008942672,0.014422224,0.0060127443,0.010692448,0.0049850363,0.0055294926,0.0036508597
2024-09-12,13.550000190734863,0.012257352,0.006027655,0.009083306,0.004472078,0.006549961,0.003435034,0.0030513632,0.0018256906
2024-09-13,13.550000190734863,0.011939283,0.0067137736,0.014531198,0.007022686,0.008847914,0.004520899,0.0069591748,0.0050116475
2024-09-16,14.149999618530272,0.0145079205,0.0068615675,0.013406226,0.006369703,0.0053200726,0.003039547,0.0038377417,0.0025437553
2024-09-17,14.0,0.0068833856,0.004197422,0.00614213,0.0036159079,0.0025806255,0.0019447146,0.0016058461,0.00172667
2024-09-18,13.770000457763672,0.008479783,0.0050898935,0.011228464,0.005883746,0.00875374,0.0066748317,0.0055577136,0.0037798246
2024-09-19,13.770000457763672,0.004616345,0.0028252571,0.0062634526,0.0042497185,0.0042290073,0.0040431037,0.0026781328,0.002239387
2024-09-20,13.779999732971191,0.0050329114,0.0052669346,0.007940884,0.0059296177,0.004961363,0.004095117,0.0033861445,0.00313691
