date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-11-29,5.44,5.5,-0.0090498355199179,0.0071428875123802,-0.0110498361865849,0.4329478690868748,-0.0109690313705739,5.347,5.6365,5.961166666666666,2,29,11,5.476780091983123,5.872190153621857,38.43750000000001,-0.2848509415242368,-0.3347021578905652,6.566293978311913,4.706706021688087,0.0480873918552478,0.0573058511664884,0.0505555767294267,2649566.0,-0.4226742796436581,0,0,-1,0,0,0.0,-0.495400337118989,0.1684670947310873,0.9097021851324554,-0.0109090909090908,-0.0933333333333332,0.6042293217108261,0.0404411764705881,0.0
2023-11-30,5.03,5.44,-0.016498999380035,-0.0380825710472096,-0.0749630384734553,-0.0620021760549487,-0.0783590767562034,5.335,5.586,5.903499999999999,3,30,11,5.395547347986192,5.817855305001093,40.32786885245902,-0.3016281399117417,-0.3280873542948005,6.533070830452805,4.638929169547196,0.0472003704559151,0.0594469584359639,0.0521079373074356,2599085.0,-1.1741466047141813,0,0,-1,0,0,-0.0055147058823529,-0.5708474868559963,0.5564649836411317,0.943691209324523,-0.0736648250460404,-0.1672185430463575,-1.8871170090695932,0.0795228628230617,0.0
2023-12-01,5.61,5.03,-0.0649082752552983,0.0380825710472096,-0.0059457849107704,0.1473271570127703,0.109130735422957,5.397,5.5675,5.8555,4,1,12,5.434538739261429,5.804445285323603,50.417827298050135,-0.265067504575323,-0.3154833843509051,6.496446772028938,4.6385532279710615,0.0583512572902591,0.0654637617185513,0.0560954680364972,2657579.0,0.0915014751753214,0,0,-1,0,0,0.0079522862823061,-0.4512963078161963,1.09271783738031,1.039205000364463,0.02,-0.0618729096989966,0.986826704638602,0.1140285204991087,0.0
2023-12-04,5.79,5.61,0.092257290659399,0.0654278053224552,0.110107978076488,0.439999382987043,0.0315815720502988,5.482,5.529999999999999,5.821666666666667,0,4,12,5.499168059395714,5.803513331431759,61.993769470405,-0.2190434454989223,-0.2961953965805086,6.347518710553517,4.712481289446481,0.0580032626741041,0.062132524559735,0.0562449852744271,2748403.0,0.6360710688174033,0,0,-1,0,0,-0.0089126559714796,0.1163509727448988,1.1077166257439364,0.9863232498820316,0.0489130434782609,-0.1146788990825687,0.5607127032364068,0.075993091537133,0.0
2023-12-05,5.77,5.79,0.0231121398757486,-0.0373557865437688,-0.0144930073025666,-0.417667102239365,-0.0034602110648957,5.509,5.499499999999999,5.781333333333333,1,5,12,5.5484102304146745,5.801351181016807,53.20754716981132,-0.1820839297496181,-0.2733731032143305,6.223683024263479,4.77531697573652,0.0473247053031027,0.0619504255085724,0.0559674498504021,2688588.0,0.7470487181748247,0,0,-1,0,0,-0.0172711571675301,-0.4470079012933378,1.1075719556597134,0.9834325170618892,0.049090909090909,-0.0956112852664576,0.5586514526558038,0.0519930675909878,0.0
2023-12-06,5.83,5.77,0.0156934345460465,0.0323432447202245,0.0463541093715507,-0.2584931411803534,0.0103449198423929,5.542,5.475,5.742333333333333,2,6,12,5.599608370339279,5.803199491918949,65.0442477876106,-0.146265688866265,-0.2479516203447174,6.109963737049793,4.840036262950206,0.0472977289735302,0.0620045712055513,0.0560200676490778,2734778.0,1.1181740917975018,0,0,-1,0,0,0.001733102253033,-0.7371895174003638,1.0905720975962456,0.9842920533545108,0.071691176470588,-0.0775316455696203,0.2890529042002838,0.0394511149228129,0.0
2023-12-07,5.88,5.83,0.0188523149792091,-0.010947477755185,-0.0078706134323295,-0.2682856365367666,0.0085397615481345,5.587,5.46,5.706,3,7,12,5.650588666641228,5.8081543634080495,70.69767441860465,-0.1125475150816859,-0.2208707992921111,6.036304013337831,4.883695986662169,0.0467963869580406,0.0618654325455357,0.0560716266067699,2770099.0,1.4575640296774914,0,0,-1,0,0,0.0102915951972555,-0.8661551634516698,0.7617633382844222,0.9820832956015756,0.1689860834990058,-0.0485436893203883,1.864922397567509,0.0357142857142857,0.0
2023-12-08,5.88,5.88,0.0033898337545115,0.0324893215299399,-0.0079330517407958,0.0728716016638545,0.0,5.625,5.473,5.6883333333333335,4,8,12,5.692299818161005,5.812789565768821,72.38095238095238,-0.0848475496939764,-0.1936661493724842,6.075629326587228,4.870370673412772,0.046853406062495,0.0581391016053858,0.054194468199208,2770099.0,1.3507474065522047,0,0,-1,0,0,0.0051020408163265,-0.7665154317801066,0.2202252738783837,0.9229296257794016,0.0481283422459892,0.0462633451957295,1.317239501668155,0.0765306122448978,0.0
2023-12-11,5.95,5.88,0.0050633019565468,-0.0065789710980425,0.0158036651731255,0.0079700497919549,0.0118344576470027,5.668000000000001,5.4915,5.681666666666667,0,11,12,5.739154396677185,5.821641851848252,63.97515527950311,-0.0565943283823067,-0.1662517851744487,6.129631317948891,4.8533686820511095,0.0468473674603865,0.0581060035577663,0.053734317632301,2808394.0,1.4370082994006013,0,0,-1,0,0,0.0102040816326531,-0.6823262123383211,0.1079315778805752,0.9224042105621052,0.0276338514680483,0.0663082437275985,-0.6186345265802857,0.0537815126050419,0.0
2023-12-12,5.98,5.95,0.0067114345879867,0.0016488049901838,0.0296095434865762,-0.5601577809811417,0.0050293484050019,5.716,5.5395,5.681666666666668,1,12,12,5.782944506372242,5.83185850656772,64.63414634146343,-0.0314205016750746,-0.1392855284745739,6.172703218397773,4.906296781602228,0.0466782126678158,0.052584821026319,0.0534795828782377,2830265.0,1.3913384746041575,0,0,-1,0,0,0.0050420168067227,-0.909034202006794,0.0756149407763199,0.8347581550348832,0.0363951473136916,0.1912350597609564,-0.9236071911021456,0.0263377926421405,0.0
