date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-11-29,225.08,224.99,-0.0177042775955382,-0.009433036780563,-0.0061159539759795,0.5262860667585134,0.0003999377927861,224.343,222.07250000000005,218.624,2,29,11,224.46457820684816,219.79251356842997,64.05743399722101,3.339125199690386,3.198977428720135,228.5285175927342,215.6164824072659,0.0086152809907512,0.0097230913359344,0.0127532450371075,290090466.0,0.9316889109424744,0.0,0.0,-1,0.136188,1.0,-0.0046668740832926,0.9066329771637028,0.1351718999337988,0.1543492898978957,-0.0009321319188599,0.0487373031404343,-1.7699178272427087,0.0115070197263195,-0.207919
2023-11-30,229.43,225.08,0.0047222433723692,0.0192244059098409,0.0053145291779641,0.8092262346588072,0.0191420775169921,225.46400000000003,222.5285,219.09966666666668,3,30,11,225.3673821692394,220.41428688659576,70.5745341614907,3.5296283530834955,3.265107613592808,229.7081269511508,215.3488730488492,0.0094999539024549,0.0088827238675869,0.0131082815630311,295316408.0,1.922523286225565,0.0,0.0,-1,0.0,0.0,-0.0003554291807357,3.3219568441140885,0.193661511558535,0.1410088699109566,0.0121762915251246,0.0413962144251283,-0.0645858314777907,0.0252146624242688,-0.136188
2023-12-01,228.66,229.43,0.0147353440437609,-0.0025521586538319,0.0142527622630093,-1.1987266764008324,-0.0033617879682466,226.13,223.0315,219.70333333333332,4,1,12,225.9660399566504,220.9462683777832,63.56893542757418,3.577234774082825,3.3275330456908114,230.45763386698084,215.6053661330191,0.0087563495675998,0.0086784160059719,0.0123788791488894,293740379.0,1.5158627896613253,0.0,0.0,-1,0.3012078333333333,6.0,-0.00475090441529,-0.2498943288336848,0.1982261270973306,0.137765583154585,0.0071353065539112,0.0460201280878316,0.2978571332212318,0.0086381527158226,0.3012078333333333
2023-12-04,228.12,228.66,0.0004816217610993,0.0030079916965962,-0.0009788184142109,0.3173198029040745,-0.0023643778254857,226.679,223.498,220.3743333333333,0,4,12,226.3576690554412,221.4090897727649,63.29278887923547,3.530690120745163,3.368164460701682,230.9742855961755,216.0217144038245,0.0089195456281126,0.0087360884047203,0.0120958783356802,291575795.0,1.236442867395113,0.0,0.0,-1,0.2179243333333333,3.0,-0.0009183941222776,0.3676112616320781,0.1955406025984759,0.1386811041021899,-0.0010072257499451,0.042643630878925,0.945002706274398,0.0126687708223742,-0.0832834999999999
2023-12-05,226.88,228.12,-0.0033762336677382,-0.007274660182468,-0.004625864583029,-0.2793647294190228,-0.0054505629445754,227.051,223.8645,221.053,1,5,12,226.45263831808825,221.7620517229091,66.80421824850981,3.3550703482356425,3.365545638208474,231.2439208159406,216.48507918405937,0.0092645204439362,0.0088895714001128,0.0120519122392794,289938798.0,0.8172728118407572,0.0,0.0,-1,0.1466039999999999,4.0,-0.0019288093985621,-0.2056416827989504,0.1598052930932053,0.1411175711199048,0.0084003733499264,0.0333864723297654,2.000011385415212,0.0100052891396332,-0.0713203333333334
2023-12-06,224.29,226.88,-0.002770876797582,-0.0040961669452097,-0.0161591799870165,0.1110934202314015,-0.0114813859590283,226.951,224.132,221.4813333333333,2,6,12,226.0594313511631,221.9251451601408,63.15561335067186,2.972632402842322,3.286962991135244,231.13823061055012,217.1257693894498,0.0096536812186062,0.0093171300058597,0.0116851478543997,288109455.0,0.0451027117954395,0.0,0.0,-1,0.136056,1.0,0.0007492947813822,-0.0344837373285642,0.1858259944447372,0.1479048535701762,-0.0035098631597655,0.0244359185164884,1.7110823149500918,0.0221365196843371,-0.0105479999999998
2023-12-07,223.13,224.29,-0.00906985533954,-0.011057640505007,0.0004038138024586,0.1865969116686896,-0.0051852961383224,226.59700000000004,224.338,221.73066666666668,3,7,12,225.52680746913344,222.0028777304543,52.762836185819054,2.546589768669861,3.138888346642168,230.9407892032796,217.73521079672037,0.0094639807970275,0.0094262364865853,0.0112512254238351,285904838.0,-0.3659059717974791,0.0,0.0,-1,0.218979,1.0,0.0031655446074279,0.3234611939420358,0.0558670831803611,0.1496368652567287,-0.0274593557947958,0.0188119263960548,-1.520468482888717,0.0106216107202079,0.082923
2023-12-08,222.91,223.13,-0.0093771618125969,-0.0082007858095909,-0.0057585187021866,0.1458873441574288,-0.0009864586935709,226.18400000000003,224.542,222.058,4,8,12,225.05102429292737,222.06140174784437,50.69860279441117,2.1662248584929102,2.9443556490123166,230.66277944811108,218.4212205518889,0.0094027097344855,0.0094279534689379,0.0109876550331419,283353951.0,-0.5332654162219981,0.0,0.0,-1,0.0,0.0,-0.0010307892260116,0.6405110921374277,0.0637095501442436,0.1496641215065908,-0.0251465057290299,0.0186446099712105,-1.0750751116356452,0.0081198690054282,-0.218979
2023-12-11,224.47,222.91,0.004520945011424,0.0076235852163654,0.002748430394865,-0.1854581657879377,0.006973965410613,225.796,224.6435,222.58866666666668,0,11,12,224.9453835123951,222.2167951834673,53.10868533459897,1.9679762837560872,2.749079775961071,230.68431651851083,218.60268348148915,0.0095198120241825,0.0088243507459662,0.0101388832292663,285473033.0,-0.0574425657420102,0.0,0.0,-1,0.165851,1.0,0.0044861154726122,0.1953350736087922,0.1080437837654912,0.1400822253326033,-0.0160003506926179,0.0091260564646646,0.6599571948871912,0.0129638704503942,0.165851
2023-12-12,227.07,224.47,0.00716466140261,0.0124247132239033,0.011274782762722,-0.165911103962843,0.0115162720257316,226.004,224.897,223.0343333333333,1,12,12,225.33167741923236,222.52990517163076,54.131847725162494,1.997633653591833,2.598790551487224,230.8961055473468,218.8978944526532,0.0091412343909509,0.0091399812914577,0.0094054420133758,287268153.0,0.7244413297449056,0.0,0.0,-1,0.1711655,2.0,0.0046776852140598,-0.1840285869944518,0.1465654574301368,0.1450927049098818,0.0008374471086036,0.0228378378378377,0.0336557462666609,0.0141145902144712,0.0053145
