date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-11-27,0.57,0.53,0.2326222952687536,0.0176995770994006,0.256719846847814,0.8294916985881075,0.0727593542824281,0.43586,0.38357,0.3858566666666667,0,27,11,0.4706206566300288,0.4092414870985523,79.2280701754386,0.043212266007281,0.0107836634830991,0.6032175463818807,0.1639224536181192,0.2382112763620577,0.1854673991356713,0.1825653857892274,249927.0,1.697537742359948,0,0,-1,0,0,0.0,0.4590866486945669,5.456662753933383,2.9442036865376533,0.7272727272727271,0.8999999999999999,2.126137411752586,0.0701754385964911,0.0
2023-11-28,0.58,0.57,0.0901510969942974,0.0173917427118692,-0.163629423781802,0.5392986044382045,0.0173917427118692,0.46536,0.39332,0.38919,1,28,11,0.4905078099700235,0.4202581653502586,79.72107910379516,0.0499342196514887,0.018613774716777,0.6298944178010298,0.1567455821989701,0.2380559874920891,0.1767680572944298,0.1795609308585172,302424.0,1.578192618924727,0,0,-1,0,0,0.0175438596491228,1.113893129157805,0.7935907705127446,2.8061059160464703,0.0,0.5064935064935063,0.7312292780566836,0.2241379310344826,0.0
2023-11-29,0.6,0.58,0.0,0.0339015516756814,0.2537805207760994,-0.7480592513162347,0.0339015516756814,0.4963499999999999,0.40407,0.3935266666666666,2,29,11,0.5104154808845647,0.4318544127470161,83.24678256942877,0.0562270982086146,0.0261364394151445,0.6579583144426457,0.1501816855573542,0.2375443663497713,0.1766162229775854,0.1794202908052833,327270.0,1.543434564368351,0,0,-1,0,0,0.0,0.1200251854081136,0.8279087470818618,2.803695620989337,0.0344827586206897,0.5584415584415583,0.0884199853879646,0.0333333333333333,0.0
2023-11-30,0.5996,0.6,0.0170944333593,0.0,-0.1484200051182732,-0.2514524306961673,-0.0006668889877036,0.52496,0.41655,0.3975133333333333,3,30,11,0.526630847996462,0.4426767086988216,86.16499182051882,0.0604847426826179,0.0330061000686392,0.6834522963360845,0.1496477036639154,0.2393997738212595,0.1744262703021686,0.1794630784623745,307948.0,1.3716629831427354,0,0,-1,0,0,-0.0166666666666666,-0.0922854294030402,0.6582989729318743,2.768931200016416,0.0901818181818181,0.7131428571428573,0.14726337546807,0.1667778519012674,0.0
2023-12-01,0.552,0.5996,-0.0052680893354762,-0.0220752076518575,0.0989399478549036,-2.0369854415719857,-0.0827147199513472,0.54716,0.42661,0.4011433333333333,4,1,12,0.5312434210880144,0.4497298242666396,79.00149989286481,0.0593340682086021,0.0382716936966318,0.6982035577873311,0.1550164422126689,0.2449523376917657,0.1762381891464585,0.1795104466079174,305428.0,0.923365053439048,0,0,-1,0,0,-0.021180787191461,-0.6465237462613893,0.906559292718192,2.797694519963352,0.0415094339622641,0.5735461801596353,-0.8940968905498977,0.0632246376811593,0.0
2023-12-04,0.5801,0.552,-0.064936169337772,0.0220752076518574,-0.0036297680505787,1.515911854423277,0.0496524561949231,0.57217,0.439365,0.40847,0,4,12,0.5401264354356481,0.4581408033462112,80.0447973936062,0.0599979663476653,0.0426169482268385,0.7147997092372944,0.1639302907627056,0.2438232230387446,0.1744546397820718,0.1752603573671706,316903.0,1.0219118744308509,0,0,-1,0,0,-0.0036231884057971,-0.3461396820540723,0.8050025365281567,2.769381551548305,0.017719298245614,0.7849230769230766,-1.4815240424118,0.0861920358558868,0.0
2023-12-05,0.587,0.5801,0.0531098253139483,-0.0006668889877036,0.0531098253139483,-0.6459144065199666,0.0118243173560778,0.57287,0.45271,0.4160366666666666,1,5,12,0.5486489017200757,0.4664542999045202,80.11767092716576,0.0603848043045079,0.0461705194423723,0.729673040665606,0.1757469593343939,0.0473485066012347,0.1741141598795949,0.1752037183749846,322918.0,0.9697322767490574,0,0,-1,0,0,-0.0001723840717117,-0.5473821790949034,0.8002541900774964,2.763976600658088,0.0120689655172414,0.8338019368947203,-1.4017819868009964,0.033390119250426,0.0
2023-12-06,0.58,0.587,0.0,-0.0330622637564241,0.0,1.641728857721177,-0.0119967162876314,0.57287,0.4657099999999999,0.4263266666666666,2,6,12,0.5543491014073346,0.4737798289429383,77.96432318992656,0.0594413319994186,0.0488246819537816,0.7408468264394266,0.1905731735605733,0.0475602103669146,0.1742780616058393,0.1675892308796107,291856.0,0.8307866415342389,0,0,-1,0,0,-0.0119250425894378,0.3045722692489906,0.7533052400554785,2.766578459900669,-0.0333333333333333,0.8124999999999998,-0.8177385315518606,0.0001724137931034,0.0
2023-12-07,0.5911,0.58,-0.0258484527300925,0.0420279555588229,-0.1892419996385284,0.3894772287526511,0.0189571042898588,0.5769799999999999,0.47999,0.4343633333333333,3,7,12,0.5610310829696373,0.4813488722369423,77.71173848439823,0.0589102202846119,0.0508417896199477,0.749708503551195,0.210271496448805,0.0439715421270553,0.1732041762647057,0.1605884174345613,337710.0,0.8238960140820317,0,0,-1,0,0,-0.0255172413793102,0.7460273786130819,0.7746838464785385,2.7495310586052466,-0.0141761174116078,0.934860883797054,-1.103485313934092,0.2114701404161732,0.0
2023-12-08,0.58,0.5911,0.0258484527300924,-0.0422003544903765,0.10848064299407,-0.2563241833990827,-0.0189571042898588,0.5819799999999999,0.4944849999999999,0.4407066666666666,4,8,12,0.5644799769751577,0.4877134611248815,75.92285358772295,0.0569372954905652,0.0520608907940712,0.7521240888535051,0.2368459111464947,0.0423158134571852,0.1724440391807521,0.1599516345090028,302224.0,0.6638356033670361,0,0,-1,0,0,-0.0187785484689561,0.3488885955818981,0.4397111618234588,2.737464256486492,0.0507246376811592,0.9993105825577384,0.6385502767626356,0.0775862068965516,0.0
