date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2024-01-05,1.661,1.6,-0.1431008436406733,-0.0339015516756813,0.0358929230606067,-0.3554702303516895,0.0374162013854222,1.78124,1.844655,2.2759366666666665,4,5,1,1.7920314210489774,2.1869386295886093,41.90922043557907,-0.285438688904776,-0.318984130841781,2.0966514701089527,1.5926585298910476,0.0525306066555271,0.0543311783227547,0.0729766635346863,-886206.0,-1.4575997824143765,0,0,-1,0,0,-0.025,-0.5716436226955875,1.0975597277481874,0.8624807176746747,-0.0772222222222221,-0.296186440677966,-1.5323451464678166,0.1083684527393136,0.0
2024-01-08,1.73,1.661,0.126293725324292,0.1139442593492176,0.1034355872482419,0.0541893288472027,0.0407015778785296,1.77122,1.824655,2.2179366666666667,0,8,1,1.7807529808582545,2.1574587180022475,46.15975422427034,-0.2717819096084375,-0.3095436865951123,2.042471702032269,1.6068382979677307,0.0528752911581348,0.0522055365256055,0.0734854506480531,-869371.0,-0.8691252701638731,0,0,-1,0,0,0.065623118603251,-0.4878397168425044,1.1553436487965936,0.8287372002447073,-0.0537140356634942,-0.1877934272300468,-1.5136518861885315,0.1271676300578034,0.0
2024-01-09,1.76,1.73,0.0168071183163811,-0.0799871536611335,0.0171924005403727,-1.9664947868236973,0.0171924005403727,1.76422,1.809655,2.15327,1,9,1,1.7769797116112989,2.131816220066619,40.76264920249287,-0.2555917616171927,-0.2987533015995284,1.9986426350731183,1.6206673649268817,0.0533146283007426,0.052204987977515,0.0720292030133994,-867015.0,-0.5254841141409992,0,0,-1,0,0,0.0404624277456647,-0.6773408796963243,1.1226003599470709,0.8287284923137294,-0.0687830687830687,-0.1456310679611651,-1.4868121378625998,0.0227840909090909,0.0
2024-01-10,1.76,1.76,-0.0224728558520586,-0.0225284098644614,-0.0524303041746257,-0.1942772927141035,0.0,1.76622,1.805155,2.07927,2,10,1,1.7738924913183354,2.1078280768365145,35.59944878272852,-0.2399944461070471,-0.2870015305010321,1.9943835999859307,1.615926400014069,0.0507406612613533,0.0471249418269799,0.0697885899195817,-867015.0,-0.4772534384692073,0,0,-1,0,0,0.0,-0.6113289878769066,1.1136995747108225,0.7480852597354481,-0.0408719346049045,-0.0486486486486487,-1.9306277740852509,0.0510795454545455,0.0
2024-01-11,1.78,1.76,0.0056657375356773,0.0712630200214904,0.0524303041746256,1.8255464668054384,0.0112995552539334,1.76442,1.807655,2.0039366666666667,3,11,1,1.7750029474422744,2.086677878330933,40.2439024390244,-0.22344390607936,-0.2742900056166977,1.994002129106728,1.6213078708932718,0.0497166141267909,0.0447441700914401,0.0697196170780964,-854975.0,-0.2968116561018861,0,0,-1,0,0,0.0056818181818181,-0.4367214001256262,0.2817650297353564,0.7102916800915492,0.1125,0.0289017341040462,0.0696144641922955,0.0730337078651684,0.0
2024-01-12,1.71,1.78,0.0212417153842469,-0.0443555671015661,-0.0584359675321671,0.3844823827767689,-0.0401199937894252,1.7554199999999998,1.803405,1.94277,4,12,1,1.7631842297254972,2.0623760797289377,42.29684696231735,-0.2135146350482166,-0.2621349315030015,1.9947768064809792,1.612033193519021,0.0512530692946287,0.0448676866263666,0.0672957520574084,-872660.0,-0.976162599053314,0,0,-1,0,0,0.0157303370786517,-0.3279811606011646,0.4703002299611823,0.712252444296869,0.0295003010234797,-0.0473537604456824,-0.7813990506131707,0.0864912280701755,0.0
2024-01-16,1.39,1.71,0.6256544475249426,0.76618789566037,-0.1993931417699325,7.922067047624965,-0.207189623371968,1.7116,1.781905,1.8954366666666669,1,16,1,1.6953325515935884,2.018996977810942,29.999999999999982,-0.228829141960589,-0.255473773594519,2.0476089704158382,1.516201029584162,0.0765472035559589,0.0609043025297398,0.0654496519050119,-49638428.0,-2.9499371001995325,0,0,-1,0,0,0.9766081871345028,4.248463628025341,1.355719848291432,0.9668258296052014,-0.1965317919075144,-0.2362637362637363,-1.8974095258804824,1.8201438848920863,0.0
2024-01-17,1.09,1.39,-0.9177711170445892,-1.058304565180017,-0.2779258975064163,-3.203816601708103,-0.2431260509015479,1.6316,1.745905,1.8364366666666667,2,17,1,1.5852720876674813,1.9590616889199133,25.190839694656475,-0.2621515716844067,-0.2568093332124966,2.1530430341384346,1.3387669658615655,0.0942146977424599,0.0760835005794136,0.0740145229597241,-51618656.0,-3.222027641745601,0,0,-1,0,0,-0.028776978417266,-0.0532087931827873,1.7048901679237956,1.2077881284502034,-0.3806818181818181,-0.3977900552486187,-0.5167753913665714,0.2935779816513761,0.0
2024-01-18,1.07,1.09,-0.251314428280906,-0.1177830356563835,-0.090583504079319,-0.9369706883841472,-0.0185190477672375,1.5551,1.7026599999999998,1.7914366666666666,3,18,1,1.491586253546121,1.9017028702799192,21.38364779874213,-0.2868668477166354,-0.2628208361133244,2.199193755252618,1.2061262447473815,0.0945292248785743,0.0730302011281376,0.0701524590238301,-52394535.0,-2.548306105304465,0,0,-1,0,0,-0.036697247706422,-0.166964340814467,1.6505652968987878,1.1593185022924857,-0.3920454545454545,-0.4469998449532275,-0.5145182726321377,0.2422429906542055,0.0
2024-01-19,1.02,1.07,0.0281708769666964,-0.1053605156578261,0.030565494353066,-0.8319482235036855,-0.0478560211776351,1.4971,1.65312,1.7521033333333336,4,19,1,1.4058432983559173,1.844818814132828,20.454545454545453,-0.3069501340926934,-0.2716466957091982,2.21377424038632,1.0924657596136802,0.0902816191686404,0.0714794929914439,0.0691617317943127,-52732198.0,-2.258504277301987,0,0,-1,0,0,0.0093457943925233,-0.2087301162391861,1.4675046121717088,1.134701773778071,-0.4269662921348315,-0.4927392082753133,-0.6041614707634025,0.107843137254902,0.0
