date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-11-27,556.95,555.64,0.0051633983645541,0.0085492523240217,0.003312909788904,0.6525397735527778,0.0023548667620102,548.422,521.6365,504.03366666666665,0,27,11,544.9675630049305,515.8535993487573,80.39769754055465,21.20715856122547,18.676373330641457,585.4661308935133,457.80686910648666,0.0141710172552399,0.0167383116399554,0.017985354812913,197183802.0,1.1064923768371293,0.0,0.0,-1,0,0,-0.0005579151968899,-1.15571070410251,0.2094128043588164,0.2657124597985186,0.0227898776949353,0.2162339222151859,0.4488621881300524,0.0156207918125505,0.0
2023-11-28,547.14,556.95,-0.0111726936102994,-0.0132547167120133,-0.0172268763642047,0.4951817813027079,-0.0177707581175697,550.3109999999999,526.0165,505.898,1,28,11,545.3625515494886,517.8720768101277,71.77052423343218,20.11342694014013,18.963784052541197,583.6237339299053,468.40926607009465,0.0150620008491561,0.0178000443885722,0.0184143423914543,196218126.0,0.7333627587709711,0.0,0.0,-1,0,0,-0.013986892898824,0.0832905775654253,0.1686060743806431,0.2825669446684382,-0.0190228597041685,0.1906254080167122,-0.6288314021818945,0.0196476221807946,0.0
2023-11-29,544.07,547.14,0.0130437025216813,0.0052153701525961,-0.0022826437023257,0.2798092470077134,-0.005626796125205,550.1740000000001,529.735,507.822,2,29,11,545.1275421768543,519.5622654030227,67.11744512639133,18.782401573875063,18.927507556807967,581.322747423325,478.147252576675,0.0112794743842156,0.0177974228452822,0.0183211742142968,194940655.0,0.5557521200671215,0.0,0.0,-1,0,0,0.0168695397887195,1.1821716674789189,0.1518400482433406,0.2825253289588585,-0.0120212823911819,0.1583351075154355,-1.2750496825822244,0.0273678019372506,0.0
2023-11-30,544.62,544.07,-0.0222637297858562,-0.0178078468937396,-0.0108304474980021,0.5474493214800664,0.0010103887181668,550.096,533.1395,509.996,3,30,11,545.0352617810626,521.1788934415374,70.7975193123708,17.569405613708682,18.65588716818811,578.5618068199359,487.717193180064,0.0112859770106911,0.0177737895750925,0.0180074424102259,197149195.0,0.5055005262287203,0.0,0.0,-1,0,0,9.189993934595644e-05,3.0590304175841165,0.1365928858771634,0.2821501624253241,-0.0172329790497499,0.142887121482383,-1.5355870164872232,0.020004773970842,0.0
2023-12-01,549.0,544.62,-0.0016185995293616,0.0046817161905167,0.0070452569043875,-1.2705723243660336,0.0080101377429396,550.457,536.1225,512.7943333333334,4,1,12,545.7561232754148,522.9738035420834,60.77743679672657,16.768233216271028,18.27835637780469,577.0468892666028,495.19811073339713,0.0115754868880807,0.0171442062689268,0.0168041098879478,197769068.0,0.6293313220197032,0.0,0.0,-1,0,0,-0.0025338768315522,-0.8377452548692739,0.1557551491518759,0.2721558372790498,-0.0119501835720969,0.1219193199002739,-1.0196398471787689,0.0176138433515484,0.0
2023-12-04,539.59,549.0,-7.363499138113621e-05,-0.0086335673579253,-0.0234146630514357,0.3609852357675533,-0.0172888495937622,549.9620000000001,538.121,515.366,0,4,12,544.635009952612,524.0458162167877,57.892538975501125,15.198787797010596,17.662442661645876,575.2694582948817,500.9725417051183,0.012890335194839,0.0174940856451198,0.0171984665779681,196879710.0,0.0790880734989988,0.0,0.0,-1,0,0,-0.0105646630236793,-0.1841379858768847,0.1783908299942501,0.2777100001887125,-0.0311697638926294,0.0800008006084624,0.1650857266143222,0.0323393687799997,0.0
2023-12-05,537.23,539.59,-0.0202891226408887,-0.015015934989383,-0.001781720779164,-0.4293130999904265,-0.0043832837031074,547.9100000000001,540.0395000000001,517.855,1,5,12,543.2886445066825,524.8964087189304,42.79950885809504,13.607697650330692,16.85149365938284,572.2911183029671,507.7878816970331,0.0094050685181523,0.0175529811131266,0.0172659398785058,196300777.0,-0.1742238155994552,0.0,0.0,-1,0,0,-0.0135287903778796,-0.9328326313624572,0.1473817533201506,0.2786449367588812,-0.0181123661220162,0.0769153670368441,-0.416604973066598,0.0190979654896412,0.0
2023-12-06,528.61,537.23,0.0227529479628685,0.0151809076317942,0.000625859391725,0.2808801416242925,-0.0161753883250833,545.702,541.314,519.8,2,6,12,540.619800050922,525.135995253193,37.20079280378107,11.518408245947969,15.784876576695869,569.1325461802256,513.4954538197743,0.0098155258230231,0.0180611791346399,0.0175443053510056,195534099.0,-0.91334751411491,0.0,0.0,-1,0,0,0.013606835061333,-0.4949979335094692,0.1727242436298766,0.2867123302490771,-0.0284154612457956,0.050663857529019,0.0960790410688497,0.0343353322865628,0.0
2023-12-07,541.23,528.61,-0.0175064445195148,-0.0041877184902681,0.0049739584916241,-0.1206758143122573,0.0235934072452437,544.408,542.8175,522.6796666666667,3,7,12,540.7307454962089,526.1743181400838,47.34015345268544,10.756960328030573,14.779293326962808,566.753479414445,518.881520585555,0.0129450137026579,0.0184504106234401,0.0164574848530015,196213622.0,-0.1326455017789618,0.0,0.0,-1,0,0,0.0122585649155332,-0.679919996510681,0.2747990235559913,0.2928911885798813,-0.0062245235209871,0.0588269817669613,0.7183244226770324,0.0244627977015315,0.0
2023-12-08,534.43,541.23,0.000821953680619,-0.0076305925032265,0.0036344160449759,0.4239845924110613,-0.0126435687614977,542.287,544.2194999999999,525.2193333333333,4,8,12,539.5851554059891,526.7069427762074,43.9928698752228,9.495347739029398,13.722504209376126,561.5430349195161,526.8959650804837,0.0131921422692859,0.0185780213596541,0.016796312287918,195175285.0,-1.130196584644095,0.0,0.0,-1,0,0,-0.010531566986309,0.2057279676961273,0.270377594969156,0.2949169462157449,-0.0265391621129327,0.0553723414759375,1.8023525892231247,0.0134348745392286,0.0
