date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-11-29,4.98,5.12,0.0442332549768256,-0.0244602975701606,0.0010045204260057,-0.991286616110142,-0.0277245480148547,5.15749,5.57687,5.8817,2,29,11,5.216722178232957,5.813778978113343,26.43678160919542,-0.4239356717254807,-0.4192614019556287,6.573421086394681,4.58031891360532,0.0359528050848811,0.0326993239187128,0.031575105707987,2943908.0,-1.1978713548130362,0,0,-1,0,0,0.015625,-0.2397806929631803,0.5053193626014058,0.5190856747731616,-0.0514285714285713,-0.2280864915136015,-0.8974386268020604,0.0542168674698794,0.0
2023-11-30,4.95,4.98,0.0095694510161506,0.0,-0.0060423144559626,0.0574415315338643,-0.0060423144559626,5.1195,5.501795,5.8267,3,30,11,5.168227236736056,5.758051302106031,28.22085889570552,-0.4187952204298586,-0.4191681656504747,6.4457569829012575,4.557833017098742,0.022230005786918,0.032607355799012,0.0304803239062874,2941830.0,-1.169104285967244,0,0,-1,0,0,0.0542168674698794,-0.2393684324331705,0.2897955139592391,0.5176257261335144,0.0,-0.2327365728900255,-0.784779101998105,0.0606060606060605,0.0
2023-12-01,4.7,4.95,-0.048790164169432,-0.048790164169432,-0.0689928714869514,0.645090625962744,-0.051825067864586,5.0645,5.413295,5.763366666666666,4,1,12,5.0830950118749545,5.68978992777661,24.468085106382983,-0.429938226162009,-0.4213221777527816,6.30552630934385,4.52106369065615,0.0261201320822486,0.033445167807844,0.0313440477957681,2937869.0,-1.5989015236969415,0,0,-1,0,0,0.01010101010101,0.0064172121529369,0.4325081694679186,0.5309255794582723,-0.0618762475049899,-0.2735703245749613,-0.4458037797838819,0.0808510638297872,0.0
2023-12-04,4.54,4.7,-0.0640053299759123,-0.0618754037180874,-0.083475722157322,0.535856846886691,-0.0346354966627563,4.9910000000000005,5.326269999999999,5.690533333333334,0,4,12,4.984350464261325,5.615609932436184,22.54901960784313,-0.4465324531468901,-0.4263642328316034,6.201724408566626,4.450815591433372,0.0264496881816848,0.0335664606461051,0.0311044554450403,2931100.0,-1.796255732579726,0,0,-1,0,0,-0.002127659574468,0.3826136632537798,0.3375135334039279,0.5328510435733833,-0.111545988258317,-0.2771276172279276,-0.0329621144635494,0.0991189427312775,0.0
2023-12-05,4.47,4.54,-0.0193762789631388,-0.0215062052209637,0.050469425689152,-0.8802370681467252,-0.0155386034277791,4.908,5.235745,5.615366666666668,1,5,12,4.890832198031993,5.541699614214495,11.764705882352928,-0.4600289847943397,-0.4330971832241507,6.06915838823498,4.402331611765019,0.0255678844536974,0.0333672196620759,0.0310175495104158,2928293.0,-1.837611468233573,0,0,-1,0,0,0.0132158590308369,-0.2086472998895717,0.2721642128639351,0.5296881910051061,-0.1269531250000001,-0.2882732266539288,-0.3082694247751554,0.0290827740492169,0.0
2023-12-06,4.5,4.47,-0.0131292914417926,-0.0109290705321902,0.0066889881507967,-1.1209475110863611,0.0066889881507967,4.833,5.170745,5.550366666666667,2,6,12,4.819771798389812,5.474493187490979,18.79840589518008,-0.4629675325546563,-0.4390712530902518,6.021463817981763,4.320026182018237,0.0265602904220144,0.0305341920227675,0.0307603203421444,2929208.0,-1.5768900036589508,0,0,-1,0,0,0.0156599552572707,-0.4778083012841497,0.3600279916654191,0.4847152714592106,-0.0963855421686747,-0.2241379310344827,-0.3629450023937857,0.011111111111111,0.0
2023-12-07,4.5,4.5,-0.0543119893537399,0.0,-0.1278333715098848,2.819620901778315,0.0,4.788,5.105745,5.483366666666667,3,7,12,4.761631471409846,5.411622659265754,20.0,-0.4599938302864759,-0.4432557685294966,5.952673681459569,4.258816318540431,0.0222819609755719,0.0305341920227675,0.0305902611335684,2929208.0,-1.4304510244146624,0,0,-1,0,0,-0.0444444444444444,1.427559879575736,0.3767597232775007,0.4847152714592106,-0.0909090909090909,-0.2241379310344827,-0.4092932253850704,0.131111111111111,0.0
2023-12-08,4.5,4.5,0.0454623740767574,-0.0110498361865849,0.127833371509885,-3.5935396530178245,0.0,4.737,5.047745,5.426680000000001,4,8,12,4.714062112971692,5.352808294151835,18.367346938775484,-0.4524219116400489,-0.4450889971516071,5.893734586787304,4.201755413212696,0.0212976501198044,0.0305124756043905,0.0298972533697208,2929208.0,-1.2949213762313412,0,0,-1,0,0,0.0,-0.6300497916235526,0.2603809114911137,0.4843705340048558,-0.0425531914893617,-0.2049469964664311,-1.1412038335163046,0.0,0.0
2023-12-11,4.5,4.5,0.0,0.0,0.0,-1.2828313792382555,0.0,4.676,4.989745,5.3700133333333335,0,11,12,4.67514172879502,5.297788404206555,16.666666666666686,-0.4413336914852692,-0.4443379360183396,5.817863439218469,4.161626560781532,0.0189328572367195,0.0305124756043905,0.0298983841924601,2929208.0,-1.1827897479548783,0,0,-1,0,0,0.0,-0.6732779687290823,0.1298439971366325,0.4843705340048558,-0.0088105726872246,-0.2049469964664311,-1.4761418724058466,0.0,0.0
2023-12-12,3.9,4.5,-0.0224728558520585,0.0110498361865849,-0.1431008436406733,4.400235903420876,-0.1431008436406733,4.554,4.901745,5.284963333333333,1,12,12,4.534206869014107,5.207608507160972,11.42857142857143,-0.4754801435977898,-0.4505663775342297,5.800970176357249,4.002519823642751,0.0418946711029723,0.0408203811002628,0.0359633344262377,2919676.0,-2.228018134585727,0,0,-1,0,0,-0.0222222222222221,0.5625935572778078,0.9595939263981348,0.6480034608850596,-0.1275167785234898,-0.3109540636042402,-2.222944089942083,0.1666666666666666,0.0
