date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2023-11-29,63.72,63.59,0.0043688632448494,0.0032916800645357,-0.0031650604044958,0.1570201445794713,0.0020422597625312,63.235,62.136,61.41733333333333,2,29,11,63.07382002661057,62.53108672752176,61.94871794871797,0.4243635088342827,0.1173639992337933,64.97335532903564,59.29864467096436,0.0094303112405832,0.0150445077967594,0.0188479208475433,211674084.0,1.116532697748762,0,0,-1,0,0,0.0100644755464695,0.6739669063062708,0.1201958959567845,0.238824157365587,0.0213175188331462,0.0963523743977976,-0.7222830561852696,0.0213433772755806,0.0
2023-11-30,64.54,63.72,-0.0046816564910657,0.0046439711944505,0.0045860758800564,0.4130975616640961,0.012786701581968,63.29,62.417,61.48466666666666,3,30,11,63.34039820359046,62.66069403542359,69.43319838056685,0.5218658617040717,0.198264371727849,65.0164987371144,59.81750126288558,0.0095866801092419,0.0150174597581021,0.017880323164732,213911504.0,1.6333918302700594,0,0,-1,0,0,0.0032956685499058,2.352330352641797,0.1354051486818789,0.2383947830631511,0.0290178571428572,0.0953835709436525,-0.9764691622357984,0.0212271459559962,0.0
2023-12-01,66.28,64.54,0.0073248983316725,0.0238070148011292,0.0159652788475332,-0.7051242978029568,0.0266030059345462,63.629,62.719,61.592666666666666,4,1,12,63.87487125748309,62.89419764604142,72.34432234432239,0.7311128235057112,0.3048340620834214,65.63743433152386,59.800565668476125,0.0104578281158235,0.0153319130814182,0.0184505242556684,215016895.0,2.4403495816475123,0,0,-1,0,0,-0.0021691973969631,-0.4444830038981475,0.2044086954436207,0.2433865748177437,0.048402404302436,0.1002656042496679,0.0438385892034991,0.0288171394085696,0.0
2023-12-04,66.52,66.28,0.0205939351257652,0.006913162489001,0.0176995770994008,0.3683747390744534,0.0036144617663645,63.98699999999999,62.963,61.73633333333333,0,4,12,64.35580375612253,63.12812037855488,79.4146341463415,0.9058662799200264,0.4250405056507425,66.289120547242,59.636879452758,0.0103599109580086,0.0147117468454681,0.0182330969568213,216614609.0,2.138828072812594,0,0,-1,0,0,-0.0081472540736271,0.7938611954638614,0.2051059640644434,0.2335417410266865,0.0385636221701795,0.0791693705386111,0.7366032861501359,0.018340348767288,0.0
2023-12-05,65.38,66.52,0.0069728947068892,-0.0042023174554138,-0.0037446071802241,-0.4212533442763105,-0.0172862530286624,64.24100000000001,63.182500000000005,61.83866666666667,1,5,12,64.54202125500933,63.273402934777145,62.34067207415991,0.9415179477099328,0.5283359940625806,66.53966594137724,59.82533405862278,0.0125031069567439,0.0151210313939767,0.0185789807977705,215566151.0,1.3091399343212091,0,0,-1,0,0,-0.0048105832832229,-0.6087834878290405,0.2562913304022333,0.2400389318115762,0.028149080044032,0.0719790129529429,-0.1882804496256012,0.0181248088100334,0.0
2023-12-06,66.44,65.38,-0.0054529065741481,0.0121086762363186,0.0068671107644434,-0.1312196474693841,0.0160828834490295,64.646,63.437,62.071,2,6,12,64.88710829955309,63.47769951963024,63.68715083798883,1.0432790213606111,0.6313245995221868,66.9760459612497,59.8979540387503,0.0123603971257372,0.0153776474828907,0.016452036244617,216485675.0,1.6970675333866454,0,0,-1,0,0,0.0070357907617009,-0.9052990991242345,0.2633020804473437,0.2441125859336837,0.0426867545511613,0.082966585167074,-0.926927288614849,0.0232540638169777,0.0
2023-12-07,66.74,66.44,0.0104254173849817,-0.0062602678742359,0.006442588699538,-0.2011078528823426,0.0045051885781338,65.048,63.70450000000001,62.383,3,7,12,65.22399769963434,63.688170518363776,73.61963190184052,1.1350487625813912,0.7320694321340278,67.39749464848414,60.011505351515886,0.0123703888133793,0.0153562505683319,0.0147138170372608,217237684.0,1.6439233136966362,0,0,-1,0,0,0.0013546056592414,-1.2029937035460574,0.261250566986006,0.2437729204452032,0.0340873876665632,0.0871477439322363,-0.452875529267875,0.0104884626910396,0.0
2023-12-08,67.41,66.74,0.0044991077691824,0.0105600743358166,0.0078266504281119,1.469440639335902,0.0099889015421196,65.467,64.03999999999999,62.684666666666665,4,8,12,65.62145266333718,63.928288549437084,75.484606613455,1.247460397297587,0.8351476251667397,67.80225016656753,60.27774983343245,0.0124185988488498,0.0149550293641624,0.0145725159064129,220506519.0,1.791481082224045,0,0,-1,0,0,0.0013485166317051,3.1388862921598517,0.1994327153355084,0.2374037312834527,0.0170488835244417,0.1105436573311366,-1.3364904651288745,0.0132027889037234,0.0
2023-12-11,67.34,67.41,0.0099755163555053,0.0029546483306114,0.0073194740104805,-1.0369528812445057,-0.0010389611324189,65.796,64.337,63.00666666666666,0,11,12,65.9339158154577,64.14839896560244,75.74370709382157,1.3157320723909436,0.9312645146115806,68.15910248011077,60.51489751988923,0.0123873178260068,0.014946184867992,0.0142823017779691,219347608.0,1.571386437504925,0,0,-1,0,0,0.0013351134846462,-0.2913375493180227,0.2019090664359918,0.2372633292594216,0.0123271196632592,0.096742671009772,-0.9390762467691892,0.008910008910009,0.0
2023-12-12,67.35,67.34,-0.0013342230131367,0.0045625217125923,-0.004175994137333,-0.1292686236054403,0.0001484891234444,66.172,64.67999999999999,63.29466666666667,1,12,12,66.19138566719266,64.35495387104744,79.87951807228923,1.3550248996305498,1.0160165916153745,68.2728584134356,61.08714158656439,0.0117825272199428,0.0142752071740038,0.0141091388793383,220365987.0,1.4862817805541415,0,0,-1,0,0,0.0010395010395009,-0.5052801979334349,0.1140860594481223,0.2266118885780353,0.0301315386968492,0.1134071747396263,0.6668110618146779,0.0176688938381588,0.0
