date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2022-10-24,0.85,0.85,0.0,0.0,0.0,-inf,0.0,0.8550000000000001,0.997,0.8863333333333333,0,24,10,0.8742033358869478,0.7940225890407014,53.33333333333332,0.0553875345639879,0.099452581256397,1.561646139770646,0.4323538602293542,0.0790569415042438,0.2119804687791103,0.198161961263441,18662519.0,-0.5206800849102066,0,0,-1,0,0,0.0,-0.6497076588107497,0.0,3.365085619154506,0.0,-0.15,0.0,0.0,0.0
2022-10-25,0.85,0.85,0.0,0.0,0.0,inf,0.0,0.85,0.9745,0.9013333333333332,1,25,10,0.8698027293620482,0.7976340349090433,53.33333333333332,0.0489855062481821,0.089359166254754,1.523967684984388,0.4250323150156123,0.0175682092233124,0.2008958673407946,0.198161961263441,18662519.0,-0.4531658672649243,0,0,-1,0,0,0.0,-0.610179344278182,0.0,3.1891230264261923,0.0,-0.3461538461538461,0.0,0.0,0.0
2022-10-26,0.85,0.85,0.0,0.0,0.0,-3.737669618283368,0.0,0.85,0.9225,0.913,2,26,10,0.866202233114403,0.8010124842697501,53.33333333333332,0.0434114327101783,0.0801696195458389,1.2650523394507116,0.5799476605492884,0.0,0.169883521526712,0.1944013375000606,18662519.0,-0.4232929783299975,0,0,-1,0,0,0.0,-0.5594301511171554,0.0,2.6968172988454087,0.0,-0.5502645502645502,0.0,0.0,0.0
2022-10-27,0.85,0.85,0.0,0.0,0.0,-inf,0.0,0.85,0.9,0.9246666666666666,3,27,10,0.8632563725481479,0.8041729691555727,0.0,0.0385495638959567,0.0718456084158624,1.193795489199004,0.6062045108009961,0.0,0.1558857821597438,0.1944013375000606,18662519.0,-0.3403728228525134,0,0,-1,0,0,0.0,-0.526087352066341,0.0,2.474610075152829,0.0,-0.3461538461538461,0.0,0.0,0.0
2022-10-28,0.85,0.85,0.0,0.0,0.0,inf,0.0,0.85,0.8774999999999998,0.9296666666666666,4,28,10,0.8608461229939391,0.807129551790697,0.0,0.0343010961481083,0.0643367059623116,1.1033900524358513,0.6516099475641485,0.0,0.1558857821597438,0.1818296217284764,18662519.0,-0.2434812839561348,0,0,-1,0,0,0.0,-0.5250359151562046,0.0,2.474610075152829,0.0,-0.3461538461538461,0.0,0.0,0.0
2022-10-31,0.85,0.85,0.0,0.0,0.0,-inf,0.0,0.85,0.8800000000000001,0.9346666666666666,0,31,10,0.8588741006314047,0.8098953871590392,0.0,0.0305816288681917,0.0575856905434876,1.1033712981609394,0.6566287018390609,0.0,0.1284924711401241,0.1818296217284764,18662519.0,-0.2686110547505087,0,0,-1,0,0,0.0,-0.4503616626705724,0.0,2.0397547438854744,0.0,0.0625,0.0,0.0,0.0
2022-11-07,0.5756,0.85,-0.3898233744711494,-0.3898233744711494,-0.3898233744711494,1.778443693252283,-0.3898233744711494,0.82256,0.8387800000000001,0.9388533333333332,0,7,11,0.8033627606670172,0.8035641132226291,0.0,-0.0041619496587044,0.0287373083065688,0.9646684987012776,0.7128915012987226,0.1020857635235799,0.0888696375756239,0.1820370287894192,18662146.0,-4.181160355633495,0,0,-1,0,0,-0.3228235294117647,-0.1316682919780123,2.2918197070341737,1.4107617607772518,-0.3228235294117647,-0.5203333333333333,-2.2360679774997894,0.0,0.0
2022-11-08,0.5756,0.5756,0.0,0.0,0.0,-inf,0.0,0.79512,0.82256,0.9147066666666668,1,8,11,0.7619513496366503,0.7888567510792337,0.0,-0.0228080994071262,0.0184282267638298,0.9914770758872954,0.6536429241127045,0.1020857635235799,0.0725994469667987,0.1728623693224935,18662146.0,-2.9240383034427637,0,0,-1,0,0,0.0,-0.2516247562988092,2.2918197070341737,1.1524804919698313,-0.3228235294117647,-0.3604444444444444,-2.2360679774997894,0.0,0.0
2022-11-09,0.5756,0.5756,0.0,0.0,0.0,inf,0.0,0.76768,0.80884,0.8708933333333333,2,9,11,0.7280692860663502,0.7750982510096058,0.0,-0.0371569848293128,0.0073111844452013,1.0098915346346455,0.6077884653653545,0.1020857635235799,0.0721855356500728,0.1488442388292914,18662146.0,-2.3202011407060184,0,0,-1,0,0,0.0,-0.1250417245971213,2.2918197070341737,1.14590985351648,-0.3228235294117647,-0.3228235294117647,-2.2360679774997894,0.0,0.0
2022-11-10,0.5756,0.5756,0.0,0.0,0.0,0.7827593392496325,0.0,0.74024,0.7951199999999999,0.8467466666666666,3,10,11,0.7003475976906501,0.7622273961057604,0.0,-0.0479755476549084,-0.0037461619748206,1.0203427678497303,0.5698972321502696,0.1020857635235799,0.0721855356500728,0.1388323640740084,18662146.0,-1.9493588689618149,0,0,-1,0,0,0.0,0.0825744347009975,2.2918197070341737,1.14590985351648,-0.3228235294117647,-0.3228235294117647,-2.2360679774997894,0.0,0.0
