date,open,high,low,close,volume
2023-11-27,39.36,39.54,38.75,38.78,15476.0
2023-11-28,38.36,38.8799,38.35,38.5,23397.0
2023-11-29,38.53,39.4,38.53,39.4,12307.0
2023-11-30,39.86,39.86,38.277,39.08,11492.0
2023-12-01,39.5236,41.225,39.38,40.54,20921.0
2023-12-04,40.9701,41.75,40.71,41.75,23590.0
2023-12-05,41.86,42.0,40.52,40.94,10783.0
2023-12-06,41.44,41.77,40.0101,40.02,21686.0
2023-12-07,40.425,40.7723,39.49,39.96,13119.0
2023-12-08,40.13,40.36,39.55,39.8,11332.0
2023-12-11,39.99,40.51,39.99,40.24,17573.0
2023-12-12,39.9,40.0,39.5566,39.72,11391.0
2023-12-13,40.05,41.99,39.33,41.61,31612.0
2023-12-14,42.0,45.34,41.85,45.04,45544.0
2023-12-15,45.47,48.55,45.0,47.59,65052.0
2023-12-18,47.2,47.28,44.83,44.87,54373.0
2023-12-19,44.92,45.49,43.815,43.99,30724.0
2023-12-20,43.91,45.39,42.9215,43.94,23236.0
2023-12-21,44.51,46.19,44.3006,45.62,10341.0
2023-12-22,45.35,46.97,44.65,46.81,18678.0
2023-12-26,47.28,47.3995,46.4801,46.76,20898.0
2023-12-27,46.74,47.14,45.855,45.99,13764.0
2023-12-28,45.59,46.11,45.59,46.11,10251.0
2023-12-29,46.58,47.17,44.76,44.76,11297.0
2024-01-02,44.0,46.9266,43.41,46.42,45514.0
2024-01-03,46.33,46.9927,44.15,44.22,33020.0
2024-01-04,44.67,45.375,44.5,44.97,14716.0
2024-01-05,44.48,45.93,44.17,44.64,34799.0
2024-01-08,45.11,46.0,44.0001,45.06,24853.0
2024-01-09,44.38,46.3249,43.63,43.9,10759.0
2024-01-10,43.045,43.355,42.85,43.2,14017.0
2024-01-11,42.69,43.7,41.2738,43.67,26779.0
2024-01-12,44.02,44.46,42.57,44.26,11198.0
2024-01-16,43.35,43.35,40.97,41.05,37311.0
2024-01-17,40.5,44.5,40.45,43.71,57444.0
2024-01-18,43.82,44.36,43.4975,43.98,35377.0
2024-01-19,44.27,44.82,43.84,44.79,25714.0
2024-01-22,45.0,46.56,45.0,46.39,10710.0
2024-01-23,46.99,46.99,46.255,46.29,11441.0
2024-01-24,46.9,47.0,46.0,46.66,24312.0
2024-01-25,46.9,46.9,45.735,46.25,23712.0
2024-01-26,46.91,46.99,46.0201,46.64,7265.0
2024-01-29,46.32,46.4,44.651,45.74,37225.0
2024-01-30,45.11,45.11,42.83,42.83,12203.0
2024-01-31,42.79,43.49,38.91,39.03,46176.0
2024-02-01,38.72,39.7,37.85,38.95,44740.0
2024-02-02,38.12,38.23,35.91,36.08,38214.0
2024-02-05,35.56,38.42,35.4,36.89,28780.0
2024-02-06,36.59,36.6,35.27,36.31,20155.0
2024-02-07,35.77,36.9199,34.5,36.15,13750.0
2024-02-08,36.15,36.3,35.88,36.06,12867.0
2024-02-09,36.07,37.475,36.07,37.06,9793.0
2024-02-12,38.44,39.49,38.44,38.53,17921.0
2024-02-13,37.21,37.21,35.6442,36.55,24501.0
2024-02-14,37.2,37.7975,36.08,37.19,17172.0
2024-02-15,37.2,39.69,37.2,39.4,13470.0
2024-02-16,39.26,39.26,37.4516,37.83,8271.0
2024-02-20,37.23,37.23,36.85,36.86,6064.0
2024-02-21,36.86,36.86,36.28,36.28,10350.0
2024-02-22,36.1,36.1,35.4201,35.85,25661.0
2024-02-23,35.48,35.9,35.48,35.9,3194.0
2024-02-26,35.5,36.55,35.1901,35.97,5037.0
2024-02-27,36.47,36.96,36.32,36.32,4861.0
2024-02-28,36.16,36.7,35.5,35.5,6270.0
2024-02-29,36.06,36.22,34.76,35.24,19557.0
2024-03-01,35.6347,35.82,34.825,35.76,9475.0
2024-03-04,35.97,35.97,34.89,34.89,3436.0
2024-03-05,34.92,35.59,34.92,35.4,10299.0
2024-03-06,35.8,35.8,34.35,35.0,7798.0
2024-03-07,35.03,35.3055,34.84,35.1,5568.0
2024-03-08,35.58,35.58,35.04,35.45,5007.0
2024-03-11,35.0,35.0,34.61,34.61,5816.0
2024-03-12,34.2015,34.24,34.08,34.08,5288.0
2024-03-13,34.41,35.35,34.3923,34.91,13078.0
2024-03-14,34.85,35.13,34.0,34.07,15628.0
2024-03-15,34.07,35.6369,34.07,35.56,44828.0
2024-03-18,35.2,35.8,34.0901,35.16,8703.0
2024-03-19,34.9891,35.69,34.9891,35.12,12081.0
2024-03-20,35.7399,36.18,34.72,36.08,11672.0
2024-03-21,35.8499,36.84,35.79,36.83,17682.0
2024-03-22,35.2201,35.78,35.2201,35.5,6776.0
2024-03-25,35.16,36.1925,35.0,35.1,7142.0
2024-03-26,35.65,36.0478,35.36,35.36,5872.0
2024-03-27,35.5,37.62,35.5,36.89,15615.0
