date,open,high,low,close,volume
2023-11-27,333.82,334.4299,332.1901,332.43,1586934.0
2023-11-28,331.6,333.19,329.99,332.56,1377838.0
2023-11-29,335.0,335.8,332.78,333.34,1307290.0
2023-11-30,334.2,335.0,332.155,333.14,4298156.0
2023-12-01,333.8,338.5,333.16,338.06,1688780.0
2023-12-04,335.19,338.81,334.17,336.43,2349476.0
2023-12-05,334.63,337.33,333.31,335.83,1516541.0
2023-12-06,337.77,339.46,334.98,335.41,1459301.0
2023-12-07,336.56,336.56,334.22,335.1,1870287.0
2023-12-08,335.1,337.713,334.56,337.23,1274525.0
2023-12-11,335.21,342.39,335.2,342.31,1814187.0
2023-12-12,341.93,343.25,341.2,343.22,1935316.0
2023-12-13,343.4,345.2,339.87,343.64,2460977.0
2023-12-14,342.74,345.39,340.74,342.73,2551254.0
2023-12-15,338.435,346.96,336.2543,344.15,3880254.0
2023-12-18,342.66,343.98,340.64,341.85,3208034.0
2023-12-19,332.73,344.8,332.02,341.51,3251499.0
2023-12-20,345.56,346.63,339.21,339.5,3406235.0
2023-12-21,340.17,349.5,340.17,348.75,3304279.0
2023-12-22,350.0,354.82,347.91,354.45,2313932.0
2023-12-26,354.14,354.93,351.51,353.43,1535731.0
2023-12-27,354.5,355.38,351.63,353.82,1306172.0
2023-12-28,354.14,354.5,351.25,351.59,1300785.0
2023-12-29,351.79,352.91,349.43,350.91,1233533.0
2024-01-02,348.19,350.3,345.29,346.92,2319486.0
2024-01-03,342.53,343.77,337.53,337.92,3061007.0
2024-01-04,337.92,339.8,336.53,337.09,2750560.0
2024-01-05,338.0,339.75,335.54,336.62,1509872.0
2024-01-08,335.0,340.47,335.0,340.35,1909518.0
2024-01-09,339.27,342.76,338.03,342.75,1625934.0
2024-01-10,344.58,345.63,342.78,345.33,1569142.0
2024-01-11,343.5,348.43,343.05,347.97,1785867.0
2024-01-12,350.0,357.655,348.71,356.33,2406024.0
2024-01-16,352.365,356.48,351.11,354.56,2097583.0
2024-01-17,351.81,357.33,351.81,353.65,1917067.0
2024-01-18,356.02,359.78,355.165,359.55,2064213.0
2024-01-19,361.53,364.82,360.12,363.9,2506516.0
2024-01-22,364.0,368.65,363.5,367.21,2302481.0
2024-01-23,367.36,370.0,365.64,369.86,1693134.0
2024-01-24,371.0,372.24,367.8292,368.9,2231631.0
2024-01-25,372.38,375.73,370.12,371.94,2227478.0
2024-01-26,371.92,374.14,369.81,371.07,1404798.0
2024-01-29,370.52,375.425,370.08,373.35,1683157.0
2024-01-30,374.0,375.245,370.98,371.3,1849667.0
2024-01-31,371.0,372.72,363.4434,363.88,2320257.0
2024-02-01,364.0,371.2125,363.45,370.91,1500135.0
2024-02-02,372.19,374.81,369.48,372.95,1590488.0
2024-02-05,372.5,374.0,369.07,370.34,1787377.0
2024-02-06,370.52,371.71,362.4,364.7,4012319.0
2024-02-07,365.0,369.92,364.115,366.65,2531941.0
2024-02-08,367.68,369.47,366.915,368.48,1680009.0
2024-02-09,369.25,372.48,367.95,371.67,1482651.0
2024-02-12,369.49,370.4,366.18,367.43,1325023.0
2024-02-13,361.41,365.76,360.0,362.81,1697041.0
2024-02-14,366.24,371.19,366.24,370.98,2114618.0
2024-02-15,372.59,374.56,370.14,371.51,2358868.0
2024-02-16,372.3,373.43,368.345,369.48,2410212.0
2024-02-20,369.88,370.0001,361.44,362.95,1631068.0
