date,open,high,low,close,volume
2018-04-18,8.73,8.81,8.57,8.59,39399.0
2018-04-19,8.56,8.6,8.3526,8.5,100978.0
2018-04-20,8.43,8.68,8.42,8.55,85068.0
2018-04-23,8.58,8.64,8.49,8.53,467112.0
2018-04-24,8.59,8.96,8.57,8.92,75329.0
2018-04-25,8.91,8.97,8.52,8.82,75189.0
2018-04-26,8.82,9.04,8.79,8.99,103407.0
2018-04-27,8.98,9.0,8.86,8.98,45710.0
2018-04-30,8.95,9.53,8.94,9.26,111652.0
2018-05-01,9.28,9.49,9.15,9.46,47101.0
2018-05-02,9.44,9.66,9.33,9.4,53572.0
2018-05-03,9.38,9.45,9.26,9.39,30203.0
2018-05-04,9.3,9.49,9.3,9.42,25413.0
2018-05-07,9.46,9.65,9.42,9.54,39534.0
2018-05-08,9.52,9.66,9.38,9.57,41612.0
2018-05-09,9.59,9.82,9.35,9.54,90544.0
2018-05-10,9.58,9.65,9.29,9.36,61425.0
2018-05-11,9.39,9.72,9.2635,9.45,71013.0
2018-05-14,9.49,9.64,9.38,9.38,70811.0
2018-05-15,9.36,9.43,9.25,9.35,84605.0
2018-05-16,9.43,9.63,9.345,9.55,151471.0
2018-05-17,9.49,9.9,9.43,9.51,157899.0
2018-05-18,9.53,9.56,9.35,9.37,97204.0
2018-05-21,9.5,9.62,9.36,9.45,65033.0
2018-05-22,9.45,9.46,9.22,9.23,44901.0
2018-05-23,9.23,9.31,9.06,9.15,41136.0
2018-05-24,9.15,9.29,9.15,9.21,36062.0
2018-05-25,9.2,9.4,9.16,9.35,47280.0
2018-05-29,9.25,9.5,9.0,9.07,51488.0
2018-05-30,9.12,9.25,9.1,9.15,50512.0
2018-05-31,9.1,9.26,9.04,9.04,31658.0
2018-06-01,9.08,9.19,9.0,9.15,60433.0
2018-06-04,9.19,9.23,9.036,9.14,94492.0
2018-06-05,9.15,9.25,9.1,9.14,44370.0
2018-06-06,9.18,9.365,9.02,9.19,203012.0
2018-06-07,9.19,9.31,9.1,9.15,89158.0
2018-06-08,9.12,9.26,9.01,9.11,115441.0
2018-06-11,9.09,9.34,9.09,9.29,76472.0
2018-06-12,9.3,9.44,9.18,9.43,121231.0
2018-06-13,9.44,9.73,9.44,9.52,70640.0
2018-06-14,9.55,9.74,9.55,9.66,71387.0
2018-06-15,9.58,9.74,9.58,9.7,82580.0
2018-06-18,9.67,10.03,9.64,9.68,309620.0
2018-06-19,9.62,10.055,9.59,9.87,202502.0
2018-06-20,9.9,10.05,9.78,9.8,149129.0
