date,open,high,low,close,volume
2023-11-29,10.52,10.52,10.52,10.52,0.0
2023-11-30,10.52,10.52,10.52,10.52,0.0
2023-12-01,10.52,10.52,10.52,10.52,63.0
2023-12-04,10.58,10.59,10.58,10.59,175729.0
2023-12-05,10.63,10.63,10.6,10.6,27190.0
2023-12-06,10.64,10.64,10.64,10.64,40545.0
2023-12-07,10.64,10.64,10.64,10.64,0.0
2023-12-08,10.64,10.64,10.64,10.64,0.0
2023-12-11,10.64,10.64,10.64,10.64,28.0
2023-12-12,10.65,10.7,10.65,10.7,2609.0
2023-12-13,10.7,10.7,10.7,10.7,5.0
2023-12-14,10.65,10.7,10.65,10.7,66262.0
2023-12-15,10.7,10.7,10.7,10.7,821.0
2023-12-18,10.67,10.75,10.67,10.74,4075.0
2023-12-19,10.71,10.75,10.71,10.75,2018.0
2023-12-20,10.75,10.75,10.75,10.75,13.0
2023-12-21,10.75,10.75,10.75,10.75,0.0
2023-12-22,10.71,10.71,10.71,10.71,3650.0
2023-12-26,10.71,10.71,10.71,10.71,15.0
2023-12-27,10.75,10.75,10.75,10.75,381.0
2023-12-28,10.75,10.87,10.75,10.87,493.0
2023-12-29,10.87,10.87,10.87,10.87,15.0
2024-01-02,10.87,10.87,10.87,10.87,0.0
2024-01-03,10.87,10.87,10.87,10.87,0.0
2024-01-04,10.87,10.87,10.87,10.87,0.0
2024-01-05,10.75,10.85,10.75,10.85,407.0
2024-01-08,10.84,10.84,10.84,10.84,60997.0
2024-01-09,10.84,10.84,10.84,10.84,9.0
2024-01-10,10.84,10.84,10.84,10.84,25.0
2024-01-11,10.84,10.84,10.84,10.84,7.0
2024-01-12,10.78,10.86,10.78,10.86,491.0
2024-01-16,10.86,10.86,10.86,10.86,1280.0
2024-01-17,10.81,10.83,10.8,10.83,34376.0
2024-01-18,10.9,10.9,10.83,10.83,467.0
2024-01-19,10.835,10.85,10.835,10.85,71193.0
2024-01-22,10.85,10.85,10.85,10.85,178.0
2024-01-23,10.85,10.85,10.85,10.85,14.0
2024-01-24,10.86,10.86,10.84,10.86,75643.0
2024-01-25,10.86,10.86,10.86,10.86,1.0
2024-01-26,10.97,10.97,10.97,10.97,187.0
2024-01-29,10.97,10.97,10.97,10.97,107.0
2024-01-30,10.97,10.97,10.97,10.97,50.0
2024-01-31,10.97,10.97,10.97,10.97,3.0
2024-02-01,10.97,10.97,10.97,10.97,43.0
2024-02-02,10.97,10.97,10.97,10.97,0.0
2024-02-05,10.97,10.97,10.97,10.97,10.0
2024-02-06,10.97,10.97,10.97,10.97,6.0
2024-02-07,10.97,10.97,10.97,10.97,0.0
2024-02-08,10.97,10.97,10.97,10.97,4.0
2024-02-09,10.97,10.97,10.97,10.97,30.0
2024-02-12,10.97,10.97,10.97,10.97,43.0
2024-02-13,10.97,10.97,10.97,10.97,49.0
2024-02-14,10.97,10.97,10.97,10.97,30.0
2024-02-15,10.97,10.97,10.97,10.97,17.0
2024-02-16,10.85,10.9,10.85,10.9,1303.0
2024-02-20,10.9,10.9,10.9,10.9,209.0
2024-02-21,10.9,10.99,10.875,10.95,18957.0
2024-02-22,10.99,10.99,10.99,10.99,412.0
2024-02-23,11.0,11.0,10.94,10.94,302.0
2024-02-26,10.94,10.94,10.94,10.94,0.0
2024-02-27,10.95,10.95,10.95,10.95,1069.0
2024-02-28,10.95,10.95,10.95,10.95,18.0
2024-02-29,10.95,10.95,10.95,10.95,2.0
2024-03-01,10.95,10.95,10.95,10.95,0.0
2024-03-04,10.95,10.95,10.95,10.95,102.0
2024-03-05,10.95,10.95,10.95,10.95,1.0
2024-03-06,10.95,10.95,10.9,10.95,4800.0
2024-03-07,10.95,10.95,10.95,10.95,3.0
2024-03-08,10.95,10.95,10.95,10.95,2.0
2024-03-11,10.85,10.85,10.85,10.85,271.0
2024-03-12,10.85,10.85,10.85,10.85,5.0
2024-03-13,11.93,12.2,11.93,12.2,1057.0
2024-03-14,10.96,10.96,10.85,10.94,501658.0
2024-03-15,10.96,10.96,10.85,10.95,747.0
2024-03-18,10.85,10.88,10.8,10.8,8984.0
2024-03-19,10.8,10.8,10.8,10.8,35.0
2024-03-20,10.8,10.8,10.8,10.8,223.0
2024-03-21,10.8,10.83,10.8,10.805,11714.0
2024-03-22,10.8,10.8,10.79,10.8,265141.0
2024-03-25,10.79,10.8,10.79,10.8,8823.0
2024-03-26,10.8,10.8,10.8,10.8,3145.0
2024-03-27,10.82,10.82,10.79,10.79,388.0
2024-03-28,10.79,10.79,10.79,10.79,222.0
2024-04-01,10.8163,10.82,10.79,10.81,14935.0
2024-04-02,10.8,10.82,10.8,10.8,24152.0
2024-04-03,10.79,10.8,10.79,10.8,10753.0
2024-04-04,10.8,10.8,10.8,10.8,8824.0
2024-04-05,10.875,10.96,10.8,10.8,6772.0
2024-04-08,10.8,10.8,10.8,10.8,3.0
2024-04-09,10.8,10.8,10.8,10.8,1982.0
2024-04-10,10.795,10.83,10.79,10.83,42029.0
2024-04-11,10.81,10.81,10.8,10.8,2302.0
2024-04-12,10.81,10.81,10.81,10.81,191.0
2024-04-15,10.81,10.81,10.81,10.81,91.0
2024-04-16,10.81,10.81,10.81,10.81,7.0
2024-04-17,10.81,10.81,10.81,10.81,39.0
2024-04-18,10.81,10.81,10.805,10.805,1238.0
2024-04-19,10.805,10.805,10.805,10.805,0.0
2024-04-22,10.8,10.825,10.8,10.8,15299.0
2024-04-23,10.81,10.83,10.81,10.81,26505.0
2024-04-24,10.81,10.81,10.8,10.8,61268.0
