date,open,high,low,close,volume
2023-11-27,172.86,173.46,171.59,171.88,881133.0
2023-11-28,171.2,173.59,170.29,172.17,890424.0
2023-11-29,174.831,175.13,170.53,170.83,899702.0
2023-11-30,170.88,173.15,170.55,172.94,1353370.0
2023-12-01,172.9,177.98,172.3,177.94,1174601.0
2023-12-04,176.67,179.07,176.67,177.74,1011020.0
2023-12-05,176.78,177.385,174.36,175.76,1195948.0
2023-12-06,176.25,177.07,174.75,174.99,890047.0
2023-12-07,175.23,176.23,173.79,175.38,679019.0
2023-12-08,175.0,175.81,173.95,175.75,588550.0
2023-12-11,174.94,175.64,173.66,175.41,691802.0
2023-12-12,175.7,176.735,174.23,174.83,842118.0
2023-12-13,174.7,185.31,174.7,183.98,954614.0
2023-12-14,187.16,193.325,187.16,191.44,1794511.0
2023-12-15,190.58,190.68,185.09,187.89,1646975.0
2023-12-18,188.0,190.61,186.8569,189.84,844404.0
2023-12-19,190.45,191.5,187.64,189.6,800200.0
2023-12-20,189.6,190.33,186.08,186.2,902594.0
2023-12-21,187.87,188.25,185.55,186.65,841425.0
2023-12-22,187.86,189.46,187.0,187.29,627118.0
2023-12-26,187.1,188.81,187.1,188.23,700356.0
2023-12-27,188.48,189.62,187.58,189.49,637664.0
2023-12-28,187.29,189.67,187.055,189.6,538947.0
2023-12-29,188.78,189.58,187.11,187.22,800716.0
2024-01-02,185.77,188.27,185.76,188.17,758582.0
2024-01-03,186.88,186.88,182.83,183.29,1105224.0
2024-01-04,182.97,184.57,182.26,183.59,661553.0
2024-01-05,181.64,184.33,181.54,182.67,673864.0
2024-01-08,182.08,185.14,182.08,184.54,814818.0
2024-01-09,182.72,184.24,181.65,183.11,787561.0
2024-01-10,184.09,184.495,182.955,183.71,800021.0
2024-01-11,182.51,184.135,181.785,182.75,1018770.0
2024-01-12,184.7,185.65,182.29,182.54,1002650.0
2024-01-16,181.62,182.26,179.325,180.15,862734.0
2024-01-17,177.45,180.555,175.1,178.38,1353840.0
2024-01-18,177.78,178.96,176.14,177.5,986071.0
2024-01-19,177.5,180.915,177.01,180.43,1046564.0
2024-01-22,180.96,182.24,179.13,181.22,701690.0
2024-01-23,181.51,182.025,178.085,179.59,639449.0
2024-01-24,181.03,181.03,175.87,176.03,738674.0
2024-01-25,177.78,178.115,175.42,176.12,1041741.0
2024-01-26,177.03,177.65,175.37,177.5,789952.0
2024-01-29,177.59,179.08,176.72,178.28,667435.0
2024-01-30,177.52,179.585,177.03,178.44,709419.0
2024-01-31,180.08,182.73,177.84,179.01,1542473.0
2024-02-01,172.31,178.68,172.0,178.15,1716180.0
2024-02-02,176.01,177.185,173.31,175.06,1446399.0
2024-02-05,172.82,173.405,169.87,169.99,874887.0
2024-02-06,170.0,172.97,170.0,172.75,1291410.0
2024-02-07,172.9,173.81,170.95,173.42,995481.0
2024-02-08,173.25,174.78,172.87,174.53,818525.0
2024-02-09,174.16,174.63,173.18,174.63,799582.0
2024-02-12,174.88,175.67,173.43,174.36,625706.0
2024-02-13,171.6,172.28,169.37,172.11,825455.0
2024-02-14,173.03,174.32,172.16,173.21,830422.0
2024-02-15,173.54,177.98,173.54,177.8,673489.0
2024-02-16,175.91,177.87,175.585,177.12,627630.0
2024-02-20,176.32,178.16,175.105,176.34,738619.0
2024-02-21,176.69,178.71,176.28,178.27,543654.0
2024-02-22,178.31,178.4,176.04,176.12,818103.0
2024-02-23,175.99,176.38,175.045,175.4,601353.0
2024-02-26,175.57,176.74,173.0,173.62,581665.0
2024-02-27,174.81,176.0,173.76,174.37,735932.0
2024-02-28,173.3,177.6,172.85,176.37,750482.0
2024-02-29,177.94,178.89,175.96,177.03,1445944.0
2024-03-01,176.04,178.485,174.455,178.14,832846.0
2024-03-04,178.67,185.29,178.39,185.17,910916.0
2024-03-05,184.11,185.44,182.815,183.74,729913.0
2024-03-06,184.83,184.84,182.65,184.24,778060.0
2024-03-07,185.1,186.405,183.88,185.03,665124.0
2024-03-08,186.37,187.041,184.35,186.95,781868.0
2024-03-11,186.95,187.32,184.63,184.69,496486.0
2024-03-12,183.95,185.43,182.44,183.83,578855.0
2024-03-13,184.04,186.92,183.96,186.24,681349.0
2024-03-14,185.35,185.35,180.93,182.38,648999.0
2024-03-15,179.95,184.48,179.95,183.82,1318304.0
2024-03-18,184.05,184.655,182.12,182.55,839632.0
2024-03-19,182.88,183.47,181.35,182.16,386792.0
2024-03-20,180.81,184.14,179.88,183.68,751152.0
2024-03-21,184.52,186.22,183.175,184.79,570231.0
2024-03-22,185.11,185.4,182.69,183.17,544585.0
2024-03-25,184.19,184.19,181.83,182.01,481169.0
2024-03-26,182.43,182.56,180.65,180.67,552334.0
2024-03-27,180.92,183.99,180.44,183.69,984631.0
2024-03-28,184.81,186.72,184.81,185.56,730692.0
2024-04-01,185.33,185.33,181.22,181.32,456938.0
2024-04-02,180.09,180.93,178.8,179.85,580758.0
2024-04-03,179.25,180.65,178.305,180.17,530703.0
2024-04-04,182.05,183.04,179.6,180.17,387272.0
2024-04-05,179.4,181.81,179.205,181.08,391931.0
2024-04-08,182.69,186.7074,181.79,186.18,635506.0
2024-04-09,186.85,188.95,186.85,188.86,865143.0
2024-04-10,184.27,186.42,183.35,186.1,1004484.0
2024-04-11,187.26,187.725,183.85,185.95,1033572.0
2024-04-12,185.38,185.86,182.73,183.78,1393618.0
2024-04-15,185.08,185.08,179.765,180.72,658476.0
2024-04-16,179.95,180.21,177.4,178.98,901183.0
2024-04-17,179.73,182.18,178.29,180.95,790449.0
2024-04-18,181.47,182.79,180.17,182.02,671424.0
2024-04-19,183.07,184.555,182.82,184.13,543043.0
2024-04-22,184.59,187.67,183.92,186.87,633780.0
2024-04-23,187.08,189.82,187.08,188.66,746334.0
2024-04-24,187.01,192.5,186.34,191.34,904545.0
2024-04-25,190.29,191.68,188.94,191.32,1073207.0
2024-04-26,193.8,196.07,191.23,191.45,945647.0
2024-04-29,193.03,193.29,190.31,191.02,903468.0
2024-04-30,189.43,191.33,188.89,189.57,809150.0
2024-05-01,188.66,191.03,187.375,187.93,657239.0
2024-05-02,189.14,193.71,187.93,192.45,798368.0
2024-05-03,194.48,195.44,191.5,192.81,573069.0
2024-05-06,193.66,196.175,192.69,195.18,505426.0
2024-05-07,196.54,196.74,195.14,195.89,486380.0
2024-05-08,195.81,196.66,194.45,194.9,436094.0
2024-05-09,195.51,197.35,194.6,197.14,375995.0
2024-05-10,197.84,198.0,196.4575,196.89,305321.0
2024-05-13,196.34,198.6,196.34,196.99,333738.0
2024-05-14,198.35,198.9,196.76,197.49,490978.0
2024-05-15,200.37,200.705,197.72,198.46,802128.0
2024-05-16,198.28,199.86,197.3795,198.05,468582.0
2024-05-17,198.97,199.54,197.25,198.89,442589.0
2024-05-20,199.0,199.6064,197.02,197.41,648428.0
2024-05-21,197.61,198.65,197.15,198.47,422679.0
2024-05-22,198.19,200.69,197.37,197.6,568166.0
2024-05-23,197.19,197.19,193.67,193.96,495175.0
2024-05-24,195.05,195.925,194.53,195.34,388866.0
2024-05-28,196.41,196.94,192.1301,192.25,514357.0
2024-05-29,189.49,189.57,186.18,188.59,674312.0
2024-05-30,189.79,190.67,189.0,189.98,653685.0
2024-05-31,191.39,193.15,190.0,192.68,1495049.0
2024-06-03,194.14,195.73,193.02,194.46,796654.0
2024-06-04,194.38,197.99,194.38,196.93,614356.0
2024-06-05,196.6,198.54,194.76,198.48,396031.0
2024-06-06,197.46,199.03,196.805,198.27,376345.0
2024-06-07,195.74,198.345,195.74,197.21,557513.0
2024-06-10,197.2,200.51,196.87,199.34,612791.0
2024-06-11,198.79,199.31,196.5959,197.2,533127.0
2024-06-12,200.47,201.14,198.0,198.76,445278.0
2024-06-13,199.3,200.35,198.02,199.91,555664.0
2024-06-14,199.26,201.961,198.42,201.89,409989.0
2024-06-17,199.95,202.12,198.71,201.6,478797.0
2024-06-18,202.03,203.0,200.85,202.4,520005.0
2024-06-20,201.69,202.46,200.7,201.93,645486.0
2024-06-21,204.21,204.21,201.01,203.89,1251338.0
2024-06-24,204.68,208.1199,203.59,206.41,932208.0
2024-06-25,206.43,207.02,203.41,204.29,508083.0
2024-06-26,203.01,205.38,201.96,203.88,861250.0
2024-06-27,204.65,206.38,203.73,206.3,709503.0
