date,open,high,low,close,volume
2023-11-28,0.0201,0.0201,0.0201,0.0201,0.0
2023-11-29,0.023,0.023,0.0155,0.0155,4421.0
2023-11-30,0.0155,0.0155,0.0155,0.0155,7.0
2023-12-01,0.0155,0.0155,0.0155,0.0155,0.0
2023-12-04,0.0155,0.0155,0.0155,0.0155,0.0
2023-12-05,0.0155,0.0155,0.0155,0.0155,86.0
2023-12-06,0.0151,0.021,0.015,0.021,2228.0
2023-12-07,0.021,0.021,0.021,0.021,65.0
2023-12-08,0.0183,0.0183,0.0156,0.0156,14640.0
2023-12-11,0.0156,0.0156,0.0156,0.0156,0.0
2023-12-12,0.0156,0.0156,0.0151,0.0153,1000.0
2023-12-13,0.015,0.015,0.014,0.0141,4400.0
2023-12-14,0.0149,0.0149,0.013,0.013,3947.0
2023-12-15,0.013,0.013,0.0066,0.0069,40515.0
2023-12-18,0.0069,0.0069,0.0069,0.0069,74.0
2023-12-19,0.0069,0.0112,0.0069,0.0107,103756.0
2023-12-20,0.0085,0.0085,0.0069,0.007,196910.0
2023-12-21,0.0051,0.006,0.0026,0.004,119300.0
2023-12-22,0.003,0.005,0.003,0.005,21400.0
2023-12-26,0.0037,0.0122,0.0033,0.0034,26050.0
2023-12-27,0.0034,0.0054,0.0033,0.0033,20950.0
2023-12-28,0.0033,0.0036,0.0033,0.0035,20000.0
2023-12-29,0.0036,0.0038,0.0036,0.0038,6617.0
2024-01-02,0.0038,0.0038,0.0038,0.0038,426.0
2024-01-03,0.0038,0.0038,0.0038,0.0038,0.0
2024-01-04,0.0038,0.0038,0.0038,0.0038,0.0
2024-01-05,0.0038,0.0038,0.0038,0.0038,0.0
2024-01-08,0.0038,0.0038,0.0038,0.0038,0.0
2024-01-09,0.0038,0.0038,0.0038,0.0038,0.0
2024-01-10,0.01,0.01,0.0044,0.0044,326.0
2024-01-11,0.0044,0.0044,0.0044,0.0044,0.0
2024-01-12,0.0044,0.0044,0.0044,0.0044,100.0
2024-01-16,0.01,0.01,0.01,0.01,31305.0
2024-01-17,0.01,0.01,0.0057,0.0057,495.0
2024-01-18,0.0057,0.0057,0.0057,0.0057,0.0
2024-01-19,0.01,0.01,0.01,0.01,26000.0
2024-01-22,0.01,0.01,0.01,0.01,0.0
2024-01-23,0.01,0.01,0.01,0.01,0.0
2024-01-24,0.01,0.01,0.01,0.01,12.0
2024-01-25,0.01,0.01,0.01,0.01,17435.0
2024-01-26,0.01,0.01,0.01,0.01,0.0
2024-01-29,0.01,0.01,0.01,0.01,28294.0
2024-01-30,0.01,0.01,0.01,0.01,19100.0
2024-01-31,0.01,0.01,0.01,0.01,23000.0
2024-02-01,0.01,0.01,0.01,0.01,19070.0
2024-02-02,0.0128,0.013,0.008,0.0129,29574.0
2024-02-05,0.0129,0.0129,0.0081,0.0128,5038.0
2024-02-06,0.01,0.0129,0.01,0.0128,15600.0
2024-02-07,0.009,0.009,0.0075,0.0075,12393.0
2024-02-08,0.012,0.012,0.0075,0.0119,14894.0
2024-02-09,0.0119,0.0119,0.0119,0.0119,0.0
2024-02-12,0.0119,0.0119,0.0119,0.0119,0.0
2024-02-13,0.012,0.012,0.012,0.012,150.0
2024-02-14,0.012,0.012,0.012,0.012,25.0
2024-02-15,0.012,0.012,0.012,0.012,0.0
2024-02-16,0.0085,0.0085,0.0085,0.0085,10000.0
2024-02-20,0.012,0.012,0.0111,0.0119,2820.0
2024-02-21,0.0119,0.0119,0.0119,0.0119,300.0
2024-02-22,0.0119,0.012,0.0119,0.0119,542.0
2024-02-23,0.012,0.012,0.0119,0.0119,1976.0
2024-02-26,0.012,0.012,0.0119,0.0119,650.0
2024-02-27,0.0119,0.0119,0.0119,0.0119,0.0
2024-02-28,0.011,0.011,0.011,0.011,1302.0
2024-02-29,0.011,0.011,0.011,0.011,1.0
2024-03-01,0.011,0.011,0.011,0.011,0.0
2024-03-04,0.0115,0.0122,0.0115,0.0122,15070.0
2024-03-05,0.0122,0.0122,0.0122,0.0122,0.0
2024-03-06,0.013,0.013,0.011,0.011,20100.0
2024-03-07,0.013,0.013,0.013,0.013,1500.0
2024-03-08,0.013,0.013,0.013,0.013,0.0
2024-03-12,0.013,0.013,0.013,0.013,0.0
2024-03-13,0.013,0.013,0.013,0.013,0.0
2024-03-14,0.013,0.013,0.013,0.013,0.0
2024-03-15,0.013,0.013,0.013,0.013,0.0
2024-03-18,0.0077,0.0077,0.0077,0.0077,1500.0
2024-03-19,0.0077,0.0077,0.0077,0.0077,0.0
2024-03-20,0.0077,0.0077,0.0077,0.0077,0.0
2024-03-21,0.0091,0.0091,0.0078,0.0078,4238.0
2024-03-22,0.0078,0.0078,0.0078,0.0078,0.0
2024-03-25,0.0115,0.013,0.0115,0.013,9810.0
2024-03-26,0.013,0.013,0.013,0.013,0.0
2024-03-27,0.013,0.013,0.013,0.013,0.0
2024-03-28,0.013,0.013,0.013,0.013,225.0
2024-04-01,0.01,0.013,0.01,0.01,6900.0
2024-04-02,0.01,0.0101,0.01,0.01,7706.0
2024-04-03,0.01,0.01,0.01,0.01,0.0
2024-04-04,0.01,0.01,0.01,0.01,0.0
2024-04-05,0.01,0.0101,0.0078,0.01,65050.0
2024-04-08,0.01,0.01,0.01,0.01,0.0
2024-04-09,0.01,0.01,0.01,0.01,0.0
2024-04-10,0.0079,0.0079,0.0079,0.0079,5363.0
2024-04-11,0.0051,0.0075,0.005,0.0075,219510.0
2024-04-12,0.0063,0.0075,0.0063,0.0074,1817.0
2024-04-15,0.0074,0.0074,0.0074,0.0074,0.0
2024-04-16,0.0075,0.01,0.0075,0.01,1522.0
2024-04-17,0.0039,0.05,0.0039,0.05,31663.0
2024-04-18,0.01,0.055,0.01,0.053,21100.0
2024-04-19,0.017,0.0171,0.017,0.0171,1010.0
2024-04-22,0.0171,0.0171,0.0171,0.0171,0.0
2024-04-23,0.0171,0.0171,0.0171,0.0171,170.0
2024-04-24,0.0171,0.0171,0.0171,0.0171,0.0
2024-04-25,0.0171,0.0171,0.0171,0.0171,0.0
2024-04-26,0.035,0.035,0.0126,0.0126,210.0
2024-04-29,0.0126,0.0126,0.0126,0.0126,0.0
2024-04-30,0.0126,0.0126,0.0126,0.0126,0.0
2024-05-01,0.0126,0.0126,0.0126,0.0126,0.0
2024-05-02,0.0126,0.0126,0.0126,0.0126,0.0
2024-05-03,0.0126,0.0126,0.0126,0.0126,0.0
2024-05-06,0.0101,0.0102,0.0101,0.0102,2000.0
2024-05-07,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-08,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-09,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-10,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-13,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-14,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-15,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-16,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-17,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-20,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-21,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-22,0.0102,0.0102,0.0102,0.0102,2000.0
2024-05-23,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-24,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-28,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-29,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-30,0.0102,0.0102,0.0102,0.0102,0.0
2024-05-31,0.0102,0.0102,0.0102,0.0102,0.0
2024-06-03,0.0102,0.0102,0.0102,0.0102,0.0
2024-06-04,0.0102,0.0102,0.0102,0.0102,0.0
2024-06-05,0.029,0.029,0.0198,0.0198,2677.0
2024-06-06,0.0219,0.0219,0.015,0.015,603.0
2024-06-07,0.015,0.015,0.015,0.015,1.0
2024-06-10,0.015,0.015,0.015,0.015,0.0
2024-06-11,0.015,0.015,0.015,0.015,0.0
2024-06-12,0.015,0.015,0.015,0.015,0.0
2024-06-13,0.015,0.015,0.015,0.015,0.0
2024-06-14,0.015,0.015,0.015,0.015,0.0
2024-06-17,0.015,0.015,0.015,0.015,0.0
2024-06-18,0.015,0.015,0.015,0.015,0.0
2024-06-20,0.015,0.015,0.015,0.015,0.0
2024-06-21,0.024,0.024,0.023,0.023,520.0
2024-06-24,0.023,0.023,0.023,0.023,930.0
2024-06-25,0.023,0.023,0.023,0.023,0.0
2024-06-26,0.015,0.022,0.015,0.0218,1700.0
2024-06-27,0.015,0.0214,0.015,0.0214,500.0
2024-06-28,0.015,0.0151,0.015,0.015,1641.0
2024-07-01,0.015,0.015,0.015,0.015,0.0
2024-07-02,0.015,0.015,0.015,0.015,0.0
2024-07-03,0.015,0.015,0.015,0.015,0.0
2024-07-05,0.015,0.015,0.015,0.015,0.0
2024-07-08,0.015,0.015,0.015,0.015,0.0
2024-07-09,0.015,0.015,0.015,0.015,2.0
2024-07-10,0.015,0.015,0.015,0.015,1.0
2024-07-11,0.015,0.015,0.015,0.015,0.0
2024-07-12,0.0219,0.023,0.02,0.02,30538.0
2024-07-15,0.0101,0.0101,0.0101,0.0101,1200.0
