date,open,high,low,close,volume
2023-11-29,0.61,0.69,0.55,0.61,31104.0
2023-11-30,0.5505,0.6299,0.5439,0.55,101739.0
2023-12-01,0.58,0.6399,0.54,0.636,119782.0
2023-12-04,6.0668,6.0668,5.52,5.82,10613.0
2023-12-05,5.7501,6.49,5.7501,6.175,9881.0
2023-12-06,6.1001,6.347,6.01,6.1,5477.0
2023-12-07,5.97,6.65,5.91,5.91,3143.0
2023-12-08,5.93,6.28,5.88,5.89,1553.0
2023-12-11,5.75,6.1473,5.7,5.7,786.0
2023-12-12,5.5,5.8,5.11,5.37,13281.0
2023-12-13,5.16,5.425,5.16,5.425,4460.0
2023-12-14,5.64,6.1,5.615,6.0395,19499.0
2023-12-15,5.9618,6.11,5.925,6.05,1517.0
2023-12-18,6.24,6.24,5.71,5.76,8586.0
2023-12-19,5.51,6.075,5.51,6.0,3129.0
2023-12-20,6.28,6.28,5.76,5.9,11191.0
2023-12-21,5.95,6.11,5.7501,6.09,2366.0
2023-12-22,6.05,6.08,5.8312,6.08,872.0
2023-12-26,5.99,6.0,5.61,5.82,4744.0
2023-12-27,5.9137,6.09,5.7569,6.09,9187.0
2023-12-28,6.08,6.08,5.68,5.8939,2970.0
2023-12-29,5.93,6.0181,5.8,5.85,4362.0
2024-01-02,5.7301,5.7301,5.7301,5.7301,648.0
2024-01-03,5.73,5.73,5.01,5.6885,5364.0
2024-01-04,5.7397,5.74,5.11,5.73,5325.0
2024-01-05,5.3,5.708,5.3,5.59,5489.0
2024-01-08,5.89,7.22,5.32,5.69,37371.0
2024-01-09,5.94,5.94,5.32,5.56,15810.0
2024-01-10,6.11,6.11,5.46,5.788,16620.0
2024-01-11,6.62,6.89,6.1,6.23,124423.0
2024-01-12,6.84,6.84,6.0001,6.11,18574.0
2024-01-16,6.28,6.28,5.91,5.91,3609.0
2024-01-17,5.95,5.9824,5.9126,5.9824,3669.0
2024-01-18,6.14,6.3,5.95,5.9827,11851.0
2024-01-19,6.1,6.1,5.95,5.98,4157.0
2024-01-22,5.94,6.0,5.5,5.7911,9540.0
2024-01-23,5.28,5.28,4.78,4.89,20881.0
2024-01-24,4.85,5.07,4.7,4.7934,14888.0
2024-01-25,4.7,4.7,3.82,4.15,19996.0
2024-01-26,4.65,4.6701,4.0,4.43,5532.0
2024-01-29,4.4,4.4,4.11,4.35,10082.0
2024-01-30,4.46,4.48,4.13,4.13,3191.0
2024-01-31,4.0,4.4,4.0,4.4,5032.0
2024-02-01,4.19,4.36,4.18,4.36,3133.0
2024-02-02,4.49,4.49,4.0,4.25,3176.0
2024-02-05,4.07,4.46,4.07,4.44,1704.0
2024-02-06,4.65,4.65,3.99,4.42,1720.0
2024-02-07,4.3477,4.3477,4.19,4.25,3630.0
2024-02-08,4.18,4.4999,4.15,4.4814,6183.0
2024-02-09,4.3464,4.57,4.15,4.52,2713.0
2024-02-12,4.315,4.4626,4.01,4.01,15942.0
2024-02-13,4.0,4.01,3.79,3.79,3294.0
2024-02-14,3.85,4.1,3.72,4.09,9556.0
2024-02-15,4.0104,4.02,3.9804,4.0,995.0
2024-02-16,4.16,4.16,3.5,3.95,5255.0
2024-02-20,3.88,4.2,3.88,4.16,10574.0
2024-02-21,4.26,4.4,3.74,4.25,2636.0
2024-02-22,4.09,4.3,3.74,4.17,3178.0
2024-02-23,3.89,4.22,3.75,3.99,5123.0
2024-02-26,3.99,4.11,3.5,3.94,3167.0
2024-02-27,3.65,3.9116,3.5,3.6,4502.0
2024-02-28,3.3,3.7,3.3,3.4,4060.0
2024-02-29,3.48,3.73,3.39,3.565,2204.0
2024-03-01,3.43,3.65,3.4,3.6,2432.0
2024-03-04,3.36,3.56,3.1,3.38,22504.0
2024-03-05,3.1,3.37,3.02,3.12,8856.0
2024-03-06,3.12,3.12,3.0,3.0,4441.0
2024-03-07,3.08,3.08,2.7601,3.0066,4862.0
2024-03-08,2.9761,2.9967,2.77,2.9291,2414.0
2024-03-11,2.94,2.961,2.43,2.51,15292.0
