date,open,high,low,close,volume
2023-11-29,14.57,14.7,14.43,14.59,145230.0
2023-11-30,14.74,14.74,14.4252,14.5,126050.0
2023-12-01,14.42,15.13,14.35,15.05,199530.0
2023-12-04,14.98,15.41,14.96,15.3,133382.0
2023-12-05,15.25,15.25,14.86,14.94,140246.0
2023-12-06,15.01,15.215,14.9,15.01,159903.0
2023-12-07,15.01,15.22,14.93,15.03,117959.0
2023-12-08,15.24,15.8,15.22,15.72,183597.0
2023-12-11,15.66,15.8,15.445,15.62,114531.0
2023-12-12,15.6,15.65,15.46,15.57,98590.0
2023-12-13,15.6,16.07,15.3,16.05,213503.0
2023-12-14,16.32,16.53,15.65,16.19,234259.0
2023-12-15,16.4,16.4,15.8,15.88,264221.0
2023-12-18,15.9,15.9,15.24,15.43,243483.0
2023-12-19,15.5,16.0,15.47,16.0,184750.0
2023-12-20,16.05,16.46,15.76,15.78,156902.0
2023-12-21,15.87,16.02,15.795,15.87,99094.0
2023-12-22,15.91,16.16,15.81,15.96,108225.0
2023-12-26,15.97,16.14,15.85,16.08,118806.0
2023-12-27,16.07,16.18,15.92,15.98,118390.0
2023-12-28,15.95,16.12,15.89,15.96,106812.0
2023-12-29,15.93,15.96,15.62,15.73,146533.0
2024-01-02,15.7,16.26,15.62,15.9,123442.0
2024-01-03,15.8,15.8,15.36,15.47,159956.0
2024-01-04,15.42,15.64,15.3515,15.58,101604.0
2024-01-05,15.5,15.73,15.47,15.53,114677.0
2024-01-08,15.6,15.8644,15.56,15.8,105348.0
2024-01-09,15.65,15.84,15.54,15.77,123320.0
2024-01-10,15.71,15.82,15.67,15.8,94845.0
2024-01-11,15.79,15.79,15.47,15.61,86406.0
2024-01-12,15.78,15.9,15.46,15.47,85448.0
2024-01-16,15.4,15.438,14.8533,14.95,153829.0
2024-01-17,14.79,14.9,14.681,14.8,115645.0
2024-01-18,14.83,14.97,14.7826,14.96,105319.0
2024-01-19,15.04,15.04,14.78,14.9,98478.0
2024-01-22,15.01,15.85,15.01,15.84,150805.0
2024-01-23,16.0,16.189,15.66,15.72,114182.0
2024-01-24,15.87,15.93,15.68,15.9,103512.0
2024-01-25,16.06,16.33,15.8507,16.1,115810.0
2024-01-26,16.15,16.5337,16.15,16.32,98979.0
2024-01-29,16.32,16.48,16.13,16.45,77399.0
2024-01-30,16.27,16.3199,16.05,16.07,57214.0
2024-01-31,15.94,16.04,15.4862,15.49,108123.0
2024-02-01,15.64,15.7625,15.18,15.62,146253.0
2024-02-02,15.39,15.55,15.27,15.27,109686.0
2024-02-05,15.04,15.14,14.79,14.81,175991.0
2024-02-06,14.87,15.18,14.87,15.11,89410.0
2024-02-07,15.05,15.097,14.78,14.81,106550.0
2024-02-08,14.83,15.06,14.71,14.75,94920.0
2024-02-09,14.72,15.0,14.71,14.87,97649.0
2024-02-12,14.9,15.51,14.9,15.37,150280.0
2024-02-13,14.83,14.9662,14.6724,14.9,261819.0
2024-02-14,15.11,15.4393,14.97,15.34,138333.0
2024-02-15,15.42,15.93,15.25,15.87,132404.0
2024-02-16,15.73,15.86,15.39,15.76,139375.0
2024-02-20,15.47,15.65,15.3956,15.46,97995.0
2024-02-21,15.33,15.56,15.25,15.43,74107.0
2024-02-22,15.34,15.4399,15.1899,15.29,125282.0
2024-02-23,15.08,15.71,14.9856,15.58,139810.0
2024-02-26,15.55,15.93,15.55,15.91,111695.0
2024-02-27,15.92,16.05,15.89,15.92,95490.0
2024-02-28,15.74,15.94,15.5207,15.9,98711.0
2024-02-29,16.13,16.56,16.0855,16.41,177429.0
2024-03-01,16.39,16.68,16.03,16.65,138631.0
2024-03-04,16.65,16.99,16.34,16.51,137814.0
2024-03-05,16.41,16.66,16.31,16.34,128428.0
2024-03-06,16.47,16.47,15.9,15.94,197278.0
2024-03-07,16.0,16.2,15.8,15.97,133404.0
2024-03-08,16.09,16.2,15.68,15.69,126253.0
2024-03-11,15.69,16.13,15.66,16.07,176340.0
2024-03-12,16.14,16.22,15.92,16.06,122809.0
2024-03-13,16.08,16.34,15.91,16.0,207939.0
2024-03-14,16.05,16.1101,15.78,15.87,251543.0
2024-03-15,15.72,16.05,15.72,15.92,277752.0
2024-03-18,15.87,16.1799,15.77,15.85,246734.0
2024-03-19,15.76,15.9794,15.76,15.82,231585.0
2024-03-20,15.77,16.74,15.73,16.54,135279.0
2024-03-21,16.61,16.81,16.54,16.62,134087.0
2024-03-22,16.74,16.83,16.4,16.64,108593.0
2024-03-25,16.6,16.82,16.35,16.36,104224.0
2024-03-26,16.37,16.53,16.15,16.16,122841.0
2024-03-27,16.25,16.48,16.25,16.47,88868.0
2024-03-28,15.78,15.9,15.11,15.46,520373.0
2024-04-01,15.44,15.57,15.29,15.34,232896.0
2024-04-02,15.32,15.5704,15.1,15.28,219162.0
2024-04-03,15.33,15.7045,15.3002,15.5,193696.0
2024-04-04,15.71,15.82,15.39,15.4,178525.0
2024-04-05,15.33,15.49,15.2101,15.45,114703.0
2024-04-08,15.54,16.07,15.52,15.89,122753.0
2024-04-09,15.92,16.23,15.82,16.02,89904.0
2024-04-10,15.58,15.91,15.46,15.76,184239.0
2024-04-11,15.73,15.89,15.51,15.79,101963.0
2024-04-12,15.76,16.0,15.71,15.84,101085.0
2024-04-15,15.96,16.03,15.5905,15.6,153574.0
2024-04-16,15.5,15.689,15.32,15.48,106932.0
2024-04-17,15.62,15.75,15.38,15.4,83967.0
2024-04-18,15.43,15.68,15.34,15.48,126171.0
2024-04-19,15.41,16.08,15.41,16.04,129288.0
2024-04-22,16.03,16.03,15.55,15.55,157507.0
2024-04-23,15.6,15.8286,15.5,15.51,128505.0
2024-04-24,15.45,15.51,15.37,15.45,135686.0
2024-04-25,15.33,16.14,15.32,16.12,185874.0
2024-04-26,16.2,16.29,15.8,15.91,100607.0
2024-04-29,15.89,16.165,15.7,15.75,118771.0
2024-04-30,15.6,15.665,15.37,15.44,123796.0
2024-05-01,15.41,15.91,15.41,15.61,127934.0
2024-05-02,15.8,16.08,15.73,15.94,129742.0
2024-05-03,16.0,16.0,15.51,15.56,99677.0
2024-05-06,15.7,15.79,15.56,15.58,121222.0
2024-05-07,15.52,15.68,15.38,15.39,156813.0
2024-05-08,15.27,15.3714,15.16,15.17,110316.0
2024-05-09,15.07,15.53,15.07,15.51,171754.0
2024-05-10,14.62,15.2194,14.1235,15.0,443956.0
2024-05-13,14.53,14.75,13.6028,14.01,505297.0
2024-05-14,14.12,14.2917,13.78,13.9,348247.0
2024-05-15,13.98,14.055,13.59,13.7,393583.0
2024-05-16,13.7,13.89,13.68,13.79,302828.0
2024-05-17,13.93,13.9399,13.64,13.8,172380.0
2024-05-20,13.59,13.79,13.56,13.58,378828.0
2024-05-21,13.59,13.69,13.33,13.49,309987.0
2024-05-22,13.47,14.95,13.47,14.64,407845.0
2024-05-23,14.97,15.0,14.3,14.39,262932.0
2024-05-24,14.74,14.905,14.65,14.84,192242.0
2024-05-28,14.86,15.24,14.86,15.13,228335.0
2024-05-29,14.83,15.06,14.7916,14.85,143139.0
2024-05-30,14.94,15.1,14.77,14.79,124383.0
2024-05-31,14.79,14.9869,14.555,14.61,118566.0
2024-06-03,14.56,14.7699,14.29,14.43,139078.0
2024-06-04,14.33,14.366,14.11,14.21,102895.0
2024-06-05,14.26,14.44,14.12,14.41,151852.0
2024-06-06,14.05,14.06,13.45,13.9,526652.0
2024-06-07,13.98,14.21,13.82,13.87,261820.0
2024-06-10,14.17,14.24,13.84,14.12,248014.0
2024-06-11,13.97,14.1659,13.89,13.99,248119.0
2024-06-12,14.13,14.2373,13.79,13.87,219933.0
