date,open,high,low,close,volume
2023-11-29,32.98,33.32,32.7501,33.32,6420.0
2023-11-30,33.32,33.32,32.97,32.97,4118.0
2023-12-01,33.2769,33.685,33.25,33.65,16936.0
2023-12-04,33.6,34.0,33.6,34.0,8868.0
2023-12-05,33.77,34.5,32.65,33.97,8581.0
2023-12-06,33.75,34.0,33.585,33.7,9591.0
2023-12-07,34.3327,34.3327,33.75,34.25,9164.0
2023-12-08,34.23,34.46,33.83,34.24,13243.0
2023-12-11,34.24,34.3,33.86,34.17,16848.0
2023-12-12,33.955,34.265,33.76,34.06,11676.0
2023-12-13,34.06,35.54,33.98,35.54,31523.0
2023-12-14,35.68,36.29,35.02,36.29,30252.0
2023-12-15,36.35,37.99,35.38,37.6,76606.0
2023-12-18,37.44,37.44,36.75,37.11,13861.0
2023-12-19,37.38,37.9199,37.1,37.38,14433.0
2023-12-20,37.88,38.195,37.1,37.42,23264.0
2023-12-21,37.74,37.82,36.6101,36.95,20358.0
2023-12-22,36.95,38.0935,36.39,37.45,9260.0
2023-12-26,37.93,37.93,37.3001,37.33,15487.0
2023-12-27,37.25,37.25,36.5,36.69,17393.0
2023-12-28,36.635,36.655,36.31,36.51,9766.0
2023-12-29,36.2501,36.28,35.9,35.9,7870.0
2024-01-02,36.2,36.49,35.42,36.25,36713.0
2024-01-03,36.25,36.25,35.56,35.56,13721.0
2024-01-04,35.56,36.03,35.0201,35.44,16473.0
2024-01-05,35.45,35.66,35.35,35.39,16903.0
2024-01-08,35.185,35.33,34.23,34.68,12930.0
2024-01-09,34.31,34.56,33.82,34.13,20332.0
2024-01-10,34.23,34.545,33.75,33.87,8667.0
2024-01-11,34.16,34.435,33.9,34.11,15515.0
2024-01-12,34.28,34.3,33.57,33.86,16846.0
2024-01-16,33.75,34.36,33.52,33.61,8887.0
2024-01-17,34.145,34.145,33.64,34.0,5028.0
2024-01-18,34.0,34.0,33.6415,34.0,7080.0
2024-01-19,34.0,34.49,33.5,34.49,6931.0
2024-01-22,34.49,34.49,34.0,34.49,6500.0
2024-01-23,34.73,34.73,34.05,34.33,11156.0
2024-01-24,34.55,34.6,34.48,34.5,7619.0
2024-01-25,34.9,34.9,33.58,34.24,12342.0
2024-01-26,33.99,34.2084,33.6,33.73,7237.0
2024-01-29,33.98,34.4899,32.73,33.14,23875.0
2024-01-30,32.53,33.135,32.53,33.07,8773.0
2024-01-31,32.91,33.55,32.66,32.66,12451.0
2024-02-01,32.8,32.8,31.61,32.04,20641.0
