date,open,high,low,close,volume
2023-11-28,0.1499,0.1499,0.1499,0.1499,100.0
2023-11-29,0.1499,0.1499,0.1499,0.1499,84.0
2023-11-30,0.1499,0.1499,0.1499,0.1499,4.0
2023-12-01,0.1,0.1,0.1,0.1,200.0
2023-12-04,0.1,0.1,0.1,0.1,200.0
2023-12-05,0.054,0.06,0.0389,0.0515,34103.0
2023-12-06,0.05,0.05,0.0387,0.0472,10303.0
2023-12-07,0.087,0.1,0.087,0.1,500.0
2023-12-08,0.0402,0.08,0.0402,0.08,2884.0
2023-12-11,0.08,0.08,0.08,0.08,0.0
2023-12-12,0.0654,0.0654,0.0654,0.0654,120.0
2023-12-13,0.0501,0.0663,0.0501,0.0663,1801.0
2023-12-14,0.0522,0.06,0.047,0.048,21933.0
2023-12-15,0.0499,0.05,0.048,0.05,11903.0
2023-12-18,0.05,0.05,0.048,0.048,17850.0
2023-12-19,0.0469,0.047,0.0469,0.047,256.0
2023-12-20,0.0474,0.0479,0.0474,0.0478,930.0
2023-12-21,0.048,0.085,0.048,0.05,12782.0
2023-12-22,0.048,0.048,0.042,0.042,52425.0
2023-12-26,0.043,0.085,0.043,0.073,3700.0
2023-12-27,0.0784,0.13,0.06,0.06,130100.0
2023-12-28,0.06,0.065,0.0519,0.052,34280.0
2023-12-29,0.05,0.1,0.0499,0.05,24008.0
2024-01-02,0.05,0.05,0.05,0.05,0.0
2024-01-03,0.05,0.05,0.05,0.05,0.0
2024-01-04,0.05,0.05,0.05,0.05,0.0
2024-01-05,0.0531,0.0533,0.0501,0.0501,3000.0
2024-01-08,0.05,0.1,0.05,0.1,10550.0
2024-01-09,0.0923,0.098,0.0923,0.098,850.0
2024-01-10,0.0411,0.0411,0.0411,0.0411,284.0
2024-01-11,0.09,0.1,0.09,0.1,1800.0
2024-01-12,0.079,0.08,0.079,0.08,7900.0
2024-01-16,0.08,0.08,0.08,0.08,0.0
2024-01-17,0.0725,0.0958,0.0725,0.0837,17300.0
2024-01-18,0.0837,0.0837,0.0837,0.0837,50.0
2024-01-19,0.0999,0.0999,0.0999,0.0999,400.0
2024-01-22,0.1084,0.1084,0.1005,0.1005,500.0
2024-01-23,0.109,0.11,0.1011,0.11,225086.0
2024-01-24,0.11,0.11,0.11,0.11,0.0
2024-01-25,0.125,0.1499,0.11,0.11,197673.0
2024-01-26,0.09,0.0939,0.09,0.0939,451.0
2024-01-29,0.0939,0.0939,0.0939,0.0939,0.0
2024-01-30,0.09,0.1399,0.0811,0.0811,62678.0
2024-01-31,0.09,0.09,0.081,0.09,4650.0
2024-02-01,0.09,0.09,0.09,0.09,0.0
2024-02-02,0.091,0.091,0.071,0.0711,62684.0
2024-02-05,0.0711,0.0711,0.0711,0.0711,154.0
2024-02-06,0.0898,0.09,0.0651,0.0651,28435.0
2024-02-07,0.0701,0.1299,0.0701,0.0801,36498.0
2024-02-08,0.13,0.14,0.0711,0.1,32356.0
2024-02-09,0.16,0.2,0.12,0.15,249166.0
2024-02-12,0.17,0.17,0.13,0.1404,288409.0
2024-02-13,0.1405,0.16,0.103,0.135,36419.0
2024-02-14,0.16,0.16,0.1275,0.1278,70937.0
2024-02-15,0.116,0.1479,0.104,0.104,116418.0
2024-02-16,0.1051,0.1197,0.084,0.0901,67942.0
2024-02-20,0.0888,0.13,0.0888,0.1,41044.0
2024-02-21,0.1199,0.1199,0.1,0.1025,14878.0
2024-02-22,0.1099,0.1199,0.105,0.11,224620.0
2024-02-23,0.1112,0.1144,0.111,0.1111,17357.0
2024-02-26,0.111,0.1178,0.111,0.1149,16703.0
2024-02-27,0.12,0.1234,0.12,0.1202,10224.0
2024-02-28,0.13,0.1601,0.1203,0.14,206813.0
2024-02-29,0.16,0.16,0.14,0.14,4413.0
2024-03-01,0.1401,0.1674,0.14,0.1501,217303.0
2024-03-04,0.1511,0.1699,0.14,0.1401,116032.0
2024-03-05,0.14,0.1413,0.14,0.14,11488.0
2024-03-06,0.14,0.15,0.14,0.15,41908.0
2024-03-07,0.151,0.1599,0.15,0.1549,4840.0
2024-03-08,0.15,0.155,0.15,0.1539,5346.0
2024-03-11,0.154,0.154,0.14,0.1401,34987.0
2024-03-12,0.14,0.155,0.14,0.155,99562.0
2024-03-13,0.14,0.155,0.14,0.155,9228.0
2024-03-14,0.1401,0.155,0.14,0.155,3101.0
2024-03-15,0.14,0.1549,0.14,0.14,1117.0
2024-03-18,0.1401,0.1501,0.14,0.14,25469.0
2024-03-19,0.1598,0.16,0.14,0.16,55676.0
2024-03-20,0.1501,0.1501,0.136,0.136,10360.0
2024-03-21,0.1361,0.14,0.136,0.136,1507.0
2024-03-22,0.131,0.1498,0.12,0.1384,72641.0
2024-03-25,0.1502,0.1502,0.1497,0.15,20785.0
2024-03-26,0.1498,0.165,0.121,0.1492,10128.0
2024-03-27,0.131,0.15,0.1297,0.131,228073.0
2024-03-28,0.14,0.1419,0.131,0.14,1559406.0
2024-04-01,0.15,0.15,0.15,0.15,6000.0
2024-04-02,0.1496,0.1496,0.1496,0.1496,130.0
2024-04-03,0.1496,0.1496,0.1496,0.1496,2.0
2024-04-04,0.11,0.14,0.11,0.14,13510.0
2024-04-05,0.12,0.14,0.11,0.14,9400.0
2024-04-08,0.14,0.14,0.14,0.14,1.0
2024-04-09,0.111,0.111,0.111,0.111,150.0
2024-04-10,0.14,0.1425,0.1201,0.1201,84303.0
2024-04-11,0.1229,0.1229,0.1229,0.1229,520.0
2024-04-12,0.123,0.123,0.123,0.123,376.0
2024-04-15,0.1263,0.1263,0.1263,0.1263,100.0
2024-04-16,0.125,0.17,0.115,0.1152,19579.0
