date,open,high,low,close,volume
2023-11-29,7.07,7.08,6.9,6.95,2303.0
2023-11-30,6.91,7.02,6.81,6.81,3524.0
2023-12-01,6.98,7.0,6.83,6.99,3594.0
2023-12-04,6.9999,7.01,6.87,6.9,33340.0
2023-12-05,6.85,6.93,6.84,6.92,15332.0
2023-12-06,6.9,6.9204,6.84,6.88,6808.0
2023-12-07,6.88,6.91,6.88,6.9,21714.0
2023-12-08,6.8501,6.9,6.8501,6.8972,7026.0
2023-12-11,6.9,6.99,6.9,6.99,16479.0
2023-12-12,6.88,6.92,6.66,6.66,18272.0
2023-12-13,6.9746,7.25,6.7247,7.03,19061.0
2023-12-14,7.02,7.85,7.02,7.6,27801.0
2023-12-15,7.39,7.84,7.39,7.65,8695.0
2023-12-18,7.65,7.72,7.61,7.65,8009.0
2023-12-19,7.75,8.3299,7.75,8.3299,10304.0
2023-12-20,8.13,8.13,7.96,7.96,16830.0
2023-12-21,7.867,8.2343,7.795,7.92,5944.0
2023-12-22,7.55,8.5899,7.55,8.34,9131.0
2023-12-26,7.975,8.3941,7.3701,8.15,9731.0
2023-12-27,7.56,8.1799,7.56,8.1,6171.0
2023-12-28,8.005,8.3782,7.9,8.04,10045.0
2023-12-29,7.98,8.05,7.7556,8.05,3952.0
2024-01-02,7.95,8.18,7.95,8.18,2208.0
2024-01-03,8.18,8.29,8.18,8.18,2675.0
2024-01-04,8.3147,8.3147,8.0321,8.18,3861.0
2024-01-05,8.04,8.2317,8.03,8.18,5713.0
2024-01-08,8.5179,8.5179,8.17,8.17,1689.0
2024-01-09,8.17,8.17,8.17,8.17,1.0
2024-01-10,8.27,8.27,8.0733,8.25,1692.0
2024-01-11,8.04,8.32,8.03,8.03,3430.0
2024-01-12,8.0617,8.18,8.01,8.18,4559.0
2024-01-16,8.135,8.25,8.13,8.215,15049.0
2024-01-17,8.2,8.25,8.02,8.25,4419.0
2024-01-18,8.2499,8.5899,8.245,8.27,7382.0
2024-01-19,8.25,8.375,8.25,8.27,496.0
2024-01-22,8.275,8.39,7.95,8.17,1367.0
2024-01-23,8.38,8.4,8.25,8.27,6865.0
2024-01-24,8.2,8.3,8.1999,8.1999,9607.0
2024-01-25,8.2999,8.3,8.1705,8.25,24378.0
2024-01-26,8.2,8.2,8.2,8.2,309.0
2024-01-29,8.2,8.2,8.2,8.2,143.0
2024-01-30,8.24,8.24,8.2,8.2,811.0
2024-01-31,8.18,8.27,8.05,8.05,4215.0
2024-02-01,8.05,8.05,8.05,8.05,120.0
2024-02-02,8.1,8.1603,8.06,8.14,17829.0
2024-02-05,8.14,8.14,8.08,8.08,3337.0
2024-02-06,8.09,8.24,8.09,8.24,2385.0
2024-02-07,7.9625,8.2,7.9625,8.2,4776.0
2024-02-08,8.12,8.12,8.01,8.01,5092.0
