date,open,high,low,close,volume
2023-11-29,173.03,175.68,171.47,171.52,1495158.0
2023-11-30,171.66,172.26,168.49,169.59,1408183.0
2023-12-01,170.28,176.24,168.55,174.06,1419960.0
2023-12-04,173.3,178.825,172.8,178.3,1375907.0
2023-12-05,176.69,176.69,173.76,175.51,813735.0
2023-12-06,177.01,178.89,175.62,176.22,983258.0
2023-12-07,176.41,177.83,173.21,174.08,1076750.0
2023-12-08,174.25,177.75,173.42,176.28,801912.0
2023-12-11,177.48,179.71,176.74,177.76,840813.0
2023-12-12,177.58,179.2,175.63,178.68,827558.0
2023-12-13,178.7,187.24,177.44,186.67,1417661.0
2023-12-14,189.31,192.92,187.01,187.9,1703488.0
2023-12-15,187.63,189.99,182.83,183.05,2204868.0
2023-12-18,184.0,184.69,180.83,181.83,1047289.0
2023-12-19,183.78,187.14,183.41,186.64,684991.0
2023-12-20,186.46,194.685,186.46,188.64,2044416.0
2023-12-21,190.28,192.97,190.0,190.48,967189.0
2023-12-22,189.82,193.77,189.0,191.83,766653.0
2023-12-26,191.47,197.24,191.47,195.89,1116806.0
2023-12-27,195.5,196.88,193.56,196.6,945877.0
2023-12-28,195.89,198.04,195.435,197.05,770129.0
2023-12-29,196.54,198.3,194.32,194.48,846358.0
2024-01-02,192.35,197.18,192.05,194.86,740900.0
2024-01-03,191.85,193.5,187.475,187.85,1323536.0
2024-01-04,189.41,191.14,187.87,188.15,863562.0
2024-01-05,187.47,192.53,187.39,190.05,778946.0
2024-01-08,190.45,194.89,189.85,193.95,758455.0
2024-01-09,192.8,197.69,191.86,196.69,671666.0
2024-01-10,196.97,198.61,195.05,196.9,661042.0
2024-01-11,196.22,196.6,192.57,194.95,810241.0
2024-01-12,195.9,197.975,191.74,191.76,745026.0
2024-01-16,190.47,193.4,189.3626,193.37,655656.0
2024-01-17,197.03,197.67,192.61,195.97,1208456.0
2024-01-18,196.13,197.765,193.74,195.71,790082.0
2024-01-19,196.12,197.31,193.17,194.8,946991.0
2024-01-22,195.43,196.98,194.125,195.78,1039811.0
2024-01-23,198.4,200.56,192.9,194.86,913421.0
2024-01-24,196.36,196.4,190.6,190.83,905299.0
2024-01-25,192.76,197.205,192.535,197.05,766061.0
2024-01-26,197.74,198.82,195.505,198.02,656532.0
2024-01-29,198.68,199.94,196.855,198.4,779317.0
2024-01-30,197.11,197.73,194.71,197.11,564198.0
2024-01-31,196.93,197.22,190.17,191.15,834563.0
