date,open,high,low,close,volume
2023-11-29,2.95,2.99,2.91,2.95,67963.0
2023-11-30,2.99,3.0,2.93,2.97,177004.0
2023-12-01,2.99,3.0499,2.9,2.96,159832.0
2023-12-04,2.99,3.25,2.99,3.17,282758.0
2023-12-05,3.17,3.3,3.09,3.3,198272.0
2023-12-06,3.35,3.53,3.25,3.34,337873.0
2023-12-07,3.33,3.48,3.3101,3.42,142323.0
2023-12-08,3.4,3.7,3.375,3.69,241880.0
2023-12-11,3.71,3.9099,3.2446,3.61,464412.0
2023-12-12,3.56,4.1499,3.5315,3.88,530905.0
2023-12-13,3.94,4.2,3.905,4.16,568576.0
2023-12-14,4.24,4.36,4.01,4.24,361468.0
2023-12-15,4.26,4.42,4.17,4.34,493300.0
2023-12-18,4.35,4.59,4.12,4.25,476918.0
2023-12-19,4.28,4.33,4.05,4.23,251733.0
2023-12-20,4.24,4.4785,4.15,4.36,397000.0
2023-12-21,4.37,4.56,4.37,4.47,158967.0
2023-12-22,4.45,4.5793,4.35,4.45,217453.0
2023-12-26,4.45,4.8471,4.4,4.8,345309.0
2023-12-27,4.73,5.14,4.73,5.08,401824.0
2023-12-28,5.04,5.173,4.81,4.945,204013.0
2023-12-29,4.95,5.0,4.79,4.89,162195.0
2024-01-02,4.89,5.3501,4.791,5.12,327098.0
2024-01-03,5.12,5.35,5.06,5.19,203998.0
2024-01-04,5.13,5.48,5.05,5.3,499768.0
2024-01-05,5.27,5.46,5.13,5.43,257958.0
2024-01-08,5.43,5.47,5.2,5.35,252261.0
2024-01-09,5.28,5.39,5.08,5.25,234789.0
2024-01-10,5.26,5.3,5.04,5.22,142066.0
2024-01-11,5.24,5.24,4.58,4.6,505628.0
2024-01-12,4.5,4.64,4.405,4.42,295780.0
2024-01-16,4.44,4.45,4.14,4.2,370940.0
2024-01-17,4.14,4.23,3.88,4.19,391215.0
2024-01-18,4.22,4.292,3.97,4.13,230573.0
2024-01-19,4.16,4.16,3.94,4.03,137476.0
2024-01-22,4.11,4.24,4.02,4.15,171316.0
2024-01-23,4.16,4.29,4.08,4.13,100781.0
2024-01-24,4.22,4.49,4.03,4.08,346586.0
2024-01-25,4.09,4.1,3.96,4.1,60222.0
2024-01-26,4.15,4.2188,3.99,4.05,79004.0
2024-01-29,4.05,4.18,4.0,4.1,152790.0
2024-01-30,4.07,4.09,4.0,4.07,93595.0
2024-01-31,4.05,4.18,4.0,4.04,169164.0
2024-02-01,4.03,4.17,4.0,4.07,136033.0
2024-02-02,4.04,4.08,3.91,3.965,145358.0
2024-02-05,3.98,4.02,3.8201,3.9,180138.0
2024-02-06,3.85,4.02,3.85,3.99,139246.0
2024-02-07,3.97,4.01,3.86,3.91,110350.0
2024-02-08,3.96,4.08,3.88,3.98,125282.0
2024-02-09,3.99,4.06,3.8,3.91,332688.0
2024-02-12,3.88,4.06,3.82,3.99,64907.0
2024-02-13,3.93,3.975,3.82,3.83,108083.0
2024-02-14,3.82,3.93,3.76,3.88,160321.0
2024-02-15,3.88,3.905,3.74,3.77,78997.0
2024-02-16,3.7,3.8,3.56,3.61,287677.0
2024-02-20,3.66,3.85,3.63,3.84,184339.0
2024-02-21,3.85,3.93,3.78,3.86,102104.0
2024-02-22,3.92,3.96,3.81,3.88,130345.0
2024-02-23,3.85,4.12,3.85,3.91,266445.0
2024-02-26,3.93,4.01,3.87,3.96,76451.0
2024-02-27,4.06,4.6121,4.06,4.34,448178.0
2024-02-28,4.52,4.6,4.19,4.33,142643.0
2024-02-29,4.43,4.482,4.1,4.2,192285.0
2024-03-01,4.43,4.6899,4.21,4.565,385261.0
2024-03-04,4.74,4.78,4.57,4.67,203980.0
2024-03-05,4.65,5.0284,4.64,4.955,272837.0
2024-03-06,5.22,5.28,4.96,5.185,343175.0
2024-03-07,5.24,5.26,4.86,5.04,275251.0
2024-03-08,4.98,5.89,4.97,5.89,718542.0
2024-03-11,6.11,6.19,5.69,5.8,656119.0
2024-03-12,5.79,5.9538,5.5,5.9,306883.0
2024-03-13,5.9,6.05,5.79,5.94,162782.0
2024-03-14,5.94,6.3595,5.83,6.17,281217.0
2024-03-15,6.2,6.6755,6.07,6.39,500983.0
2024-03-18,6.4,6.91,6.1001,6.76,527162.0
2024-03-19,6.78,7.22,6.67,6.79,926951.0
2024-03-20,6.72,6.93,6.45,6.85,399149.0
2024-03-21,6.92,7.04,6.72,6.88,415905.0
2024-03-22,6.75,6.7564,5.8,6.38,744570.0
2024-03-25,6.41,6.66,5.96,6.63,444690.0
2024-03-26,6.66,6.68,6.21,6.31,336707.0
2024-03-27,6.29,7.04,6.19,6.77,382715.0
2024-03-28,6.74,6.935,6.6,6.79,185085.0
2024-04-01,6.79,7.28,6.73,7.095,413944.0
2024-04-02,6.97,7.065,6.85,6.89,189417.0
2024-04-03,6.94,7.07,6.64,6.8,165605.0
2024-04-04,6.79,7.0,6.69,6.7,238294.0
2024-04-05,6.7,6.82,6.51,6.72,269154.0
2024-04-08,6.72,6.8,6.54,6.58,121798.0
2024-04-09,6.55,6.76,6.45,6.6,225826.0
2024-04-10,6.57,6.71,6.06,6.3,311458.0
2024-04-11,6.28,6.47,6.01,6.23,372874.0
2024-04-12,6.11,6.29,6.03,6.25,166012.0
2024-04-15,6.27,6.33,5.65,5.86,344673.0
2024-04-16,5.77,6.03,5.69,5.93,276550.0
2024-04-17,5.98,6.05,5.44,5.55,484149.0
2024-04-18,5.6,5.65,4.685,5.05,935721.0
2024-04-19,5.0,5.28,4.87,5.01,354057.0
2024-04-22,4.99,5.11,4.92,4.94,357005.0
2024-04-23,4.9,5.02,4.7,4.82,478470.0
2024-04-24,5.26,5.6463,5.0,5.04,919728.0
2024-04-25,5.06,5.24,4.91,5.15,388133.0
2024-04-26,5.14,5.49,5.12,5.41,639212.0
2024-04-29,5.65,5.682,5.27,5.33,448901.0
2024-04-30,5.28,5.4788,5.16,5.27,248659.0
2024-05-01,5.28,5.44,5.24,5.33,171035.0
2024-05-02,5.4,5.4,5.18,5.24,210194.0
2024-05-03,5.28,5.7799,5.28,5.47,259837.0
2024-05-06,5.47,5.57,5.45,5.53,141068.0
2024-05-07,5.58,5.68,5.41,5.46,362751.0
2024-05-08,5.36,5.477,5.25,5.37,196232.0
2024-05-09,5.36,5.49,5.3301,5.42,111219.0
2024-05-10,5.42,5.5,5.23,5.3,233835.0
2024-05-13,5.34,5.44,5.261,5.44,193872.0
2024-05-14,5.13,5.47,5.0,5.2,667284.0
2024-05-15,5.21,5.47,5.21,5.33,284300.0
