date,open,high,low,close,volume
2023-11-29,10.55,10.88,10.5,10.69,104064.0
2023-11-30,10.81,10.85,10.66,10.73,40695.0
2023-12-01,10.85,11.25,10.71,11.05,65781.0
2023-12-04,11.01,11.43,11.01,11.4,58764.0
2023-12-05,11.31,11.5,11.25,11.27,39253.0
2023-12-06,11.31,11.64,11.21,11.24,52278.0
2023-12-07,11.2,11.58,11.2,11.46,33181.0
2023-12-08,11.475,11.69,11.46,11.58,15226.0
2023-12-11,11.64,11.74,11.55,11.62,31974.0
2023-12-12,11.7,11.83,11.58,11.7,30569.0
2023-12-13,11.76,12.38,11.72,12.19,156148.0
2023-12-14,12.0,12.74,11.99,12.43,150525.0
2023-12-15,12.49,12.97,12.4,12.72,143005.0
2023-12-18,12.8,12.95,12.52,12.77,76300.0
2023-12-19,12.77,13.2399,12.7501,13.11,78774.0
2023-12-20,13.02,13.58,12.95,12.99,91951.0
2023-12-21,13.14,13.39,12.87,13.1,56782.0
2023-12-22,13.14,13.3129,13.01,13.2,31567.0
2023-12-26,13.19,13.43,13.11,13.31,26913.0
2023-12-27,13.27,13.4,13.2,13.33,51243.0
2023-12-28,13.43,13.43,13.2584,13.33,19533.0
2023-12-29,13.24,13.41,13.15,13.3,31985.0
2024-01-02,13.14,13.42,12.98,13.1,92079.0
2024-01-03,13.13,13.13,12.875,12.92,81229.0
2024-01-04,12.92,13.09,12.88,12.97,35113.0
2024-01-05,12.91,13.385,12.9,13.15,126826.0
2024-01-08,13.15,13.24,13.0,13.04,27791.0
2024-01-09,12.91,13.08,12.85,12.9,30782.0
2024-01-10,12.88,12.92,12.64,12.83,53315.0
2024-01-11,12.8,13.05,12.56,12.71,37594.0
2024-01-12,12.79,12.95,12.51,12.66,20364.0
2024-01-16,12.59,12.75,12.4113,12.45,34754.0
2024-01-17,12.31,12.61,12.28,12.36,35827.0
2024-01-18,12.45,12.59,12.34,12.38,28159.0
2024-01-19,12.46,12.48,12.31,12.4,23328.0
2024-01-22,12.4,13.13,12.4,13.03,82208.0
2024-01-23,13.16,13.16,12.9,12.9,32572.0
2024-01-24,12.8101,13.35,12.8101,13.07,27800.0
2024-01-25,13.24,13.26,12.6297,13.1,20583.0
2024-01-26,13.25,13.25,12.98,13.15,10106.0
2024-01-29,13.01,13.4299,12.8,12.85,81762.0
2024-01-30,12.85,13.05,12.85,12.93,30602.0
2024-01-31,12.81,12.91,12.23,12.23,41401.0
2024-02-01,12.3,12.32,11.73,11.94,71373.0
2024-02-02,11.79,12.03,11.742,11.85,41038.0
2024-02-05,11.75,11.89,11.68,11.83,83934.0
2024-02-06,11.72,11.8,11.55,11.64,28862.0
2024-02-07,11.61,11.67,11.35,11.47,36240.0
2024-02-08,11.4877,11.51,11.36,11.4,22597.0
2024-02-09,11.38,11.57,11.175,11.52,32301.0
2024-02-12,11.5,11.8,11.5,11.74,45602.0
2024-02-13,11.5,11.635,10.91,10.95,51382.0
2024-02-14,11.04,11.19,10.92,11.19,31014.0
2024-02-15,11.29,11.71,11.19,11.68,38074.0
2024-02-16,11.59,11.73,11.51,11.56,29733.0
2024-02-20,11.41,11.75,11.41,11.47,30174.0
2024-02-21,11.45,11.51,11.1,11.22,51580.0
2024-02-22,11.16,11.26,10.8855,11.1,35076.0
2024-02-23,11.01,11.31,10.93,11.21,139575.0
2024-02-26,11.1,11.47,11.1,11.15,25573.0
2024-02-27,11.29,11.35,11.21,11.25,19474.0
2024-02-28,11.16,11.38,10.88,10.95,88038.0
2024-02-29,11.19,11.5,11.07,11.34,34572.0
2024-03-01,11.28,11.3,11.02,11.15,28537.0
2024-03-04,11.27,11.315,11.04,11.2,16270.0
2024-03-05,11.01,11.49,11.01,11.34,16879.0
2024-03-06,11.49,11.5,11.04,11.28,23050.0
2024-03-07,11.43,11.44,11.05,11.14,31805.0
2024-03-08,11.31,11.31,10.99,11.11,32065.0
2024-03-11,11.12,11.24,11.03,11.07,38768.0
2024-03-12,11.0,11.11,10.93,11.02,19621.0
2024-03-13,11.09,11.17,10.9609,11.03,30038.0
2024-03-14,10.95,11.11,10.76,10.83,28153.0
2024-03-15,10.76,10.95,10.49,10.76,86312.0
2024-03-18,10.77,10.8,10.6,10.63,22284.0
2024-03-19,10.65,10.73,10.52,10.69,28052.0
2024-03-20,10.69,11.23,10.51,11.14,70557.0
2024-03-21,11.29,11.39,11.16,11.27,44725.0
2024-03-22,11.33,11.33,11.09,11.19,28043.0
2024-03-25,11.23,11.32,11.03,11.04,21928.0
2024-03-26,11.01,11.25,10.85,10.9,33494.0
2024-03-27,10.84,11.2,10.84,11.16,44028.0
2024-03-28,11.1,11.63,11.1,11.5,27728.0
2024-04-01,11.49,11.58,11.13,11.15,20805.0
2024-04-02,11.05,11.18,10.795,10.9,31203.0
2024-04-03,10.83,11.01,10.83,10.94,19907.0
2024-04-04,11.09,11.23,10.79,10.79,21628.0
2024-04-05,10.8242,10.92,10.7,10.85,18985.0
2024-04-08,10.99,11.065,10.8,10.875,37005.0
2024-04-09,10.96,11.075,10.81,10.95,16477.0
2024-04-10,10.79,10.83,10.53,10.72,49631.0
2024-04-11,10.72,10.785,10.55,10.63,30918.0
2024-04-12,10.5,10.75,10.5,10.57,17765.0
2024-04-15,10.55,10.695,10.4,10.58,32977.0
2024-04-16,10.6,10.76,10.4,10.59,36418.0
2024-04-17,10.585,10.65,10.48,10.53,15840.0
2024-04-18,10.52,10.67,10.33,10.45,39146.0
2024-04-19,10.42,10.68,10.33,10.63,35912.0
2024-04-22,10.69,10.9288,10.52,10.7,17648.0
2024-04-23,10.89,10.96,10.73,10.8,13240.0
2024-04-24,10.65,10.96,10.6,10.76,43662.0
2024-04-25,10.83,10.92,10.68,10.85,28919.0
2024-04-26,10.97,10.9764,10.74,10.8,19703.0
2024-04-29,10.78,11.32,10.7443,11.07,27081.0
2024-04-30,10.93,11.15,10.675,10.87,43719.0
2024-05-01,10.88,11.11,10.88,10.98,25897.0
2024-05-02,10.97,11.405,10.97,11.2,30783.0
2024-05-03,11.31,11.7,11.2,11.3,37235.0
2024-05-06,11.25,11.52,11.2087,11.38,26975.0
2024-05-07,11.3097,11.53,11.25,11.25,19471.0
2024-05-08,11.26,11.34,11.25,11.29,13818.0
2024-05-09,11.3,11.44,11.21,11.3,33118.0
2024-05-10,11.39,11.48,11.245,11.4,20280.0
2024-05-13,11.47,11.6,11.35,11.44,18074.0
2024-05-14,11.59,11.68,11.43,11.61,24952.0
2024-05-15,11.71,11.98,11.51,11.93,35538.0
2024-05-16,12.0,12.0,11.8,11.9,43947.0
2024-05-17,12.01,12.01,11.82,11.91,26445.0
2024-05-20,11.94,12.18,11.83,11.91,22137.0
2024-05-21,11.95,12.06,11.79,11.88,23654.0
2024-05-22,11.9,12.225,11.88,12.1,37136.0
2024-05-23,12.12,12.17,11.7604,11.89,34597.0
2024-05-24,12.0,12.0,11.81,11.85,31841.0
2024-05-28,11.92,12.06,11.8,11.86,35185.0
2024-05-29,11.73,11.93,11.59,11.8,50800.0
2024-05-30,11.97,12.15,11.783,11.98,26709.0
2024-05-31,12.17,12.17,12.02,12.08,13855.0
2024-06-03,12.23,12.23,11.875,11.94,14439.0
2024-06-04,11.93,12.12,11.77,11.87,32627.0
2024-06-05,11.9,12.05,11.8,11.88,19941.0
2024-06-06,11.81,12.0,11.74,11.96,34619.0
2024-06-07,11.92,11.97,11.75,11.75,27404.0
2024-06-10,11.66,11.8,11.51,11.6,21780.0
2024-06-11,11.62,11.64,11.3056,11.51,30113.0
2024-06-12,11.83,12.44,11.83,11.84,34952.0
2024-06-13,11.765,11.83,11.7,11.81,11745.0
2024-06-14,11.7,12.0,11.62,11.75,27511.0
2024-06-17,11.74,11.88,11.26,11.47,95971.0
2024-06-18,11.6,11.73,11.4493,11.51,37015.0
2024-06-20,11.39,11.69,11.39,11.47,23514.0
2024-06-21,11.52,11.52,11.3,11.37,54948.0
2024-06-24,11.48,11.98,11.48,11.9,22245.0
2024-06-25,11.89,11.94,11.77,11.81,16968.0
2024-06-26,11.76,11.93,11.71,11.8,29407.0
2024-06-27,11.87,12.15,11.83,12.14,26325.0
2024-06-28,12.26,12.5,12.21,12.25,203178.0
2024-07-01,12.31,12.46,12.06,12.15,33587.0
2024-07-02,12.27,12.4,12.21,12.24,18939.0
2024-07-03,12.28,12.32,12.16,12.2,11256.0
2024-07-05,12.2,12.25,11.93,12.01,57553.0
2024-07-08,12.16,12.27,12.11,12.13,27254.0
2024-07-09,12.15,12.2799,12.0,12.15,24012.0
2024-07-10,12.18,12.48,12.13,12.48,30597.0
2024-07-11,12.65,13.3,12.65,13.26,58514.0
2024-07-12,13.3,13.33,12.7169,13.28,48381.0
2024-07-15,13.43,13.5,13.19,13.35,79835.0
2024-07-16,13.45,13.705,13.45,13.65,111951.0
2024-07-17,13.62,13.78,13.55,13.7,86050.0
2024-07-18,13.59,13.88,13.55,13.65,62097.0
2024-07-19,13.65,13.96,13.55,13.55,34192.0
2024-07-22,13.59,13.75,13.48,13.7,80122.0
2024-07-23,13.68,13.87,13.52,13.8,172049.0
2024-07-24,13.78,14.08,13.78,14.0,154467.0
2024-07-25,14.26,14.38,14.01,14.16,234444.0
2024-07-26,14.35,15.56,14.345,15.45,159645.0
2024-07-29,15.56,15.56,15.17,15.26,63957.0
2024-07-30,15.37,15.8,15.2,15.6,94646.0
2024-07-31,15.7,15.76,15.48,15.53,124059.0
2024-08-01,15.59,15.74,14.355,14.55,103765.0
2024-08-02,14.1,14.26,13.79,13.96,51856.0
2024-08-05,13.41,13.63,13.22,13.32,64796.0
2024-08-06,13.29,13.51,13.12,13.3,42745.0
2024-08-07,13.35,13.56,13.017,13.09,34898.0
2024-08-08,13.485,13.485,13.15,13.25,31667.0
2024-08-09,13.28,13.43,13.07,13.14,28177.0
2024-08-12,13.14,13.27,13.0,13.12,37997.0
2024-08-13,13.22,13.53,13.02,13.49,35896.0
2024-08-14,13.51,13.72,13.43,13.7,65551.0
2024-08-15,13.91,14.3,13.885,13.99,55394.0
2024-08-16,13.99,14.525,13.99,14.34,54764.0
2024-08-19,14.4,14.65,14.27,14.44,51218.0
2024-08-20,14.47,14.47,14.14,14.15,44659.0
2024-08-21,14.2,14.3899,14.05,14.08,42428.0
2024-08-22,14.3,14.36,14.06,14.18,32125.0
2024-08-23,14.46,15.16,14.29,14.9,41423.0
2024-08-26,15.12,15.31,14.825,14.87,40666.0
2024-08-27,14.82,14.99,14.5901,14.85,38473.0
2024-08-28,14.85,14.97,14.79,14.83,28529.0
2024-08-29,14.98,15.15,14.79,14.94,22925.0
2024-08-30,15.565,15.565,14.92,15.01,20545.0
2024-09-03,14.9,15.16,14.86,14.94,28615.0
2024-09-04,14.95,15.3768,14.7194,14.88,34163.0
2024-09-05,14.99,15.16,14.73,14.83,25208.0
2024-09-06,14.895,15.04,14.62,14.73,39148.0
2024-09-09,14.78,15.025,14.78,14.81,40516.0
2024-09-10,14.81,15.19,14.7,14.98,45713.0
2024-09-11,14.865,14.99,14.69,14.92,33257.0
2024-09-12,15.04,15.09,14.86,14.97,28132.0
2024-09-13,15.18,15.47,14.96,15.37,47165.0
2024-09-16,15.43,15.758,15.315,15.51,26791.0
2024-09-17,15.69,15.8,15.475,15.5,39870.0
2024-09-18,15.46,15.885,15.35,15.5,57545.0
2024-09-19,15.84,15.96,15.47,15.845,36877.0
2024-09-20,15.7,15.85,15.38,15.53,130920.0
2024-09-23,15.57,15.6,15.37,15.38,30026.0
2024-09-24,15.45,15.59,15.29,15.29,26796.0
2024-09-25,15.25,15.3,15.07,15.16,25546.0
2024-09-26,15.32,15.42,15.08,15.16,37476.0
2024-09-27,15.33,15.41,15.15,15.235,19229.0
2024-09-30,15.22,15.65,15.22,15.52,26937.0
2024-10-01,15.39,15.47,15.04,15.16,38156.0
2024-10-02,15.25,15.29,14.91,14.94,25180.0
2024-10-03,14.96,15.0,14.66,14.83,20873.0
2024-10-04,15.03,15.26,14.97,15.01,21125.0
2024-10-07,14.96,15.19,14.87,15.0,15328.0
2024-10-08,15.09,15.3512,14.88,14.95,21817.0
2024-10-09,15.01,15.25,14.91,15.01,15785.0
2024-10-10,14.9,15.03,14.88,14.99,19616.0
2024-10-11,15.18,15.51,15.0,15.33,23445.0
2024-10-14,15.44,15.72,15.25,15.5,18841.0
2024-10-15,15.625,15.85,15.56,15.6,34793.0
2024-10-16,15.78,15.9,15.75,15.79,25705.0
2024-10-17,15.89,15.89,15.75,15.845,19200.0
2024-10-18,15.92,15.92,15.58,15.67,60901.0
2024-10-21,15.63,15.8,15.19,15.19,22598.0
2024-10-22,15.225,15.31,15.07,15.23,17198.0
2024-10-23,15.28,15.42,15.05,15.4,14509.0
2024-10-24,16.06,16.06,15.015,15.12,34914.0
2024-10-25,15.24,15.24,14.85,14.85,16532.0
2024-10-28,14.93,15.06,14.895,14.91,23079.0
