date,open,high,low,close,volume
2023-11-29,57.98,58.1,57.015,57.24,144829.0
2023-11-30,57.31,57.98,57.195,57.89,244118.0
2023-12-01,57.71,58.47,57.45,58.43,216117.0
2023-12-04,58.3,59.27,58.3,59.25,174904.0
2023-12-05,59.26,59.26,58.25,58.72,191343.0
2023-12-06,59.0,59.68,58.01,58.05,164996.0
2023-12-07,58.15,58.25,57.58,57.84,150332.0
2023-12-08,57.68,58.22,57.44,58.22,178662.0
2023-12-11,58.41,58.95,58.09,58.46,171939.0
2023-12-12,58.7,59.19,57.7924,59.07,130267.0
2023-12-13,59.24,60.63,59.05,60.29,232694.0
2023-12-14,61.2,61.43,60.48,61.19,305089.0
2023-12-15,61.32,61.5499,60.53,61.3,523750.0
2023-12-18,61.7,62.27,61.295,61.67,344245.0
2023-12-19,61.85,62.21,61.71,61.82,360213.0
2023-12-20,61.8,62.52,61.5,61.79,320584.0
2023-12-21,62.16,62.42,62.01,62.07,352460.0
2023-12-22,62.45,62.99,62.2,62.65,329726.0
2023-12-26,62.67,63.0,62.3,62.53,136663.0
2023-12-27,62.45,62.933,62.21,62.76,185215.0
2023-12-28,62.69,63.115,62.56,62.6,118294.0
2023-12-29,62.39,62.785,62.385,62.59,176973.0
2024-01-02,61.72,62.6,61.42,61.88,314183.0
2024-01-03,61.57,61.72,60.76,60.87,321109.0
2024-01-04,61.0,61.42,60.9,61.05,169288.0
2024-01-05,60.74,61.29,60.59,60.7,291049.0
2024-01-08,60.81,61.5,60.655,61.44,197357.0
2024-01-09,60.89,61.41,60.64,61.38,188778.0
2024-01-10,61.22,62.38,61.15,62.23,358002.0
2024-01-11,62.17,62.78,61.77,62.2,358305.0
2024-01-12,62.75,63.2,62.415,63.09,219898.0
2024-01-16,62.68,63.38,62.68,62.8,237573.0
2024-01-17,62.31,62.9,62.31,62.69,167433.0
2024-01-18,62.95,62.95,62.095,62.84,193569.0
2024-01-19,63.06,63.58,62.63,63.45,282329.0
2024-01-22,63.97,64.96,63.94,64.9,257779.0
2024-01-23,65.32,65.49,64.5949,64.81,187731.0
2024-01-24,65.39,65.39,64.63,64.84,156930.0
2024-01-25,65.4,65.46,64.44,64.6,183437.0
2024-01-26,65.07,65.44,64.87,65.13,250070.0
2024-01-29,64.93,65.69,64.91,65.51,151788.0
2024-01-30,65.43,66.15,65.38,65.6,600715.0
2024-01-31,65.79,65.79,63.54,63.66,251572.0
2024-02-01,63.78,64.69,63.575,64.69,200104.0
2024-02-02,64.15,64.57,64.02,64.11,124125.0
2024-02-05,63.86,64.25,63.32,63.95,157429.0
2024-02-06,63.84,65.48,63.84,65.24,308358.0
2024-02-07,65.24,65.94,64.9426,65.14,240065.0
2024-02-08,64.88,65.9,64.69,65.13,334541.0
2024-02-09,65.45,66.23,65.26,66.07,192899.0
2024-02-12,66.13,66.85,66.12,66.46,185892.0
2024-02-13,65.68,65.76,63.07,63.35,266918.0
2024-02-14,64.06,64.785,63.6,64.73,507338.0
2024-02-15,65.77,70.36,65.57,70.35,606272.0
2024-02-16,70.59,73.98,70.1455,71.55,672933.0
2024-02-20,70.65,72.61,70.65,72.35,303547.0
2024-02-21,72.26,72.91,72.18,72.72,352950.0
2024-02-22,72.94,75.0712,72.94,74.8,701453.0
2024-02-23,74.99,75.825,74.87,75.47,405378.0
2024-02-26,75.5,75.9,75.4,75.65,205067.0
2024-02-27,75.73,76.435,75.485,76.22,234688.0
2024-02-28,76.22,76.69,75.03,75.28,282388.0
2024-02-29,75.52,75.81,74.49,75.53,240394.0
2024-03-01,75.32,76.37,74.88,75.89,397505.0
2024-03-04,75.79,77.87,75.56,77.2,278579.0
2024-03-05,77.08,77.905,75.24,75.56,377369.0
2024-03-06,76.11,76.27,74.79,75.23,286743.0
2024-03-07,75.9,76.406,75.475,76.15,318618.0
2024-03-08,76.73,77.37,76.4725,76.6,271931.0
2024-03-11,76.16,76.16,74.25,74.29,319782.0
2024-03-12,74.55,75.37,74.195,74.73,317923.0
2024-03-13,74.6,75.08,73.47,73.83,503561.0
2024-03-14,73.96,74.66,73.86,74.57,460391.0
2024-03-15,74.26,75.21,74.19,75.18,954971.0
2024-03-18,75.38,76.37,75.07,76.0,503491.0
2024-03-19,76.0,77.2,75.26,77.03,487267.0
2024-03-20,77.19,77.21,76.355,76.68,294023.0
2024-03-21,76.98,78.53,76.78,78.11,259430.0
2024-03-22,78.36,78.415,77.28,77.39,240248.0
2024-03-25,77.52,77.93,77.1,77.82,183946.0
2024-03-26,78.02,78.43,77.775,78.05,319139.0
2024-03-27,78.59,78.9097,77.3,78.05,342087.0
