date,open,high,low,close,volume
2023-11-29,5.09,5.25,5.0,5.0,26477.0
2023-11-30,5.1,5.51,5.1,5.35,10681.0
2023-12-01,5.22,5.84,5.22,5.84,31067.0
2023-12-04,5.61,5.83,5.61,5.61,7509.0
2023-12-05,5.77,6.1958,5.73,5.94,18120.0
2023-12-06,5.72,6.19,5.67,6.13,21204.0
2023-12-07,6.29,6.29,5.94,6.06,7253.0
2023-12-08,5.9597,6.47,5.9597,6.35,17544.0
2023-12-11,6.35,6.81,6.35,6.6,12258.0
2023-12-12,6.94,6.94,5.46,5.82,22187.0
2023-12-13,5.95,5.95,5.52,5.52,6044.0
2023-12-14,5.5,5.8805,5.5,5.7,7722.0
2023-12-15,5.97,5.9999,5.93,5.93,1308.0
2023-12-18,5.7,6.0,5.7,5.79,4115.0
2023-12-19,5.7,5.855,5.7,5.75,5985.0
2023-12-20,5.7,5.7708,5.55,5.76,4673.0
2023-12-21,5.96,5.96,5.5501,5.6899,6793.0
2023-12-22,5.57,5.89,5.57,5.88,6559.0
2023-12-26,5.92,5.94,5.5936,5.8798,5834.0
2023-12-27,5.5801,5.95,5.5801,5.8,1989.0
2023-12-28,5.775,5.92,5.75,5.92,3654.0
2023-12-29,6.0,6.0,5.6,5.75,6142.0
2024-01-02,5.75,5.8,5.665,5.8,2248.0
2024-01-03,5.78,5.89,5.78,5.89,1298.0
2024-01-04,5.75,5.85,5.75,5.85,1610.0
2024-01-05,5.83,6.2967,5.57,5.74,17859.0
2024-01-08,5.92,5.92,5.7,5.785,1737.0
2024-01-09,5.7,5.86,5.58,5.73,9080.0
2024-01-10,5.73,5.73,5.7,5.7101,1812.0
2024-01-11,5.7,5.8,5.61,5.61,3718.0
2024-01-12,5.89,6.0,5.74,5.84,7461.0
2024-01-16,5.6,5.64,5.57,5.64,3404.0
2024-01-17,5.6,5.9,5.43,5.43,16686.0
2024-01-18,5.3,5.54,5.3,5.3179,3130.0
2024-01-19,5.1,5.155,4.9,5.155,1654.0
2024-01-22,5.32,5.37,5.18,5.18,1481.0
2024-01-23,5.07,5.07,4.9501,4.9501,1831.0
2024-01-24,5.05,5.3454,5.0029,5.27,4285.0
2024-01-25,5.5918,5.69,5.27,5.53,9249.0
2024-01-26,5.45,5.6199,5.45,5.53,3247.0
2024-01-29,5.59,5.59,5.3,5.3,1100.0
2024-01-30,5.31,5.35,5.13,5.2,7450.0
2024-01-31,5.19,5.4499,5.19,5.21,4519.0
2024-02-01,5.39,5.43,5.29,5.43,1817.0
2024-02-02,5.37,5.6,5.37,5.49,13661.0
2024-02-05,5.5,5.5,5.4,5.4,7474.0
2024-02-06,5.59,5.7,5.2401,5.48,9492.0
2024-02-07,5.34,5.64,5.34,5.58,733.0
2024-02-08,5.6,5.6,5.33,5.5999,1900.0
2024-02-09,5.6,5.6,5.6,5.6,1649.0
2024-02-12,5.79,5.79,5.37,5.37,2105.0
2024-02-13,5.43,5.7,5.1673,5.21,5443.0
2024-02-14,5.4,5.4,5.25,5.39,1902.0
2024-02-15,5.39,5.39,5.39,5.39,151.0
2024-02-16,5.3093,5.3955,5.3093,5.3955,3276.0
2024-02-20,5.35,5.4,5.04,5.34,12774.0
2024-02-21,5.2861,5.34,5.19,5.3,8899.0
2024-02-22,5.1,5.1,4.72,4.98,9657.0
2024-02-23,4.63,4.99,4.475,4.86,10569.0
2024-02-26,4.9,5.11,4.7,4.96,7883.0
2024-02-27,5.2,5.4379,5.1225,5.1816,2764.0
2024-02-28,5.2,5.2,5.02,5.05,1260.0
2024-02-29,4.97,5.33,4.97,5.2,3224.0
2024-03-01,5.1497,5.1497,4.91,4.91,9064.0
2024-03-04,4.99,5.8,4.99,5.32,15718.0
2024-03-05,5.185,5.77,5.185,5.65,22270.0
2024-03-06,5.65,5.95,5.1202,5.51,12791.0
2024-03-07,5.6441,6.3,5.5957,6.1,20981.0
2024-03-08,6.1,6.15,5.88,6.05,21533.0
2024-03-11,5.47,6.17,5.4,5.67,23859.0
2024-03-12,5.72,5.7794,5.4,5.52,4819.0
2024-03-13,5.72,6.1,5.72,5.95,22370.0
2024-03-14,5.71,5.88,5.36,5.58,13224.0
2024-03-15,5.64,5.73,5.35,5.65,22477.0
2024-03-18,5.65,6.25,5.6499,5.79,30124.0
2024-03-19,5.67,6.03,5.598,5.86,9755.0
2024-03-20,6.2,6.2,5.75,6.08,16921.0
2024-03-21,5.83,6.04,5.5,6.04,6543.0
2024-03-22,6.08,6.5,6.04,6.41,19501.0
2024-03-25,6.51,7.49,6.51,6.9,18892.0
2024-03-26,6.7,8.074,6.7,8.04,36206.0
2024-03-27,8.0,8.14,7.7,8.0,24422.0
2024-03-28,7.994,8.15,7.3203,7.46,38046.0
2024-04-01,7.35,7.8,7.3,7.4618,9098.0
2024-04-02,7.39,7.49,7.3,7.49,9671.0
2024-04-03,7.68,7.68,7.5,7.56,1374.0
2024-04-04,7.36,7.36,7.175,7.35,25872.0
2024-04-05,7.49,7.49,7.43,7.43,933.0
2024-04-08,7.45,7.5,7.45,7.5,1404.0
