date,open,high,low,close,volume
2023-11-29,12.08,12.32,12.01,12.18,436041.0
2023-11-30,12.15,12.38,11.97,12.25,5547508.0
2023-12-01,12.54,13.04,12.53,12.97,560455.0
2023-12-04,12.84,13.05,12.78,12.89,227189.0
2023-12-05,12.92,12.99,12.72,12.89,268892.0
2023-12-06,12.98,13.0,12.81,12.99,285294.0
2023-12-07,12.97,13.04,12.93,13.04,131472.0
2023-12-08,13.08,13.1895,13.0,13.03,87751.0
2023-12-11,12.99,13.05,12.8226,13.01,258420.0
2023-12-12,12.99,13.27,12.87,13.17,254691.0
2023-12-13,13.2,13.49,13.1,13.49,230438.0
2023-12-14,13.55,13.605,13.43,13.45,214899.0
2023-12-15,13.38,13.43,13.04,13.1,208067.0
2023-12-18,13.18,13.27,12.95,12.97,154979.0
2023-12-19,13.33,13.33,13.17,13.2,492678.0
2023-12-20,13.32,13.32,12.79,12.79,247492.0
2023-12-21,12.84,12.945,12.64,12.82,100987.0
2023-12-22,12.83,12.84,12.68,12.73,92102.0
2023-12-26,12.74,12.86,12.67,12.78,133881.0
2023-12-27,12.78,12.86,12.72,12.77,222916.0
2023-12-28,12.74,12.8,12.585,12.7,239742.0
2023-12-29,12.72,12.8,12.505,12.54,475512.0
2024-01-02,12.7,12.972,12.7,12.9,224183.0
2024-01-03,12.89,13.05,12.78,12.85,199852.0
2024-01-04,12.87,12.96,12.67,12.69,222973.0
2024-01-05,12.7,12.8,12.59,12.61,114280.0
2024-01-08,12.56,12.56,12.42,12.45,125034.0
2024-01-09,12.4,12.52,12.3,12.33,143322.0
2024-01-10,12.33,12.4,12.26,12.4,78037.0
2024-01-11,12.5,12.51,12.25,12.48,333610.0
2024-01-12,12.49,12.62,12.395,12.51,148690.0
2024-01-16,12.45,12.45,12.06,12.06,88228.0
2024-01-17,11.99,12.0,11.86,11.89,116041.0
2024-01-18,11.81,11.9687,11.76,11.89,154270.0
2024-01-19,11.94,12.07,11.85,12.07,175546.0
2024-01-22,12.03,12.11,11.74,11.8,267932.0
2024-01-23,11.9,12.17,11.9,12.13,196028.0
2024-01-24,12.26,12.33,12.04,12.04,162692.0
2024-01-25,12.1,12.175,11.96,12.12,137724.0
2024-01-26,12.14,12.16,11.93,12.04,270623.0
2024-01-29,12.04,12.13,11.87,12.04,186635.0
2024-01-30,11.98,12.03,11.87,12.0,209131.0
2024-01-31,11.97,12.1,11.84,11.91,111453.0
2024-02-01,12.01,12.375,12.01,12.34,209701.0
2024-02-02,12.18,12.24,12.04,12.11,80699.0
2024-02-05,12.07,12.07,11.82,11.89,154095.0
2024-02-06,11.86,12.08,11.86,12.06,116177.0
2024-02-07,12.09,12.09,11.91,11.95,136687.0
2024-02-08,11.91,12.0,11.8313,11.89,55754.0
2024-02-09,11.89,11.89,11.75,11.86,66417.0
2024-02-12,11.89,11.91,11.62,11.79,327543.0
2024-02-13,11.64,11.73,11.53,11.6,160010.0
2024-02-14,11.65,11.79,11.65,11.78,107888.0
2024-02-15,11.8,11.95,11.74,11.76,73696.0
2024-02-16,11.96,12.055,11.89,11.92,99876.0
