date,open,high,low,close,volume
2023-11-29,0.695,0.71,0.682,0.691,255396.0
2023-11-30,0.71,0.71,0.69,0.7094,295846.0
2023-12-01,0.6905,0.79,0.6801,0.7809,531867.0
2023-12-04,0.7604,0.7995,0.733,0.7635,375374.0
2023-12-05,0.7717,0.82,0.75,0.78,632607.0
2023-12-06,0.7747,0.785,0.751,0.759,310571.0
2023-12-07,0.8,0.81,0.7321,0.7412,536924.0
2023-12-08,0.74,0.75,0.7208,0.7399,413978.0
2023-12-11,0.73,0.7548,0.7063,0.7465,343579.0
2023-12-12,0.7465,0.7479,0.7053,0.715,392139.0
2023-12-13,0.7292,0.738,0.7012,0.718,271928.0
2023-12-14,0.72,0.75,0.718,0.7448,469785.0
2023-12-15,0.75,0.7614,0.7155,0.7155,331632.0
2023-12-18,0.74,0.7676,0.7204,0.733,549338.0
2023-12-19,0.742,0.76,0.701,0.72,851205.0
2023-12-20,0.7213,0.75,0.72,0.75,425168.0
2023-12-21,0.75,0.764,0.7123,0.7379,508698.0
2023-12-22,0.8782,0.944,0.7729,0.82,11852608.0
2023-12-26,0.8199,0.8199,0.7701,0.775,1670018.0
2023-12-27,0.7567,0.82,0.7567,0.798,846139.0
2023-12-28,0.7785,0.81,0.7601,0.81,846602.0
2023-12-29,0.8286,0.829,0.7701,0.794,602729.0
2024-01-02,0.7853,0.81,0.7562,0.8007,606288.0
2024-01-03,0.8,0.8128,0.76,0.7833,409704.0
2024-01-04,0.785,0.8045,0.762,0.781,347281.0
2024-01-05,0.7989,0.799,0.763,0.7775,370876.0
2024-01-08,0.77,0.773,0.745,0.768,422883.0
2024-01-09,0.77,0.82,0.755,0.8,683513.0
2024-01-10,0.8113,0.8117,0.78,0.7931,348110.0
2024-01-11,0.7946,0.805,0.7701,0.7817,498691.0
2024-01-12,0.77,0.7898,0.7601,0.766,332969.0
2024-01-16,0.77,0.784,0.74,0.7411,406093.0
2024-01-17,0.735,0.7601,0.712,0.712,312959.0
2024-01-18,0.7247,0.75,0.701,0.75,548517.0
2024-01-19,0.735,0.74,0.69,0.7158,471381.0
2024-01-22,0.72,0.7349,0.691,0.7149,381804.0
2024-01-23,0.71,0.72,0.6866,0.693,238971.0
2024-01-24,0.693,0.6999,0.6427,0.69,456332.0
2024-01-25,0.6715,0.7,0.666,0.675,234020.0
2024-01-26,0.676,0.7,0.6511,0.6649,485188.0
2024-01-29,0.67,0.685,0.6513,0.673,2077510.0
2024-01-30,0.68,0.7069,0.6511,0.6579,1583528.0
2024-01-31,0.65,0.67,0.635,0.6412,575907.0
2024-02-01,0.66,0.66,0.625,0.654,621531.0
2024-02-02,0.6599,0.699,0.64,0.699,631455.0
2024-02-05,0.7,0.7,0.6523,0.6699,348691.0
2024-02-06,0.669,0.699,0.6602,0.6711,280523.0
2024-02-07,0.68,0.68,0.655,0.6552,237866.0
2024-02-08,0.67,0.6799,0.645,0.671,435277.0
2024-02-09,0.68,0.7289,0.6722,0.728,872942.0
2024-02-12,0.73,0.7599,0.6988,0.705,490693.0
2024-02-13,0.715,0.73,0.67,0.6801,266669.0
2024-02-14,0.6776,0.7,0.665,0.679,270434.0
2024-02-15,0.7,0.7097,0.6581,0.6923,453035.0
2024-02-16,0.71,0.7242,0.68,0.7149,469187.0
2024-02-20,0.71,0.7196,0.6901,0.709,328579.0
2024-02-21,0.6925,0.7,0.681,0.69,343471.0
2024-02-22,0.6875,0.7246,0.685,0.691,220689.0
2024-02-23,0.7,0.7,0.6811,0.7,482688.0
2024-02-26,0.7,0.73,0.67,0.7193,439890.0
2024-02-27,0.7,0.7499,0.7,0.7287,426117.0
