date,open,high,low,close,volume
2023-11-29,5.7,6.0,5.7,5.85,15522.0
2023-11-30,5.6193,5.99,5.6193,5.6966,19554.0
2023-12-01,5.85,6.38,5.6,6.0698,41441.0
2023-12-04,6.0246,6.045,5.6679,5.75,6861.0
2023-12-05,5.8365,5.98,5.76,5.9492,3511.0
2023-12-06,5.85,6.25,5.8196,5.9999,17049.0
2023-12-07,5.77,5.9,5.77,5.85,2071.0
2023-12-08,5.73,5.84,5.67,5.81,4370.0
2023-12-11,5.87,5.87,5.74,5.74,826.0
2023-12-12,5.83,5.83,5.71,5.71,2872.0
2023-12-13,5.3601,5.6313,5.3601,5.62,2206.0
2023-12-14,5.59,5.7875,5.52,5.7875,4051.0
2023-12-15,5.9,5.98,5.5701,5.64,7630.0
2023-12-18,5.76,5.9078,5.6,5.65,9333.0
2023-12-19,5.5571,5.67,5.5571,5.6516,4206.0
2023-12-20,5.79,6.21,5.5701,5.92,23176.0
2023-12-21,5.85,6.49,5.85,6.49,54488.0
2023-12-22,6.18,6.49,5.13,5.39,122114.0
2023-12-26,5.4,5.4,5.17,5.4,13854.0
2023-12-27,5.35,5.41,5.12,5.18,9695.0
2023-12-28,5.24,5.302,4.82,4.94,28648.0
2023-12-29,4.85,5.17,4.85,5.01,18960.0
2024-01-02,4.85,4.85,4.73,4.77,7882.0
2024-01-03,4.91,4.91,4.5581,4.5691,8088.0
2024-01-04,4.695,4.7999,4.61,4.7799,11217.0
2024-01-05,4.78,4.78,4.72,4.72,600.0
2024-01-08,4.65,4.97,4.65,4.8641,16845.0
2024-01-09,4.8037,4.99,4.8037,4.85,9834.0
2024-01-10,4.81,4.898,4.65,4.75,11944.0
2024-01-11,4.66,4.8557,4.5593,4.61,9539.0
2024-01-12,4.61,4.7301,4.49,4.6,22677.0
2024-01-16,4.59,4.59,4.09,4.38,14710.0
2024-01-17,4.36,4.4,4.1901,4.29,8831.0
2024-01-18,3.98,3.98,3.6601,3.74,59783.0
2024-01-19,3.9542,3.9542,3.74,3.74,22377.0
2024-01-22,3.76,3.91,3.74,3.74,7294.0
2024-01-23,3.74,3.8,3.6,3.65,9925.0
2024-01-24,3.72,3.75,3.51,3.51,2788.0
2024-01-25,3.48,3.67,3.461,3.57,6551.0
2024-01-26,3.61,3.7,3.54,3.65,6598.0
2024-01-29,3.64,3.745,3.64,3.6414,3329.0
2024-01-30,3.64,3.64,3.4751,3.5101,5832.0
2024-01-31,3.7,4.1,2.93,4.1,688549.0
2024-02-01,3.91,3.91,3.45,3.58,27147.0
2024-02-02,3.36,3.65,3.21,3.21,32071.0
2024-02-05,3.31,3.5284,3.2,3.2,16313.0
2024-02-06,3.16,3.3743,3.12,3.35,12062.0
2024-02-07,3.25,3.305,3.2,3.23,4335.0
2024-02-08,3.22,3.44,3.17,3.2,13932.0
2024-02-09,3.32,3.7,3.3,3.65,36755.0
2024-02-12,3.75,3.89,3.61,3.73,25665.0
2024-02-13,3.84,3.84,2.91,3.05,62228.0
2024-02-14,3.32,3.32,3.1,3.1,6833.0
2024-02-15,3.1,3.19,3.1,3.19,6238.0
2024-02-16,3.29,3.3,3.1614,3.21,14363.0
2024-02-20,3.21,3.3735,3.15,3.2,12042.0
2024-02-21,3.16,3.215,3.02,3.02,18179.0
2024-02-22,3.1227,3.4101,3.05,3.3813,44886.0
2024-02-23,3.245,3.3686,3.1139,3.2392,16195.0
2024-02-26,3.255,3.355,3.1,3.26,19205.0
2024-02-27,3.3255,3.4861,3.15,3.41,39962.0
2024-02-28,3.32,3.75,3.32,3.74,35596.0
2024-02-29,3.75,3.9,3.62,3.75,27819.0
2024-03-01,3.52,3.98,3.51,3.78,22803.0
2024-03-04,3.77,3.8835,3.62,3.76,36253.0
2024-03-05,3.82,3.82,3.375,3.5,25563.0
2024-03-06,3.72,5.76,3.56,4.7,1034196.0
2024-03-07,4.86,4.86,4.1304,4.2,110685.0
2024-03-08,4.01,4.18,3.55,4.0,49840.0
2024-03-11,3.88,4.08,3.67,3.69,37692.0
2024-03-12,3.75,3.9899,3.57,3.72,65558.0
2024-03-13,3.8301,3.945,3.62,3.69,47990.0
2024-03-14,3.61,3.759,3.39,3.39,15355.0
2024-03-15,3.39,3.5,3.2,3.3226,11177.0
2024-03-18,3.53,3.72,3.34,3.55,9809.0
2024-03-19,3.5,3.65,3.5,3.53,8718.0
2024-03-20,3.63,4.6656,3.61,4.49,389702.0
2024-03-21,4.5,4.5833,4.24,4.4,69973.0
2024-03-22,4.3,4.4857,4.15,4.18,16846.0
2024-03-25,4.08,4.41,4.0501,4.11,10807.0
2024-03-26,4.11,4.3,4.0704,4.08,11324.0
2024-03-27,4.0901,4.3799,4.0901,4.26,7537.0
2024-03-28,4.14,4.34,4.14,4.19,15598.0
2024-04-01,4.1,4.2999,4.01,4.02,11630.0
2024-04-02,4.0,4.0,3.87,3.9495,10371.0
2024-04-03,4.04,4.04,3.8102,3.868,1783.0
2024-04-04,3.85,3.9832,3.8,3.95,6375.0
2024-04-05,3.84,4.0,3.2705,3.5,39047.0
2024-04-08,3.45,3.6358,3.2,3.5,6385.0
2024-04-09,3.535,3.535,3.4301,3.51,3140.0
2024-04-10,3.2368,3.6,3.22,3.24,64157.0
2024-04-11,3.3,3.4937,3.3,3.3501,2591.0
2024-04-12,3.51,3.51,3.31,3.34,5843.0
2024-04-15,3.29,3.3237,3.26,3.26,5681.0
