date,open,high,low,close,volume
2023-11-29,4.42,4.4702,4.42,4.42,1980.0
2023-11-30,4.49,4.5,4.42,4.42,1054.0
2023-12-01,4.4201,4.435,4.3101,4.4186,5526.0
2023-12-04,4.45,4.49,4.26,4.26,9555.0
2023-12-05,4.23,4.23,4.2,4.2,10230.0
2023-12-06,4.16,4.24,4.11,4.11,7819.0
2023-12-07,4.12,4.12,4.12,4.12,363.0
2023-12-08,4.265,4.35,4.12,4.12,5316.0
2023-12-11,4.3513,4.3513,4.1,4.11,8138.0
2023-12-12,4.145,4.145,3.8999,3.93,7116.0
2023-12-13,3.93,3.98,3.93,3.98,1110.0
2023-12-14,4.05,4.1188,4.05,4.1188,4721.0
2023-12-15,4.04,4.3999,4.04,4.19,6668.0
2023-12-18,4.28,4.39,4.19,4.2,2605.0
2023-12-19,4.38,4.38,4.16,4.25,3910.0
2023-12-20,4.36,4.38,4.2901,4.36,5126.0
2023-12-21,4.36,4.36,4.27,4.315,2160.0
2023-12-22,4.41,4.41,4.3124,4.3124,1749.0
2023-12-26,4.43,4.55,4.3,4.37,16341.0
2023-12-27,4.37,4.73,4.37,4.44,8785.0
2023-12-28,4.4278,4.5999,4.4,4.4,6075.0
2023-12-29,4.36,4.4318,4.36,4.4318,3020.0
2024-01-02,4.52,4.56,4.5,4.5555,4342.0
2024-01-03,4.57,4.695,4.57,4.695,1814.0
2024-01-04,4.66,4.75,4.66,4.75,3090.0
2024-01-05,4.783,4.783,4.47,4.48,9034.0
2024-01-08,4.57,4.668,4.57,4.668,6834.0
2024-01-09,4.75,4.75,4.625,4.625,2281.0
2024-01-10,4.75,4.75,4.49,4.7,6229.0
2024-01-11,4.73,4.75,4.5201,4.72,7200.0
2024-01-12,4.71,4.75,4.63,4.75,4078.0
2024-01-16,4.75,4.7749,4.65,4.7577,2182.0
2024-01-17,4.57,4.75,4.54,4.73,3001.0
2024-01-18,4.66,4.66,4.55,4.57,16249.0
2024-01-19,4.65,4.75,4.65,4.7462,2721.0
2024-01-22,4.7209,4.845,4.63,4.63,11354.0
2024-01-23,4.702,4.702,4.63,4.6303,1952.0
2024-01-24,4.641,4.79,4.64,4.7372,7941.0
2024-01-25,4.7201,4.82,4.7201,4.79,10319.0
2024-01-26,4.78,4.78,4.76,4.76,2203.0
2024-01-29,4.76,4.84,4.76,4.84,9277.0
2024-01-30,4.77,4.8254,4.77,4.81,1799.0
2024-01-31,4.76,4.85,4.76,4.78,1685.0
2024-02-01,4.79,4.83,4.79,4.8101,3699.0
2024-02-02,4.76,4.82,4.76,4.82,2211.0
2024-02-05,4.82,4.8299,4.791,4.8001,7207.0
2024-02-06,4.76,4.8185,4.76,4.7943,3161.0
2024-02-07,4.83,4.83,4.765,4.7684,4228.0
2024-02-08,4.81,4.81,4.8,4.81,2728.0
2024-02-09,4.81,4.81,4.7722,4.785,929.0
2024-02-12,4.76,4.8198,4.71,4.73,10084.0
2024-02-13,4.81,4.81,4.8,4.8,917.0
2024-02-14,4.74,4.7601,4.7377,4.76,4327.0
2024-02-15,4.71,4.711,4.71,4.711,3201.0
2024-02-16,4.798,4.8286,4.73,4.7677,3439.0
2024-02-20,4.79,4.79,4.71,4.71,1466.0
2024-02-21,4.73,4.75,4.71,4.75,2778.0
2024-02-22,4.71,4.7155,4.656,4.7155,2358.0
2024-02-23,4.73,4.73,4.55,4.7,2229.0
2024-02-26,4.64,4.75,4.632,4.642,1644.0
2024-02-27,4.68,4.75,4.68,4.68,7834.0
2024-02-28,4.72,4.74,4.7001,4.73,9527.0
2024-02-29,4.7999,4.7999,4.7987,4.7987,1098.0
2024-03-01,4.79,4.79,4.6801,4.74,2405.0
2024-03-04,4.74,4.8,4.68,4.75,7958.0
2024-03-05,4.71,4.71,4.7,4.7001,3707.0
2024-03-06,4.75,4.75,4.75,4.75,1001.0
2024-03-07,4.74,4.74,4.7249,4.7249,2755.0
2024-03-08,4.74,4.8,4.71,4.71,1428.0
2024-03-11,4.64,4.64,4.63,4.63,4803.0
2024-03-12,4.65,4.7001,4.65,4.7,2840.0
2024-03-13,4.72,4.79,4.66,4.66,2054.0
2024-03-14,4.66,4.7787,4.65,4.65,2044.0
2024-03-15,4.72,4.78,4.67,4.67,1954.0
2024-03-18,4.66,4.74,4.63,4.66,3386.0
2024-03-19,4.64,4.64,4.64,4.64,995.0
2024-03-20,4.63,4.6301,4.6,4.6,1983.0
2024-03-21,4.61,4.65,4.61,4.65,2889.0
2024-03-22,4.76,5.246,4.71,5.2,40454.0
2024-03-25,5.27,5.27,5.0501,5.15,9515.0
2024-03-26,5.1294,5.1313,5.0,5.11,9287.0
2024-03-27,5.075,5.11,5.0,5.11,7577.0
2024-03-28,5.1,5.1,5.0,5.09,5081.0
2024-04-01,5.08,5.15,5.01,5.14,13004.0
2024-04-02,5.15,5.25,5.01,5.22,7295.0
2024-04-03,5.22,5.25,5.11,5.25,9578.0
2024-04-04,5.25,5.3,5.02,5.3,13119.0
2024-04-05,5.37,5.37,5.27,5.28,12462.0
2024-04-08,5.21,5.53,5.21,5.4,16604.0
2024-04-09,5.46,5.52,5.35,5.36,17064.0
2024-04-10,5.36,5.58,5.22,5.47,10354.0
2024-04-11,5.5,6.63,5.483,6.29,172253.0
2024-04-12,6.35,6.35,6.14,6.2237,30353.0
2024-04-15,6.3,6.6414,6.3,6.44,74520.0
2024-04-16,6.48,6.81,6.3115,6.52,55036.0
2024-04-17,6.6,6.77,6.5201,6.77,50418.0
2024-04-18,6.81,7.05,6.71,6.8,70761.0
2024-04-19,6.8,7.2,6.8,7.18,65440.0
2024-04-22,7.19,8.0,7.19,7.94,95168.0
2024-04-23,8.29,8.29,6.11,6.28,187174.0
2024-04-24,6.1,6.71,6.1,6.48,30958.0
2024-04-25,6.469,6.47,6.1,6.41,28970.0
2024-04-26,6.43,7.16,6.2813,7.13,29092.0
2024-04-29,7.08,7.61,7.08,7.54,48661.0
2024-04-30,7.48,7.4884,7.21,7.3493,10835.0
2024-05-01,7.13,7.39,6.95,7.39,25058.0
2024-05-02,7.33,7.48,7.2,7.24,7084.0
2024-05-03,7.16,7.374,6.75,6.83,21429.0
2024-05-06,6.75,7.45,6.61,7.22,45942.0
2024-05-07,7.095,7.87,7.095,7.83,41701.0
2024-05-08,7.8,8.29,7.5601,8.1401,34618.0
2024-05-09,8.21,8.3,7.5128,7.67,16006.0
2024-05-10,7.84,8.058,7.655,8.0,13170.0
2024-05-13,8.05,8.06,7.25,7.33,40244.0
2024-05-14,7.4,8.56,7.4,8.54,40347.0
2024-05-15,7.61,8.48,7.61,7.98,43887.0
2024-05-16,7.98,8.55,7.835,8.02,25904.0
2024-05-17,8.01,8.18,7.4,7.71,49681.0
2024-05-20,7.6,7.6,6.11,6.51,63577.0
2024-05-21,6.5,6.82,6.2201,6.69,21552.0
2024-05-22,6.59,6.66,6.47,6.66,3632.0
2024-05-23,6.64,6.64,6.2861,6.35,11474.0
2024-05-24,6.3,6.78,6.3,6.7,7899.0
2024-05-28,6.54,6.551,6.1601,6.38,16957.0
2024-05-29,6.2601,6.314,6.11,6.14,12861.0
2024-05-30,6.1,6.14,6.02,6.1,7382.0
2024-05-31,6.001,6.18,6.001,6.17,15256.0
2024-06-03,6.18,6.18,5.91,6.17,36339.0
2024-06-04,6.1,6.15,6.05,6.13,6954.0
2024-06-05,6.13,6.17,6.09,6.17,3974.0
2024-06-06,6.04,6.1496,5.9,6.14,20159.0
2024-06-07,6.0001,6.159,5.9,6.0,15895.0
2024-06-10,5.99,6.09,5.91,6.09,5634.0
2024-06-11,6.15,6.15,5.98,6.11,3987.0
2024-06-12,6.11,6.48,6.005,6.32,50004.0
2024-06-13,6.3,6.59,6.3,6.58,7335.0
2024-06-14,6.44,6.834,6.374,6.57,30812.0
2024-06-17,6.6,6.9406,6.29,6.41,26711.0
2024-06-18,6.45,6.56,6.14,6.32,6036.0
2024-06-20,6.21,6.39,6.19,6.22,19633.0
2024-06-21,6.62,6.6314,6.26,6.35,9765.0
2024-06-24,6.4,6.5,6.39,6.39,4279.0
2024-06-25,6.27,6.4,6.27,6.4,2569.0
2024-06-26,6.3111,6.34,6.23,6.26,4941.0
2024-06-27,6.37,6.65,6.37,6.58,2975.0
2024-06-28,6.42,6.42,6.37,6.37,5920.0
2024-07-01,6.2488,6.47,6.2001,6.2156,3336.0
2024-07-02,6.2742,6.42,6.25,6.26,1706.0
2024-07-03,6.58,6.585,6.28,6.28,3303.0
2024-07-05,6.2652,6.3531,6.23,6.29,2712.0
2024-07-08,6.48,6.48,6.31,6.31,3204.0
2024-07-09,6.42,6.515,6.35,6.35,3887.0
2024-07-10,6.34,6.5799,6.23,6.37,13855.0
2024-07-11,6.3092,6.39,6.26,6.29,3435.0
2024-07-12,6.38,6.6,6.29,6.42,1842.0
2024-07-15,6.49,6.49,6.3,6.32,19326.0
2024-07-16,6.3728,6.3728,6.3201,6.3201,451.0
2024-07-17,6.5339,6.5339,6.28,6.49,2685.0
2024-07-18,6.51,6.5606,6.3044,6.34,4428.0
2024-07-19,6.55,6.55,6.34,6.34,709.0
2024-07-22,6.435,6.5,6.26,6.31,9073.0
2024-07-23,6.31,6.5,6.228,6.5,3665.0
2024-07-24,6.2526,6.55,6.2395,6.375,11769.0
2024-07-25,6.56,6.58,6.2,6.33,3352.0
2024-07-26,6.3,6.57,6.3,6.32,3008.0
2024-07-29,6.35,6.5,6.35,6.37,4720.0
2024-07-30,6.435,6.5,6.3273,6.45,1126.0
2024-07-31,6.55,6.59,6.35,6.35,6476.0
2024-08-01,6.32,6.428,6.32,6.35,9003.0
2024-08-02,6.45,6.5,6.3,6.32,9759.0
2024-08-05,6.39,6.51,6.15,6.27,21616.0
2024-08-06,6.27,6.48,6.27,6.29,13620.0
2024-08-07,6.35,6.35,6.35,6.35,838.0
2024-08-08,6.3499,6.4736,6.34,6.425,3558.0
2024-08-09,6.5,6.5,6.4028,6.48,6307.0
2024-08-12,6.7,7.58,6.5801,6.86,42008.0
2024-08-13,7.02,7.2,6.8397,7.01,5751.0
2024-08-14,7.0,7.21,6.985,7.03,12344.0
2024-08-15,7.18,7.43,7.07,7.12,16926.0
2024-08-16,7.285,7.285,7.0024,7.03,7296.0
2024-08-19,7.19,7.25,6.9,7.1,19822.0
2024-08-20,7.0301,7.33,6.71,6.71,47007.0
2024-08-21,6.8,7.26,6.8,6.95,17377.0
2024-08-22,7.36,7.36,6.92,6.98,5497.0
2024-08-23,7.2,7.2,7.0,7.08,5582.0
2024-08-26,6.96,7.22,6.96,7.12,9409.0
2024-08-27,7.1534,7.2022,7.11,7.11,8775.0
2024-08-28,7.18,7.18,7.0,7.05,4532.0
2024-08-29,7.1,7.12,6.95,7.12,5195.0
