date,open,high,low,close,volume
2023-11-29,96.26,97.095,95.67,96.02,47386.0
2023-11-30,96.61,96.88,96.02,96.27,45586.0
2023-12-01,96.46,99.99,96.01,99.76,63633.0
2023-12-04,99.13,101.5228,98.93,100.97,88405.0
2023-12-05,100.93,101.55,99.85,100.24,34481.0
2023-12-06,101.0,102.52,99.82,99.89,52477.0
2023-12-07,100.06,101.28,99.3,101.28,37143.0
2023-12-08,101.16,102.4142,100.88,101.59,44204.0
2023-12-11,102.12,103.13,101.02,102.53,61058.0
2023-12-12,102.6,103.23,102.275,102.85,34783.0
2023-12-13,103.35,106.5,102.56,106.43,90342.0
2023-12-14,108.28,110.03,107.4,108.95,118784.0
2023-12-15,109.93,109.93,107.89,108.12,305388.0
2023-12-18,108.9,109.21,108.07,108.92,63342.0
2023-12-19,109.28,111.1,108.5,110.56,75168.0
2023-12-20,110.89,113.6,110.27,110.63,140703.0
2023-12-21,111.22,111.98,110.56,111.77,58531.0
2023-12-22,112.76,113.5548,112.35,113.19,67341.0
2023-12-26,113.61,114.98,112.33,114.42,59499.0
2023-12-27,114.42,115.89,114.12,115.77,81821.0
2023-12-28,115.42,115.61,113.35,113.49,48078.0
2023-12-29,113.5,113.5,109.84,110.26,97622.0
2024-01-02,109.7,111.86,109.4,111.4,92395.0
2024-01-03,111.08,111.75,107.54,108.22,89537.0
2024-01-04,108.77,109.61,108.04,108.41,51502.0
2024-01-05,107.68,109.01,106.48,106.59,68927.0
2024-01-08,106.67,107.87,106.2,107.8,51738.0
2024-01-09,106.62,106.9099,105.85,106.47,36743.0
2024-01-10,106.18,106.74,105.18,106.41,49707.0
2024-01-11,105.42,105.7,102.665,104.12,70945.0
2024-01-12,105.0,105.03,102.085,103.57,69110.0
2024-01-16,102.44,103.17,101.6862,102.58,65774.0
2024-01-17,101.29,103.18,101.29,102.27,58517.0
2024-01-18,102.74,103.34,101.025,103.26,79256.0
2024-01-19,103.99,104.78,102.54,104.6,50799.0
2024-01-22,105.28,107.61,105.1,107.5,65559.0
2024-01-23,107.93,108.69,105.49,106.57,93274.0
2024-01-24,109.18,109.18,104.51,104.73,77851.0
2024-01-25,106.85,106.915,103.7,105.22,67177.0
2024-01-26,106.12,106.93,105.665,106.51,40648.0
2024-01-29,106.95,107.3299,105.91,107.1,63650.0
2024-01-30,107.06,107.79,106.7,107.71,34287.0
2024-01-31,106.81,107.02,102.1,102.21,89154.0
2024-02-01,103.15,103.82,99.26,102.21,80024.0
2024-02-02,100.67,102.64,100.67,101.56,94022.0
2024-02-05,100.95,101.38,99.64,100.43,75627.0
2024-02-06,100.46,101.0,98.83,99.43,59137.0
2024-02-07,99.37,100.255,97.5,99.28,56915.0
2024-02-08,98.79,99.96,98.35,99.6,43060.0
2024-02-09,100.09,101.97,99.32,101.84,73362.0
2024-02-12,101.47,104.91,101.47,104.0,63448.0
2024-02-13,101.36,102.43,98.73,100.02,93127.0
2024-02-14,101.0,101.28,99.452,100.87,56750.0
2024-02-15,101.1,104.86,100.9184,104.08,49954.0
2024-02-16,103.25,103.94,102.425,102.7,46431.0
2024-02-20,101.65,103.29,101.45,101.87,41978.0
2024-02-21,101.21,101.56,100.291,100.84,51045.0
2024-02-22,100.34,100.61,99.2,100.41,50442.0
2024-02-23,100.12,102.96,100.12,101.4,46909.0
