date,open,high,low,close,volume
2023-11-29,25.79,25.98,25.79,25.97,31692.0
2023-11-30,25.99,26.25,25.8023,26.25,91281.0
2023-12-01,26.15,26.3,26.12,26.22,34465.0
2023-12-04,26.12,26.2316,26.0043,26.13,29356.0
2023-12-05,26.04,26.25,26.04,26.16,13184.0
2023-12-06,26.1,26.22,25.96,25.96,50010.0
2023-12-07,26.06,26.24,26.06,26.18,13535.0
2023-12-08,26.26,26.3,26.085,26.3,17941.0
2023-12-11,26.081,26.38,26.081,26.38,18604.0
2023-12-12,25.98,26.43,25.98,26.28,17117.0
2023-12-13,25.93,26.22,25.74,26.2,26048.0
2023-12-14,26.13,26.169,25.81,25.949,28115.0
2023-12-15,25.8,25.8,25.47,25.51,78304.0
2023-12-18,25.5,25.65,25.32,25.41,51433.0
2023-12-19,25.49,25.554,25.34,25.39,37364.0
2023-12-20,25.31,25.5,25.31,25.39,53834.0
2023-12-21,25.4,25.5,25.35,25.36,66336.0
2023-12-22,25.37,25.7,25.37,25.4,58927.0
2023-12-26,25.47,25.7142,25.38,25.39,87592.0
2023-12-27,25.4,25.45,25.35,25.37,63233.0
2023-12-28,25.44,25.47,25.3,25.33,64508.0
2023-12-29,25.39,25.6499,25.25,25.28,131781.0
2024-01-02,25.29,25.39,25.23,25.27,97553.0
2024-01-03,25.26,25.4799,25.17,25.36,65441.0
2024-01-04,25.33,25.4728,25.33,25.37,20425.0
2024-01-05,25.43,25.5429,25.34,25.41,59592.0
2024-01-08,25.41,25.4928,25.3707,25.42,48679.0
2024-01-09,25.39,25.45,25.38,25.42,28870.0
2024-01-10,25.45,25.55,25.4231,25.46,33148.0
2024-01-11,25.46,25.49,25.35,25.45,41638.0
2024-01-12,25.51,25.55,25.4,25.55,30024.0
2024-01-16,25.55,25.7199,25.4165,25.49,39363.0
2024-01-17,25.45,25.566,25.38,25.52,43867.0
2024-01-18,25.5,25.6,25.37,25.53,62424.0
2024-01-19,25.47,25.73,25.47,25.72,22078.0
2024-01-22,25.67,25.68,25.52,25.58,91417.0
2024-01-23,25.58,25.58,25.51,25.55,36872.0
2024-01-24,25.58,25.59,25.53,25.57,14058.0
2024-01-25,25.58,25.73,25.58,25.64,34579.0
2024-01-26,25.6306,25.81,25.61,25.805,27839.0
2024-01-29,25.82,25.89,25.65,25.88,33674.0
2024-01-30,25.83,25.93,25.71,25.88,33884.0
2024-01-31,25.86,25.94,25.57,25.65,23618.0
2024-02-01,25.74,25.8134,25.57,25.73,30474.0
2024-02-02,25.68,25.8005,25.65,25.7332,47585.0
2024-02-05,25.56,25.6799,25.55,25.61,39500.0
2024-02-06,25.71,25.78,25.5705,25.687,16526.0
2024-02-07,25.77,25.77,25.6195,25.7,15335.0
2024-02-08,25.75,25.81,25.7,25.79,20188.0
2024-02-09,25.82,25.9699,25.7705,25.9,12306.0
2024-02-12,25.91,26.0,25.85,26.0,22877.0
2024-02-13,25.91,25.9999,25.7301,25.84,15675.0
2024-02-14,25.787,26.02,25.787,26.02,23177.0
2024-02-15,25.9855,26.14,25.9855,26.14,11195.0
2024-02-16,26.16,26.16,25.9601,26.1,11100.0
2024-02-20,26.1,26.1,25.93,25.9601,22308.0
2024-02-21,25.9,26.0799,25.85,25.9389,21663.0
2024-02-22,25.98,26.17,25.98,26.08,17004.0
2024-02-23,26.05,26.18,26.05,26.18,20745.0
2024-02-26,26.11,26.179,26.0,26.17,13959.0
2024-02-27,26.1551,26.17,25.9318,26.0,19259.0
2024-02-28,26.01,26.19,25.8943,26.15,19207.0
2024-02-29,26.09,26.18,25.93,26.15,51233.0
2024-03-01,26.05,26.1,25.96,26.01,16569.0
2024-03-04,25.98,26.1,25.95,26.06,12199.0
2024-03-05,26.0845,26.27,26.0462,26.27,26646.0
2024-03-06,26.28,26.3,26.2206,26.28,34368.0
2024-03-07,26.29,26.35,26.2899,26.35,29615.0
2024-03-08,26.35,26.37,26.29,26.35,21665.0
2024-03-11,26.33,26.43,26.18,26.3,26875.0
2024-03-12,26.31,26.3891,26.15,26.33,24686.0
2024-03-13,26.36,26.47,26.18,26.25,38838.0
2024-03-14,26.0,26.0,25.75,25.96,21682.0
2024-03-15,25.86,26.042,25.8501,26.0,24757.0
2024-03-18,26.04,26.17,26.02,26.17,16270.0
2024-03-19,26.16,26.43,26.11,26.43,28287.0
2024-03-20,26.29,26.6,26.13,26.6,35489.0
2024-03-21,26.545,26.63,26.3223,26.36,32369.0
2024-03-22,26.37,26.38,26.23,26.38,16985.0
2024-03-25,26.275,26.32,26.15,26.15,8181.0
2024-03-26,26.108,26.15,25.97,26.04,20592.0
2024-03-27,26.05,26.07,25.9401,25.99,31597.0
2024-03-28,26.13,26.2377,25.7,25.7,101880.0
2024-04-01,25.8,25.98,25.65,25.65,118414.0
2024-04-02,25.63,25.82,25.58,25.61,61010.0
2024-04-03,25.65,25.79,25.62,25.655,30234.0
2024-04-04,25.7,25.85,25.6,25.66,55630.0
2024-04-05,25.7,25.91,25.65,25.7,77606.0
2024-04-08,25.74,25.74,25.55,25.7,25278.0
2024-04-09,25.7,25.73,25.6508,25.68,15692.0
2024-04-10,25.68,25.68,25.51,25.61,36529.0
2024-04-11,25.62,25.63,25.55,25.62,19426.0
2024-04-12,25.56,25.65,25.56,25.63,26716.0
2024-04-15,25.57,25.57,25.43,25.4938,79295.0
2024-04-16,25.48,25.58,25.4501,25.53,34039.0
2024-04-17,25.69,25.77,25.6035,25.73,14901.0
2024-04-18,25.7,25.7,25.54,25.6,50985.0
2024-04-19,25.6,25.65,25.59,25.62,11410.0
2024-04-22,25.66,25.7199,25.61,25.63,20865.0
2024-04-23,25.62,25.84,25.62,25.77,18171.0
2024-04-24,25.75,25.84,25.6,25.7,29479.0
2024-04-25,25.65,25.65,25.52,25.57,37679.0
2024-04-26,25.57,25.6299,25.53,25.54,17675.0
2024-04-29,25.57,25.69,25.5201,25.64,24449.0
2024-04-30,25.62,25.75,25.6,25.65,49598.0
2024-05-01,25.7,25.8052,25.6101,25.74,29905.0
2024-05-02,25.72,25.83,25.6317,25.75,27609.0
2024-05-03,25.84,25.85,25.74,25.8,24075.0
2024-05-06,25.8,25.88,25.76,25.8,33009.0
2024-05-07,25.83,25.88,25.71,25.88,25328.0
2024-05-08,25.74,25.87,25.7194,25.76,41794.0
2024-05-09,25.75,25.91,25.75,25.89,18020.0
2024-05-10,25.82,25.885,25.81,25.85,28570.0
2024-05-13,25.8506,25.95,25.8469,25.94,17441.0
2024-05-14,25.885,26.1524,25.83,26.0,25323.0
2024-05-15,26.0,26.2,26.0,26.15,24275.0
2024-05-16,26.18,26.18,25.95,26.1,27234.0
2024-05-17,26.18,26.18,25.9201,25.93,10086.0
2024-05-20,25.9501,25.96,25.85,25.95,10335.0
2024-05-21,25.95,25.95,25.79,25.86,53249.0
2024-05-22,25.85,25.87,25.78,25.84,28934.0
2024-05-23,25.8,25.8435,25.67,25.75,51391.0
2024-05-24,25.72,25.86,25.72,25.8,13281.0
2024-05-28,25.86,25.86,25.68,25.69,46544.0
2024-05-29,25.64,25.76,25.62,25.74,24902.0
2024-05-30,25.71,25.75,25.67,25.75,15916.0
2024-05-31,25.69,26.49,25.69,26.4,198005.0
2024-06-03,26.3,26.4,26.0501,26.24,119062.0
2024-06-04,26.13,26.3091,26.13,26.17,15383.0
2024-06-05,26.12,26.2819,26.12,26.24,18791.0
2024-06-06,26.22,26.3,26.21,26.23,18581.0
2024-06-07,26.23,26.39,26.16,26.3702,30001.0
2024-06-10,26.36,26.39,26.24,26.27,14951.0
2024-06-11,26.29,26.39,26.24,26.3149,31359.0
2024-06-12,26.36,26.44,26.25,26.26,25705.0
2024-06-13,25.88,26.0,25.83,25.89,17713.0
2024-06-14,25.9,25.9,25.65,25.66,24859.0
2024-06-17,25.65,25.75,25.64,25.7,68978.0
2024-06-18,25.7,25.7991,25.67,25.67,31426.0
2024-06-20,25.78,25.84,25.59,25.6,59609.0
2024-06-21,25.6,25.64,25.58,25.58,57435.0
2024-06-24,25.65,25.68,25.6,25.6,58291.0
2024-06-25,25.61,25.7299,25.61,25.695,32286.0
2024-06-26,25.7,25.88,25.65,25.8,34653.0
2024-06-27,25.93,25.94,25.82,25.94,17182.0
2024-06-28,26.0,26.0799,25.84,26.0,58481.0
2024-07-01,25.9627,25.9627,25.82,25.85,15690.0
2024-07-02,25.86,26.0,25.86,25.98,18029.0
2024-07-03,25.9519,26.01,25.92,26.0,13156.0
2024-07-05,25.93,25.957,25.86,25.9,10403.0
2024-07-08,25.87,25.98,25.82,25.98,31002.0
2024-07-09,25.91,26.0,25.8,25.82,20914.0
2024-07-10,25.84,25.89,25.84,25.89,10421.0
2024-07-11,25.8301,26.0,25.8301,26.0,13999.0
2024-07-12,25.95,26.05,25.95,26.05,12190.0
2024-07-15,26.09,26.09,25.93,26.04,30251.0
2024-07-16,25.96,26.09,25.96,26.0,26137.0
2024-07-17,26.0,26.2,25.99,26.2,47528.0
2024-07-18,26.2,26.2,26.1,26.104,16940.0
2024-07-19,26.1,26.1499,26.05,26.12,18822.0
2024-07-22,26.11,26.13,26.0518,26.06,15803.0
2024-07-23,26.11,26.22,26.06,26.19,38810.0
2024-07-24,26.09,26.17,26.04,26.04,18570.0
2024-07-25,26.12,26.13,25.97,26.01,26241.0
2024-07-26,26.09,26.09,26.0289,26.06,9404.0
2024-07-29,26.02,26.05,25.925,25.96,18482.0
2024-07-30,26.0,26.0758,25.97,26.05,8484.0
2024-07-31,26.01,26.01,25.65,25.65,236521.0
2024-08-01,25.75,25.84,25.7,25.73,27004.0
2024-08-02,25.72,25.75,25.63,25.69,52131.0
2024-08-05,25.48,25.64,25.4,25.6,60849.0
2024-08-06,25.6,25.86,25.53,25.71,21108.0
2024-08-07,25.75,25.88,25.6747,25.87,13925.0
2024-08-08,25.8796,26.11,25.78,25.91,12880.0
2024-08-09,25.9,26.09,25.8,25.92,8352.0
2024-08-12,25.97,26.0,25.68,25.79,14112.0
2024-08-13,25.8,25.8209,25.61,25.61,53296.0
2024-08-14,25.6501,25.8675,25.55,25.645,39351.0
2024-08-15,25.62,25.8099,25.5703,25.61,52177.0
2024-08-16,25.62,25.9033,25.61,25.65,69353.0
2024-08-19,25.65,25.72,25.61,25.64,57994.0
2024-08-20,25.61,25.72,25.61,25.67,129052.0
2024-08-21,25.67,25.67,25.61,25.65,139823.0
2024-08-22,25.65,25.72,25.61,25.67,45516.0
2024-08-23,25.65,25.8,25.65,25.68,28627.0
2024-08-26,25.69,25.79,25.69,25.74,28867.0
2024-08-27,25.77,25.82,25.75,25.8,21228.0
2024-08-28,25.77,25.82,25.73,25.76,15491.0
2024-08-29,25.76,25.9,25.73,25.84,33151.0
2024-08-30,25.86,25.95,25.77,25.77,74905.0
2024-09-03,25.8,25.84,25.79,25.83,18127.0
2024-09-04,25.79,25.92,25.79,25.89,13276.0
2024-09-05,25.91,26.0375,25.84,25.9,45466.0
2024-09-06,25.84,25.92,25.84,25.86,16111.0
2024-09-09,25.81,25.97,25.81,25.96,25210.0
2024-09-10,25.9,26.06,25.9,26.04,15799.0
2024-09-11,26.02,26.1,25.9501,26.1,35578.0
2024-09-12,26.1,26.14,26.03,26.13,32800.0
2024-09-13,26.13,26.1466,26.06,26.1,31266.0
2024-09-16,25.51,25.69,25.51,25.69,44272.0
2024-09-17,25.67,25.75,25.62,25.7294,28867.0
2024-09-18,25.7,25.81,25.6501,25.75,25077.0
2024-09-19,25.77,25.84,25.6119,25.83,46811.0
2024-09-20,25.75,25.9,25.7,25.9,51333.0
2024-09-23,25.9,26.0999,25.83,25.98,34912.0
2024-09-24,25.87,26.09,25.87,26.09,21164.0
2024-09-25,26.09,26.09,25.93,25.94,26867.0
2024-09-26,26.0,26.0899,25.955,26.07,23866.0
2024-09-27,26.08,26.24,26.0284,26.17,41777.0
2024-09-30,26.24,26.24,25.91,25.91,190160.0
2024-10-01,25.92,26.17,25.92,26.13,24939.0
2024-10-02,26.21,26.22,26.08,26.14,27531.0
2024-10-03,26.09,26.22,26.06,26.14,34485.0
2024-10-04,26.04,26.1,26.0106,26.06,16186.0
