date,open,high,low,close,volume
2023-11-29,0.88,0.92,0.88,0.8901,15290.0
2023-11-30,0.88,0.89,0.84,0.84,13196.0
2023-12-01,0.83,0.905,0.7501,0.7906,29772.0
2023-12-04,0.8,0.8,0.6901,0.7,80362.0
2023-12-05,0.771,1.26,0.76,1.07,3836768.0
2023-12-06,0.98,1.07,0.9163,0.9465,351798.0
2023-12-07,0.91,1.03,0.881,0.95,63129.0
2023-12-08,0.9315,0.9999,0.9101,0.9581,24085.0
2023-12-11,0.97,0.97,0.9462,0.965,71564.0
2023-12-12,0.97,0.97,0.92,0.9489,47661.0
2023-12-13,0.9378,0.97,0.9378,0.9699,12345.0
2023-12-14,0.95,0.97,0.911,0.9512,12198.0
2023-12-15,0.9275,0.97,0.9201,0.97,9143.0
2023-12-18,0.9256,1.04,0.9256,1.03,24285.0
2023-12-19,1.01,1.08,1.01,1.0485,24053.0
2023-12-20,1.06,1.06,0.9501,0.99,64425.0
2023-12-21,1.01,1.0501,1.0,1.0274,50262.0
2023-12-22,1.04,1.07,0.9927,1.015,65704.0
2023-12-26,0.99,1.0,0.9035,0.9473,28106.0
2023-12-27,0.9473,0.9473,0.82,0.8899,65967.0
2023-12-28,0.83,0.896,0.83,0.8501,38543.0
2023-12-29,0.89,0.899,0.83,0.83,23136.0
2024-01-02,0.84,0.88,0.83,0.8645,4854.0
2024-01-03,0.8925,0.8925,0.83,0.8791,10766.0
2024-01-04,0.86,0.86,0.8301,0.8568,6172.0
2024-01-05,0.832,0.8625,0.832,0.84,3516.0
2024-01-08,0.84,0.86,0.835,0.836,20818.0
2024-01-09,0.8475,0.88,0.7928,0.7928,47947.0
2024-01-10,0.7928,0.848,0.7928,0.819,9309.0
2024-01-11,0.8199,0.82,0.81,0.817,5738.0
2024-01-12,0.817,0.82,0.79,0.79,19329.0
2024-01-16,0.8,0.85,0.8,0.844,19978.0
2024-01-17,0.81,0.8499,0.8031,0.8101,8658.0
2024-01-18,0.8104,0.84,0.8031,0.81,5750.0
2024-01-19,0.82,0.8211,0.8,0.81,6584.0
2024-01-22,0.81,0.84,0.78,0.84,7865.0
2024-01-23,0.8,0.8799,0.79,0.848,39631.0
2024-01-24,0.82,0.86,0.7929,0.84,18315.0
2024-01-25,0.8398,0.92,0.82,0.845,56066.0
2024-01-26,0.8872,1.1,0.8518,1.0306,230525.0
2024-01-29,1.05,1.05,0.97,0.9702,21200.0
2024-01-30,0.958,0.97,0.95,0.97,14812.0
2024-01-31,0.958,0.958,0.91,0.9169,3936.0
2024-02-01,0.9169,1.0,0.9001,0.9601,3051.0
2024-02-02,0.93,0.95,0.88,0.95,3842.0
2024-02-05,0.9,0.95,0.9,0.915,1836.0
2024-02-06,0.8702,0.8998,0.8702,0.8766,7436.0
2024-02-07,0.9,0.9,0.82,0.82,21590.0
2024-02-08,0.95,0.96,0.8,0.8524,45514.0
2024-02-09,0.89,0.9,0.86,0.9,2693.0
2024-02-12,0.9,0.9052,0.84,0.84,12230.0
2024-02-13,0.85,0.8501,0.84,0.84,2828.0
2024-02-14,0.83,0.9,0.8154,0.86,7886.0
2024-02-15,0.95,1.24,0.86,1.07,334308.0
2024-02-16,0.9951,1.1799,0.92,1.1,112398.0
2024-02-20,1.02,1.0899,0.9304,0.9304,54835.0
2024-02-21,0.9125,0.9979,0.9101,0.9514,21074.0
2024-02-22,0.97,0.97,0.911,0.93,5919.0
2024-02-23,0.9205,0.997,0.9,0.97,11482.0
2024-02-26,0.9226,0.969,0.9,0.9222,43803.0
2024-02-27,0.92,0.9677,0.91,0.9419,5868.0
2024-02-28,0.937,0.97,0.912,0.958,19666.0
2024-02-29,0.95,0.97,0.91,0.97,22627.0
2024-03-01,0.97,0.97,0.911,0.95,5140.0
2024-03-04,0.93,0.94,0.92,0.9301,16273.0
2024-03-05,0.94,0.94,0.85,0.9,29602.0
2024-03-06,0.855,0.9,0.855,0.9,5828.0
2024-03-07,0.883,0.949,0.86,0.949,10877.0
2024-03-08,0.945,0.945,0.8978,0.91,8832.0
2024-03-11,0.88,0.97,0.88,0.96,5568.0
2024-03-12,0.9201,0.9201,0.9,0.92,5428.0
2024-03-13,0.8901,0.9599,0.8901,0.9596,4587.0
2024-03-14,0.92,0.99,0.897,0.95,18107.0
2024-03-15,0.91,0.985,0.91,0.97,11929.0
2024-03-18,0.9066,0.9366,0.9066,0.9283,4038.0
2024-03-19,0.89,0.95,0.8652,0.94,25165.0
2024-03-20,0.91,0.91,0.885,0.9066,27222.0
2024-03-21,0.88,0.95,0.87,0.9283,6771.0
2024-03-22,0.9138,0.9138,0.87,0.8899,9775.0
2024-03-25,0.87,0.92,0.87,0.899,8861.0
2024-03-26,0.91,0.91,0.87,0.9,6123.0
2024-03-27,0.8705,1.06,0.85,1.02,66143.0
2024-03-28,1.0,1.03,0.8892,1.02,82558.0
2024-04-01,0.9894,1.07,0.98,1.07,19472.0
2024-04-02,1.0,1.05,1.0,1.04,4127.0
2024-04-03,1.05,1.05,1.01,1.0299,5149.0
2024-04-04,0.99,1.06,0.99,1.04,11031.0
2024-04-05,1.0007,1.05,0.9953,1.0499,44487.0
2024-04-08,1.05,1.05,0.9962,1.05,23444.0
2024-04-09,1.01,1.04,1.01,1.02,4434.0
2024-04-10,1.0116,1.06,0.9602,1.06,33605.0
2024-04-11,1.06,1.06,0.99,1.03,8293.0
2024-04-12,0.992,1.04,0.95,1.0,13509.0
2024-04-15,1.02,1.04,0.9502,1.01,30246.0
2024-04-16,1.02,1.02,0.96,1.0,3247.0
2024-04-17,0.97,1.03,0.92,1.03,3866.0
2024-04-18,0.96,1.01,0.9103,1.0,5827.0
2024-04-19,0.9672,1.0,0.9401,0.9887,7081.0
2024-04-22,0.98,1.01,0.9404,0.9938,151195.0
2024-04-23,0.9639,0.9718,0.922,0.95,13634.0
2024-04-24,0.9221,0.9999,0.922,0.9274,4209.0
2024-04-25,0.95,0.9999,0.9263,0.98,6387.0
2024-04-26,0.9651,0.9991,0.9651,0.9921,13995.0
2024-04-29,0.97,1.0,0.9401,0.9401,12253.0
2024-04-30,0.9,0.96,0.9,0.96,941.0
2024-05-01,0.9751,0.9782,0.9025,0.9304,94257.0
2024-05-02,0.9288,0.9325,0.9279,0.9279,1713.0
2024-05-03,0.9201,0.98,0.7623,0.85,91800.0
2024-05-06,0.879,0.879,0.8,0.8663,14627.0
2024-05-07,0.83,0.8497,0.8002,0.835,8341.0
2024-05-08,0.82,0.8296,0.82,0.8247,2453.0
2024-05-09,0.81,0.8148,0.8,0.8148,4847.0
2024-05-10,0.8296,0.8899,0.8001,0.8123,5540.0
2024-05-13,0.82,0.8689,0.82,0.825,6633.0
2024-05-14,0.86,0.866,0.8,0.808,34323.0
2024-05-15,0.8,0.8499,0.8,0.8116,9599.0
2024-05-16,0.8,0.899,0.65,0.7028,113730.0
2024-05-17,0.71,0.8489,0.71,0.755,18709.0
2024-05-20,0.7759,0.79,0.7313,0.7899,11058.0
2024-05-21,0.7604,0.84,0.7604,0.8399,4872.0
2024-05-22,0.79,0.84,0.7512,0.8304,31410.0
2024-05-23,0.79,0.799,0.7602,0.7696,12007.0
2024-05-24,0.75,0.83,0.75,0.83,4427.0
2024-05-28,0.75,0.791,0.75,0.791,5774.0
