date,open,high,low,close,volume
2023-11-29,4.98,4.9909,4.67,4.82,12834.0
2023-11-30,4.82,4.82,4.69,4.72,86293.0
2023-12-01,4.93,4.93,4.68,4.7,39505.0
2023-12-04,4.73,4.74,4.6555,4.7,18756.0
2023-12-05,4.74,4.74,4.65,4.66,14000.0
2023-12-06,4.74,4.74,4.65,4.72,8447.0
2023-12-07,4.75,4.9099,4.7,4.85,134774.0
2023-12-08,4.88,4.88,4.71,4.8,17295.0
2023-12-11,4.8,4.8,4.68,4.75,106302.0
2023-12-12,4.75,4.86,4.7012,4.74,38734.0
2023-12-13,4.86,4.86,4.73,4.78,57290.0
2023-12-14,4.84,4.94,4.74,4.94,25911.0
2023-12-15,4.89,4.99,4.87,4.97,8279.0
2023-12-18,5.02,5.02,4.86,4.89,11254.0
2023-12-19,4.89,4.89,4.8201,4.89,10992.0
2023-12-20,4.89,4.9742,4.86,4.94,17156.0
2023-12-21,5.03,5.2047,5.0,5.15,11959.0
2023-12-22,5.11,5.1899,5.0,5.15,5507.0
2023-12-26,5.15,5.15,5.0401,5.1048,2811.0
2023-12-27,5.11,5.135,5.02,5.07,6811.0
2023-12-28,5.02,5.12,4.9995,5.12,28306.0
2023-12-29,5.12,5.14,5.06,5.14,13490.0
2024-01-02,5.35,5.35,5.0332,5.19,20938.0
2024-01-03,5.15,5.1777,5.0,5.12,20385.0
2024-01-04,5.19,5.19,5.0091,5.09,10233.0
2024-01-05,5.09,5.1627,5.0108,5.0241,8422.0
2024-01-08,5.02,5.17,5.02,5.08,2972.0
2024-01-09,5.1,5.11,5.06,5.11,3243.0
2024-01-10,5.07,5.075,5.01,5.03,2290.0
2024-01-11,5.12,5.12,5.01,5.01,5457.0
2024-01-12,5.01,5.08,4.95,4.96,6737.0
2024-01-16,5.1,5.1,4.98,4.98,8152.0
2024-01-17,5.01,5.039,5.0,5.02,2901.0
2024-01-18,5.01,5.06,5.005,5.06,4300.0
2024-01-19,5.1,5.1,5.03,5.08,13820.0
2024-01-22,5.05,5.1,5.0,5.09,23991.0
2024-01-23,5.05,5.1,5.04,5.07,24189.0
2024-01-24,5.13,5.15,5.09,5.1048,6138.0
2024-01-25,5.08,5.15,5.08,5.15,1403.0
2024-01-26,5.11,5.2,5.03,5.2,2900.0
2024-01-29,5.2,5.2,5.17,5.17,2227.0
2024-01-30,5.14,5.19,5.0,5.19,12054.0
2024-01-31,5.09,5.19,5.07,5.13,3109.0
2024-02-01,5.2,5.2,5.15,5.18,1294.0
2024-02-02,5.12,5.19,5.05,5.0506,4592.0
2024-02-05,5.19,5.19,5.0,5.04,4482.0
2024-02-06,5.05,5.18,5.0,5.09,3100.0
2024-02-07,5.06,5.06,5.0,5.01,2455.0
2024-02-08,5.03,5.0639,5.0,5.05,8159.0
2024-02-09,5.02,5.07,5.02,5.03,1899.0
2024-02-12,5.03,5.19,5.01,5.08,7455.0
2024-02-13,5.2,5.2,5.002,5.1483,4193.0
2024-02-14,5.1,5.2,5.0,5.12,5539.0
2024-02-15,5.08,5.19,5.08,5.19,550.0
2024-02-16,5.15,5.35,5.15,5.35,6847.0
2024-02-20,5.35,5.39,5.1184,5.28,139877.0
2024-02-21,5.3,5.48,5.3,5.4336,37421.0
2024-02-22,5.4,5.49,5.39,5.45,12478.0
2024-02-23,5.49,5.5,5.3764,5.38,6442.0
2024-02-26,5.49,5.6,5.48,5.6,15801.0
2024-02-27,5.51,5.65,5.5,5.6,7229.0
2024-02-28,5.55,5.55,5.55,5.55,1211.0
2024-02-29,5.485,5.6499,5.485,5.6,2675.0
2024-03-01,5.51,5.8,5.51,5.8,10340.0
2024-03-04,5.8,5.85,5.6069,5.76,2602.0
2024-03-05,5.85,5.85,5.77,5.77,3737.0
2024-03-06,5.72,5.7999,5.4125,5.73,3739.0
2024-03-07,5.75,6.13,5.75,6.11,20179.0
2024-03-08,6.03,6.18,6.0001,6.02,7749.0
2024-03-11,6.15,6.44,6.13,6.44,16504.0
2024-03-12,6.45,6.5599,6.25,6.5,6567.0
2024-03-13,6.2,6.52,6.2,6.46,5434.0
