date,open,high,low,close,volume
2023-11-29,14.29,14.45,14.025,14.05,1077720.0
2023-11-30,14.17,14.51,14.06,14.43,1183025.0
2023-12-01,14.46,14.85,14.34,14.82,1088466.0
2023-12-04,14.69,15.08,14.63,15.06,1068395.0
2023-12-05,14.83,14.85,14.05,14.25,1475713.0
2023-12-06,14.27,14.39,13.87,14.01,1047754.0
2023-12-07,14.01,14.33,13.855,14.31,1101025.0
2023-12-08,14.19,14.43,14.02,14.15,1150211.0
2023-12-11,14.11,14.115,13.71,13.81,1180508.0
2023-12-12,13.73,13.73,13.0,13.35,1715837.0
2023-12-13,13.3,14.03,13.27,14.03,1527269.0
2023-12-14,14.09,14.57,13.88,14.49,1712903.0
2023-12-15,14.53,15.0,14.21,14.38,4036819.0
2023-12-18,14.47,14.4727,13.99,14.1,1028656.0
2023-12-19,14.2,14.78,14.2,14.73,983228.0
2023-12-20,14.69,14.84,14.27,14.3,1002989.0
2023-12-21,14.96,16.31,14.88,16.07,2563607.0
2023-12-22,16.3397,16.82,16.13,16.58,1164616.0
2023-12-26,16.66,17.25,16.6,17.14,786069.0
2023-12-27,17.18,17.32,16.88,17.29,978397.0
2023-12-28,17.3,17.4,16.96,17.2,806002.0
2023-12-29,17.2,17.2213,16.73,16.81,806044.0
2024-01-02,16.71,17.19,16.71,17.11,745349.0
2024-01-03,16.99,17.15,16.59,16.66,918622.0
2024-01-04,16.76,17.19,16.69,17.11,829318.0
2024-01-05,14.58,14.97,14.44,14.57,7576478.0
2024-01-08,14.69,15.11,14.415,15.11,5637873.0
2024-01-09,15.04,15.4,14.78,15.29,1814125.0
2024-01-10,15.42,15.5,14.825,15.09,1860450.0
2024-01-11,15.0,15.0,14.6,14.71,1547255.0
2024-01-12,14.94,14.94,14.31,14.49,1369631.0
2024-01-16,14.5,14.5112,14.11,14.36,1839522.0
2024-01-17,14.27,14.7,14.0642,14.58,1313421.0
2024-01-18,14.65,14.725,14.21,14.7,1243322.0
2024-01-19,14.77,14.78,14.485,14.56,2378887.0
2024-01-22,14.63,15.17,14.4807,15.15,1403072.0
2024-01-23,15.3,15.351,14.76,14.93,1359592.0
2024-01-24,15.06,15.135,14.6,14.6,878885.0
2024-01-25,14.75,14.82,14.4,14.53,966522.0
2024-01-26,14.5,14.58,14.25,14.29,943804.0
2024-01-29,14.36,14.54,14.26,14.45,1317386.0
2024-01-30,14.41,14.83,14.33,14.77,1126032.0
2024-01-31,14.71,14.84,14.325,14.4,1317008.0
2024-02-01,14.51,14.6,14.34,14.43,670302.0
2024-02-02,14.425,14.425,13.61,13.62,1329267.0
2024-02-05,13.45,13.59,13.32,13.39,1155050.0
2024-02-06,13.35,13.76,13.23,13.75,1040625.0
2024-02-07,13.71,13.71,13.305,13.35,962573.0
2024-02-08,13.32,13.495,13.1161,13.37,998404.0
2024-02-09,13.43,13.64,13.3,13.64,1522639.0
2024-02-12,13.6,13.77,13.52,13.64,1115722.0
2024-02-13,13.32,13.605,13.125,13.18,1555749.0
2024-02-14,13.34,13.53,13.28,13.48,993937.0
2024-02-15,13.56,13.955,13.56,13.89,1058163.0
2024-02-16,13.86,14.085,13.71,14.0,1138675.0
2024-02-20,14.0,14.35,13.655,13.79,1325221.0
2024-02-21,13.77,13.9,13.57,13.71,739620.0
2024-02-22,13.7,14.015,13.49,13.9,1171393.0
2024-02-23,13.91,14.15,13.7,14.04,683607.0
2024-02-26,14.04,14.285,13.915,14.18,1070760.0
2024-02-27,14.21,14.4,14.16,14.35,1482057.0
2024-02-28,14.27,14.73,14.16,14.56,1731558.0
2024-02-29,16.29,16.5,15.28,16.03,4155099.0
2024-03-01,16.2,17.495,16.18,17.01,3674088.0
2024-03-04,17.23,17.39,16.56,16.69,1549134.0
2024-03-05,16.7,16.795,16.03,16.27,1149313.0
2024-03-06,16.41,16.505,15.745,15.86,1005390.0
2024-03-07,16.29,16.75,16.05,16.64,1079950.0
2024-03-08,16.92,17.04,16.18,16.25,1066404.0
2024-03-11,16.24,16.41,16.05,16.1,1014944.0
2024-03-12,16.24,16.35,16.1,16.2,884631.0
2024-03-13,16.436,16.95,16.35,16.62,1356420.0
2024-03-14,17.02,17.02,16.035,16.19,1318201.0
2024-03-15,16.1,16.35,15.98,16.07,3409585.0
2024-03-18,16.04,16.385,15.75,16.08,1295433.0
2024-03-19,16.05,16.42,15.85,16.39,876639.0
2024-03-20,16.33,16.93,16.26,16.91,894964.0
2024-03-21,16.99,17.43,16.61,16.62,1868814.0
2024-03-22,16.6,16.6,15.71,15.73,948460.0
2024-03-25,15.77,16.03,15.6701,15.86,1085212.0
2024-03-26,16.0,16.14,15.73,15.75,828267.0
2024-03-27,15.9,16.665,15.89,16.27,1471658.0
2024-03-28,16.29,16.5,15.775,15.94,1172375.0
2024-04-01,15.79,15.86,15.35,15.74,978173.0
2024-04-02,15.45,15.46,15.14,15.26,1095280.0
2024-04-03,15.21,15.5,15.05,15.49,992565.0
2024-04-04,15.54,15.62,15.065,15.12,794937.0
2024-04-05,15.02,15.33,14.97,15.17,823527.0
2024-04-08,15.29,15.905,15.17,15.51,928806.0
2024-04-09,15.53,15.815,15.4201,15.79,844788.0
2024-04-10,15.41,15.97,15.25,15.88,1042960.0
2024-04-11,15.94,16.06,15.52,15.81,738739.0
2024-04-12,15.86,15.86,15.08,15.22,859560.0
2024-04-15,15.49,15.87,15.36,15.39,1296910.0
2024-04-16,15.22,15.69,15.1579,15.54,919898.0
2024-04-17,15.7,16.06,15.62,16.0,1367280.0
2024-04-18,16.03,16.25,15.33,15.34,1493313.0
2024-04-19,15.34,15.8,15.03,15.13,7422178.0
2024-04-22,15.28,15.35,14.93,15.1,1015778.0
2024-04-23,15.2,15.23,14.73,14.73,992474.0
2024-04-24,14.8,15.185,14.73,15.12,942143.0
2024-04-25,14.87,15.07,14.585,14.68,926397.0
2024-04-26,14.84,15.06,14.705,14.89,772457.0
2024-04-29,14.98,15.29,14.955,15.23,804908.0
2024-04-30,15.07,15.15,14.89,15.05,1227875.0
2024-05-01,15.13,15.52,14.97,15.2,1048481.0
2024-05-02,15.33,15.47,14.84,15.02,1084580.0
2024-05-03,15.29,15.35,14.7,14.72,1160512.0
2024-05-06,14.81,15.0,14.68,14.99,799941.0
2024-05-07,15.05,15.26,14.82,15.14,995078.0
2024-05-08,15.2,15.22,14.53,14.72,1099681.0
2024-05-09,14.87,15.8,14.47,15.65,1780987.0
2024-05-10,15.83,16.325,15.575,15.94,1437077.0
2024-05-13,16.14,16.515,16.04,16.22,1465974.0
2024-05-14,16.31,16.595,16.11,16.49,1006785.0
2024-05-15,16.59,17.03,16.51,16.66,1161513.0
2024-05-16,16.6,16.82,16.35,16.4,1331641.0
2024-05-17,16.55,16.85,16.315,16.49,1107633.0
2024-05-20,16.5,16.97,16.401,16.92,816451.0
