date,open,high,low,close,volume
2023-11-29,14.6,14.66,14.44,14.46,91735.0
2023-11-30,14.44,14.6,14.44,14.58,57859.0
2023-12-01,14.42,14.67,14.42,14.63,77325.0
2023-12-04,14.51,14.62,14.38,14.46,168131.0
2023-12-05,14.5,14.55,14.3,14.33,80883.0
2023-12-06,14.33,14.67,14.31,14.32,80943.0
2023-12-07,14.39,14.89,14.35,14.54,78702.0
2023-12-08,14.58,14.735,14.53,14.53,54112.0
2023-12-11,14.41,14.56,14.37,14.41,59555.0
2023-12-12,14.38,14.515,14.23,14.41,193038.0
2023-12-13,14.42,14.55,14.41,14.52,78345.0
2023-12-14,14.49,14.78,14.49,14.74,163376.0
2023-12-15,14.8,14.9,14.59,14.775,80572.0
2023-12-18,14.86,14.94,14.55,14.68,188144.0
2023-12-19,14.7,14.89,14.7,14.87,129676.0
2023-12-20,14.85,14.93,14.702,14.84,84854.0
2023-12-21,14.93,14.95,14.65,14.7,103051.0
2023-12-22,14.76,14.93,14.74,14.75,74325.0
2023-12-26,14.73,15.149,14.73,14.925,86138.0
2023-12-27,14.93,15.24,14.8,14.815,104232.0
2023-12-28,14.7,14.7828,14.42,14.53,229008.0
2023-12-29,14.39,14.66,14.39,14.45,188189.0
2024-01-02,14.45,14.7,14.412,14.52,69256.0
2024-01-03,14.52,14.6627,14.4801,14.62,44057.0
2024-01-04,14.52,14.79,14.52,14.79,62598.0
2024-01-05,14.94,14.9961,14.6306,14.84,50685.0
2024-01-08,14.84,15.109,14.84,15.05,132719.0
2024-01-09,15.03,15.11,15.0,15.06,58998.0
2024-01-10,14.93,15.14,14.93,15.07,71410.0
2024-01-11,15.17,15.225,15.054,15.13,55911.0
2024-01-12,15.24,15.37,15.03,15.145,91385.0
2024-01-16,15.18,15.19,14.87,14.92,48981.0
2024-01-17,14.94,14.94,14.57,14.72,33583.0
2024-01-18,14.76,14.91,14.76,14.88,35395.0
2024-01-19,14.95,14.97,14.77,14.945,40478.0
2024-01-22,14.94,15.02,14.8,14.96,69104.0
2024-01-23,14.89,14.945,14.76,14.79,62075.0
2024-01-24,14.83,14.95,14.7,14.79,55888.0
2024-01-25,14.76,14.98,14.76,14.95,51443.0
2024-01-26,14.86,15.08,14.86,15.01,49274.0
2024-01-29,14.95,15.1,14.9118,15.06,75248.0
2024-01-30,14.98,15.1,14.94,15.1,38316.0
2024-01-31,14.95,15.15,14.95,15.0,55538.0
2024-02-01,15.0,15.28,15.0,15.16,81093.0
2024-02-02,15.16,15.29,15.045,15.1422,42340.0
2024-02-05,15.18,15.25,15.03,15.09,47999.0
2024-02-06,15.03,15.22,15.0146,15.09,55945.0
2024-02-07,15.24,15.3899,15.2,15.29,53715.0
2024-02-08,15.49,15.49,15.26,15.29,83460.0
2024-02-09,15.22,15.3,15.0401,15.15,45975.0
2024-02-12,15.27,15.27,15.15,15.19,28269.0
2024-02-13,15.15,15.151,14.95,15.09,44824.0
2024-02-14,15.1,15.2337,14.76,14.94,95021.0
2024-02-15,15.0,15.07,14.89,14.89,136953.0
2024-02-16,14.97,14.97,14.8512,14.88,35517.0
2024-02-20,14.98,15.0799,14.88,14.95,43247.0
2024-02-21,14.97,15.005,14.88,14.9,32559.0
2024-02-22,14.96,15.1,14.9527,15.0,47873.0
2024-02-23,15.06,15.18,15.04,15.1,34890.0
2024-02-26,15.1,15.1,14.93,14.96,61812.0
2024-02-27,15.0,15.1202,14.81,14.93,33968.0
2024-02-28,14.93,14.9732,14.8,14.91,24204.0
2024-02-29,14.96,15.1582,14.9,14.94,73604.0
2024-03-01,14.95,15.22,14.95,15.08,40838.0
2024-03-04,15.04,15.12,14.91,14.92,42637.0
2024-03-05,15.0,15.0865,14.84,14.88,40090.0
2024-03-06,14.86,15.1301,14.85,15.02,70435.0
2024-03-07,15.13,15.13,14.93,14.99,43860.0
2024-03-08,15.05,15.05,14.9297,15.0,74695.0
2024-03-11,15.09,15.09,14.936,14.982,82196.0
2024-03-12,15.0395,15.2153,15.02,15.19,121300.0
2024-03-13,15.19,15.19,15.01,15.035,44052.0
2024-03-14,15.05,15.16,14.85,14.9,37322.0
2024-03-15,14.93,15.04,14.78,15.0,34321.0
2024-03-18,15.0,15.11,14.99,15.11,36108.0
2024-03-19,15.15,15.18,15.0558,15.11,79810.0
2024-03-20,15.16,15.24,15.0801,15.21,41286.0
2024-03-21,15.42,15.4599,15.12,15.162,71980.0
2024-03-22,15.24,15.33,15.15,15.18,40735.0
2024-03-25,15.2,15.4,15.04,15.148,67324.0
2024-03-26,15.15,15.22,15.04,15.18,40534.0
2024-03-27,15.19,15.4388,15.06,15.36,62271.0
2024-03-28,15.36,15.59,15.24,15.43,86496.0
2024-04-01,15.54,15.54,15.12,15.29,119440.0
2024-04-02,15.35,15.35,15.02,15.18,72017.0
2024-04-03,15.19,15.29,15.09,15.23,55581.0
2024-04-04,15.33,15.3599,15.15,15.27,61920.0
2024-04-05,15.33,15.48,15.31,15.4,50206.0
