date,open,high,low,close,volume
2023-11-29,22.72,22.72,22.2,22.36,49722.0
2023-11-30,22.15,22.28,21.51,21.78,59820.0
2023-12-01,21.46,22.02,21.46,22.02,41973.0
2023-12-04,21.95,22.42,21.77,22.41,55359.0
2023-12-05,22.73,22.73,21.98,22.22,77566.0
2023-12-06,22.45,22.6399,21.57,22.05,71281.0
2023-12-07,22.04,23.57,21.98,23.56,99764.0
2023-12-08,23.61,23.8153,22.67,23.0,61603.0
2023-12-11,22.9,23.03,22.62,23.03,51434.0
2023-12-12,23.25,23.25,22.105,22.24,56773.0
2023-12-13,22.32,22.9,21.5,22.89,81075.0
2023-12-14,22.9,23.47,22.595,22.95,63004.0
2023-12-15,22.9,22.9,21.84,22.02,41813.0
2023-12-18,22.06,22.29,21.56,21.67,42080.0
2023-12-19,21.86,22.155,21.5,22.08,51635.0
2023-12-20,21.92,22.2,21.5,21.53,75258.0
2023-12-21,21.73,23.03,21.6987,22.98,86980.0
2023-12-22,23.0,23.2646,22.835,23.21,34231.0
2023-12-26,23.3,23.77,23.21,23.51,51988.0
2023-12-27,23.41,23.89,23.38,23.61,35521.0
2023-12-28,23.55,23.87,23.31,23.31,22974.0
2023-12-29,23.17,23.52,22.53,22.85,27727.0
2024-01-02,22.5,22.98,22.21,22.41,44127.0
2024-01-03,22.01,22.48,21.9628,22.15,47574.0
2024-01-04,22.01,22.45,21.855,22.27,49885.0
2024-01-05,22.3,22.72,22.25,22.69,22744.0
2024-01-08,22.51,22.83,22.285,22.75,34529.0
2024-01-09,22.77,22.77,22.24,22.39,30145.0
2024-01-10,22.25,22.39,22.0,22.25,27250.0
2024-01-11,22.085,22.205,21.78,22.07,27308.0
2024-01-12,22.08,22.35,21.91,22.12,15415.0
2024-01-16,22.12,22.54,21.9993,22.21,36509.0
2024-01-17,22.01,22.33,21.65,21.66,24205.0
2024-01-18,21.66,21.76,21.56,21.63,29510.0
2024-01-19,21.52,22.03,21.44,21.93,46277.0
2024-01-22,22.0,22.64,22.0,22.52,39868.0
2024-01-23,22.73,22.73,22.11,22.2,32971.0
2024-01-24,22.23,22.5872,21.5,21.66,34837.0
2024-01-25,21.71,22.44,21.5,22.44,45794.0
2024-01-26,22.61,22.82,22.03,22.8,34489.0
2024-01-29,22.94,23.1,22.24,22.98,33410.0
2024-01-30,22.72,22.78,22.15,22.35,40211.0
2024-01-31,22.35,22.58,22.05,22.2,35086.0
2024-02-01,22.14,22.58,21.9,22.47,43784.0
2024-02-02,22.48,22.68,21.98,22.45,57630.0
2024-02-05,22.33,22.44,21.885,22.29,34241.0
2024-02-06,22.29,22.345,21.97,22.1,39441.0
2024-02-07,21.99,22.44,21.95,22.31,40414.0
2024-02-08,22.47,22.57,22.16,22.54,36359.0
2024-02-09,22.44,22.63,22.0,22.06,61462.0
2024-02-12,22.25,22.6699,22.15,22.63,38125.0
2024-02-13,22.51,22.5553,21.6768,21.92,37119.0
2024-02-14,21.96,22.01,21.6,21.81,21343.0
2024-02-15,21.97,22.67,21.77,22.65,49046.0
2024-02-16,22.68,23.02,22.4,22.99,52965.0
2024-02-20,22.99,22.99,21.93,22.15,41718.0
2024-02-21,21.96,22.945,21.96,22.7,25300.0
2024-02-22,22.64,22.64,22.127,22.51,52770.0
2024-02-23,22.3,22.47,22.12,22.4,22650.0
2024-02-26,22.35,22.405,21.93,22.13,229220.0
2024-02-27,22.33,22.6025,22.015,22.32,61015.0
2024-02-28,22.16,23.16,22.09,22.49,45072.0
2024-02-29,23.54,24.845,23.065,23.42,162614.0
2024-03-01,23.66,24.14,22.92,23.44,106168.0
2024-03-04,23.48,23.8661,22.76,23.5,160528.0
2024-03-05,23.52,24.23,23.48,23.63,95954.0
2024-03-06,23.82,24.37,23.5,24.11,90987.0
2024-03-07,24.11,24.66,24.11,24.54,132737.0
2024-03-08,24.52,24.92,24.09,24.77,201239.0
2024-03-11,24.68,24.84,23.29,24.84,141906.0
2024-03-12,24.8,25.2,24.6,24.96,71391.0
2024-03-13,24.9,25.47,24.9,25.38,97003.0
2024-03-14,25.3,25.3,24.67,25.0,86876.0
2024-03-15,24.88,25.76,24.78,25.76,146835.0
2024-03-18,25.71,25.71,25.1215,25.37,64523.0
2024-03-19,25.2,25.5,25.01,25.1,38285.0
2024-03-20,24.95,25.435,24.885,25.3,57260.0
2024-03-21,25.3,25.32,24.93,25.0,51795.0
2024-03-22,25.0,25.0597,24.845,24.98,67093.0
2024-03-25,25.03,26.25,24.98,26.22,166549.0
2024-03-26,26.43,26.7,25.84,26.25,86478.0
2024-03-27,26.45,26.66,26.145,26.55,62615.0
2024-03-28,26.74,27.3,26.64,26.85,57248.0
2024-04-01,26.89,27.38,26.58,27.02,106448.0
2024-04-02,27.06,27.06,26.625,26.92,45980.0
2024-04-03,26.85,27.47,26.85,27.47,42500.0
2024-04-04,27.53,27.53,26.895,27.09,37130.0
2024-04-05,26.9,27.5,26.87,27.04,41712.0
2024-04-08,27.25,28.005,27.09,27.77,62630.0
2024-04-09,27.7,27.89,27.03,27.07,35668.0
2024-04-10,26.75,27.215,25.84,26.97,38367.0
2024-04-11,26.89,26.92,26.2716,26.35,20413.0
2024-04-12,26.17,26.43,25.4,25.58,36163.0
2024-04-15,25.79,25.87,25.32,25.59,39950.0
2024-04-16,25.35,25.62,25.1,25.43,39845.0
2024-04-17,25.68,25.87,25.025,25.14,38629.0
2024-04-18,25.08,25.2927,24.9733,25.07,27290.0
2024-04-19,25.24,25.68,25.24,25.65,42569.0
2024-04-22,25.75,26.12,25.41,25.76,53227.0
2024-04-23,25.74,26.33,25.21,26.01,30163.0
2024-04-24,26.08,26.202,25.47,26.09,26988.0
2024-04-25,26.12,26.12,25.47,25.83,37417.0
2024-04-26,26.38,26.38,24.285,25.0,60625.0
2024-04-29,24.34,24.34,22.12,23.07,214558.0
2024-04-30,23.06,24.58,23.06,23.22,91553.0
2024-05-01,23.36,24.51,23.36,24.08,75503.0
2024-05-02,24.37,24.66,24.15,24.26,77279.0
2024-05-03,24.27,24.432,24.1197,24.21,64896.0
2024-05-06,24.21,24.72,24.1969,24.48,84622.0
2024-05-07,24.5,24.83,24.5,24.69,88178.0
2024-05-08,24.59,24.78,24.47,24.72,75054.0
2024-05-09,24.86,25.04,24.755,24.8,58675.0
2024-05-10,24.9,24.9599,24.73,24.8,27630.0
2024-05-13,24.8,25.04,24.75,24.81,51674.0
2024-05-14,25.02,25.02,24.74,24.75,45658.0
2024-05-15,24.88,25.071,24.45,24.98,41857.0
2024-05-16,25.03,25.092,24.71,24.82,19665.0
2024-05-17,24.79,25.14,24.79,25.1,28240.0
