date,open,high,low,close,volume
2023-11-29,11.58,11.65,11.4725,11.53,466330.0
2023-11-30,11.55,11.64,11.475,11.51,432458.0
2023-12-01,11.57,11.77,11.5,11.74,611615.0
2023-12-04,11.72,11.94,11.7,11.91,554977.0
2023-12-05,11.9,12.0099,11.88,11.93,641748.0
2023-12-06,11.95,12.0,11.78,11.83,782547.0
2023-12-07,11.73,12.08,11.68,11.99,833748.0
2023-12-08,12.03,12.125,11.715,11.84,1328571.0
2023-12-11,11.85,11.85,11.65,11.72,671093.0
2023-12-12,11.7,11.705,11.52,11.58,1038213.0
2023-12-13,11.53,11.97,11.425,11.97,1954863.0
2023-12-14,12.0,12.17,11.82,11.9,953143.0
2023-12-15,11.96,11.98,11.76,11.91,767000.0
2023-12-18,11.87,11.875,11.78,11.83,462681.0
2023-12-19,11.89,12.245,11.88,12.23,581199.0
2023-12-20,12.21,12.33,12.0916,12.12,513988.0
2023-12-21,12.11,12.18,12.015,12.17,356691.0
2023-12-22,12.15,12.394,12.15,12.3,456804.0
2023-12-26,12.35,12.35,12.27,12.32,328122.0
2023-12-27,12.3,12.5,12.3,12.47,400116.0
2023-12-28,12.45,12.56,12.45,12.47,316621.0
2023-12-29,12.42,12.45,12.27,12.29,257742.0
2024-01-02,12.25,12.45,12.16,12.41,500120.0
2024-01-03,12.39,12.57,12.335,12.37,430553.0
2024-01-04,12.37,12.52,12.36,12.49,391419.0
2024-01-05,12.43,12.6,12.43,12.52,401399.0
2024-01-08,12.6,12.68,12.52,12.53,442695.0
2024-01-09,12.5,12.5,12.195,12.2,416341.0
2024-01-10,12.19,12.479,12.11,12.19,362201.0
2024-01-11,12.13,12.13,11.87,12.02,558683.0
2024-01-12,12.21,12.21,11.95,12.02,379861.0
2024-01-16,11.92,11.9212,11.58,11.67,551475.0
2024-01-17,11.585,11.71,11.54,11.7,335533.0
2024-01-18,11.73,11.73,11.56,11.62,288206.0
2024-01-19,11.64,11.64,11.43,11.58,477055.0
2024-01-22,11.58,11.68,11.475,11.57,325568.0
2024-01-23,11.7,11.75,11.54,11.61,289099.0
2024-01-24,11.63,11.65,11.315,11.37,291358.0
2024-01-25,11.5,11.5,11.34,11.38,344995.0
2024-01-26,11.52,11.55,11.4,11.54,345005.0
2024-01-29,11.54,11.54,11.3987,11.48,332545.0
2024-01-30,11.48,11.675,11.47,11.61,504274.0
2024-01-31,11.61,11.61,11.28,11.29,477908.0
