date,open,high,low,close,volume
2023-11-29,140.96,142.14,140.44,140.77,749706.0
2023-11-30,141.5,142.24,139.93,141.16,1080077.0
2023-12-01,141.58,143.355,141.15,143.21,863636.0
2023-12-04,142.02,143.569,141.68,143.43,726487.0
2023-12-05,143.05,143.27,141.18,141.36,680492.0
2023-12-06,142.09,144.71,142.09,143.21,564974.0
2023-12-07,143.6,143.7799,142.44,143.69,782051.0
2023-12-08,143.79,145.12,143.305,143.62,991035.0
2023-12-11,143.56,145.78,143.525,145.31,535047.0
2023-12-12,145.8,145.96,145.13,145.49,438402.0
2023-12-13,145.38,147.865,144.0,147.3,740254.0
2023-12-14,148.88,155.85,148.58,155.29,1380307.0
2023-12-15,153.96,155.04,151.49,152.2,1374269.0
2023-12-18,152.75,152.765,150.85,151.8,632279.0
2023-12-19,152.47,153.72,151.95,153.3,761095.0
2023-12-20,153.0,154.39,150.8,150.98,722018.0
2023-12-21,152.15,152.71,151.16,152.48,442110.0
2023-12-22,153.0,153.8,152.065,152.94,443511.0
2023-12-26,153.16,154.915,153.07,154.64,452643.0
2023-12-27,154.86,154.96,153.68,154.16,441245.0
2023-12-28,154.34,154.65,153.51,154.16,529487.0
2023-12-29,153.56,154.3888,153.015,153.81,623940.0
2024-01-02,153.17,154.05,150.98,151.52,695371.0
2024-01-03,150.33,150.4,147.69,148.33,844816.0
2024-01-04,148.7,149.38,147.94,148.1,873385.0
2024-01-05,147.5,148.37,146.85,147.49,877591.0
2024-01-08,146.56,148.335,145.84,148.23,1012800.0
2024-01-09,146.91,147.78,145.725,147.58,905943.0
2024-01-10,147.95,148.35,146.32,147.17,633195.0
2024-01-11,147.31,147.7799,145.69,147.33,1055261.0
2024-01-12,148.57,148.65,146.4657,147.14,575569.0
2024-01-16,146.23,146.45,144.5825,146.21,1074188.0
2024-01-17,144.55,146.16,143.965,144.44,609988.0
2024-01-18,144.63,146.99,144.63,146.77,531852.0
2024-01-19,146.95,148.57,145.87,148.09,524330.0
2024-01-22,148.91,150.25,148.355,148.46,598842.0
2024-01-23,149.48,150.73,148.47,150.69,1050094.0
2024-01-24,151.85,151.99,147.98,148.01,768964.0
2024-01-25,149.12,150.07,148.595,149.96,857984.0
2024-01-26,150.1,151.34,149.225,149.94,550503.0
2024-01-29,149.36,151.8,149.19,151.76,788363.0
2024-01-30,151.76,152.22,151.075,151.48,784524.0
2024-01-31,151.74,152.33,149.74,149.78,1774996.0
2024-02-01,151.87,156.69,148.45,156.55,2116720.0
2024-02-02,156.0,159.39,156.0,158.75,1406980.0
2024-02-05,158.85,160.48,156.5925,159.99,1917954.0
2024-02-06,159.96,161.19,159.5,160.82,1283416.0
2024-02-07,162.0,162.48,160.08,160.47,1198603.0
2024-02-08,160.49,161.0,158.19,160.11,1036480.0
2024-02-09,160.21,160.93,159.36,160.53,1021009.0
2024-02-12,160.35,162.18,159.9,161.97,1032547.0
2024-02-13,159.75,160.045,158.29,159.83,870047.0
2024-02-14,161.04,161.97,159.23,160.89,748944.0
2024-02-15,161.45,163.025,161.02,162.64,775048.0
2024-02-16,162.52,164.09,161.165,161.46,802047.0
2024-02-20,160.26,160.59,159.475,160.08,695722.0
2024-02-21,160.39,160.71,159.58,160.39,873516.0
2024-02-22,161.19,163.51,161.19,163.08,857071.0
2024-02-23,163.63,164.295,162.45,164.1,766433.0
2024-02-26,163.46,165.1,163.065,164.78,957097.0
2024-02-27,165.58,166.56,163.76,164.09,941906.0
2024-02-28,163.32,166.62,163.32,164.36,690690.0
2024-02-29,165.13,165.91,163.71,165.38,1087417.0
2024-03-01,165.86,167.85,164.905,167.3,1022820.0
2024-03-04,167.38,169.27,166.87,167.86,830165.0
2024-03-05,167.92,169.8,166.2003,167.27,1114653.0
2024-03-06,167.87,171.765,167.87,170.92,1220797.0
2024-03-07,171.67,172.3,170.93,171.9,1125765.0
2024-03-08,172.6,173.545,170.495,171.03,844897.0
2024-03-11,170.54,171.44,169.08,170.94,562889.0
2024-03-12,171.05,175.51,169.65,175.27,1147237.0
2024-03-13,175.84,177.64,175.78,177.22,1126033.0
2024-03-14,176.4,176.85,173.5,175.07,1022262.0
2024-03-15,173.68,176.48,173.68,175.53,1132687.0
2024-03-18,176.34,177.0,174.24,174.42,805000.0
2024-03-19,174.36,176.1,174.36,175.14,747273.0
2024-03-20,174.58,176.3,173.71,175.55,935827.0
2024-03-21,175.73,178.28,175.32,177.9,2048552.0
