date,open,high,low,close,volume
2023-11-29,9.5,9.59,9.44,9.47,242670.0
2023-11-30,9.5,9.54,9.42,9.53,205523.0
2023-12-01,9.53,9.7,9.53,9.64,150551.0
2023-12-04,9.61,9.7037,9.6036,9.63,152450.0
2023-12-05,9.69,9.69,9.53,9.54,94107.0
2023-12-06,9.59,9.59,9.48,9.49,121195.0
2023-12-07,9.52,9.52,9.4,9.4,148879.0
2023-12-08,9.4,9.4798,9.35,9.38,84909.0
2023-12-11,9.38,9.42,9.35,9.38,100484.0
2023-12-12,9.43,9.43,9.3001,9.32,135646.0
2023-12-13,9.33,9.62,9.29,9.6,176050.0
2023-12-14,9.58,9.63,9.4849,9.52,217797.0
2023-12-15,9.5,9.5,9.2,9.32,197955.0
2023-12-18,9.3,9.34,9.25,9.25,165686.0
2023-12-19,9.25,9.2876,9.2005,9.26,228106.0
2023-12-20,9.27,9.31,9.13,9.13,157402.0
2023-12-21,9.1,9.16,9.02,9.06,264119.0
2023-12-22,9.04,9.195,9.04,9.11,217207.0
2023-12-26,9.07,9.21,9.07,9.18,243263.0
2023-12-27,9.2,9.24,9.14,9.2,258925.0
2023-12-28,9.16,9.25,9.16,9.2,277469.0
2023-12-29,9.19,9.25,9.1,9.17,268919.0
2024-01-02,9.17,9.37,9.17,9.35,216429.0
2024-01-03,9.3,9.43,9.265,9.38,193806.0
2024-01-04,9.35,9.45,9.35,9.38,120500.0
2024-01-05,9.38,9.53,9.3,9.52,184871.0
2024-01-08,9.54,9.62,9.47,9.6,156176.0
2024-01-09,9.55,9.58,9.4832,9.58,91649.0
2024-01-10,9.6,9.63,9.515,9.63,132884.0
2024-01-11,9.63,9.63,9.3595,9.45,112402.0
2024-01-12,9.51,9.53,9.3901,9.46,145691.0
2024-01-16,9.38,9.41,9.2,9.21,139673.0
2024-01-17,9.21,9.27,9.08,9.16,152380.0
2024-01-18,9.22,9.24,9.0,9.05,154102.0
2024-01-19,9.1,9.11,8.945,8.98,174156.0
