date,open,high,low,close,volume
2023-11-29,75.21,75.93,74.9,75.07,393423.0
2023-11-30,75.1,75.73,74.33,75.68,229863.0
2023-12-01,75.38,77.04,74.95,76.89,280943.0
2023-12-04,76.57,78.07,76.57,78.07,356556.0
2023-12-05,77.55,77.8399,76.58,77.73,259541.0
2023-12-06,78.34,78.89,77.76,77.82,244843.0
2023-12-07,78.0,79.15,77.7164,79.11,303320.0
2023-12-08,79.21,79.77,78.41,78.84,252605.0
2023-12-11,78.62,79.09,78.18,78.45,382063.0
2023-12-12,78.63,78.63,77.735,78.06,233007.0
2023-12-13,77.8,80.23,77.71,80.06,480471.0
2023-12-14,80.5,82.84,80.46,81.66,415026.0
2023-12-15,81.92,82.51,81.26,81.78,810841.0
2023-12-18,81.86,82.1,81.26,81.68,292534.0
2023-12-19,82.5,83.4,82.1903,83.17,230714.0
2023-12-20,83.14,83.535,81.35,81.48,330576.0
2023-12-21,82.41,82.4236,81.3191,82.01,216241.0
2023-12-22,82.08,82.95,82.08,82.36,166240.0
2023-12-26,82.94,83.635,82.41,82.94,206735.0
2023-12-27,82.87,83.5,82.68,83.09,181204.0
2023-12-28,82.94,83.31,82.29,82.44,163889.0
2023-12-29,82.2,82.41,81.26,81.41,272823.0
2024-01-02,80.42,80.95,79.64,80.09,448558.0
2024-01-03,79.22,79.34,77.75,78.26,509979.0
2024-01-04,78.55,78.55,77.18,77.87,438009.0
2024-01-05,77.32,78.81,77.32,77.82,257906.0
2024-01-08,77.61,78.64,77.47,78.6,182941.0
2024-01-09,77.54,78.16,77.26,77.92,230597.0
2024-01-10,77.59,78.32,77.38,78.23,212809.0
2024-01-11,78.0,78.56,77.18,78.55,182565.0
2024-01-12,79.64,79.64,77.91,78.38,182513.0
2024-01-16,77.75,78.6,77.18,78.43,370115.0
2024-01-17,77.22,78.1,76.66,76.73,570059.0
2024-01-18,79.0,79.41,74.66,78.06,739320.0
2024-01-19,78.25,78.29,75.85,76.75,537428.0
2024-01-22,77.42,78.1499,76.99,77.74,412720.0
2024-01-23,78.7,78.83,77.5,77.78,308024.0
2024-01-24,78.02,78.3488,76.67,76.94,266824.0
2024-01-25,77.95,78.09,77.145,77.98,275322.0
2024-01-26,78.69,78.83,77.64,77.72,201282.0
2024-01-29,77.49,78.14,77.245,78.02,283495.0
2024-01-30,77.74,78.38,77.4,77.69,359133.0
2024-01-31,77.82,77.82,75.7,75.77,341440.0
2024-02-01,76.1,76.43,75.07,76.33,285326.0
2024-02-02,75.41,76.14,74.98,75.92,200812.0
2024-02-05,74.75,75.44,73.9,75.02,213588.0
2024-02-06,75.0,76.47,74.86,76.33,299477.0
2024-02-07,76.68,76.88,76.1,76.18,265677.0
2024-02-08,76.2,76.49,75.305,76.22,343597.0
2024-02-09,76.22,77.725,75.97,77.31,326186.0
2024-02-12,77.96,79.15,77.6,78.47,269887.0
2024-02-13,76.43,77.2,75.535,76.18,272194.0
2024-02-14,76.96,77.22,76.09,76.53,210995.0
2024-02-15,76.96,78.45,76.96,78.38,208591.0
2024-02-16,78.06,78.5,77.21,77.3,259368.0
2024-02-20,76.36,78.01,76.36,77.81,226795.0
2024-02-21,77.91,78.15,77.32,77.99,425929.0
2024-02-22,78.17,78.89,77.88,78.41,163159.0
2024-02-23,78.58,79.05,78.392,78.79,155241.0
2024-02-26,78.51,78.63,77.84,78.54,179786.0
2024-02-27,79.02,79.135,78.01,78.14,120179.0
2024-02-28,77.65,78.91,77.65,78.48,183231.0
2024-02-29,79.21,79.75,78.61,79.53,222486.0
2024-03-01,79.55,79.805,78.895,79.53,168883.0
2024-03-04,79.47,79.91,79.285,79.75,165501.0
2024-03-05,79.13,79.44,77.83,78.16,177218.0
2024-03-06,78.93,79.48,78.5,79.02,143324.0
2024-03-07,79.5,80.47,79.06,79.54,175384.0
2024-03-08,80.09,80.47,79.095,79.16,134088.0
2024-03-11,79.03,79.39,78.58,79.27,112044.0
2024-03-12,79.28,79.33,78.5,78.91,172387.0
2024-03-13,78.74,80.045,78.74,79.17,207375.0
2024-03-14,78.82,78.86,77.765,78.41,219992.0
2024-03-15,77.87,79.77,77.87,79.66,584246.0
2024-03-18,79.63,80.19,78.44,78.77,345132.0
2024-03-19,79.06,80.29,79.035,79.58,282779.0
2024-03-20,79.5,81.41,79.275,80.84,455667.0
2024-03-21,81.05,81.65,80.765,81.12,355372.0
2024-03-22,81.32,81.32,80.07,80.69,262424.0
2024-03-25,80.74,81.04,79.79,79.8,233493.0
2024-03-26,80.18,80.905,79.94,80.36,207706.0
2024-03-27,81.06,82.87,81.06,82.58,642118.0
2024-03-28,81.0,84.31,79.35,79.74,757823.0
2024-04-01,79.48,79.75,77.53,78.92,379285.0
2024-04-02,78.4,78.94,77.59,78.9,387386.0
2024-04-03,78.0,79.36,78.0,79.34,385329.0
2024-04-04,79.82,79.95,77.39,77.65,274032.0
2024-04-05,77.43,78.005,76.96,77.67,244647.0
2024-04-08,78.08,78.64,77.74,78.18,247830.0
2024-04-09,78.65,78.98,77.96,78.65,206146.0
2024-04-10,76.89,77.525,75.98,76.98,297173.0
2024-04-11,77.24,78.11,76.775,77.54,336055.0
2024-04-12,77.26,77.26,75.6,75.92,281881.0
2024-04-15,76.16,76.62,75.17,75.9,296055.0
2024-04-16,75.31,75.99,74.51,75.18,287978.0
2024-04-17,75.69,76.27,75.645,76.0,441888.0
2024-04-18,76.27,76.48,75.26,76.15,356227.0
2024-04-19,76.13,76.97,76.02,76.95,479799.0
2024-04-22,77.02,77.27,76.1,76.52,302339.0
2024-04-23,76.19,76.79,75.76,76.11,270928.0
2024-04-24,75.5,76.2,74.48,75.06,259066.0
2024-04-25,74.67,74.67,73.58,73.68,255195.0
2024-04-26,73.68,74.925,73.68,74.23,264821.0
2024-04-29,74.58,75.39,74.49,75.35,270676.0
2024-04-30,74.77,75.25,74.29,74.71,357619.0
2024-05-01,75.07,76.38,75.07,75.15,369414.0
2024-05-02,75.72,76.73,75.47,76.06,307356.0
2024-05-03,77.1,77.535,76.39,76.93,188144.0
2024-05-06,77.3,78.48,77.01,78.45,203630.0
2024-05-07,78.9,79.71,78.9,79.2,236457.0
2024-05-08,78.45,79.38,78.45,79.35,210141.0
2024-05-09,79.43,79.695,78.51,79.18,235892.0
2024-05-10,79.24,79.65,78.585,79.62,213193.0
2024-05-13,80.0,80.13,79.39,79.57,198381.0
2024-05-14,80.09,80.64,79.79,80.44,212966.0
2024-05-15,81.09,81.35,80.401,81.06,245784.0
2024-05-16,81.09,81.46,80.54,81.35,339896.0
2024-05-17,81.73,81.73,80.78,81.15,215621.0
2024-05-20,81.15,82.16,81.06,82.09,265996.0
2024-05-21,81.97,82.3,81.75,81.96,219346.0
2024-05-22,81.55,81.98,79.955,80.29,303042.0
2024-05-23,80.46,80.46,78.97,79.46,247490.0
2024-05-24,79.97,80.13,78.69,79.4,281009.0
2024-05-28,79.43,79.485,78.11,78.39,245789.0
2024-05-29,77.6,78.215,77.11,77.38,182569.0
2024-05-30,77.71,79.06,77.71,78.67,205552.0
2024-05-31,79.25,79.96,78.47,79.63,277952.0
2024-06-03,79.97,79.97,78.24,78.53,251725.0
2024-06-04,78.0,78.28,77.015,77.06,215399.0
2024-06-05,77.3,77.97,76.68,77.79,219346.0
2024-06-06,77.55,78.69,77.4,77.83,218327.0
2024-06-07,77.02,77.7,75.92,76.07,306700.0
2024-06-10,75.41,76.23,74.86,76.01,278263.0
2024-06-11,75.72,76.23,75.24,76.16,201806.0
2024-06-12,78.08,78.88,77.64,78.58,359400.0
2024-06-13,78.27,78.71,77.3,78.55,468997.0
2024-06-14,77.46,77.78,76.44,77.38,273447.0
2024-06-17,77.04,78.67,77.04,78.65,217561.0
2024-06-18,78.74,79.27,78.375,78.82,211765.0
2024-06-20,78.55,79.39,77.78,78.05,481954.0
2024-06-21,78.03,78.085,77.58,78.01,789835.0
2024-06-24,78.44,79.75,78.25,78.67,393109.0
2024-06-25,78.12,78.12,75.35,76.32,599302.0
2024-06-26,75.77,76.75,75.48,76.3,468387.0
2024-06-27,80.11,80.11,75.215,76.35,713682.0
2024-06-28,76.89,78.21,76.2,76.96,1947778.0
2024-07-01,77.47,77.64,76.1,76.34,384275.0
2024-07-02,76.65,77.11,76.41,76.58,325984.0
2024-07-03,76.76,76.81,75.965,76.21,183113.0
2024-07-05,75.8,76.05,74.98,75.6,274553.0
2024-07-08,76.33,77.4,76.33,77.25,329511.0
2024-07-09,77.13,77.47,76.39,76.7,373390.0
2024-07-10,77.36,78.65,77.005,78.6,346224.0
2024-07-11,80.13,81.74,79.78,80.44,571356.0
2024-07-12,81.14,82.92,80.255,82.91,433055.0
2024-07-15,83.0,84.08,82.92,83.21,361794.0
2024-07-16,83.62,86.29,83.62,86.17,420428.0
2024-07-17,85.89,86.92,84.825,84.96,424835.0
2024-07-18,84.59,86.175,83.64,84.09,252966.0
2024-07-19,84.03,84.03,82.29,82.53,308728.0
2024-07-22,83.29,84.14,82.28,83.79,197074.0
2024-07-23,83.94,84.81,83.34,84.37,256623.0
2024-07-24,84.19,84.65,82.28,82.32,199978.0
2024-07-25,82.57,84.72,81.52,83.81,351854.0
2024-07-26,84.46,85.44,84.193,85.21,217122.0
2024-07-29,85.18,85.54,84.42,85.47,260573.0
2024-07-30,85.28,86.55,85.01,86.11,183073.0
2024-07-31,86.36,87.665,85.3,86.2,831708.0
2024-08-01,86.2,86.705,83.595,84.07,253623.0
2024-08-02,81.68,81.68,80.11,81.22,385145.0
2024-08-05,77.79,79.23,76.555,78.03,330068.0
2024-08-06,77.89,80.34,77.32,78.84,382920.0
2024-08-07,79.56,79.86,77.885,78.06,279509.0
2024-08-08,79.0,79.84,78.71,79.64,162338.0
2024-08-09,79.44,79.91,79.045,79.19,171788.0
2024-08-12,78.99,79.0,78.09,78.35,156369.0
2024-08-13,78.68,79.62,77.9,79.08,146959.0
2024-08-14,79.46,79.46,78.25,79.02,141690.0
2024-08-15,80.64,81.5,80.15,80.54,190010.0
2024-08-16,80.41,81.19,79.86,81.17,235156.0
2024-08-19,81.19,81.24,80.19,81.03,123833.0
2024-08-20,80.68,80.89,79.97,80.04,115848.0
2024-08-21,80.73,81.71,80.425,81.47,127216.0
2024-08-22,81.86,82.44,80.93,81.57,172790.0
2024-08-23,82.2,83.91,81.84,83.43,186251.0
2024-08-26,84.13,85.09,83.03,83.21,176690.0
2024-08-27,82.96,83.53,82.47,83.01,182767.0
2024-08-28,82.97,83.88,82.66,83.42,163931.0
2024-08-29,84.13,85.1,83.345,84.44,189166.0
2024-08-30,84.68,85.89,83.93,85.66,257712.0
2024-09-03,84.52,84.995,82.34,82.77,231585.0
2024-09-04,82.4,82.91,81.75,81.83,232319.0
2024-09-05,82.19,82.335,80.33,80.63,193997.0
2024-09-06,80.83,81.2,79.26,79.43,171248.0
2024-09-09,79.28,79.86,78.72,79.25,256694.0
2024-09-10,79.37,79.55,78.4,79.0,222542.0
