date,open,high,low,close,volume
2023-11-27,8.41,8.52,8.35,8.46,115869.0
2023-11-28,8.48,8.48,8.23,8.23,80193.0
2023-11-29,8.31,8.34,8.225,8.24,93179.0
2023-11-30,8.16,8.24,8.06,8.07,93705.0
2023-12-01,8.08,8.225,8.04,8.21,112700.0
2023-12-04,8.21,8.4,8.21,8.35,136598.0
2023-12-05,8.36,8.46,8.35,8.46,105307.0
2023-12-06,8.47,8.6,8.47,8.54,202936.0
2023-12-07,8.53,8.58,8.42,8.56,130235.0
2023-12-08,8.58,8.7,8.52,8.66,99856.0
2023-12-11,8.68,8.73,8.445,8.68,176690.0
2023-12-12,8.69,8.77,8.62,8.71,138898.0
2023-12-13,8.73,8.95,8.64,8.92,503323.0
2023-12-14,8.95,9.06,8.835,8.91,237804.0
2023-12-15,8.93,9.01,8.84,8.9,1177788.0
2023-12-18,8.96,8.97,8.81,8.9,168800.0
2023-12-19,8.95,8.99,8.86,8.9,352550.0
2023-12-20,8.79,8.88,8.71,8.72,211520.0
2023-12-21,8.78,8.91,8.75,8.9,167798.0
2023-12-22,8.92,9.0,8.86,8.925,142779.0
2023-12-26,8.93,9.065,8.93,9.05,97624.0
2023-12-27,9.04,9.2,8.97,9.18,250871.0
2023-12-28,9.18,9.2,8.98,9.07,125564.0
2023-12-29,9.05,9.05,8.92,8.96,223193.0
2024-01-02,8.91,8.99,8.595,8.62,249159.0
2024-01-03,8.64,8.72,8.47,8.52,251800.0
2024-01-04,8.53,8.65,8.48,8.53,125102.0
2024-01-05,8.45,8.57,8.45,8.53,247938.0
2024-01-08,8.56,8.59,8.46,8.57,84308.0
2024-01-09,8.61,8.61,8.44,8.56,97090.0
2024-01-10,8.56,8.65,8.54,8.65,58044.0
2024-01-11,8.66,8.72,8.59,8.71,82676.0
2024-01-12,8.79,8.83,8.6338,8.71,77103.0
2024-01-16,8.66,8.71,8.6,8.63,58769.0
2024-01-17,8.55,8.7,8.55,8.64,49532.0
2024-01-18,8.66,8.68,8.58,8.67,76204.0
2024-01-19,8.76,8.76,8.64,8.66,116024.0
2024-01-22,8.72,8.77,8.65,8.71,271876.0
2024-01-23,8.77,8.84,8.635,8.665,224879.0
2024-01-24,8.75,8.79,8.665,8.7,82991.0
2024-01-25,8.79,8.97,8.7,8.76,148674.0
2024-01-26,8.63,8.815,8.63,8.75,112240.0
2024-01-29,8.73,8.85,8.66,8.83,200164.0
2024-01-30,8.8,8.85,8.77,8.815,56578.0
2024-01-31,8.81,8.87,8.67,8.69,108368.0
2024-02-01,8.7,8.75,8.59,8.68,131261.0
2024-02-02,8.59,8.66,8.585,8.6,57135.0
2024-02-05,8.51,8.6,8.45,8.55,79237.0
2024-02-06,8.55,8.59,8.54,8.57,51281.0
2024-02-07,8.6,8.65,8.46,8.63,76191.0
2024-02-08,8.61,8.7,8.61,8.7,88886.0
2024-02-09,8.7,8.9,8.64,8.8,157888.0
2024-02-12,8.8,8.86,8.69,8.84,185154.0
2024-02-13,8.98,8.98,8.05,8.65,346378.0
2024-02-14,8.71,8.865,8.18,8.44,255061.0
2024-02-15,8.53,8.61,8.43,8.54,409259.0
2024-02-16,8.82,8.96,8.67,8.84,618898.0
2024-02-20,8.75,8.81,8.39,8.47,245423.0
2024-02-21,8.44,8.63,8.3701,8.62,361879.0
2024-02-22,8.59,8.62,8.43,8.49,635549.0
2024-02-23,8.51,8.51,8.42,8.44,103260.0
2024-02-26,8.44,8.52,8.415,8.51,99491.0
2024-02-27,8.58,8.58,8.44,8.46,66189.0
2024-02-28,8.43,8.48,8.35,8.35,130150.0
2024-02-29,8.33,8.51,8.315,8.47,393642.0
2024-03-01,8.5,8.56,8.44,8.56,507185.0
2024-03-04,8.54,8.56,8.445,8.45,87131.0
2024-03-05,8.52,8.52,8.38,8.45,123677.0
2024-03-06,8.49,8.52,8.38,8.515,70257.0
2024-03-07,8.56,8.68,8.49,8.61,231045.0
