date,open,high,low,close,volume
2023-11-27,120.94,121.47,120.36,121.11,385557.0
2023-11-28,121.19,121.26,119.91,120.28,529783.0
2023-11-29,120.52,120.92,120.1,120.26,446629.0
2023-11-30,120.55,123.36,120.33,123.13,1704756.0
2023-12-01,122.46,123.7389,122.05,123.34,548782.0
2023-12-04,123.03,125.0189,122.73,124.57,508239.0
2023-12-05,124.36,124.75,123.53,123.93,383650.0
2023-12-06,124.52,124.81,122.83,123.12,550102.0
2023-12-07,123.37,123.52,121.64,122.25,1096707.0
2023-12-08,122.41,122.83,122.04,122.36,488693.0
2023-12-11,122.85,123.79,122.51,123.4,608898.0
2023-12-12,123.51,124.705,123.3,124.58,426976.0
2023-12-13,124.31,124.67,123.54,123.85,691601.0
2023-12-14,124.49,124.49,122.0,122.64,1253886.0
2023-12-15,121.85,122.63,121.17,121.94,1491265.0
2023-12-18,122.8,123.27,122.09,123.1,551103.0
2023-12-19,123.08,123.785,123.08,123.5,449113.0
2023-12-20,122.97,123.2436,121.08,121.14,535373.0
2023-12-21,121.13,122.07,120.53,121.67,398067.0
2023-12-22,122.27,122.32,121.35,121.59,321412.0
2023-12-26,121.34,122.025,121.1,121.57,383656.0
2023-12-27,121.16,121.8,121.03,121.35,389590.0
2023-12-28,120.36,121.88,120.03,121.71,290267.0
2023-12-29,121.72,122.07,121.16,121.72,425221.0
2024-01-02,121.97,122.5,121.575,122.06,633541.0
2024-01-03,121.99,122.83,121.49,121.68,772171.0
2024-01-04,121.73,122.76,121.73,122.22,517848.0
2024-01-05,122.65,123.03,121.75,122.28,493520.0
2024-01-08,122.69,122.79,120.1,121.2,553224.0
2024-01-09,120.84,120.84,118.745,119.14,526758.0
2024-01-10,119.11,120.55,118.785,120.5,429294.0
2024-01-11,120.01,120.225,119.095,119.89,725426.0
2024-01-12,120.1,120.52,119.29,120.2,335481.0
2024-01-16,119.9,120.47,119.43,120.0,566506.0
2024-01-17,119.65,121.32,119.58,119.98,500751.0
