date,open,high,low,close,volume
2023-11-27,111.9,113.05,111.305,112.73,763451.0
2023-11-28,112.05,114.51,110.97,113.88,1132719.0
2023-11-29,115.17,116.7275,115.01,115.6,985534.0
2023-11-30,115.84,118.82,114.22,117.07,4661983.0
2023-12-01,116.76,122.405,116.3,122.3,1379075.0
2023-12-04,121.0,123.6571,120.5,122.87,963886.0
2023-12-05,122.3,123.72,121.8,122.77,897998.0
2023-12-06,123.67,126.4442,122.84,123.07,914599.0
2023-12-07,123.68,124.17,118.74,120.55,1318479.0
2023-12-08,119.97,121.615,118.6276,121.55,1032674.0
2023-12-11,121.25,123.27,121.04,121.7,1159784.0
2023-12-12,121.99,122.5422,119.91,122.13,1018986.0
2023-12-13,121.07,126.415,119.74,125.21,942629.0
2023-12-14,128.0,133.055,127.94,129.06,2175188.0
2023-12-15,129.11,129.47,127.09,128.21,2362231.0
2023-12-18,128.0,129.51,126.881,128.59,772153.0
2023-12-19,129.51,133.15,129.51,132.04,958167.0
2023-12-20,131.04,132.19,126.921,127.1,725202.0
2023-12-21,129.19,130.65,128.06,129.47,526735.0
2023-12-22,129.23,130.5,127.6,128.81,475291.0
2023-12-26,129.36,130.68,129.2039,129.89,362289.0
2023-12-27,130.17,131.865,129.49,130.29,433898.0
2023-12-28,129.81,131.195,129.0275,130.93,397133.0
2023-12-29,130.17,131.0,128.94,129.24,479268.0
2024-01-02,127.28,129.47,125.71,127.37,756453.0
2024-01-03,125.26,125.26,119.61,119.72,890462.0
2024-01-04,119.41,120.12,116.26,116.33,700962.0
2024-01-05,115.27,118.93,115.2,117.62,526847.0
2024-01-08,118.32,121.45,117.31,120.98,569199.0
2024-01-09,119.24,123.68,119.0,123.46,725781.0
2024-01-10,123.6,124.53,120.58,124.34,893983.0
2024-01-11,123.18,123.405,120.48,122.21,573374.0
2024-01-12,123.33,125.1,122.1,123.5,724447.0
2024-01-16,121.18,121.32,116.0,116.18,1160592.0
2024-01-17,114.25,115.215,112.67,114.49,1051288.0
2024-01-18,115.52,116.115,113.6,115.89,502799.0
2024-01-19,116.35,117.48,114.217,116.82,711062.0
2024-01-22,118.54,120.69,116.66,117.46,927902.0
2024-01-23,119.23,121.27,115.63,117.34,808891.0
