date,open,high,low,close,volume
2023-11-27,299.75,303.07,298.97,300.6,272842.0
2023-11-28,299.95,300.765,294.38,294.92,346486.0
2023-11-29,296.52,298.175,293.91,294.66,241329.0
2023-11-30,296.06,300.71,295.6027,300.0,504168.0
2023-12-01,299.22,305.0,299.22,303.48,222601.0
2023-12-04,299.77,304.55,299.77,303.34,337098.0
2023-12-05,302.14,303.1,295.9,299.82,288229.0
2023-12-06,302.43,305.0,300.54,303.41,303844.0
2023-12-07,303.73,306.62,303.06,306.25,248241.0
2023-12-08,307.73,310.89,306.895,308.17,335382.0
2023-12-11,309.03,315.31,306.915,314.87,411934.0
2023-12-12,316.01,321.63,313.88,319.03,429582.0
2023-12-13,319.07,320.09,311.38,314.92,559812.0
2023-12-14,320.61,326.88,318.86,326.79,666426.0
2023-12-15,326.35,328.42,324.025,325.43,704934.0
2023-12-18,325.09,327.12,323.265,325.11,355296.0
2023-12-19,326.13,328.12,321.543,323.69,330411.0
2023-12-20,323.36,325.57,320.52,321.12,526557.0
2023-12-21,323.32,326.19,322.105,324.55,246129.0
2023-12-22,326.12,329.11,325.53,325.99,155170.0
2023-12-26,326.38,329.63,326.35,328.89,162968.0
2023-12-27,328.89,330.0,327.25,328.02,222721.0
2023-12-28,324.68,329.74,322.63,328.1,462994.0
2023-12-29,327.67,329.33,327.17,328.93,189351.0
2024-01-02,327.18,328.2,324.3901,325.92,263162.0
2024-01-03,324.08,324.125,316.76,316.84,297020.0
2024-01-04,317.28,320.49,316.06,319.94,373407.0
2024-01-05,320.09,320.09,315.375,318.16,355841.0
2024-01-08,319.9,323.43,317.32,322.88,295282.0
2024-01-09,320.92,329.3,319.03,327.75,464796.0
2024-01-10,329.46,329.46,324.94,325.69,384072.0
2024-01-11,325.25,327.96,319.39,327.69,348873.0
2024-01-12,329.05,329.05,322.21,327.63,201285.0
2024-01-16,326.26,327.83,324.17,326.42,211468.0
2024-01-17,324.24,328.57,319.06,321.62,210885.0
2024-01-18,322.87,326.397,322.275,325.69,152434.0
2024-01-19,326.83,332.0,323.46,329.62,492591.0
2024-01-22,330.81,336.83,330.81,334.76,382256.0
2024-01-23,334.81,336.54,329.67,330.96,277982.0
2024-01-24,332.82,333.46,327.51,328.16,300919.0
2024-01-25,331.36,336.2,330.63,333.82,464728.0
2024-01-26,333.85,335.435,328.77,328.98,375676.0
2024-01-29,327.28,333.02,326.13,332.56,857743.0
2024-01-30,333.3,347.28,329.245,344.31,901540.0
2024-01-31,342.41,343.63,334.17,335.57,676269.0
2024-02-01,336.3,344.4,334.22,343.71,543689.0
2024-02-02,343.58,356.06,343.02,354.03,793361.0
2024-02-05,352.63,356.38,348.72,350.99,527652.0
2024-02-06,350.67,355.06,342.85,350.25,478899.0
2024-02-07,352.01,358.115,349.68,355.13,394010.0
2024-02-08,356.83,359.04,354.95,358.21,308302.0
2024-02-09,357.86,363.36,357.5,363.01,308943.0
2024-02-12,361.77,364.76,359.37,359.82,295342.0
2024-02-13,353.25,354.995,347.726,352.62,355761.0
2024-02-14,354.6,359.98,353.46,359.69,327741.0
2024-02-15,360.04,361.2068,355.3,358.69,267445.0
2024-02-16,358.42,363.455,358.3,358.88,202289.0
2024-02-20,358.0,358.43,353.84,355.35,341304.0
2024-02-21,354.36,355.26,351.76,354.15,385839.0
2024-02-22,359.54,365.47,357.81,364.72,675280.0
2024-02-23,366.3,368.5096,361.8501,365.79,290084.0
2024-02-26,366.43,371.5,366.43,369.58,391812.0
2024-02-27,369.97,371.06,364.735,367.49,297275.0
2024-02-28,366.38,372.585,365.26,370.82,383019.0
2024-02-29,375.36,382.58,374.435,380.67,955066.0
2024-03-01,380.6,385.345,379.62,384.77,396217.0
2024-03-04,386.83,392.98,386.83,387.74,437271.0
2024-03-05,384.25,385.365,377.32,380.65,450351.0
2024-03-06,386.29,388.86,382.3475,387.92,333014.0
2024-03-07,390.01,393.37,389.42,392.96,293829.0
2024-03-08,392.9,396.92,388.57,393.14,428687.0
2024-03-11,390.11,390.42,379.23,387.43,496071.0
2024-03-12,387.85,397.32,387.38,396.93,538106.0
2024-03-13,397.81,400.0,393.2,399.53,503916.0
2024-03-14,401.68,404.15,398.34,401.83,630142.0
2024-03-15,397.32,402.77,394.47,395.15,975258.0
2024-03-18,397.45,403.94,397.45,399.61,299921.0
2024-03-19,397.0,398.11,390.47,396.71,377464.0
2024-03-20,400.0,408.08,398.355,406.65,388431.0
2024-03-21,409.4,416.06,407.09,415.0,285984.0
2024-03-22,415.0,418.83,413.605,417.92,418688.0
2024-03-25,415.62,419.645,412.76,413.12,286150.0
2024-03-26,412.46,416.56,411.06,413.33,472565.0
2024-03-27,414.75,415.79,409.401,413.86,275160.0
2024-03-28,415.89,417.21,412.56,415.05,291185.0
2024-04-01,415.62,418.4,413.925,416.8,263613.0
2024-04-02,415.09,416.24,409.78,415.54,348674.0
2024-04-03,415.21,426.72,411.33,424.4,428601.0
2024-04-04,427.41,429.61,411.24,412.56,369891.0
2024-04-05,416.44,423.57,416.295,417.08,449636.0
2024-04-08,419.16,420.025,413.88,415.74,363288.0
2024-04-09,417.14,420.92,402.18,409.17,460783.0
2024-04-10,401.75,411.51,398.36,406.91,392669.0
2024-04-11,406.23,409.35,403.46,406.23,313163.0
2024-04-12,401.88,406.0899,398.99,401.74,405898.0
2024-04-15,410.51,413.945,398.42,402.59,370165.0
2024-04-16,399.45,399.84,391.14,396.28,492112.0
2024-04-17,397.99,397.99,388.2,390.97,396855.0
2024-04-18,395.76,397.94,390.915,392.28,302604.0
2024-04-19,393.49,396.45,385.535,388.03,354622.0
2024-04-22,391.18,393.68,387.075,390.56,391009.0
2024-04-23,393.5,400.48,391.23,398.0,255029.0
2024-04-24,399.94,408.0,395.26,398.55,342032.0
2024-04-25,394.56,403.575,391.01,402.27,349992.0
2024-04-26,403.56,410.37,403.56,407.53,359603.0
2024-04-29,408.38,411.86,403.445,407.19,540747.0
2024-04-30,394.97,400.0,368.55,370.52,1651005.0
2024-05-01,367.72,385.02,365.89,373.3,907625.0
2024-05-02,374.03,377.04,367.2739,372.94,645589.0
2024-05-03,377.43,381.305,376.29,379.89,433697.0
2024-05-06,383.48,388.07,382.83,388.0,463387.0
2024-05-07,389.6,393.47,387.18,393.06,460689.0
2024-05-08,397.79,399.51,394.85,396.37,358497.0
2024-05-09,396.4,409.24,396.4,409.21,526426.0
2024-05-10,411.42,412.52,405.14,407.27,296011.0
2024-05-13,407.4,408.07,397.93,402.02,311927.0
2024-05-14,399.82,401.6,395.56,401.04,266355.0
2024-05-15,403.78,407.33,402.96,404.73,340011.0
2024-05-16,402.82,402.82,389.22,391.33,490337.0
2024-05-17,393.94,393.94,388.34,392.74,380105.0
2024-05-20,392.82,401.105,391.805,397.77,333212.0
2024-05-21,395.88,404.545,395.403,404.0,376146.0
2024-05-22,404.88,407.48,399.31,401.14,410264.0
2024-05-23,409.75,409.75,398.64,400.61,341532.0
2024-05-24,402.32,413.63,401.75,413.0,346289.0
2024-05-28,414.44,415.76,396.61,397.66,564225.0
2024-05-29,394.24,394.24,386.96,389.28,315029.0
2024-05-30,388.3,394.75,385.14,390.68,324491.0
2024-05-31,388.54,391.93,378.25,388.89,717927.0
2024-06-03,391.86,392.69,375.65,385.75,567562.0
2024-06-04,384.9,388.38,365.92,371.77,1034275.0
2024-06-05,377.7,381.82,375.0,381.62,547733.0
2024-06-06,381.69,382.0,365.0,365.94,648288.0
2024-06-07,366.23,373.32,363.81,366.68,564349.0
2024-06-10,365.27,371.43,365.27,369.01,557334.0
2024-06-11,366.38,369.19,363.81,367.71,487531.0
2024-06-12,373.53,385.55,372.71,383.49,620873.0
2024-06-13,381.61,386.09,375.11,385.01,409624.0
2024-06-14,379.12,381.945,372.62,374.74,442020.0
2024-06-17,374.11,382.695,369.28,381.63,455344.0
2024-06-18,378.54,390.27,371.9904,387.74,464506.0
2024-06-20,388.5,390.73,378.46,380.07,517439.0
2024-06-21,383.31,384.23,375.41,377.39,736091.0
2024-06-24,377.42,381.71,373.82,379.56,461339.0
2024-06-25,379.54,380.76,373.35,378.04,323539.0
2024-06-26,374.25,374.38,369.295,371.77,492891.0
2024-06-27,375.28,377.14,367.1487,369.84,538539.0
2024-06-28,370.88,377.785,363.58,365.48,1829822.0
2024-07-01,371.96,371.96,357.7,359.14,652717.0
2024-07-02,359.46,367.42,358.155,365.81,405634.0
2024-07-03,366.91,372.38,365.79,371.29,334883.0
2024-07-05,370.67,374.415,367.69,372.75,477851.0
2024-07-08,375.84,381.0,374.39,377.01,529666.0
2024-07-09,376.23,377.975,369.98,371.15,356368.0
2024-07-10,372.47,376.3,369.55,375.32,285488.0
2024-07-11,377.4,383.71,375.6,379.02,546519.0
2024-07-12,381.34,385.93,378.77,380.47,488063.0
2024-07-15,380.27,383.43,373.83,374.6,478995.0
2024-07-16,378.32,391.88,376.91,391.41,480079.0
2024-07-17,386.38,388.2,366.51,366.61,725598.0
2024-07-18,371.8,380.265,365.36,368.78,838365.0
2024-07-19,370.91,374.84,369.16,370.23,533367.0
2024-07-22,375.58,379.95,372.32,379.26,410683.0
2024-07-23,377.25,384.48,377.03,379.6,374243.0
2024-07-24,372.77,374.075,355.68,356.98,668557.0
2024-07-25,357.1,364.51,347.13,355.55,737031.0
2024-07-26,364.63,369.56,362.31,367.09,342262.0
2024-07-29,368.16,372.57,363.88,366.89,526629.0
2024-07-30,378.76,389.06,369.0,379.8,793266.0
2024-07-31,391.76,403.59,391.19,395.65,868384.0
2024-08-01,395.65,398.8,371.035,379.77,658817.0
2024-08-02,369.0,369.57,354.62,366.19,599728.0
2024-08-05,350.03,369.125,346.13,364.42,556459.0
2024-08-06,364.61,368.82,360.47,361.03,409256.0
2024-08-07,366.38,370.01,358.98,359.04,403183.0
2024-08-08,363.57,375.57,359.6765,373.78,463829.0
2024-08-09,371.43,377.11,369.66,377.0,414487.0
2024-08-12,377.58,379.975,370.5,373.27,317600.0
2024-08-13,377.97,380.06,371.66,375.08,377122.0
2024-08-14,376.73,380.69,375.67,379.68,358502.0
2024-08-15,385.73,389.24,379.54,380.97,349053.0
2024-08-16,379.95,379.95,371.52,373.83,332625.0
2024-08-19,373.89,375.72,370.34,375.72,299129.0
2024-08-20,375.84,376.715,369.63,370.92,244720.0
2024-08-21,370.92,377.475,370.08,375.42,333752.0
2024-08-22,375.36,382.3612,375.04,378.14,237513.0
2024-08-23,380.24,386.68,380.24,385.78,369133.0
2024-08-26,388.01,391.435,383.96,385.11,294307.0
2024-08-27,382.6,389.7,381.48,387.97,478413.0
2024-08-28,388.62,391.49,384.93,389.07,377009.0
2024-08-29,392.63,402.67,390.4125,395.52,391782.0
2024-08-30,396.38,401.055,391.5,399.92,594192.0
2024-09-03,396.18,396.955,376.36,378.96,591207.0
2024-09-04,377.52,379.2,369.2,374.77,438116.0
2024-09-05,373.34,373.5,364.8,370.42,428210.0
2024-09-06,375.27,380.86,366.91,370.93,381357.0
2024-09-09,374.0,380.37,372.49,378.12,374660.0
2024-09-10,381.0,381.0,373.395,380.16,216044.0
2024-09-11,381.12,394.228,373.88,392.87,440598.0
2024-09-12,392.63,400.535,390.955,399.18,377673.0
2024-09-13,402.72,408.82,402.0,404.63,351497.0
2024-09-16,406.73,409.58,400.9766,408.82,345050.0
2024-09-17,409.98,413.89,403.515,411.29,399973.0
2024-09-18,415.0,418.44,409.4,409.86,427543.0
2024-09-19,419.0,424.55,411.3701,422.54,430424.0
2024-09-20,418.81,427.53,418.44,426.01,690423.0
2024-09-23,427.18,433.0325,423.1,426.59,258181.0
2024-09-24,426.08,428.8,419.93,424.86,322846.0
2024-09-25,428.51,428.51,420.7,424.13,456953.0
2024-09-26,430.63,432.66,424.67,427.95,308496.0
2024-09-27,428.8,432.945,427.1784,428.48,299122.0
2024-09-30,425.85,431.55,425.36,428.35,468445.0
2024-10-01,429.03,430.49,421.75,427.29,281742.0
2024-10-02,423.29,428.6,422.16,427.7,327289.0
2024-10-03,427.63,428.92,422.23,425.9,257177.0
2024-10-04,432.19,432.19,426.39,429.72,261580.0
