date,open,high,low,close,volume
2023-11-27,520.31,527.18,510.43,510.71,986348.0
2023-11-28,511.84,515.39,510.37,510.45,718133.0
2023-11-29,496.01,526.47,480.36,482.41,5041754.0
2023-11-30,483.915,489.58,478.09,484.86,4128271.0
2023-12-01,483.03,504.79,480.49,495.21,2178657.0
2023-12-04,496.0,498.77,486.72,491.98,1119391.0
2023-12-05,492.56,502.73,488.29,500.35,1197135.0
2023-12-06,497.26,498.17,483.22,483.8,1731300.0
2023-12-07,484.64,485.35,472.13,480.3,2022802.0
2023-12-08,482.69,482.69,475.06,481.62,1083135.0
2023-12-11,482.63,483.0,467.38,476.61,2389569.0
2023-12-12,480.0,483.8186,477.8,481.94,1645724.0
2023-12-13,481.94,488.89,480.11,488.09,1036300.0
2023-12-14,486.0,486.0,466.67,469.05,2395980.0
2023-12-15,467.56,467.9,459.26,461.46,2763232.0
2023-12-18,461.14,462.065,455.9,460.03,1803646.0
2023-12-19,458.01,463.74,456.495,463.58,1328285.0
2023-12-20,462.21,462.21,451.5775,451.89,1927988.0
2023-12-21,452.57,454.95,451.07,453.94,1554622.0
2023-12-22,454.88,455.2949,451.5355,453.2,1054093.0
2023-12-26,451.88,453.56,449.76,452.83,912731.0
2023-12-27,452.55,453.0,448.91,451.42,1513694.0
2023-12-28,450.7,459.21,450.0,455.61,1034987.0
2023-12-29,457.15,458.9313,454.895,457.81,804109.0
2024-01-02,459.74,471.55,458.15,470.1,1967118.0
2024-01-03,474.91,475.0,463.835,464.52,1307575.0
2024-01-04,469.1,471.37,466.17,466.54,952030.0
2024-01-05,464.03,464.75,453.73,458.27,1683082.0
2024-01-08,458.98,464.38,451.99,460.74,1584542.0
2024-01-09,462.08,462.08,455.88,459.3,1430343.0
2024-01-10,458.06,460.355,456.16,459.08,1151615.0
2024-01-11,457.29,459.76,453.36,454.99,1162272.0
2024-01-12,430.91,444.99,429.13,438.71,2743564.0
2024-01-16,441.48,441.48,433.56,438.79,1831281.0
2024-01-17,440.94,455.53,439.36,447.76,2529683.0
2024-01-18,392.44,415.73,390.5001,411.98,9405270.0
2024-01-19,410.5,412.3945,400.97,401.53,3033980.0
2024-01-22,400.0,411.72,397.0,409.65,2447960.0
2024-01-23,408.03,410.27,404.0,407.52,1615685.0
2024-01-24,407.07,411.8,400.98,402.4,2116180.0
2024-01-25,350.63,364.82,342.69,355.36,10864902.0
2024-01-26,354.92,368.76,354.26,361.23,4460516.0
2024-01-29,363.0,367.76,358.1,365.94,2854131.0
2024-01-30,370.39,378.0,365.89,376.83,3059373.0
2024-01-31,380.02,383.44,375.51,378.06,2264278.0
2024-02-01,375.07,379.5,370.0,375.82,3045627.0
2024-02-02,378.38,382.84,374.22,378.87,1784755.0
2024-02-05,373.31,375.82,358.64,361.02,3401872.0
2024-02-06,361.45,368.42,359.0201,366.35,2271647.0
2024-02-07,368.68,371.85,365.66,368.57,2309589.0
2024-02-08,370.43,372.9299,366.925,367.8,1579285.0
2024-02-09,368.27,371.16,366.13,370.28,1122477.0
2024-02-12,370.3,371.71,367.29,369.14,990385.0
2024-02-13,369.81,373.27,364.34,364.48,1255099.0
2024-02-14,363.65,364.115,360.89,362.29,1124747.0
2024-02-15,364.66,366.74,362.51,363.98,1245705.0
2024-02-16,365.45,368.93,365.26,366.92,954781.0
2024-02-20,366.4,369.23,365.0,367.14,1121073.0
2024-02-21,368.57,369.52,364.9,367.6,876757.0
2024-02-22,367.0,369.34,362.87,368.08,1226224.0
2024-02-23,368.78,369.41,361.5501,362.91,1371879.0
2024-02-26,363.89,366.7125,357.885,359.95,1217558.0
2024-02-27,361.15,366.58,357.1801,362.7,1454649.0
2024-02-28,359.99,361.3,350.51,351.16,2128498.0
2024-02-29,351.76,353.4571,346.32,350.32,2291709.0
2024-03-01,350.1,352.11,346.26,352.03,1639982.0
2024-03-04,351.0,352.81,346.6,346.83,1792557.0
2024-03-05,349.0,351.82,337.14,337.92,2569494.0
2024-03-06,337.41,342.09,336.52,339.08,1554813.0
2024-03-07,338.78,342.15,334.54,340.72,1576302.0
2024-03-08,340.56,344.43,338.44,339.35,1164295.0
2024-03-11,338.6,349.2,338.6,347.0,1159255.0
2024-03-12,346.33,348.37,340.09,345.15,1315471.0
2024-03-13,345.38,351.36,344.535,345.2,1055932.0
2024-03-14,344.9,349.47,343.02,348.89,947213.0
2024-03-15,346.79,349.28,344.5,348.15,2469163.0
2024-03-18,347.22,349.94,344.17,347.19,1008342.0
2024-03-19,349.3,352.46,348.13,351.59,1445874.0
2024-03-20,349.52,352.12,347.33,348.19,1464585.0
2024-03-21,347.74,352.12,346.82,347.39,1460663.0
2024-03-22,348.02,354.0,348.02,348.54,1116453.0
2024-03-25,349.0,349.7306,345.8,347.09,1004056.0
2024-03-26,349.0,350.27,347.35,348.38,1498439.0
2024-03-27,349.58,351.185,347.6622,349.5,1000315.0
2024-03-28,349.6,350.9395,345.89,346.72,1583052.0
2024-04-01,346.0,353.0,345.91,351.45,859858.0
2024-04-02,315.49,320.12,299.23,304.33,9504789.0
2024-04-03,305.845,312.89,302.7,308.06,2826613.0
2024-04-04,309.12,314.435,308.0417,310.04,1816705.0
2024-04-05,307.705,314.24,307.705,313.11,1237027.0
2024-04-08,311.84,318.8,310.72,317.0,1299253.0
2024-04-09,316.5,319.62,315.8,319.62,848973.0
2024-04-10,316.8,321.32,315.4,319.17,1101245.0
2024-04-11,320.78,320.78,315.5,316.29,992364.0
2024-04-12,315.94,316.09,310.33,312.59,1467617.0
2024-04-15,315.17,317.57,313.0,314.64,1184742.0
2024-04-16,329.99,330.0,317.39,317.52,1683413.0
2024-04-17,319.63,324.38,318.1,323.46,1958774.0
2024-04-18,327.6,331.0,324.055,324.83,1557433.0
2024-04-19,327.0,329.75,326.9,328.33,1143745.0
2024-04-22,326.74,334.42,324.63,325.3,1591093.0
2024-04-23,325.43,328.18,320.47,327.98,1624723.0
2024-04-24,335.0,336.4,309.0,315.98,3488954.0
2024-04-25,314.73,315.705,308.1879,311.41,1837737.0
2024-04-26,309.25,310.99,305.83,305.9,1213131.0
2024-04-29,305.53,307.5,301.82,303.15,1742572.0
2024-04-30,303.63,306.12,301.0,302.09,1879224.0
2024-05-01,299.5,320.54,298.6063,314.21,2625787.0
2024-05-02,314.4,321.31,312.4333,320.98,1677933.0
2024-05-03,319.8,321.0399,316.6,320.54,1802675.0
2024-05-06,321.47,322.885,318.01,319.23,1420369.0
2024-05-07,318.31,324.98,318.31,324.63,1072329.0
2024-05-08,325.01,327.32,322.24,324.14,1500216.0
2024-05-09,325.39,335.0,324.715,334.68,1977618.0
2024-05-10,336.0,338.46,334.1949,335.59,1340172.0
2024-05-13,335.41,344.64,335.41,339.58,1852988.0
2024-05-14,341.21,344.85,338.4,344.5,2037823.0
2024-05-15,345.25,347.36,342.49,347.15,1687115.0
2024-05-16,348.37,356.41,348.105,355.19,2168368.0
2024-05-17,355.6,356.78,352.86,356.2,1435649.0
2024-05-20,356.2,356.59,353.55,355.22,1430417.0
2024-05-21,356.96,357.14,353.96,355.63,953622.0
2024-05-22,355.18,357.91,354.89,356.6,795375.0
2024-05-23,354.09,354.64,351.525,352.22,2132548.0
2024-05-24,353.31,353.31,347.7,349.3,1583481.0
2024-05-28,349.26,350.58,346.35,349.21,1604283.0
2024-05-29,345.96,348.02,328.09,345.31,2159169.0
2024-05-30,345.1,352.59,343.26,347.38,1350061.0
2024-05-31,350.15,358.33,348.965,358.12,1757939.0
2024-06-03,356.37,365.13,355.9501,364.2,1285149.0
2024-06-04,362.73,363.4,358.04,360.87,1526609.0
2024-06-05,361.69,362.74,357.51,361.0,1275361.0
2024-06-06,360.27,365.5,353.425,355.43,1562540.0
2024-06-07,355.65,355.9,350.51,351.8,875933.0
2024-06-10,349.19,351.95,343.63,349.34,1168607.0
2024-06-11,349.79,354.62,349.0,351.77,913029.0
2024-06-12,352.75,352.75,348.25,352.38,1042161.0
2024-06-13,353.53,365.49,349.11,358.1,1480748.0
2024-06-14,354.71,359.53,353.17,358.93,867077.0
