date,open,high,low,close,volume
2023-11-27,31.91,32.32,31.56,31.65,5516377.0
2023-11-28,31.67,32.55,31.33,32.51,3177163.0
2023-11-29,32.72,33.65,32.315,32.48,5671119.0
2023-11-30,32.69,32.78,31.91,32.38,9320170.0
2023-12-01,32.32,33.43,31.9,33.4,4803763.0
2023-12-04,33.08,33.665,32.78,32.85,8576832.0
2023-12-05,32.54,32.73,32.025,32.32,6840209.0
2023-12-06,32.89,33.54,32.44,32.85,6882050.0
2023-12-07,32.85,33.03,32.165,32.24,4212410.0
2023-12-08,32.0,32.605,31.655,32.1,5342119.0
2023-12-11,32.1,32.5,32.0,32.28,4645839.0
2023-12-12,32.74,32.87,31.72,32.02,7853542.0
2023-12-13,31.99,33.655,31.94,33.45,15127475.0
2023-12-14,34.17,35.08,33.99,34.53,7555794.0
2023-12-15,34.6,34.68,33.84,34.3,10270947.0
2023-12-18,33.95,34.4,33.54,34.02,5560040.0
2023-12-19,34.15,35.015,34.15,34.68,6388005.0
2023-12-20,34.74,35.435,34.11,34.18,3126256.0
2023-12-21,34.67,35.17,34.01,35.14,3148467.0
2023-12-22,35.17,35.47,34.84,35.2,2923055.0
2023-12-26,35.12,35.56,34.865,35.38,2800919.0
2023-12-27,35.41,35.87,35.3,35.81,5077181.0
2023-12-28,35.81,36.835,35.71,36.73,3571932.0
2023-12-29,36.51,36.77,36.145,36.5,4369440.0
2024-01-02,35.98,36.72,35.45,36.41,9218786.0
2024-01-03,35.69,36.01,34.885,35.86,11634094.0
2024-01-04,35.86,36.545,35.57,36.365,6276803.0
2024-01-05,36.07,37.0846,36.065,36.68,4637525.0
2024-01-08,36.34,37.91,36.09,37.89,5294976.0
2024-01-09,42.2,42.425,38.58,39.04,18290898.0
2024-01-10,39.1,39.47,38.515,38.78,5270578.0
2024-01-11,38.87,38.9,36.8601,37.64,8816876.0
2024-01-12,37.96,38.3,36.87,36.88,3911120.0
2024-01-16,36.63,36.86,36.2802,36.67,4857947.0
2024-01-17,35.95,36.26,34.54,35.83,5572504.0
2024-01-18,36.13,36.51,35.7,36.37,6083413.0
2024-01-19,36.61,36.61,35.63,36.06,7100727.0
2024-01-22,36.45,37.07,35.885,36.22,4209220.0
2024-01-23,36.77,37.1,36.09,36.55,3314201.0
2024-01-24,37.29,37.39,36.715,36.94,3831696.0
2024-01-25,37.04,38.73,36.523,38.05,8203975.0
2024-01-26,37.95,38.13,37.51,37.96,6789017.0
2024-01-29,37.89,38.52,37.37,38.38,5051789.0
2024-01-30,38.01,38.28,37.51,37.73,12486907.0
2024-01-31,37.73,39.91,36.67,38.38,11313624.0
2024-02-01,38.76,38.86,37.4,38.25,6606982.0
2024-02-02,38.15,38.39,37.205,37.42,5103386.0
2024-02-05,37.2,37.34,35.145,35.46,6081709.0
2024-02-06,35.7,36.43,35.69,36.04,3966883.0
2024-02-07,36.12,36.12,34.8,34.82,4999847.0
2024-02-08,34.92,35.31,34.64,35.03,5113395.0
2024-02-09,35.11,35.952,34.95,35.42,3522673.0
2024-02-12,35.47,37.4575,35.385,36.99,6091546.0
2024-02-13,36.13,36.55,35.301,35.62,4073677.0
2024-02-14,36.17,36.65,35.93,36.35,2912256.0
2024-02-15,36.6,37.68,36.55,37.65,3770927.0
2024-02-16,37.16,37.755,36.8,37.59,3138711.0
2024-02-20,36.9,37.29,36.09,36.15,3638935.0
2024-02-21,36.17,36.555,35.94,36.21,3511683.0
2024-02-22,36.79,36.81,35.4,36.12,4792332.0
2024-02-23,36.22,37.15,36.12,36.86,3421981.0
2024-02-26,36.59,37.51,36.445,36.62,3159663.0
2024-02-27,36.79,37.575,36.7,37.32,3373812.0
2024-02-28,36.655,36.805,35.84,35.91,5785079.0
2024-02-29,36.0,36.46,35.5975,36.04,6071982.0
2024-03-01,36.05,36.4,35.34,35.91,5336957.0
2024-03-04,35.86,35.91,34.85,35.06,6480481.0
2024-03-05,34.62,35.18,34.32,34.58,5436376.0
2024-03-06,34.85,35.105,33.62,33.84,8873194.0
2024-03-07,33.8,34.45,33.62,34.11,7021654.0
2024-03-08,34.21,34.72,33.77,33.9,5253519.0
2024-03-11,33.83,34.723,33.83,34.1,3490098.0
2024-03-12,33.94,34.03,33.0,33.54,6127028.0
2024-03-13,33.31,33.91,33.125,33.29,7291698.0
2024-03-14,33.2,34.11,32.33,33.32,12502670.0
2024-03-15,33.15,33.865,33.06,33.55,15616697.0
2024-03-18,33.57,35.16,33.57,35.13,6522646.0
2024-03-19,35.07,35.74,34.82,35.71,8267086.0
2024-03-20,35.62,36.055,34.94,36.01,8639380.0
2024-03-21,36.25,36.3127,35.47,35.69,7413285.0
2024-03-22,35.74,36.28,35.66,35.75,4699052.0
2024-03-25,35.95,36.06,35.07,35.34,4316481.0
