date,open,high,low,close,volume
2023-11-27,233.41,234.5,232.62,234.08,152115.0
2023-11-28,234.57,234.57,231.48,231.65,117241.0
2023-11-29,233.43,234.325,232.15,232.6,110800.0
2023-11-30,233.27,235.57,231.75,235.34,357170.0
2023-12-01,235.51,238.84,235.23,238.8,178865.0
2023-12-04,236.77,240.54,236.245,240.34,201083.0
2023-12-05,239.58,239.78,237.65,237.99,147140.0
2023-12-06,238.97,242.71,238.97,241.11,282070.0
2023-12-07,241.46,241.46,238.84,241.08,301148.0
2023-12-08,241.63,242.76,239.05,239.16,235039.0
2023-12-11,239.5,240.385,237.47,237.66,268533.0
2023-12-12,238.0,238.9467,236.8,237.84,300807.0
2023-12-13,237.94,241.58,235.95,240.72,334681.0
2023-12-14,243.76,251.2,238.15,250.0,619638.0
2023-12-15,251.54,257.04,250.21,251.96,603695.0
2023-12-18,251.39,254.89,249.27,254.78,302755.0
2023-12-19,255.99,256.62,254.14,255.72,194066.0
2023-12-20,254.91,259.63,252.4,255.05,265740.0
2023-12-21,257.23,259.43,256.895,259.17,199485.0
2023-12-22,259.84,262.43,258.27,261.36,207186.0
2023-12-26,261.05,264.07,261.05,263.98,124335.0
2023-12-27,264.46,265.24,263.7,264.19,164137.0
2023-12-28,264.88,265.6,263.75,264.52,152253.0
2023-12-29,263.62,265.99,263.36,264.16,155211.0
2024-01-02,262.06,263.56,257.92,258.65,259026.0
2024-01-03,256.12,256.815,251.59,251.59,244169.0
2024-01-04,251.32,254.1,250.5,251.15,252885.0
2024-01-05,250.88,252.25,249.64,249.73,177070.0
2024-01-08,249.87,252.9,249.07,252.83,178701.0
2024-01-09,250.13,251.02,249.25,250.32,143094.0
2024-01-10,250.1,250.72,247.54,250.62,155325.0
2024-01-11,250.2,250.895,247.72,250.61,132839.0
2024-01-12,253.39,253.39,250.27,251.62,104458.0
2024-01-16,250.0,251.04,248.825,250.54,199154.0
2024-01-17,247.83,251.045,247.83,249.46,201955.0
2024-01-18,250.22,253.1601,249.96,251.54,264310.0
2024-01-19,252.55,254.19,249.84,253.42,249030.0
2024-01-22,254.07,255.0,251.9525,253.91,168152.0
2024-01-23,255.73,255.73,252.01,254.33,175733.0
2024-01-24,255.54,256.0,250.91,251.05,144608.0
2024-01-25,253.91,254.75,252.88,254.05,188059.0
2024-01-26,254.43,254.84,251.275,252.2,148540.0
2024-01-29,251.61,255.09,251.18,255.01,126531.0
2024-01-30,253.34,257.335,253.34,257.23,234058.0
2024-01-31,257.57,257.57,251.03,251.72,735319.0
2024-02-01,253.61,258.005,250.185,257.36,236522.0
2024-02-02,256.17,258.52,254.125,256.7,195731.0
2024-02-05,254.19,254.99,250.76,252.62,175143.0
2024-02-06,253.13,254.04,251.89,253.65,159484.0
2024-02-07,255.32,256.55,253.3824,255.81,133130.0
2024-02-08,257.53,262.78,255.58,261.87,233049.0
2024-02-09,262.37,263.94,260.81,263.63,149142.0
2024-02-12,264.0,266.505,263.1175,264.76,195693.0
2024-02-13,261.0,263.47,258.46,260.37,219680.0
2024-02-14,261.32,263.74,260.79,263.72,145283.0
2024-02-15,265.16,265.97,263.19,265.72,153657.0
2024-02-16,264.18,267.455,263.31,264.07,197193.0
2024-02-20,264.05,264.91,261.91,264.11,178625.0
2024-02-21,265.02,265.26,260.74,261.69,317640.0
2024-02-22,263.05,275.67,263.05,273.46,374584.0
2024-02-23,274.96,275.38,271.47,273.71,280709.0
2024-02-26,271.06,273.09,270.71,270.87,222704.0
2024-02-27,271.18,271.18,265.15,268.0,284264.0
2024-02-28,267.21,269.6299,264.94,266.96,220131.0
2024-02-29,268.35,269.505,264.78,265.65,560385.0
2024-03-01,265.11,266.57,264.42,266.09,230912.0
2024-03-04,266.45,268.175,264.98,265.32,178577.0
2024-03-05,265.0,265.0,260.89,261.79,182625.0
2024-03-06,263.75,266.13,262.6,265.18,151961.0
2024-03-07,266.66,268.54,265.32,267.39,132074.0
2024-03-08,267.39,268.91,263.58,264.76,212555.0
2024-03-11,264.71,264.71,260.98,263.23,156372.0
2024-03-12,262.85,264.3,261.54,263.87,197579.0
2024-03-13,264.03,265.22,263.16,264.95,181063.0
2024-03-14,264.71,264.71,261.1,264.18,216068.0
2024-03-15,263.0,265.8,262.65,263.2,516341.0
2024-03-18,263.6,266.07,262.88,263.65,172244.0
2024-03-19,263.99,264.31,261.91,262.59,154796.0
2024-03-20,261.93,265.03,261.61,264.95,215553.0
2024-03-21,265.72,270.74,265.72,270.14,153182.0
2024-03-22,270.99,270.99,266.94,268.52,189630.0
2024-03-25,269.09,269.51,266.575,267.15,199336.0
2024-03-26,267.39,270.18,266.31,268.43,278917.0
2024-03-27,270.11,273.93,268.88,273.74,192459.0
2024-03-28,274.24,276.09,272.1816,274.54,232207.0
2024-04-01,274.54,274.815,271.65,271.69,194488.0
2024-04-02,271.28,271.46,268.83,270.27,238028.0
2024-04-03,268.96,273.28,268.96,273.0,217394.0
2024-04-04,273.0,278.0,269.59,270.8,350601.0
2024-04-05,271.64,272.06,269.32,271.13,171653.0
2024-04-08,272.01,272.77,270.96,271.25,184866.0
2024-04-09,272.22,273.76,269.43,273.76,158321.0
2024-04-10,269.83,272.305,269.315,271.77,252051.0
2024-04-11,271.55,271.55,268.56,268.89,247166.0
2024-04-12,267.07,267.07,262.735,264.65,218669.0
2024-04-15,266.57,267.7,262.39,263.13,138875.0
2024-04-16,262.0,264.005,260.99,262.66,143615.0
2024-04-17,262.98,263.225,260.28,260.8,133791.0
2024-04-18,262.3,262.73,258.82,259.12,105406.0
2024-04-19,258.67,261.095,257.71,259.59,145236.0
2024-04-22,260.78,262.92,258.875,260.52,145580.0
2024-04-23,261.69,262.92,258.51,262.08,192315.0
2024-04-24,261.42,262.66,258.16,260.06,162543.0
2024-04-25,258.61,260.87,255.78,259.66,202832.0
2024-04-26,259.42,261.875,259.01,260.4,165646.0
2024-04-29,260.96,262.895,260.085,262.49,135909.0
2024-04-30,261.75,262.53,257.87,258.19,249163.0
2024-05-01,257.93,263.67,257.2,260.95,260268.0
2024-05-02,262.06,263.7895,260.07,262.8,213229.0
2024-05-03,264.44,266.07,262.83,265.61,171161.0
2024-05-06,267.59,270.88,267.59,270.65,207240.0
2024-05-07,271.13,274.53,271.13,272.06,222569.0
2024-05-08,271.07,271.63,267.91,271.0,297986.0
2024-05-09,271.47,278.06,271.225,277.84,300825.0
2024-05-10,278.0,279.38,275.54,278.89,364643.0
2024-05-13,279.29,279.29,273.7,273.76,197038.0
2024-05-14,274.27,275.2799,271.67,271.99,301514.0
2024-05-15,273.44,275.8,273.43,274.56,203510.0
2024-05-16,274.72,274.72,270.1,270.56,415731.0
2024-05-17,271.83,272.3899,269.511,271.65,810250.0
2024-05-20,271.3,272.265,267.64,268.41,401931.0
2024-05-21,246.16,258.13,243.09,243.14,619676.0
2024-05-22,242.64,248.785,242.343,243.12,306609.0
2024-05-23,243.45,243.45,237.64,237.9,261773.0
2024-05-24,238.0,239.4,236.43,237.94,222190.0
2024-05-28,237.94,238.66,233.09,233.58,311405.0
2024-05-29,232.55,232.61,229.32,230.0,237458.0
2024-05-30,231.05,231.54,229.65,231.3,234419.0
2024-05-31,231.35,235.1,229.68,234.72,398388.0
2024-06-03,235.73,235.73,227.615,229.38,257206.0
2024-06-04,228.59,229.89,227.3,228.05,228496.0
2024-06-05,229.34,229.5175,225.57,228.44,224918.0
2024-06-06,227.53,227.53,225.41,226.51,158583.0
2024-06-07,226.0,226.895,224.62,226.15,187856.0
2024-06-10,224.58,226.715,223.78,225.28,190757.0
2024-06-11,224.28,226.5658,222.18,225.7,265859.0
2024-06-12,229.43,234.2,229.43,232.73,277576.0
2024-06-13,232.73,233.98,230.54,233.67,298990.0
2024-06-14,231.26,232.12,225.72,228.72,166115.0
2024-06-17,228.13,232.61,226.83,232.07,207966.0
2024-06-18,232.06,233.675,231.75,232.2,267826.0
2024-06-20,231.63,233.71,231.4171,231.8,249631.0
2024-06-21,232.37,232.77,228.965,231.32,536720.0
2024-06-24,231.02,234.5,230.09,232.27,187435.0
2024-06-25,231.07,231.42,226.95,228.82,254452.0
2024-06-26,227.35,229.99,226.37,229.81,196702.0
2024-06-27,229.61,231.3668,228.66,230.31,191563.0
2024-06-28,231.28,233.55,229.065,231.94,444745.0
2024-07-01,231.78,233.79,227.63,227.68,215428.0
2024-07-02,227.81,229.045,226.71,228.21,169322.0
2024-07-03,228.49,228.97,226.36,227.59,125773.0
2024-07-05,226.86,227.66,224.17,226.61,181213.0
2024-07-08,227.81,229.0087,225.54,226.51,222722.0
2024-07-09,225.85,225.955,224.015,225.0,244927.0
2024-07-10,225.42,230.06,225.42,229.88,146972.0
2024-07-11,232.09,236.47,232.09,235.27,181041.0
2024-07-12,237.28,239.29,235.81,237.15,171299.0
2024-07-15,236.91,240.38,236.36,236.63,229194.0
2024-07-16,238.04,243.955,236.89,243.36,259458.0
2024-07-17,242.11,245.815,240.74,243.35,290079.0
2024-07-18,241.44,245.55,239.44,239.65,186847.0
2024-07-19,241.03,241.415,235.025,236.61,332924.0
2024-07-22,237.29,240.685,234.0994,240.57,142187.0
2024-07-23,239.32,241.15,238.49,239.87,223121.0
2024-07-24,239.54,239.54,234.03,235.99,253368.0
2024-07-25,237.69,243.75,237.18,240.55,324429.0
2024-07-26,242.8,247.38,241.64,245.95,234406.0
2024-07-29,246.21,246.89,244.29,245.22,153432.0
2024-07-30,245.78,249.795,245.025,248.61,190836.0
2024-07-31,249.92,252.84,247.13,250.33,774584.0
2024-08-01,249.18,251.37,239.46,243.34,333030.0
2024-08-02,241.11,242.08,236.37,241.38,305302.0
2024-08-05,237.96,238.89,233.37,234.8,374240.0
2024-08-06,236.23,239.89,234.82,235.8,286852.0
