date,open,high,low,close,volume
2023-11-29,12.67,12.67,12.67,12.67,185.0
2023-11-30,12.67,12.67,12.67,12.67,144.0
2023-12-01,12.67,12.67,12.67,12.67,187.0
2023-12-04,12.67,12.69,12.62,12.62,1691.0
2023-12-05,12.92,12.92,12.8625,12.8625,703.0
2023-12-06,12.8625,12.8625,12.8625,12.8625,286.0
2023-12-07,12.8625,12.8625,12.8625,12.8625,277.0
2023-12-08,13.1,13.2528,13.1,13.2528,3468.0
2023-12-11,13.68,13.68,13.68,13.68,308.0
2023-12-12,14.01,14.02,11.91,13.0,11363.0
2023-12-13,13.01,13.66,13.01,13.66,939.0
2023-12-14,13.95,13.95,13.2901,13.4578,1168.0
2023-12-15,13.04,13.395,13.04,13.395,1775.0
2023-12-18,13.395,13.395,13.395,13.395,320.0
2023-12-19,13.04,13.43,13.04,13.22,1675.0
2023-12-20,13.3,13.34,13.3,13.34,418.0
2023-12-21,13.43,13.43,13.33,13.33,1501.0
2023-12-22,13.76,13.92,13.75,13.92,2603.0
2023-12-26,13.91,15.24,13.91,15.24,1829.0
2023-12-27,14.8874,14.8874,14.8874,14.8874,1239.0
2023-12-28,15.0,15.0,14.02,14.02,6856.0
2023-12-29,13.92,14.3097,13.9,14.01,974.0
2024-01-02,13.85,15.0,13.85,13.97,681.0
2024-01-03,14.33,14.33,13.54,13.54,2849.0
2024-01-04,13.76,13.76,13.75,13.75,483.0
2024-01-05,13.3,13.36,13.3,13.36,624.0
2024-01-08,13.36,13.36,13.36,13.36,83.0
2024-01-09,13.36,13.36,13.36,13.36,13.0
2024-01-10,13.36,13.5,13.3,13.31,1545.0
2024-01-11,13.21,13.25,13.21,13.25,878.0
2024-01-12,13.47,13.52,13.4625,13.4625,1516.0
2024-01-16,13.4625,13.4625,13.4625,13.4625,47.0
2024-01-17,13.15,13.15,13.12,13.12,1308.0
2024-01-18,13.12,13.12,13.12,13.12,74.0
2024-01-19,13.04,13.55,13.04,13.55,489.0
2024-01-22,13.55,13.55,13.55,13.55,170.0
