date,open,high,low,close,volume
2023-11-29,3.86,4.21,3.855,4.04,2868331.0
2023-11-30,4.08,4.105,3.93,4.04,2516969.0
2023-12-01,4.0,4.655,3.97,4.63,3286276.0
2023-12-04,4.14,4.81,4.05,4.65,4474889.0
2023-12-05,4.88,5.025,3.98,3.99,5236615.0
2023-12-06,4.04,4.43,3.99,4.12,2204414.0
2023-12-07,4.1,4.675,4.02,4.66,3515304.0
2023-12-08,4.61,5.07,4.45,5.03,7096672.0
2023-12-11,5.03,5.05,4.64,4.78,2355248.0
2023-12-12,4.76,4.87,4.525,4.555,1581458.0
2023-12-13,4.56,4.91,4.32,4.91,2393854.0
2023-12-14,5.1465,5.61,5.09,5.15,5423224.0
2023-12-15,5.2,5.5,4.84,4.96,3743408.0
2023-12-18,3.47,3.54,2.54,2.8,23917790.0
2023-12-19,2.92,3.53,2.8201,3.53,9305777.0
2023-12-20,3.56,4.02,3.5,3.68,6643203.0
2023-12-21,3.8,3.95,3.7021,3.8,3133275.0
2023-12-22,3.88,4.06,3.66,3.84,2421981.0
2023-12-26,3.97,4.12,3.9,3.96,1964742.0
2023-12-27,4.05,4.125,3.92,4.11,1450106.0
2023-12-28,3.94,4.44,3.94,4.18,2594502.0
2023-12-29,4.15,4.24,4.0201,4.05,1718317.0
2024-01-02,4.04,4.0775,3.665,3.75,2944805.0
2024-01-03,3.48,3.6618,3.38,3.46,3124004.0
2024-01-04,3.42,3.59,3.36,3.37,2184018.0
2024-01-05,3.35,3.41,3.2,3.27,2020716.0
2024-01-08,3.28,3.28,3.08,3.12,2925666.0
2024-01-09,3.07,3.1,2.855,2.95,5629037.0
2024-01-10,2.93,2.98,2.62,2.64,6493812.0
2024-01-11,2.67,2.69,2.4,2.45,4385199.0
2024-01-12,2.52,2.6499,2.385,2.4,4602261.0
2024-01-16,2.72,3.19,2.56,2.92,9797530.0
2024-01-17,2.95,3.33,2.78,3.23,4254493.0
2024-01-18,3.21,3.295,2.905,3.03,2870522.0
2024-01-19,3.05,3.17,2.785,3.17,2501206.0
2024-01-22,3.24,3.425,3.16,3.29,1940829.0
2024-01-23,3.35,3.41,3.2,3.24,1432573.0
2024-01-24,3.32,3.33,3.19,3.24,2467431.0
2024-01-25,3.25,3.37,3.13,3.35,2455144.0
2024-01-26,3.43,3.78,3.382,3.72,3138401.0
2024-01-29,3.72,4.2,3.66,4.19,2368016.0
2024-01-30,4.18,4.245,3.9501,4.14,3023366.0
2024-01-31,4.08,4.31,3.92,3.92,1882018.0
2024-02-01,3.95,4.06,3.75,4.04,1423384.0
2024-02-02,4.1,4.14,3.82,4.03,1697238.0
2024-02-05,4.24,4.78,3.9206,4.6,5868803.0
2024-02-06,4.7,4.9,4.46,4.78,3640006.0
2024-02-07,4.77,4.87,4.62,4.86,2686898.0
2024-02-08,4.86,5.0,4.7,4.93,3211814.0
2024-02-09,4.95,5.02,4.635,4.76,2920452.0
2024-02-12,4.71,4.81,4.48,4.51,2102234.0
2024-02-13,4.4,4.64,4.2531,4.51,2845813.0
2024-02-14,4.6,4.98,4.6,4.92,2428860.0
2024-02-15,5.0,5.74,4.96,5.65,4615028.0
2024-02-16,5.65,5.95,5.48,5.65,3659733.0
2024-02-20,5.47,5.93,5.39,5.89,2201115.0
2024-02-21,5.82,5.89,5.505,5.73,1845822.0
2024-02-22,5.72,5.775,5.075,5.09,2891126.0
2024-02-23,5.18,5.605,5.02,5.55,1896274.0
2024-02-26,5.6,5.81,5.4,5.67,1773589.0
2024-02-27,5.8,5.97,5.57,5.77,1565366.0
2024-02-28,5.6,5.86,5.43,5.57,1796352.0
2024-02-29,5.77,5.95,5.47,5.79,1784194.0
2024-03-01,5.68,6.28,5.6,6.07,2204403.0
2024-03-04,6.2,6.2293,5.65,6.04,2488304.0
2024-03-05,5.92,5.97,5.625,5.66,2503067.0
2024-03-06,6.3,6.5,4.64,5.01,7885269.0
2024-03-07,5.02,5.145,4.515,5.1,4079943.0
2024-03-08,5.21,5.8,5.05,5.13,2802733.0
2024-03-11,5.17,5.26,4.79,4.81,1962156.0
2024-03-12,4.84,5.015,4.71,4.94,1897007.0
2024-03-13,5.15,5.47,5.0,5.36,2421472.0
2024-03-14,5.27,5.46,5.165,5.2,1156684.0
2024-03-15,5.15,5.44,5.15,5.34,2745236.0
2024-03-18,5.35,5.72,5.15,5.63,1977664.0
2024-03-19,5.5,5.95,5.37,5.95,1633549.0
2024-03-20,6.0,6.25,5.89,6.22,1946452.0
2024-03-21,6.45,6.59,6.16,6.17,2776188.0
2024-03-22,6.24,6.245,5.915,6.07,1644034.0
2024-03-25,6.08,6.29,6.01,6.05,1066828.0
2024-03-26,6.1,6.18,5.8,5.82,1256749.0
2024-03-27,5.95,6.11,5.86,6.05,1900058.0
2024-03-28,5.95,6.395,5.945,6.22,2757253.0
2024-04-01,6.17,6.225,5.85,5.88,1326135.0
2024-04-02,5.75,6.03,5.57,5.82,1902377.0
2024-04-03,5.85,5.87,5.65,5.72,1589751.0
2024-04-04,5.79,6.008,5.585,5.68,1401799.0
2024-04-05,5.67,5.81,5.54,5.8,758436.0
2024-04-08,6.0,6.0,5.7275,5.95,1282197.0
2024-04-09,6.0,6.15,5.849,5.93,988986.0
2024-04-10,5.75,5.86,5.59,5.71,1901737.0
2024-04-11,5.75,5.9,5.57,5.87,2928694.0
2024-04-12,5.79,5.88,5.56,5.67,1303196.0
2024-04-15,5.6,5.72,5.29,5.3,2298771.0
2024-04-16,5.27,5.4,5.17,5.21,1643869.0
2024-04-17,5.22,5.31,5.1,5.14,1580014.0
2024-04-18,5.14,5.32,5.06,5.1,1236136.0
2024-04-19,5.05,5.25,5.05,5.24,1162973.0
2024-04-22,5.34,5.34,4.98,5.04,1215241.0
2024-04-23,4.97,5.31,4.95,5.09,998236.0
2024-04-24,5.04,5.09,4.885,4.96,1558188.0
2024-04-25,4.95,5.1,4.78,5.05,1276428.0
2024-04-26,5.02,5.215,4.9187,4.98,1360436.0
2024-04-29,5.0,5.035,4.84,4.96,1427735.0
2024-04-30,4.92,4.92,4.67,4.67,1990655.0
2024-05-01,4.68,4.925,4.5,4.67,2421587.0
2024-05-02,4.8,5.33,4.71,5.24,3819938.0
2024-05-03,5.34,5.505,5.28,5.34,1863593.0
2024-05-06,5.39,5.4999,5.125,5.17,1660783.0
2024-05-07,4.95,5.47,4.775,5.02,3569945.0
2024-05-08,4.96,4.96,4.61,4.77,2296603.0
2024-05-09,4.72,4.955,4.71,4.88,1099579.0
2024-05-10,4.92,4.93,4.61,4.84,1660877.0
2024-05-13,4.94,5.32,4.89,5.28,2585346.0
2024-05-14,5.51,6.155,5.51,5.6,4618095.0
2024-05-15,5.66,5.74,5.31,5.38,1593209.0
2024-05-16,5.38,5.41,5.0503,5.14,1242309.0
2024-05-17,5.17,5.37,5.02,5.35,1556303.0
2024-05-20,5.38,5.64,5.36,5.53,1753441.0
2024-05-21,5.46,5.52,5.25,5.28,1024434.0
2024-05-22,5.2,5.4,5.2,5.37,642293.0
2024-05-23,5.39,5.39,5.0,5.12,1233417.0
2024-05-24,5.21,5.6299,5.17,5.45,1238932.0
2024-05-28,5.48,5.48,5.1,5.12,1587644.0
2024-05-29,5.02,5.155,4.89,4.96,2146604.0
2024-05-30,4.99,5.35,4.96,5.31,1232110.0
