date,open,high,low,close,volume
2023-11-29,33.0,34.05,33.0,34.05,5277.0
2023-11-30,33.97,34.05,32.56,33.59,11469.0
2023-12-01,34.11,34.445,33.5068,33.91,30369.0
2023-12-04,34.2,35.74,34.01,35.74,40376.0
2023-12-05,35.89,37.69,35.89,37.6,10871.0
2023-12-06,36.73,38.2,36.73,38.18,10805.0
2023-12-07,37.9297,38.98,37.8,38.28,16483.0
2023-12-08,38.8962,39.22,38.765,39.22,7419.0
2023-12-11,39.0,39.39,38.7918,38.85,6726.0
2023-12-12,39.0675,39.605,38.91,39.44,9514.0
2023-12-13,39.87,40.25,39.26,39.95,39876.0
2023-12-14,40.04,40.52,38.44,38.55,14632.0
2023-12-15,38.61,40.0,38.61,39.84,66857.0
2023-12-18,40.0,41.0,39.91,40.72,9273.0
2023-12-19,41.94,42.79,41.94,42.79,15902.0
2023-12-20,43.0,44.09,42.86,43.01,18520.0
2023-12-21,41.8548,42.73,41.8548,42.62,4945.0
2023-12-22,44.12,45.0,43.87,45.0,8225.0
2023-12-26,44.14,44.76,43.635,44.0,19010.0
2023-12-27,43.95,43.95,41.51,41.99,15341.0
2023-12-28,41.52,41.79,41.02,41.39,7482.0
2023-12-29,41.16,41.35,41.16,41.35,4600.0
2024-01-02,41.495,41.95,41.31,41.31,6488.0
2024-01-03,41.39,41.99,40.1,40.1,9571.0
2024-01-04,40.48,40.695,39.31,39.31,6503.0
2024-01-05,39.01,39.95,38.86,38.86,19180.0
2024-01-08,38.75,38.75,37.36,38.24,11629.0
2024-01-09,38.2,38.2,37.57,37.57,4173.0
2024-01-10,37.708,38.0,37.0806,37.92,14856.0
2024-01-11,36.25,37.82,36.25,37.78,6194.0
2024-01-12,38.14,38.49,37.4967,37.6,7528.0
2024-01-16,37.87,37.87,37.4,37.6,8271.0
2024-01-17,37.01,37.89,37.01,37.44,18033.0
2024-01-18,36.9,37.88,36.9,37.88,2981.0
2024-01-19,38.83,38.87,37.91,38.87,6382.0
2024-01-22,38.46,40.27,38.46,40.27,6992.0
2024-01-23,40.47,40.47,38.93,39.14,10147.0
2024-01-24,38.3904,39.39,38.3904,38.8,9152.0
2024-01-25,39.12,39.54,38.84,38.84,5660.0
2024-01-26,39.25,39.25,38.32,38.83,2475.0
2024-01-29,39.25,39.25,39.25,39.25,3185.0
2024-01-30,39.25,39.25,38.42,38.42,3740.0
2024-01-31,38.722,38.722,35.28,35.28,8590.0
2024-02-01,36.075,37.811,36.075,37.21,7560.0
2024-02-02,36.31,37.9,36.31,36.56,6073.0
2024-02-05,36.65,36.65,35.5,36.19,13101.0
2024-02-06,35.73,36.33,35.73,36.31,3060.0
2024-02-07,36.42,36.97,36.0,36.95,10545.0
2024-02-08,36.91,36.96,36.1,36.1,8541.0
2024-02-09,36.2,36.8,36.125,36.58,8938.0
2024-02-12,37.2999,37.2999,36.32,36.32,5960.0
2024-02-13,35.96,36.41,35.04,35.06,14743.0
2024-02-14,35.58,35.6,34.545,35.48,6832.0
2024-02-15,35.6,37.27,35.57,36.52,7697.0
2024-02-16,36.85,37.0,35.6,35.6,7815.0
2024-02-20,36.25,36.25,34.05,34.11,9002.0
2024-02-21,34.38,34.7,34.05,34.07,3860.0
2024-02-22,34.05,34.34,33.825,34.03,7852.0
2024-02-23,34.355,34.355,33.96,33.96,3515.0
2024-02-26,33.55,34.685,33.55,34.11,6882.0
2024-02-27,34.57,34.57,33.65,34.19,4814.0
2024-02-28,33.99,33.99,33.96,33.96,2800.0
2024-02-29,34.49,34.8799,34.49,34.84,5302.0
2024-03-01,34.7,34.8693,34.12,34.12,5772.0
2024-03-04,34.25,34.25,33.62,34.08,4130.0
2024-03-05,34.4,34.4,34.4,34.4,1463.0
2024-03-06,34.1,34.63,34.1,34.63,2311.0
2024-03-07,34.63,34.65,33.97,34.65,2904.0
2024-03-08,34.87,34.87,34.105,34.53,4392.0
2024-03-11,34.35,34.35,34.33,34.33,1666.0
2024-03-12,34.46,34.46,34.46,34.46,1949.0
2024-03-13,35.11,35.11,35.03,35.1,4104.0
2024-03-14,35.0108,35.0108,33.555,33.9,12921.0
2024-03-15,33.51,33.6,33.11,33.5,25497.0
2024-03-18,33.805,34.77,33.805,34.14,3969.0
2024-03-19,34.75,34.94,34.61,34.61,3924.0
2024-03-20,34.4365,35.0,34.15,34.91,6631.0
2024-03-21,35.0,35.88,35.0,35.7,10314.0
2024-03-22,35.685,35.685,35.28,35.28,2445.0
2024-03-25,36.12,36.12,35.41,35.41,2981.0
2024-03-26,35.31,35.42,35.25,35.26,10484.0
2024-03-27,36.34,36.5,36.34,36.5,3810.0
2024-03-28,35.532,37.43,35.532,36.79,6756.0
