date,open,high,low,close,volume
2023-11-29,14.22,14.7,13.85,13.89,261922.0
2023-11-30,14.04,14.69,13.76,13.89,359450.0
2023-12-01,13.87,14.19,13.43,14.15,378662.0
2023-12-04,14.3,14.64,14.04,14.43,360014.0
2023-12-05,14.38,15.35,14.38,14.51,495385.0
2023-12-06,14.64,14.74,14.07,14.51,519756.0
2023-12-07,14.49,14.93,14.37,14.7,766960.0
2023-12-08,15.05,15.275,14.62,14.63,462307.0
2023-12-11,14.63,15.21,14.14,15.1,461406.0
2023-12-12,15.11,15.18,14.7,15.04,415198.0
2023-12-13,14.96,15.56,14.42,15.52,507468.0
2023-12-14,15.69,16.83,15.69,16.77,875373.0
2023-12-15,16.89,17.77,16.6,16.76,776439.0
2023-12-18,16.65,16.94,16.09,16.47,269504.0
2023-12-19,16.6,17.16,16.46,16.51,459435.0
2023-12-20,16.5,17.4,16.11,16.31,402476.0
2023-12-21,16.48,16.74,16.16,16.49,203636.0
2023-12-22,16.76,17.37,16.725,17.27,255782.0
2023-12-26,17.6,18.61,17.48,18.52,472747.0
2023-12-27,18.67,19.3775,18.6,19.15,628155.0
2023-12-28,19.06,19.5,18.655,19.11,741692.0
2023-12-29,19.16,19.225,18.1,18.11,419577.0
2024-01-02,17.91,19.03,17.69,17.96,470374.0
2024-01-03,18.01,18.63,17.65,18.06,465755.0
2024-01-04,18.4,18.78,17.67,18.68,360985.0
2024-01-05,18.37,18.37,17.81,17.86,308094.0
2024-01-08,17.82,19.62,17.62,19.59,418975.0
2024-01-09,19.32,19.3305,18.24,18.26,615576.0
2024-01-10,18.17,18.215,17.0,17.22,418790.0
2024-01-11,17.13,17.38,16.79,17.36,387100.0
2024-01-12,17.52,18.18,17.43,17.9,335661.0
2024-01-16,17.72,17.995,17.38,17.61,585918.0
2024-01-17,17.31,17.9,17.1,17.84,496803.0
2024-01-18,17.9,17.9,15.98,16.51,871855.0
2024-01-19,16.72,17.02,16.23,16.7,415643.0
2024-01-22,16.68,17.7,16.54,17.63,543139.0
2024-01-23,17.86,17.96,17.17,17.44,402448.0
2024-01-24,17.69,17.87,17.19,17.34,230714.0
2024-01-25,17.53,17.82,17.2,17.21,313316.0
2024-01-26,17.33,17.745,17.12,17.14,238438.0
2024-01-29,17.33,18.69,16.9299,18.68,256257.0
2024-01-30,18.7,18.9199,18.235,18.47,490782.0
2024-01-31,18.5,18.8,17.91,17.92,286391.0
2024-02-01,18.05,18.46,17.78,18.42,277439.0
2024-02-02,18.3,18.3,16.99,17.4,212277.0
2024-02-05,16.77,16.77,13.4,15.8,2105461.0
2024-02-06,15.71,16.32,15.31,16.11,483286.0
2024-02-07,16.11,16.26,15.56,15.97,384223.0
2024-02-08,16.07,16.42,15.67,16.29,288147.0
2024-02-09,16.39,17.52,16.39,16.93,352179.0
2024-02-12,17.0,17.56,16.84,17.27,433531.0
2024-02-13,16.62,16.9399,15.18,15.27,484548.0
2024-02-14,15.57,16.8,15.24,16.67,374568.0
2024-02-15,16.92,17.84,16.77,16.8,378196.0
2024-02-16,16.64,16.9675,16.55,16.64,208710.0
2024-02-20,16.44,16.65,15.48,15.55,342245.0
2024-02-21,15.57,15.88,15.41,15.85,302060.0
2024-02-22,15.84,16.32,15.35,15.98,399527.0
2024-02-23,15.96,16.94,15.88,16.43,244707.0
2024-02-26,16.38,17.08,16.11,16.61,316352.0
2024-02-27,16.99,17.46,16.65,17.21,372273.0
2024-02-28,18.0,18.0,16.32,16.62,463835.0
2024-02-29,17.09,17.585,15.87,15.87,357151.0
2024-03-01,15.86,17.0,15.86,16.54,338367.0
2024-03-04,16.81,16.81,16.01,16.39,202463.0
2024-03-05,16.59,16.73,16.08,16.22,261497.0
2024-03-06,16.32,16.4599,15.61,15.68,297623.0
2024-03-07,15.8,16.0,15.54,15.64,263648.0
2024-03-08,15.89,15.97,15.385,15.55,258833.0
2024-03-11,15.63,15.76,14.39,14.53,378824.0
2024-03-12,14.53,15.53,14.355,15.14,542737.0
2024-03-13,15.05,15.65,15.05,15.38,298625.0
2024-03-14,15.35,15.35,14.61,14.9,471284.0
2024-03-15,15.01,15.315,14.78,15.19,608081.0
2024-03-18,15.2,15.49,14.56,14.6,288396.0
2024-03-19,14.55,15.11,14.44,14.7,675199.0
2024-03-20,14.7,15.07,14.5,14.9,346156.0
2024-03-21,15.2,15.63,14.81,15.16,348029.0
2024-03-22,15.09,15.49,14.54,14.65,447682.0
2024-03-25,14.73,14.92,14.32,14.36,315166.0
2024-03-26,14.53,14.72,14.07,14.14,269685.0
2024-03-27,14.33,14.89,14.1,14.55,254383.0
2024-03-28,14.69,14.96,14.38,14.9,292430.0
2024-04-01,14.97,15.155,14.3,14.81,284245.0
2024-04-02,14.51,14.68,14.295,14.68,284472.0
2024-04-03,14.52,14.62,14.27,14.43,494180.0
2024-04-04,14.7,15.2,14.423,14.55,406844.0
2024-04-05,14.5,14.98,14.273,14.65,264778.0
2024-04-08,14.69,14.85,14.52,14.72,168572.0
2024-04-09,14.73,15.18,14.73,14.92,182239.0
2024-04-10,14.34,14.39,13.93,14.15,343387.0
2024-04-11,14.28,14.71,14.09,14.47,244542.0
2024-04-12,14.33,14.57,14.0,14.15,214720.0
2024-04-15,14.15,14.15,13.47,13.55,267556.0
2024-04-16,13.4,13.66,13.22,13.26,427232.0
2024-04-17,13.29,13.29,12.84,12.86,267216.0
2024-04-18,12.81,12.99,12.0,12.19,357215.0
2024-04-19,12.14,12.55,12.0,12.52,306228.0
2024-04-22,12.55,12.8,12.365,12.6,211566.0
2024-04-23,12.58,12.88,12.49,12.52,243871.0
2024-04-24,12.55,12.58,11.73,11.9,368691.0
2024-04-25,11.68,11.9,11.21,11.88,610667.0
2024-04-26,12.02,12.06,11.73,11.81,366715.0
2024-04-29,11.99,12.48,11.73,12.09,262795.0
2024-04-30,11.86,12.1521,11.78,11.82,509837.0
2024-05-01,11.82,12.88,11.73,12.66,691014.0
2024-05-02,12.84,13.33,12.68,13.25,244896.0
2024-05-03,13.8,14.09,13.58,13.98,302700.0
2024-05-06,14.09,14.33,13.71,13.79,306975.0
2024-05-07,14.0,14.12,12.9425,13.79,322966.0
2024-05-08,13.71,13.89,13.07,13.41,222543.0
2024-05-09,13.5,14.1,13.29,13.81,417228.0
2024-05-10,13.95,14.0,13.325,13.81,487214.0
2024-05-13,14.02,14.6,13.5,13.67,392358.0
2024-05-14,14.32,14.81,13.64,14.14,974195.0
2024-05-15,14.56,16.52,14.3601,15.36,1269936.0
2024-05-16,15.39,16.0,15.34,15.61,427717.0
2024-05-17,15.65,15.87,15.235,15.27,372754.0
2024-05-20,15.33,15.87,15.09,15.12,478683.0
2024-05-21,15.01,15.19,14.44,14.59,302015.0
2024-05-22,14.58,15.06,14.11,14.18,270321.0
2024-05-23,14.29,14.32,13.18,13.4,734131.0
2024-05-24,13.51,13.8462,12.66,12.73,317544.0
2024-05-28,12.98,13.015,12.36,12.88,881075.0
2024-05-29,12.67,12.86,12.45,12.62,352811.0
2024-05-30,12.75,12.85,12.0,12.17,440437.0
