date,open,high,low,close,volume
2023-11-29,41.34,41.69,40.705,40.78,687134.0
2023-11-30,40.84,41.33,40.6,41.06,744839.0
2023-12-01,41.01,41.98,40.87,41.97,609586.0
2023-12-04,41.72,42.67,41.72,42.22,989064.0
2023-12-05,42.26,42.28,41.71,42.02,879337.0
2023-12-06,42.25,43.17,42.19,43.01,1286879.0
2023-12-07,42.92,43.0,42.375,42.43,983916.0
2023-12-08,42.55,42.59,42.09,42.54,728270.0
2023-12-11,42.83,43.265,42.73,43.11,1150385.0
2023-12-12,43.12,43.21,42.48,42.96,1326025.0
2023-12-13,42.88,44.84,42.64,44.69,1594470.0
2023-12-14,44.92,45.415,43.77,43.8,1578660.0
2023-12-15,44.07,44.07,42.75,43.0,2509306.0
2023-12-18,43.12,43.305,42.835,43.05,1011000.0
2023-12-19,43.2,43.7,42.93,43.68,864540.0
2023-12-20,43.7,43.99,43.0,43.07,850998.0
2023-12-21,43.25,43.65,42.99,43.36,699538.0
2023-12-22,43.17,43.67,43.0,43.11,819700.0
2023-12-26,43.13,43.54,43.03,43.27,473948.0
2023-12-27,43.2,43.32,43.04,43.31,547908.0
2023-12-28,43.03,43.65,42.98,43.44,936836.0
2023-12-29,43.25,43.45,43.07,43.34,1206738.0
2024-01-02,43.14,44.35,43.09,44.23,881975.0
2024-01-03,44.17,44.58,43.77,44.18,1045404.0
2024-01-04,44.41,44.57,44.02,44.28,1256200.0
2024-01-05,44.02,44.77,43.78,44.01,875579.0
2024-01-08,43.93,44.31,43.915,44.14,935694.0
2024-01-09,43.76,43.965,43.45,43.81,1076167.0
2024-01-10,43.67,43.962,43.49,43.62,633995.0
2024-01-11,43.32,43.42,41.865,42.12,749159.0
2024-01-12,42.59,42.63,42.17,42.32,429194.0
2024-01-16,42.08,42.1,40.87,40.92,1889100.0
2024-01-17,40.54,41.03,40.25,40.69,888054.0
2024-01-18,40.48,40.61,40.16,40.56,1083080.0
2024-01-19,40.59,40.68,40.2,40.5,1359848.0
2024-01-22,40.57,40.864,39.85,40.1,1481141.0
2024-01-23,40.37,40.48,40.015,40.38,1348758.0
2024-01-24,40.67,40.78,39.67,39.94,3388527.0
