date,open,high,low,close,volume
2023-11-29,1.07,1.15,1.03,1.08,162608.0
2023-11-30,1.075,1.08,1.04,1.04,15016.0
2023-12-01,1.0,1.12,1.0,1.06,59585.0
2023-12-04,1.09,1.142,1.02,1.08,39237.0
2023-12-05,1.06,1.111,1.04,1.07,32492.0
2023-12-06,1.07,1.1,1.0,1.03,53440.0
2023-12-07,1.0859,1.1,1.0339,1.08,63533.0
2023-12-08,1.08,1.16,1.08,1.11,76538.0
2023-12-11,1.0,1.03,0.9,0.938,317579.0
2023-12-12,0.893,0.9599,0.7999,0.8,169878.0
2023-12-13,0.8511,0.88,0.6516,0.874,141187.0
2023-12-14,0.91,0.934,0.86,0.88,57635.0
2023-12-15,0.8901,0.965,0.83,0.95,66926.0
2023-12-18,0.9975,1.01,0.86,0.9501,55491.0
2023-12-19,1.01,1.01,0.9119,0.9799,65454.0
2023-12-20,0.9298,0.9667,0.8432,0.89,155309.0
2023-12-21,0.89,0.93,0.8101,0.8493,150762.0
2023-12-22,0.8517,0.8699,0.8205,0.8205,70745.0
2023-12-26,0.8567,0.899,0.8405,0.899,47679.0
2023-12-27,0.86,0.9,0.86,0.865,36877.0
2023-12-28,0.8302,0.8529,0.8,0.8201,80585.0
2023-12-29,0.82,0.86,0.75,0.78,143592.0
2024-01-02,0.8262,0.8264,0.77,0.7706,101313.0
2024-01-03,0.792,0.8157,0.76,0.7908,84242.0
2024-01-04,0.7827,0.8199,0.78,0.8,71928.0
2024-01-05,0.78,0.8196,0.76,0.76,50329.0
2024-01-08,0.78,0.7985,0.7605,0.7623,15416.0
2024-01-09,0.7623,0.7817,0.6631,0.7332,168875.0
2024-01-10,0.7178,0.7528,0.6371,0.6648,185066.0
2024-01-11,0.7064,0.7064,0.665,0.6781,40871.0
2024-01-12,0.7119,0.72,0.6542,0.69,45591.0
2024-01-16,0.6643,0.71,0.62,0.6656,85328.0
2024-01-17,0.655,0.6779,0.5328,0.6054,138694.0
2024-01-18,0.6247,0.6247,0.55,0.5801,76758.0
2024-01-19,0.6,0.6719,0.581,0.65,54250.0
2024-01-22,0.64,0.67,0.62,0.6317,53478.0
2024-01-23,0.6053,0.63,0.5599,0.6022,104793.0
2024-01-24,0.61,0.62,0.5773,0.617,55862.0
2024-01-25,0.5828,0.6201,0.5828,0.61,21472.0
2024-01-26,0.5916,0.6999,0.59,0.6623,136509.0
2024-01-29,0.6261,0.6513,0.6086,0.65,30398.0
2024-01-30,0.64,0.649,0.6103,0.649,14887.0
2024-01-31,0.6259,0.66,0.62,0.66,26004.0
2024-02-01,0.68,0.7413,0.6605,0.6905,153351.0
2024-02-02,0.69,0.745,0.69,0.73,73403.0
2024-02-05,0.73,0.7945,0.73,0.79,190900.0
2024-02-06,0.8,0.84,0.7619,0.7619,137711.0
2024-02-07,0.85,0.855,0.7506,0.79,137743.0
2024-02-08,0.778,0.85,0.778,0.7999,37317.0
2024-02-09,0.84,0.851,0.78,0.82,57676.0
2024-02-12,0.7997,0.843,0.741,0.75,68189.0
2024-02-13,0.7801,0.8405,0.7414,0.7503,196166.0
2024-02-14,0.7503,0.7997,0.728,0.7551,56877.0
2024-02-15,0.7306,0.829,0.73,0.78,35815.0
2024-02-16,0.79,0.79,0.72,0.7595,73284.0
2024-02-20,0.74,0.76,0.6858,0.6902,75638.0
2024-02-21,0.74,0.74,0.68,0.7042,108364.0
2024-02-22,0.73,0.7497,0.6806,0.71,84685.0
2024-02-23,0.73,0.74,0.68,0.695,58983.0
2024-02-26,0.71,0.7378,0.6801,0.7127,92621.0
2024-02-27,0.734,0.734,0.6343,0.6706,367934.0
2024-02-28,0.6706,0.7,0.6004,0.6995,137015.0
2024-02-29,0.6919,0.8601,0.6901,0.821,215756.0
2024-03-01,0.851,0.95,0.851,0.918,150972.0
2024-03-04,0.8994,0.9309,0.83,0.83,105821.0
2024-03-05,0.792,0.83,0.76,0.8,160468.0
2024-03-06,0.83,0.88,0.8012,0.815,68090.0
2024-03-07,0.8375,0.888,0.7814,0.8658,142652.0
2024-03-08,0.889,0.889,0.81,0.821,174171.0
2024-03-11,0.849,0.85,0.76,0.768,74786.0
2024-03-12,0.7556,0.7556,0.6865,0.736,286592.0
2024-03-13,0.7371,0.7371,0.6649,0.7111,51124.0
2024-03-14,0.74,0.74,0.674,0.6953,39589.0
2024-03-15,0.7,0.75,0.69,0.7248,53183.0
2024-03-18,0.705,0.71,0.68,0.71,44414.0
2024-03-19,0.7299,0.73,0.68,0.7093,163103.0
2024-03-20,0.6737,0.686,0.6151,0.6504,258820.0
2024-03-21,0.6515,0.7,0.6201,0.672,50246.0
2024-03-22,0.67,0.7,0.651,0.6711,38516.0
2024-03-25,0.6711,0.6711,0.6,0.6254,85884.0
2024-03-26,0.62,0.644,0.596,0.6218,62620.0
2024-03-27,0.61,0.63,0.57,0.611,70481.0
2024-03-28,0.62,0.67,0.62,0.67,99151.0
2024-04-01,0.7,0.7396,0.68,0.6886,88757.0
2024-04-02,0.71,0.72,0.67,0.6746,29328.0
2024-04-03,0.6763,0.74,0.64,0.7064,30680.0
2024-04-04,0.719,0.72,0.68,0.7,32131.0
2024-04-05,0.73,0.76,0.68,0.7,69614.0
2024-04-08,0.7,0.7621,0.6763,0.715,61262.0
2024-04-09,0.71,0.7482,0.7,0.715,95084.0
2024-04-10,0.69,0.739,0.68,0.6863,55339.0
2024-04-11,0.6863,0.6995,0.6001,0.615,75817.0
2024-04-12,0.654,0.67,0.61,0.6143,46189.0
2024-04-15,0.64,0.6468,0.5402,0.5834,184782.0
2024-04-16,0.5634,0.627,0.3023,0.4121,1003270.0
2024-04-17,0.4695,0.4743,0.4108,0.4343,281429.0
2024-04-18,0.4499,0.48,0.43,0.461,171410.0
2024-04-19,0.4699,0.4899,0.4433,0.455,52314.0
2024-04-22,0.469,0.469,0.4101,0.4534,106444.0
2024-04-23,0.46,0.49,0.43,0.49,83344.0
2024-04-24,0.4871,0.59,0.4503,0.5127,270939.0
2024-04-25,0.52,0.6,0.49,0.516,1694703.0
2024-04-26,0.49,0.5376,0.475,0.49,176664.0
2024-04-29,0.5,0.5199,0.4736,0.5101,275885.0
2024-04-30,0.539,0.539,0.4977,0.519,133920.0
2024-05-01,0.529,0.543,0.5163,0.5231,37254.0
2024-05-02,0.54,0.5797,0.5185,0.541,224759.0
2024-05-03,0.564,0.57,0.53,0.53,108156.0
2024-05-06,0.544,0.5899,0.47,0.5254,104786.0
2024-05-07,0.5184,0.54,0.5,0.51,41326.0
2024-05-08,0.535,0.5499,0.51,0.5497,64167.0
2024-05-09,0.5469,0.5674,0.52,0.5293,114412.0
2024-05-10,0.53,0.5613,0.501,0.5251,68345.0
2024-05-13,0.55,0.55,0.501,0.52,66132.0
2024-05-14,0.53,0.5499,0.51,0.51,76145.0
