date,open,high,low,close,volume
2023-11-29,0.0094,0.0094,0.0083,0.0083,601870.0
2023-11-30,0.0086,0.0088,0.0075,0.0085,960449.0
2023-12-01,0.008,0.0093,0.0078,0.0083,934977.0
2023-12-04,0.0089,0.0089,0.0077,0.0085,127843.0
2023-12-05,0.0075,0.0085,0.0072,0.0075,896977.0
2023-12-06,0.0077,0.0129,0.0073,0.0105,3590118.0
2023-12-07,0.011,0.0185,0.0097,0.0115,2778824.0
2023-12-08,0.0115,0.0118,0.01,0.011,964841.0
2023-12-11,0.0129,0.0129,0.0088,0.0089,980200.0
2023-12-12,0.009,0.0095,0.0082,0.0088,868954.0
2023-12-13,0.0096,0.0191,0.008,0.0155,13990050.0
2023-12-14,0.0183,0.02,0.0095,0.0095,3640676.0
2023-12-15,0.01,0.015,0.0098,0.0109,2422015.0
2023-12-18,0.011,0.0125,0.0091,0.0095,4419768.0
2023-12-19,0.01,0.0169,0.009,0.014,1543622.0
2023-12-20,0.014,0.0195,0.0132,0.015,2844316.0
2023-12-21,0.015,0.015,0.011,0.0111,3478312.0
2023-12-22,0.0109,0.0144,0.0109,0.0119,1693319.0
2023-12-26,0.0119,0.014,0.0113,0.014,571604.0
2023-12-27,0.0145,0.017,0.0126,0.014,571604.0
2023-12-28,0.016,0.016,0.0132,0.0132,1373765.0
2023-12-29,0.014,0.014,0.0105,0.012,4648943.0
2024-01-02,0.0108,0.0157,0.0107,0.012,1022573.0
2024-01-03,0.0131,0.0131,0.0108,0.0119,2034964.0
2024-01-04,0.0129,0.0129,0.0118,0.0122,111133.0
2024-01-05,0.0122,0.0122,0.0102,0.0102,792224.0
2024-01-08,0.0105,0.0105,0.01,0.0101,1911917.0
2024-01-09,0.0102,0.011,0.01,0.0105,1448182.0
2024-01-10,0.011,0.011,0.0098,0.01,1677210.0
2024-01-11,0.0105,0.0107,0.01,0.0101,792181.0
2024-01-12,0.0101,0.0104,0.01,0.01,191040.0
2024-01-16,0.0102,0.0102,0.0098,0.0098,677287.0
2024-01-17,0.0098,0.0099,0.0083,0.009,1740095.0
2024-01-18,0.009,0.009,0.0085,0.0089,979043.0
2024-01-19,0.009,0.009,0.0083,0.0083,481259.0
2024-01-22,0.0072,0.009,0.0072,0.009,466700.0
2024-01-23,0.009,0.0093,0.008,0.0084,758388.0
2024-01-24,0.0082,0.0082,0.0073,0.008,1454076.0
2024-01-25,0.0077,0.008,0.0044,0.006,3135332.0
2024-01-26,0.006,0.006,0.005,0.0053,2400912.0
2024-01-29,0.0055,0.0068,0.0055,0.006,789306.0
2024-01-30,0.0068,0.0068,0.0048,0.0059,4948794.0
2024-01-31,0.0062,0.0065,0.0056,0.006,1222440.0
2024-02-01,0.006,0.006,0.0053,0.0059,378199.0
2024-02-02,0.006,0.0062,0.0059,0.0062,772431.0
2024-02-05,0.006,0.006,0.0056,0.006,1199250.0
2024-02-06,0.0064,0.0064,0.0055,0.006,1153204.0
2024-02-07,0.006,0.006,0.0052,0.006,885015.0
2024-02-08,0.006,0.0065,0.0047,0.0051,4474780.0
2024-02-09,0.0046,0.0051,0.0046,0.0046,1328708.0
