date,open,high,low,close,volume
2023-11-27,10.96,11.06,10.65,10.95,17286.0
2023-11-28,10.96,10.96,9.9,10.21,23394.0
2023-11-29,10.0597,10.4,10.0597,10.4,39099.0
2023-11-30,10.26,10.85,10.26,10.85,35145.0
2023-12-01,10.63,10.99,10.63,10.9174,13209.0
2023-12-04,10.72,10.856,10.6,10.63,13176.0
2023-12-05,10.82,10.82,10.28,10.28,11238.0
2023-12-06,10.39,10.42,10.21,10.4177,7698.0
2023-12-07,10.27,10.51,10.0,10.0,8414.0
2023-12-08,10.5656,10.5656,10.0101,10.09,22016.0
2023-12-11,10.0303,10.0303,9.75,9.75,2312.0
2023-12-12,9.74,10.31,9.65,10.31,11365.0
2023-12-13,10.06,10.36,9.99,10.0244,16283.0
2023-12-14,10.22,10.22,9.86,10.1,14676.0
2023-12-15,10.03,10.3553,9.4,9.52,16222.0
2023-12-18,9.71,9.71,8.5,8.78,62239.0
2023-12-19,8.97,8.97,8.245,8.255,54140.0
2023-12-20,8.593,8.593,7.89,8.31,37908.0
2023-12-21,8.53,9.32,8.4,9.13,51972.0
2023-12-22,9.31,9.51,8.7,9.15,48604.0
2023-12-26,8.98,9.33,8.98,9.07,18055.0
2023-12-27,8.9,8.915,8.14,8.3,86283.0
2023-12-28,7.7,7.95,7.5,7.85,858539.0
2023-12-29,8.0,8.49,7.8,8.49,239454.0
2024-01-02,8.61,8.665,7.8,7.95,71263.0
2024-01-03,7.84,8.1,7.5,7.68,43840.0
2024-01-04,7.92,7.92,7.24,7.3,71798.0
2024-01-05,7.36,7.7699,7.11,7.48,85553.0
2024-01-08,7.47,7.7294,7.36,7.57,58742.0
2024-01-09,7.54,7.66,7.22,7.37,61062.0
2024-01-10,7.23,7.6,7.13,7.59,49588.0
2024-01-11,7.25,7.6,7.25,7.5999,20957.0
2024-01-12,7.61,7.81,7.5,7.6,46587.0
2024-01-16,7.61,8.0781,7.61,7.85,49915.0
2024-01-17,7.94,8.01,7.7305,7.79,28279.0
2024-01-18,8.0199,8.25,7.8117,8.18,48017.0
2024-01-19,8.15,8.15,7.96,8.02,24463.0
2024-01-22,8.02,8.16,7.94,8.11,14474.0
2024-01-23,8.14,8.3899,8.01,8.2,15831.0
2024-01-24,8.345,8.345,7.77,8.11,34016.0
2024-01-25,8.17,8.42,7.8269,8.28,30342.0
2024-01-26,8.27,9.11,8.04,9.0603,173283.0
2024-01-29,9.08,9.5,8.93,9.46,123973.0
2024-01-30,9.55,9.55,8.71,8.97,57013.0
2024-01-31,8.8685,9.2857,8.81,8.915,40380.0
2024-02-01,8.82,9.0,8.75,8.86,19352.0
2024-02-02,8.78,8.8616,8.15,8.55,67533.0
2024-02-05,8.56,8.68,8.12,8.53,50110.0
2024-02-06,8.34,8.64,8.34,8.44,36969.0
2024-02-07,8.32,8.72,8.25,8.56,35458.0
2024-02-08,8.44,9.01,8.44,8.72,26872.0
2024-02-09,8.81,8.89,8.45,8.74,41650.0
2024-02-12,8.62,8.8435,8.5,8.68,69449.0
2024-02-13,8.27,8.65,8.27,8.33,37092.0
2024-02-14,8.4215,8.6425,8.3276,8.5,43444.0
2024-02-15,8.63,8.63,8.3401,8.49,22730.0
2024-02-16,8.5,8.6801,8.255,8.5,16647.0
2024-02-20,8.5,8.6038,8.22,8.27,33379.0
2024-02-21,8.33,8.46,8.27,8.27,2829.0
2024-02-22,8.36,8.93,8.35,8.64,54232.0
