date,open,high,low,close,volume
2023-11-27,67.93,68.19,67.58,67.87,75756.0
2023-11-28,67.68,68.49,67.52,68.28,91458.0
2023-11-29,68.53,69.25,67.595,67.61,124860.0
2023-11-30,68.0,68.8,66.946,67.39,175382.0
2023-12-01,67.82,69.8,67.48,69.59,169801.0
2023-12-04,69.14,70.77,69.14,69.94,179802.0
2023-12-05,69.66,69.955,69.17,69.88,122021.0
2023-12-06,70.34,70.34,68.71,69.07,117085.0
2023-12-07,69.39,70.15,68.87,70.07,173917.0
2023-12-08,69.78,70.58,69.72,70.25,142360.0
2023-12-11,70.58,71.1,70.265,70.81,236748.0
2023-12-12,71.08,71.705,70.46,71.46,207214.0
2023-12-13,71.38,74.0,71.215,73.87,212389.0
2023-12-14,74.39,74.99,73.32,73.63,312157.0
2023-12-15,74.16,75.03,73.62,74.21,751843.0
2023-12-18,74.29,74.35,73.295,73.71,173817.0
2023-12-19,74.21,74.99,74.21,74.51,166522.0
2023-12-20,74.28,75.29,73.8,73.88,196746.0
2023-12-21,74.51,75.07,74.06,75.06,134220.0
2023-12-22,75.0,76.095,75.0,75.72,91272.0
2023-12-26,76.11,76.82,75.863,76.52,64442.0
2023-12-27,76.82,76.905,76.105,76.3,80496.0
2023-12-28,76.17,76.33,75.74,76.33,77418.0
2023-12-29,76.43,76.49,75.45,75.78,103906.0
2024-01-02,75.21,75.95,74.84,75.35,134062.0
2024-01-03,75.15,75.54,73.8,73.87,191929.0
2024-01-04,73.92,73.92,72.43,73.11,186814.0
2024-01-05,72.66,73.54,72.145,72.85,147175.0
2024-01-08,72.97,73.46,72.375,73.22,112158.0
2024-01-09,73.12,73.38,72.3,72.94,189113.0
2024-01-10,82.0,83.71,75.79,76.52,433723.0
2024-01-11,76.46,77.475,74.78,75.39,237252.0
2024-01-12,76.32,77.0,75.405,77.0,183390.0
2024-01-16,76.71,77.8299,76.4201,76.86,200847.0
2024-01-17,76.15,77.0699,75.485,76.08,121431.0
2024-01-18,76.28,76.735,76.08,76.55,101890.0
2024-01-19,77.11,77.4478,75.93,77.14,111891.0
2024-01-22,77.56,79.17,77.16,77.61,98682.0
2024-01-23,78.03,78.46,76.26,76.44,101426.0
2024-01-24,77.25,77.25,74.875,75.26,91139.0
2024-01-25,75.98,76.45,75.315,76.27,214918.0
2024-01-26,76.31,76.555,75.47,75.84,95472.0
2024-01-29,75.77,78.15,75.77,77.88,208139.0
2024-01-30,77.52,78.175,77.12,77.95,89440.0
2024-01-31,77.98,78.44,75.73,76.02,139282.0
2024-02-01,76.36,77.06,76.01,77.04,117670.0
2024-02-02,77.62,77.785,76.14,76.87,168556.0
2024-02-05,76.05,76.38,74.95,75.12,173062.0
2024-02-06,74.96,76.87,74.74,76.79,94552.0
2024-02-07,76.6,77.78,76.41,77.42,274984.0
2024-02-08,77.56,78.46,77.56,78.3,151291.0
2024-02-09,78.26,79.08,77.85,78.86,159808.0
2024-02-12,78.74,81.25,78.74,80.71,168513.0
2024-02-13,79.04,79.67,77.87,79.01,343904.0
2024-02-14,79.11,80.6,78.27,80.06,233438.0
2024-02-15,80.26,81.7,80.2,81.29,107254.0
2024-02-16,80.92,81.16,80.19,80.24,105205.0
2024-02-20,79.86,80.97,79.78,80.08,181033.0
2024-02-21,80.2,81.2,79.97,81.14,99980.0
2024-02-22,80.77,82.19,80.62,82.06,196535.0
2024-02-23,81.97,83.565,81.8377,82.55,90623.0
2024-02-26,82.15,82.89,82.15,82.74,79285.0
2024-02-27,83.28,83.96,83.16,83.8,128477.0
2024-02-28,83.61,84.91,83.32,83.79,129251.0
2024-02-29,84.7,84.93,83.74,84.14,189446.0
2024-03-01,84.22,84.35,83.55,83.73,74789.0
2024-03-04,83.51,84.64,83.51,84.1,96511.0
2024-03-05,83.76,84.55,82.57,82.78,85480.0
2024-03-06,83.49,84.0328,82.865,83.1,89592.0
2024-03-07,83.63,84.71,83.22,83.98,149728.0
2024-03-08,84.42,84.42,82.6775,82.9,85883.0
2024-03-11,82.77,83.52,82.12,83.26,106306.0
2024-03-12,83.14,83.71,82.39,82.85,58413.0
2024-03-13,82.5,83.07,81.975,82.45,85067.0
2024-03-14,82.45,82.45,80.57,81.24,107717.0
2024-03-15,80.86,81.72,80.23,80.67,286154.0
2024-03-18,80.67,81.24,80.21,80.22,104682.0
2024-03-19,80.22,81.0273,80.2,80.69,101602.0
2024-03-20,80.43,81.8634,80.26,81.5,80560.0
2024-03-21,81.62,83.33,81.62,82.74,120924.0
2024-03-22,83.02,83.02,81.3,81.45,62482.0
2024-03-25,81.75,82.41,81.225,81.78,92404.0
2024-03-26,82.09,82.64,81.425,81.76,162795.0
2024-03-27,82.43,83.58,82.43,83.29,128397.0
2024-03-28,83.59,84.305,83.47,84.0,137119.0
2024-04-01,84.33,84.33,83.27,83.67,150849.0
2024-04-02,82.82,82.94,80.985,81.8,176604.0
2024-04-03,81.67,82.37,80.99,81.34,124635.0
2024-04-04,81.75,82.69,80.9,82.36,151639.0
2024-04-05,82.21,83.155,81.99,82.94,121114.0
2024-04-08,83.12,83.83,82.93,83.53,172464.0
2024-04-09,84.0,84.0,82.425,83.09,202205.0
2024-04-10,85.37,86.9,78.235,80.53,488453.0
2024-04-11,80.48,80.55,79.22,80.07,329800.0
2024-04-12,79.66,80.09,78.685,79.45,184767.0
2024-04-15,80.1,80.585,79.39,79.71,178332.0
2024-04-16,79.23,79.7,77.86,78.2,181306.0
2024-04-17,79.01,80.72,79.01,79.39,185068.0
2024-04-18,78.9,80.8,78.6545,80.42,215161.0
2024-04-19,80.12,82.94,80.12,82.85,281828.0
2024-04-22,82.64,83.01,80.86,80.91,242420.0
2024-04-23,81.22,82.49,81.22,81.58,174383.0
2024-04-24,81.01,81.79,80.71,80.91,175968.0
2024-04-25,80.37,80.63,79.94,80.17,152429.0
2024-04-26,80.21,81.54,80.21,81.49,182114.0
2024-04-29,81.51,82.86,81.49,81.97,137101.0
2024-04-30,81.37,81.64,80.36,80.59,220062.0
2024-05-01,80.27,83.22,80.27,81.55,145547.0
2024-05-02,81.97,82.48,81.595,82.02,106277.0
2024-05-03,82.57,82.81,81.61,82.46,94268.0
2024-05-06,82.56,83.54,82.56,83.14,89151.0
2024-05-07,83.25,85.05,83.25,84.72,109861.0
2024-05-08,84.25,85.874,84.03,85.76,166652.0
2024-05-09,85.77,86.185,84.76,85.4,103571.0
2024-05-10,85.17,85.3875,84.63,84.89,81776.0
2024-05-13,85.6,86.05,84.73,84.84,97193.0
2024-05-14,85.74,86.15,85.34,86.02,126965.0
2024-05-15,86.2,86.37,84.98,86.06,96443.0
2024-05-16,86.24,87.99,86.06,87.24,112665.0
2024-05-17,87.34,87.7,86.815,87.16,86248.0
2024-05-20,87.02,87.02,85.48,85.53,115395.0
2024-05-21,85.6,86.03,84.635,85.52,94338.0
2024-05-22,85.05,85.5,83.83,84.57,139305.0
2024-05-23,84.57,84.57,82.81,83.18,114795.0
2024-05-24,83.24,83.91,82.69,83.8,170172.0
2024-05-28,83.79,83.79,81.85,82.99,134219.0
2024-05-29,82.34,83.72,82.02,82.1,84766.0
2024-05-30,82.61,83.265,81.77,83.12,92440.0
2024-05-31,83.25,84.205,81.95,84.15,121584.0
2024-06-03,84.7,85.48,83.64,83.9,110674.0
2024-06-04,83.33,84.34,82.3,83.0,76714.0
2024-06-05,83.36,83.88,82.475,83.82,91469.0
2024-06-06,83.54,83.9,82.85,83.42,62012.0
2024-06-07,82.75,83.29,82.18,82.21,66448.0
2024-06-10,81.515,82.15,80.61,82.13,106422.0
2024-06-11,81.61,81.71,80.41,81.69,115585.0
2024-06-12,83.15,83.83,82.37,82.47,107403.0
2024-06-13,81.97,81.97,78.7,79.25,198735.0
2024-06-14,78.45,79.37,77.51,78.75,214405.0
2024-06-17,78.41,79.7,77.765,79.49,128965.0
2024-06-18,79.45,80.3,78.87,79.39,108970.0
2024-06-20,79.2,81.17,79.195,80.12,144281.0
2024-06-21,79.79,82.22,79.79,80.4,587772.0
2024-06-24,80.57,82.7,80.1,80.88,168233.0
2024-06-25,80.68,81.1,79.56,80.87,117256.0
2024-06-26,80.5,80.98,79.15,80.63,127065.0
2024-06-27,80.68,80.74,79.9,80.3,135073.0
2024-06-28,80.72,81.3,80.22,81.2,269990.0
2024-07-01,81.24,81.24,79.16,79.3,126603.0
2024-07-02,79.45,79.955,78.9,79.65,107501.0
2024-07-03,79.67,80.3,78.86,79.39,70885.0
2024-07-05,79.19,79.56,78.05,79.29,115325.0
2024-07-08,79.94,80.2,78.86,78.96,182242.0
2024-07-09,78.75,79.41,78.17,78.22,141774.0
2024-07-10,78.23,78.56,77.73,78.3,253943.0
2024-07-11,82.11,82.555,77.65,80.23,387380.0
2024-07-12,80.77,83.59,80.51,83.26,267942.0
2024-07-15,83.62,86.44,82.06,84.35,359413.0
2024-07-16,85.0,88.99,83.82,88.65,277503.0
2024-07-17,88.3,90.785,88.3,90.57,221603.0
2024-07-18,89.8,91.28,88.83,89.97,217587.0
2024-07-19,89.97,89.97,86.71,87.04,159479.0
2024-07-22,86.84,87.86,86.36,87.47,116669.0
2024-07-23,87.32,88.49,86.41,87.02,156760.0
2024-07-24,86.78,87.74,86.04,86.18,112407.0
2024-07-25,86.37,87.83,86.23,86.43,126272.0
2024-07-26,87.35,88.52,86.54,88.5,115142.0
2024-07-29,88.63,88.99,87.93,88.53,135043.0
2024-07-30,89.12,90.335,88.82,89.76,119951.0
2024-07-31,90.03,92.76,89.55,91.33,186322.0
2024-08-01,90.86,92.36,88.23,89.49,219947.0
2024-08-02,86.91,87.8,85.97,86.25,172663.0
2024-08-05,83.33,83.91,81.625,82.27,183619.0
2024-08-06,82.42,83.74,81.99,82.09,114269.0
2024-08-07,83.08,83.5,80.27,81.08,131528.0
2024-08-08,81.54,82.375,81.39,82.07,86078.0
2024-08-09,82.01,82.795,81.13,82.69,100984.0
2024-08-12,83.09,83.09,81.54,82.03,211174.0
2024-08-13,82.7,83.715,81.15,83.46,113759.0
2024-08-14,83.32,83.32,82.265,82.8,100093.0
2024-08-15,84.47,86.24,83.11,85.65,143364.0
2024-08-16,85.81,86.92,84.81,85.48,180034.0
2024-08-19,85.73,86.56,84.84,86.19,128449.0
2024-08-20,86.03,86.03,84.015,84.28,101184.0
2024-08-21,85.15,86.385,84.68,86.24,138141.0
2024-08-22,86.2,86.73,85.75,86.22,245637.0
2024-08-23,86.55,89.35,86.35,89.3,144511.0
2024-08-26,89.66,90.66,86.94,90.11,181083.0
2024-08-27,89.86,90.97,88.385,90.51,127244.0
2024-08-28,90.4,90.475,88.41,88.96,121763.0
2024-08-29,89.05,89.6,88.135,89.0,118065.0
2024-08-30,89.49,89.94,88.28,89.58,102081.0
2024-09-03,89.16,90.82,87.85,88.09,178369.0
2024-09-04,87.59,88.12,86.8212,88.03,77279.0
2024-09-05,88.41,89.1,87.44,89.03,111517.0
2024-09-06,89.21,89.585,85.89,86.12,117526.0
2024-09-09,85.83,86.56,84.41,85.4,148216.0
2024-09-10,85.75,85.75,84.6,85.14,144621.0
2024-09-11,84.44,85.715,84.35,85.38,117466.0
2024-09-12,85.98,87.22,85.46,86.71,108151.0
2024-09-13,87.95,90.51,86.76,89.76,169069.0
2024-09-16,90.35,90.84,88.78,89.17,117558.0
2024-09-17,90.18,90.47,88.9,88.95,133905.0
2024-09-18,89.14,91.11,87.83,89.06,155786.0
2024-09-19,90.73,91.26,89.76,91.1,107614.0
2024-09-20,90.9,91.4,89.48,90.29,458271.0
2024-09-23,90.24,90.77,88.87,89.0,119581.0
2024-09-24,89.33,89.63,88.3527,89.27,108743.0
2024-09-25,89.52,89.85,88.31,88.92,99834.0
2024-09-26,89.59,89.905,89.01,89.49,93935.0
2024-09-27,89.94,91.35,89.72,91.31,109652.0
2024-09-30,91.37,92.31,91.18,91.78,159908.0
2024-10-01,91.57,91.82,90.0789,90.73,88968.0
2024-10-02,90.23,90.54,89.755,90.28,80743.0
2024-10-03,89.65,90.695,89.19,89.54,146723.0
2024-10-04,90.66,93.18,90.66,92.64,112058.0
2024-10-07,92.02,92.58,90.64,91.21,102416.0
2024-10-08,91.29,91.99,90.65,91.63,135853.0
2024-10-09,91.97,92.74,91.43,92.04,100205.0
2024-10-10,91.03,91.26,89.0,91.11,163769.0
2024-10-11,91.1,92.19,91.05,91.16,98805.0
2024-10-14,90.84,90.9,89.68,90.5,150140.0
2024-10-15,90.49,94.31,90.49,93.21,168766.0
2024-10-16,93.36,94.82,93.235,93.26,98178.0
2024-10-17,93.92,93.92,91.98,93.24,75314.0
2024-10-18,93.41,93.62,92.1643,92.96,88565.0
2024-10-21,92.89,93.1,91.81,92.01,109327.0
2024-10-22,91.84,92.5,91.36,92.4,94838.0
2024-10-23,91.72,92.23,90.4775,92.06,132034.0
2024-10-24,92.19,93.21,91.36,92.9,111656.0
2024-10-25,93.16,93.68,91.59,91.7,81932.0
2024-10-28,92.44,93.01,91.09,91.15,136227.0
2024-10-29,90.42,91.85,90.15,90.31,106271.0
2024-10-30,89.82,90.5,89.25,89.31,126780.0
2024-10-31,85.12,85.965,82.0,83.08,311281.0
2024-11-01,84.0,85.895,83.925,85.45,250579.0
2024-11-04,85.07,86.61,84.855,85.82,240634.0
2024-11-05,85.46,87.6835,85.35,87.26,285865.0
2024-11-06,92.03,93.58,91.61,91.99,225640.0
2024-11-07,92.29,92.29,89.94,90.02,147613.0
2024-11-08,89.61,91.365,89.25,90.19,148081.0
2024-11-11,90.59,91.355,89.61,90.37,131452.0
2024-11-12,90.43,90.73,89.03,89.42,154913.0
2024-11-13,89.79,91.1,89.2225,89.51,98841.0
2024-11-14,89.43,89.44,87.678,88.1,106372.0
2024-11-15,88.34,88.34,86.65,87.21,148919.0
2024-11-18,87.91,88.81,87.52,87.725,118328.0
2024-11-19,87.32,88.2,86.69,87.99,103369.0
2024-11-20,87.51,87.73,86.24,87.7,91529.0
2024-11-21,88.31,88.67,87.57,88.48,134343.0
2024-11-22,88.94,90.26,88.87,89.96,177427.0
2024-11-25,90.97,92.57,90.12,90.92,244589.0
2024-11-26,90.79,91.25,90.07,90.45,152227.0
2024-11-27,91.1,91.13,89.66,89.88,118654.0
2024-11-29,90.46,90.74,89.49,89.74,81994.0
2024-12-02,89.74,90.605,89.23,90.1,173773.0
2024-12-03,90.1,91.4,89.96,90.93,128202.0
2024-12-04,90.77,91.77,90.62,91.12,80044.0
2024-12-05,90.6,91.1,89.38,89.67,274623.0
2024-12-06,90.08,91.79,89.48,91.6,143228.0
2024-12-09,91.86,95.355,91.86,95.21,174458.0
2024-12-10,95.47,96.98,94.105,96.67,176346.0
2024-12-11,97.53,98.25,96.47,96.92,250823.0
2024-12-12,96.89,99.23,96.61,96.76,303707.0
2024-12-13,96.86,97.76,92.705,93.93,182241.0
2024-12-16,93.83,95.41,93.73,94.47,98084.0
2024-12-17,93.78,94.83,93.3694,93.77,200128.0
2024-12-18,94.19,95.21,92.965,93.83,358191.0
2024-12-19,94.8,95.985,92.78,93.93,167069.0
2024-12-20,93.12,95.83,93.12,94.0,575925.0
2024-12-23,93.95,94.33,92.6,94.21,142356.0
2024-12-24,94.52,94.57,93.64,94.57,57777.0
2024-12-26,94.39,95.0999,93.63,94.3,94300.0
2024-12-27,93.8,94.5194,92.79,92.99,82988.0
2024-12-30,92.81,92.81,91.05,91.455,93524.0
2024-12-31,91.73,92.38,91.58,92.17,99603.0
2025-01-02,92.49,93.205,92.0,92.91,198611.0
2025-01-03,92.68,93.09,91.84,92.35,116045.0
2025-01-06,92.51,94.4639,91.47,91.72,146173.0
2025-01-07,91.72,92.375,91.11,92.22,231566.0
2025-01-08,92.15,94.17,91.72,93.45,404388.0
2025-01-10,82.03,91.125,81.66,89.25,485408.0
2025-01-13,88.49,90.035,84.5,84.86,402973.0
2025-01-14,84.44,86.43,84.44,86.17,227365.0
2025-01-15,87.32,88.57,86.875,87.46,183427.0
2025-01-16,87.4,87.67,86.17,87.12,156787.0
2025-01-17,87.7,88.3,87.0,87.3,183192.0
2025-01-21,88.07,90.695,87.77,90.45,278006.0
2025-01-22,90.31,91.02,89.87,90.64,311137.0
2025-01-23,90.14,90.83,89.87,90.45,234832.0
2025-01-24,90.14,91.285,89.675,90.79,315715.0
2025-01-27,90.33,92.92,88.374,92.83,190708.0
2025-01-28,92.35,92.56,91.5,91.56,217337.0
2025-01-29,91.66,92.7691,91.4437,91.93,273122.0
2025-01-30,92.62,93.3,91.76,91.99,169049.0
2025-01-31,91.99,91.99,90.29,90.97,270088.0
2025-02-03,89.36,91.465,87.5,90.07,165432.0
2025-02-04,90.37,92.79,89.98,92.46,179107.0
2025-02-05,92.46,93.2,91.62,93.19,212022.0
2025-02-06,93.71,94.42,92.225,92.73,165696.0
2025-02-07,92.82,92.965,91.475,91.66,186703.0
2025-02-10,92.67,95.04,91.91,94.65,242853.0
2025-02-11,94.28,95.08,94.28,94.86,177439.0
2025-02-12,93.97,95.052,93.42,93.55,180277.0
2025-02-13,94.08,94.48,92.97,93.8,138917.0
2025-02-14,94.24,94.24,91.1,91.14,234140.0
2025-02-18,90.84,91.385,87.29,88.03,287326.0
2025-02-19,87.76,88.555,87.36,88.23,224482.0
2025-02-20,87.6,89.81,87.01,89.56,256978.0
2025-02-21,90.42,90.5,88.99,89.68,258616.0
2025-02-24,90.58,91.25,88.2,90.64,317215.0
2025-02-25,91.03,93.06,91.03,92.0,274034.0
2025-02-26,91.75,92.73,89.765,90.89,217639.0
