date,open,high,low,close,volume
2023-11-27,1.65,1.8367,1.6151,1.72,65276.0
2023-11-28,1.8,1.8194,1.73,1.8,19984.0
2023-11-29,1.84,1.93,1.6601,1.7,113170.0
2023-11-30,1.76,1.76,1.65,1.7,27070.0
2023-12-01,1.67,1.8,1.67,1.8,23567.0
2023-12-04,1.79,2.0099,1.79,1.98,80675.0
2023-12-05,2.03,2.03,1.79,1.9,144559.0
2023-12-06,1.87,2.0,1.85,1.97,39480.0
2023-12-07,2.02,2.2387,1.975,2.23,82125.0
2023-12-08,2.28,2.3017,2.12,2.12,45812.0
2023-12-11,2.04,2.27,2.03,2.1,57913.0
2023-12-12,2.2,2.2599,2.1001,2.14,66196.0
2023-12-13,2.19,2.2,2.04,2.16,18220.0
2023-12-14,2.12,2.18,2.0348,2.15,42989.0
2023-12-15,2.15,2.15,1.91,1.91,70885.0
2023-12-18,1.92,2.0,1.8,1.84,80270.0
2023-12-19,1.83,1.903,1.82,1.88,18849.0
2023-12-20,1.97,1.97,1.8,1.86,39071.0
2023-12-21,1.9,1.9466,1.86,1.89,16329.0
2023-12-22,1.89,1.9162,1.8637,1.91,18076.0
2023-12-26,1.91,1.96,1.8526,1.9,33969.0
2023-12-27,1.85,1.95,1.77,1.84,58721.0
2023-12-28,1.61,1.8389,1.61,1.7,99657.0
2023-12-29,1.85,1.87,1.72,1.7501,73728.0
2024-01-02,1.79,1.8984,1.79,1.85,37106.0
2024-01-03,1.78,1.85,1.7505,1.81,14285.0
2024-01-04,1.8599,1.86,1.78,1.82,16824.0
2024-01-05,1.8,1.8472,1.76,1.78,33385.0
2024-01-08,1.78,1.8246,1.77,1.81,14780.0
2024-01-09,1.9092,1.95,1.854,1.94,60172.0
2024-01-10,1.92,2.15,1.92,2.08,72608.0
2024-01-11,2.05,2.155,2.02,2.07,47815.0
2024-01-12,2.08,2.189,1.98,2.07,46180.0
2024-01-16,2.01,2.17,2.01,2.07,33710.0
2024-01-17,2.11,2.14,1.98,1.98,18358.0
2024-01-18,2.01,2.0867,2.0,2.07,18505.0
2024-01-19,2.06,2.18,2.06,2.15,26923.0
2024-01-22,2.15,2.3499,2.11,2.23,85463.0
2024-01-23,2.23,2.3099,2.16,2.18,18360.0
2024-01-24,2.14,2.195,2.07,2.14,27770.0
2024-01-25,2.1031,2.12,1.91,1.912,40339.0
2024-01-26,1.9329,2.07,1.9329,2.06,25746.0
2024-01-29,2.07,2.08,2.01,2.07,9234.0
2024-01-30,2.04,2.08,2.03,2.06,10410.0
2024-01-31,2.0,2.0495,1.98,2.01,3259.0
2024-02-01,2.01,2.05,1.98,2.0,13702.0
2024-02-02,1.95,1.9937,1.9239,1.96,14956.0
2024-02-05,1.97,1.97,1.89,1.89,35913.0
2024-02-06,1.8938,2.145,1.8451,2.1,30503.0
2024-02-07,2.14,2.14,1.94,1.94,40174.0
2024-02-08,1.9193,2.1,1.9193,2.01,10535.0
2024-02-09,1.985,1.99,1.83,1.97,27002.0
2024-02-12,2.01,2.0499,1.95,1.95,25582.0
2024-02-13,1.86,1.95,1.85,1.87,23590.0
2024-02-14,1.87,1.95,1.861,1.94,11994.0
2024-02-15,1.94,1.99,1.94,1.99,20057.0
2024-02-16,2.0,2.04,1.965,2.0,5025.0
2024-02-20,2.0,2.0499,1.91,2.01,14467.0
2024-02-21,2.01,2.1098,1.96,2.03,26034.0
2024-02-22,1.99,2.0113,1.91,1.93,36068.0
2024-02-23,1.89,1.97,1.85,1.88,36323.0
2024-02-26,1.88,1.88,1.8197,1.83,12576.0
2024-02-27,1.8303,1.99,1.8303,1.94,35600.0
2024-02-28,1.9564,2.03,1.92,1.93,10298.0
2024-02-29,1.93,2.02,1.9,1.94,12740.0
2024-03-01,2.01,2.01,1.93,1.99,17672.0
2024-03-04,2.02,2.18,1.9929,2.13,80101.0
2024-03-05,2.07,2.2501,2.0409,2.18,62796.0
2024-03-06,2.07,2.26,1.921,1.935,71159.0
2024-03-07,1.88,1.95,1.63,1.73,179685.0
2024-03-08,1.75,1.76,1.67,1.69,25856.0
2024-03-11,1.74,1.75,1.6,1.61,42442.0
2024-03-12,1.72,1.8799,1.62,1.77,44334.0
2024-03-13,1.8,1.84,1.76,1.77,10508.0
2024-03-14,1.85,1.85,1.63,1.64,45841.0
2024-03-15,1.63,1.83,1.63,1.73,56198.0
2024-03-18,1.75,1.7646,1.6719,1.72,23477.0
2024-03-19,1.78,1.89,1.71,1.85,65117.0
2024-03-20,1.82,1.87,1.79,1.86,12897.0
2024-03-21,1.83,1.92,1.82,1.82,14311.0
2024-03-22,1.87,1.8795,1.8328,1.87,5296.0
2024-03-25,1.85,1.96,1.82,1.92,32008.0
2024-03-26,1.97,1.97,1.8,1.86,24299.0
2024-03-27,1.7906,1.87,1.78,1.85,17610.0
2024-03-28,1.81,1.845,1.76,1.805,41388.0
2024-04-01,1.85,1.85,1.77,1.7999,15040.0
2024-04-02,1.82,1.87,1.82,1.87,8318.0
2024-04-03,1.85,2.09,1.85,1.89,43525.0
2024-04-04,1.8742,1.97,1.87,1.915,19927.0
2024-04-05,1.9397,1.97,1.83,1.88,25001.0
2024-04-08,1.8597,1.89,1.82,1.89,4982.0
2024-04-09,1.87,1.87,1.84,1.84,4375.0
2024-04-10,1.81,1.88,1.73,1.88,12852.0
2024-04-11,1.85,1.91,1.78,1.87,41593.0
2024-04-12,1.81,1.9,1.8,1.86,24382.0
2024-04-15,1.82,1.93,1.73,1.74,12467.0
2024-04-16,1.74,1.8565,1.74,1.75,7102.0
2024-04-17,1.8,1.8,1.6701,1.765,27933.0
2024-04-18,1.735,1.79,1.6872,1.6914,7246.0
2024-04-19,1.77,1.77,1.63,1.63,24611.0
2024-04-22,1.63,1.75,1.54,1.66,199230.0
2024-04-23,1.61,1.69,1.61,1.63,17177.0
2024-04-24,1.61,1.64,1.535,1.6,8544.0
2024-04-25,1.62,1.665,1.5201,1.665,5262.0
2024-04-26,1.6,1.7,1.6,1.69,16331.0
2024-04-29,1.6904,1.72,1.65,1.66,8726.0
2024-04-30,1.69,1.755,1.69,1.7405,7592.0
2024-05-01,1.76,1.7836,1.7069,1.72,5019.0
2024-05-02,1.8,1.92,1.78,1.8,51657.0
2024-05-03,1.8,1.84,1.8,1.8,3705.0
2024-05-06,1.82,2.0799,1.67,2.01,2136899.0
2024-05-07,1.89,2.19,1.8607,2.13,138887.0
2024-05-08,2.16,2.48,2.1,2.27,234886.0
2024-05-09,2.34,2.37,2.15,2.24,30994.0
2024-05-10,2.22,2.2369,2.1,2.16,65498.0
2024-05-13,2.3,2.3,2.12,2.16,39556.0
2024-05-14,2.21,2.21,2.08,2.17,38358.0
2024-05-15,2.17,2.4717,2.1601,2.32,179611.0
2024-05-16,2.22,2.3,2.18,2.25,41047.0
2024-05-17,2.3,2.32,2.1207,2.24,41096.0
2024-05-20,2.24,2.2501,2.15,2.18,30382.0
2024-05-21,2.19,2.19,2.04,2.13,40464.0
2024-05-22,2.19,2.19,2.11,2.18,9523.0
2024-05-23,2.1461,2.18,2.085,2.16,17905.0
2024-05-24,2.13,2.16,2.0601,2.14,7988.0
2024-05-28,2.11,2.2599,2.1,2.15,13613.0
2024-05-29,2.242,2.242,2.09,2.12,12902.0
2024-05-30,2.13,2.176,2.0502,2.15,18244.0
2024-05-31,2.11,2.25,2.1001,2.21,44052.0
2024-06-03,2.25,2.25,2.155,2.25,47041.0
2024-06-04,2.29,2.6,2.26,2.6,144299.0
2024-06-05,2.64,2.6702,2.31,2.43,106091.0
2024-06-06,2.52,2.58,2.35,2.48,80239.0
2024-06-07,2.5,2.55,2.331,2.35,65138.0
2024-06-10,2.4,2.4,2.19,2.21,35204.0
2024-06-11,2.14,2.1701,2.06,2.17,35506.0
2024-06-12,2.14,2.33,2.14,2.19,75801.0
2024-06-13,2.2,2.2,2.0596,2.13,21178.0
2024-06-14,2.03,2.252,1.94,2.0,69276.0
2024-06-17,1.97,2.01,1.95,2.0,18130.0
2024-06-18,2.03,2.03,1.83,1.93,69150.0
2024-06-20,1.88,1.99,1.83,1.86,25377.0
2024-06-21,1.8,1.86,1.79,1.8,54699.0
2024-06-24,1.8193,1.8193,1.5601,1.6,79886.0
2024-06-25,1.66,1.66,1.6,1.64,9679.0
2024-06-26,1.64,1.65,1.3445,1.47,95567.0
2024-06-27,1.5,1.57,1.43,1.46,16798.0
2024-06-28,1.47,1.49,1.42,1.47,20790.0
2024-07-01,1.45,1.65,1.45,1.5,37517.0
2024-07-02,1.57,1.57,1.5,1.55,18121.0
