date,open,high,low,close,volume
2023-11-27,1.05,1.1,1.05,1.05,36625.0
2023-11-28,1.08,1.08,1.05,1.06,15835.0
2023-11-29,1.08,1.08,1.01,1.05,25603.0
2023-11-30,1.02,1.05,1.01,1.03,25648.0
2023-12-01,1.01,1.08,1.01,1.02,32336.0
2023-12-04,1.03,1.04,0.99,1.01,40555.0
2023-12-05,0.99,1.02,0.97,0.99,87541.0
2023-12-06,0.97,1.01,0.9511,0.99,32527.0
2023-12-07,1.02,1.02,0.98,1.01,24729.0
2023-12-08,1.0,1.03,0.99,1.01,42146.0
2023-12-11,1.01,1.02,0.966,0.97,71146.0
2023-12-12,0.97,1.0,0.97,0.97,31897.0
2023-12-13,1.0,1.01,0.96,0.96,28457.0
2023-12-14,0.95,1.01,0.95,0.9999,43843.0
2023-12-15,0.9999,1.01,0.945,0.945,61280.0
2023-12-18,0.95,1.0,0.9,0.9197,151535.0
2023-12-19,0.91,0.94,0.909,0.93,97457.0
2023-12-20,0.93,1.0099,0.92,0.976,89531.0
2023-12-21,0.97,0.98,0.9153,0.9565,72926.0
2023-12-22,0.95,1.0,0.9301,0.948,78094.0
2023-12-26,0.95,0.95,0.9111,0.93,135362.0
2023-12-27,0.92,0.95,0.92,0.95,59303.0
2023-12-28,0.92,0.97,0.92,0.9689,94375.0
2023-12-29,0.9621,1.09,0.9412,1.01,227761.0
2024-01-02,1.0,1.0481,1.0,1.015,37185.0
2024-01-03,1.02,1.08,1.02,1.08,36633.0
2024-01-04,1.06,1.09,1.04,1.06,38054.0
2024-01-05,1.05,1.1399,1.03,1.11,139845.0
2024-01-08,1.14,1.19,1.12,1.16,80754.0
2024-01-09,1.15,1.19,1.11,1.14,53336.0
2024-01-10,1.12,1.14,1.03,1.04,33848.0
2024-01-11,1.08,1.08,1.01,1.03,54719.0
2024-01-12,1.02,1.09,1.01,1.04,28404.0
2024-01-16,1.02,1.08,1.0,1.0,46694.0
2024-01-17,1.0,1.04,1.0,1.02,20680.0
2024-01-18,1.02,1.06,0.99,1.01,33003.0
2024-01-19,1.0,1.06,0.988,0.988,17435.0
2024-01-22,1.0,1.05,0.99,0.99,19427.0
2024-01-23,0.99,1.03,0.99,1.0,21222.0
2024-01-24,1.0,1.03,1.0,1.0,19795.0
2024-01-25,0.99,1.045,0.99,1.01,50236.0
2024-01-26,1.05,1.1,1.02,1.04,18348.0
2024-01-29,1.04,1.07,1.04,1.07,5285.0
2024-01-30,1.06,1.0934,1.04,1.055,26388.0
2024-01-31,1.06,1.06,1.002,1.02,15794.0
2024-02-01,1.05,1.05,1.0001,1.03,4630.0
2024-02-02,1.04,1.04,1.0199,1.04,20170.0
2024-02-05,1.08,1.08,1.01,1.03,16825.0
2024-02-06,1.03,1.055,1.01,1.015,26173.0
2024-02-07,1.01,1.02,1.0,1.01,53095.0
2024-02-08,1.0,1.03,1.0,1.03,17995.0
2024-02-09,1.01,1.0499,0.99,1.01,18438.0
2024-02-12,1.06,1.07,1.04,1.06,19998.0
2024-02-13,1.0301,1.05,1.0301,1.05,8640.0
2024-02-14,1.09,1.09,1.02,1.05,23475.0
2024-02-15,1.03,1.06,1.0,1.06,36007.0
2024-02-16,1.035,1.06,0.995,1.04,20408.0
2024-02-20,1.035,1.035,0.99,1.02,7984.0
