date,open,high,low,close,volume
2023-11-27,13.16,13.25,13.1075,13.14,66339.0
2023-11-28,13.09,13.095,12.95,12.95,93040.0
2023-11-29,12.95,13.14,12.95,13.14,81236.0
2023-11-30,13.28,13.28,13.01,13.07,84949.0
2023-12-01,13.09,13.4,13.09,13.4,82875.0
2023-12-04,13.25,13.3945,13.23,13.28,71069.0
2023-12-05,13.34,13.38,13.3045,13.33,43356.0
2023-12-06,13.28,13.4,13.24,13.34,89502.0
2023-12-07,13.34,13.42,13.2838,13.41,61031.0
2023-12-08,13.46,13.475,13.3,13.3,74122.0
2023-12-11,13.36,13.4,13.25,13.28,92690.0
2023-12-12,13.23,13.32,13.18,13.19,96138.0
2023-12-13,13.27,13.39,12.83,13.26,275330.0
2023-12-14,13.34,13.37,13.2,13.35,203403.0
2023-12-15,13.33,13.48,13.3284,13.45,133342.0
2023-12-18,13.4,13.46,13.27,13.32,108579.0
2023-12-19,13.34,13.39,13.21,13.32,213233.0
2023-12-20,13.31,13.39,13.26,13.26,166629.0
2023-12-21,13.28,13.37,13.18,13.18,121201.0
2023-12-22,13.3,13.35,13.17,13.19,180614.0
2023-12-26,13.25,13.35,13.19,13.2,176520.0
2023-12-27,13.26,13.29,13.15,13.24,195600.0
2023-12-28,13.18,13.24,13.09,13.15,223497.0
2023-12-29,13.1,13.2,13.05,13.1,266355.0
2024-01-02,13.05,13.21,13.04,13.19,119175.0
2024-01-03,13.16,13.38,13.16,13.33,135465.0
2024-01-04,13.24,13.45,13.2115,13.41,62585.0
2024-01-05,13.48,13.53,13.42,13.46,52733.0
2024-01-08,13.51,13.76,13.51,13.71,91361.0
2024-01-09,13.8,13.83,13.66,13.76,69609.0
2024-01-10,13.84,13.84,13.68,13.76,65852.0
2024-01-11,13.88,13.88,13.73,13.79,81903.0
2024-01-12,13.71,13.761,13.64,13.73,105870.0
2024-01-16,13.73,13.73,13.575,13.6,65347.0
2024-01-17,13.6,13.63,13.5,13.58,84015.0
2024-01-18,13.58,13.59,13.3406,13.58,90319.0
2024-01-19,13.57,13.57,13.43,13.49,38112.0
2024-01-22,13.545,13.5999,13.4,13.42,75900.0
2024-01-23,13.32,13.446,13.25,13.27,66520.0
2024-01-24,13.31,13.52,13.28,13.43,63077.0
2024-01-25,13.47,13.63,13.47,13.56,47727.0
2024-01-26,13.49,13.53,13.42,13.44,49316.0
