date,open,high,low,close,volume
2023-11-27,12.0,12.0,12.0,12.0,11.0
2023-11-28,10.8,10.8,10.8,10.8,289.0
2023-11-29,10.8,10.8,10.8,10.8,79.0
2023-11-30,11.8,11.8,10.84,10.84,882.0
2023-12-01,10.84,10.84,10.84,10.84,43.0
2023-12-04,10.485,10.4993,10.485,10.4993,449.0
2023-12-05,10.5,10.5,10.5,10.5,192.0
2023-12-06,10.51,10.51,10.51,10.51,208.0
2023-12-07,10.425,10.425,10.425,10.425,493.0
2023-12-08,10.13,10.385,10.13,10.385,383.0
2023-12-11,10.385,10.385,10.385,10.385,140.0
2023-12-12,10.39,10.39,10.39,10.39,220.0
2023-12-13,9.93,9.9589,9.93,9.9589,696.0
2023-12-14,9.9589,9.9589,9.9589,9.9589,68.0
2023-12-15,9.74,9.74,9.74,9.74,325.0
2023-12-18,9.74,9.74,9.74,9.74,31.0
2023-12-19,9.74,9.74,9.74,9.74,57.0
2023-12-20,9.74,9.74,9.74,9.74,35.0
2023-12-21,9.74,9.74,9.74,9.74,222.0
2023-12-22,9.74,9.74,9.74,9.74,58.0
2023-12-26,9.5,9.5,9.225,9.225,1741.0
2023-12-27,9.225,9.225,9.225,9.225,126.0
2023-12-28,9.6,9.6,9.26,9.26,3346.0
2023-12-29,9.7354,10.5,9.7354,10.5,968.0
2024-01-02,10.5,10.5,10.5,10.5,263.0
2024-01-03,10.5,10.5,10.5,10.5,328.0
2024-01-04,10.5,10.5,10.5,10.5,56.0
2024-01-05,7.93,8.98,7.93,8.85,1736.0
2024-01-08,8.9,9.76,8.9,9.76,1423.0
2024-01-09,9.76,9.76,9.76,9.76,26.0
2024-01-10,9.76,9.76,9.76,9.76,164.0
2024-01-11,9.76,9.76,9.76,9.76,130.0
2024-01-12,10.04,10.04,10.04,10.04,323.0
2024-01-16,10.04,10.04,10.04,10.04,506.0
2024-01-17,8.38,9.075,8.38,9.0006,1723.0
2024-01-18,9.0006,9.0006,9.0006,9.0006,160.0
2024-01-19,9.0006,9.0006,9.0006,9.0006,156.0
2024-01-22,9.0006,9.0006,9.0006,9.0006,8.0
2024-01-23,9.0006,9.0006,9.0006,9.0006,148.0
2024-01-24,8.2,8.2,8.14,8.16,1143.0
2024-01-25,8.21,8.21,8.2,8.2,611.0
2024-01-26,8.2,8.2,8.2,8.2,4.0
2024-01-29,8.15,8.15,8.15,8.15,432.0
2024-01-30,8.1,9.5,8.0,8.1,2788.0
2024-01-31,8.55,8.55,7.91,7.91,1462.0
2024-02-01,7.9,7.9,7.9,7.9,168.0
2024-02-02,7.9,7.9,7.9,7.9,23.0
2024-02-05,8.01,8.01,8.01,8.01,126.0
2024-02-06,7.92,7.92,7.92,7.92,321.0
2024-02-07,7.97,8.4,7.79,7.81,2698.0
2024-02-08,7.81,7.81,7.81,7.81,92.0
2024-02-09,7.0,7.426,7.0,7.426,499.0
2024-02-12,7.5,7.5,7.5,7.5,957.0
2024-02-13,7.03,7.46,7.03,7.46,296.0
2024-02-14,7.46,7.46,7.46,7.46,27.0
2024-02-15,7.75,7.75,7.5,7.5,720.0
2024-02-16,7.87,8.25,7.77,8.0,3658.0
2024-02-20,7.7979,7.7979,7.79,7.79,402.0
2024-02-21,7.79,7.79,7.79,7.79,69.0
2024-02-22,7.57,7.57,7.57,7.57,154.0
2024-02-23,7.57,7.57,7.57,7.57,15.0
2024-02-26,6.86,7.38,6.395,7.15,4217.0
2024-02-27,6.87,7.38,6.86,7.27,748.0
2024-02-28,7.5,7.5,7.06,7.06,781.0
2024-02-29,7.28,7.57,6.7501,6.7501,1323.0
2024-03-01,7.27,7.27,6.54,6.54,1394.0
2024-03-04,6.4,6.4,6.0,6.0,660.0
2024-03-05,6.0,6.199,5.21,5.77,4785.0
2024-03-06,5.77,5.77,5.77,5.77,291.0
2024-03-07,5.04,5.04,4.98,4.98,5449.0
2024-03-08,4.65,4.65,4.5,4.5,922.0
2024-03-11,4.5,4.5,4.5,4.5,218.0
2024-03-12,4.5,4.5,4.5,4.5,215.0
2024-03-13,5.6,6.63,5.5001,5.61,32202.0
2024-03-14,5.26,5.355,4.8225,4.89,6736.0
2024-03-15,4.62,4.65,4.5,4.625,2585.0
2024-03-18,4.56,4.56,4.5,4.5,1722.0
2024-03-19,4.07,4.2002,3.6471,4.05,9736.0
2024-03-20,4.14,4.14,3.99,3.99,1564.0
2024-03-21,4.1099,4.1099,3.84,3.84,2317.0
2024-03-22,3.69,3.69,3.5,3.5,1156.0
2024-03-25,3.5,3.81,3.3601,3.7,4828.0
2024-03-26,4.48,4.48,3.16,3.45,10248.0
2024-03-27,3.76,3.76,3.47,3.47,776.0
2024-03-28,3.62,4.9954,3.167,4.5,56304.0
2024-04-01,3.82,4.1998,3.82,3.9,4734.0
2024-04-02,4.19,4.39,3.92,4.0,4164.0
2024-04-03,4.25,4.25,3.6,3.865,2866.0
2024-04-04,3.9999,3.9999,3.54,3.72,7143.0
2024-04-05,3.9,3.9,3.7,3.8999,2102.0
2024-04-08,3.8999,3.8999,3.8999,3.8999,255.0
2024-04-09,3.62,3.88,3.55,3.79,13798.0
2024-04-10,3.81,3.81,3.67,3.67,1442.0
2024-04-11,3.55,3.8,3.55,3.8,462.0
2024-04-12,3.55,4.17,3.54,3.81,1411.0
2024-04-15,3.85,4.0494,3.7,3.71,2857.0
2024-04-16,3.71,3.71,3.71,3.71,315.0
