date,open,high,low,close,volume
2023-11-27,272.54,274.5,270.34,271.06,1054683.0
2023-11-28,270.62,271.31,268.37,269.25,1109386.0
2023-11-29,272.5,272.97,268.9,270.56,888478.0
2023-11-30,272.45,275.78,270.64,275.44,1896335.0
2023-12-01,275.69,281.5,275.575,281.47,1086798.0
2023-12-04,278.3,283.16,277.97,279.5,963232.0
2023-12-05,278.0,279.31,274.305,275.0,614882.0
2023-12-06,276.74,281.5,276.44,278.11,820435.0
2023-12-07,279.25,279.3895,276.285,277.89,491051.0
2023-12-08,277.61,280.6,276.69,278.53,741020.0
2023-12-11,279.31,284.265,278.62,279.79,736404.0
2023-12-12,280.71,285.51,279.48,283.69,838305.0
2023-12-13,284.3,291.265,282.79,290.97,979730.0
2023-12-14,295.0,307.1881,292.77,306.85,1638449.0
2023-12-15,306.17,309.79,303.805,304.37,1710159.0
2023-12-18,304.74,306.83,301.79,305.3,536098.0
2023-12-19,310.58,312.37,309.5,310.48,629344.0
2023-12-20,309.51,310.88,303.43,303.56,470318.0
2023-12-21,306.24,307.24,303.74,306.75,501004.0
2023-12-22,309.36,310.69,306.11,307.78,311553.0
2023-12-26,309.12,311.8,308.765,311.04,407591.0
2023-12-27,311.66,312.755,310.31,311.22,308335.0
2023-12-28,309.78,311.29,308.93,310.62,331978.0
2023-12-29,310.24,312.55,308.22,310.48,326007.0
2024-01-02,307.28,310.0,304.98,306.38,415055.0
2024-01-03,307.5,308.66,303.06,303.86,823688.0
2024-01-04,303.78,307.7,303.475,304.67,753984.0
2024-01-05,302.12,306.05,300.96,305.05,608353.0
2024-01-08,305.22,306.82,303.1567,306.06,549439.0
2024-01-09,304.04,305.76,302.36,302.97,578492.0
2024-01-10,302.8,304.3,301.17,302.07,689251.0
2024-01-11,302.95,305.62,299.77,305.1,703431.0
2024-01-12,307.35,307.65,302.29,304.59,455180.0
2024-01-16,302.94,302.94,297.61,298.38,563351.0
2024-01-17,295.37,296.55,293.52,295.38,575029.0
2024-01-18,296.49,300.45,296.49,300.15,529181.0
2024-01-19,301.39,305.0,298.38,303.45,604557.0
2024-01-22,304.17,306.9323,304.08,305.64,562687.0
2024-01-23,306.8,307.32,303.57,304.27,427278.0
2024-01-24,307.3,307.3,300.32,300.35,543631.0
2024-01-25,303.29,306.98,303.2244,304.24,547020.0
2024-01-26,305.76,306.31,302.45,303.0,385534.0
2024-01-29,301.7,304.84,300.61,304.62,534610.0
2024-01-30,303.02,307.706,301.4101,307.22,759560.0
2024-01-31,263.9,272.715,252.11,253.28,6466234.0
2024-02-01,258.05,265.31,257.58,263.01,2080097.0
2024-02-02,261.75,270.935,259.59,268.01,1710212.0
2024-02-05,265.9,269.245,263.49,266.32,1234796.0
2024-02-06,267.35,267.35,259.85,259.98,1765833.0
2024-02-07,261.49,270.185,261.39,269.02,1867755.0
2024-02-08,270.49,279.77,270.22,278.71,2029039.0
2024-02-09,279.0,284.58,278.68,283.5,1503844.0
2024-02-12,283.5,286.61,279.79,280.69,1330240.0
2024-02-13,277.32,280.0,273.57,278.38,1451223.0
2024-02-14,279.21,280.4,276.58,279.93,1039111.0
2024-02-15,280.52,283.775,279.18,281.38,1466537.0
2024-02-16,279.92,283.91,279.6,279.72,1152836.0
2024-02-20,276.31,285.9,271.87,272.62,1833394.0
2024-02-21,270.91,274.968,268.595,274.63,970030.0
2024-02-22,278.07,280.365,276.31,278.62,1055042.0
2024-02-23,278.85,283.04,278.85,280.51,792024.0
2024-02-26,279.6,281.495,276.53,277.81,765648.0
2024-02-27,279.7,281.66,278.77,280.97,785933.0
2024-02-28,280.0,286.64,280.0,286.41,1227364.0
2024-02-29,287.59,287.76,282.75,285.08,1155358.0
2024-03-01,285.0,289.63,285.0,289.05,880841.0
2024-03-04,289.82,290.155,284.49,288.17,1497598.0
2024-03-05,287.34,288.615,284.4,287.68,667016.0
2024-03-06,287.68,292.155,286.755,291.18,779109.0
2024-03-07,294.19,296.4456,290.64,294.14,556952.0
2024-03-08,296.49,298.625,292.16,294.59,640308.0
2024-03-11,291.16,293.3,283.1,284.79,1253916.0
2024-03-12,284.88,285.76,279.8,283.88,944831.0
2024-03-13,281.89,287.7675,281.25,284.38,816020.0
2024-03-14,285.84,288.49,277.19,280.0,970254.0
2024-03-15,278.1,280.95,277.74,280.88,1372989.0
2024-03-18,280.24,283.875,278.01,278.17,567140.0
2024-03-19,272.5,278.78,269.07,278.19,1328096.0
2024-03-20,278.83,285.66,263.69,281.78,2011675.0
2024-03-21,283.62,292.115,281.72,290.09,1204615.0
2024-03-22,290.06,291.57,284.13,286.38,1149856.0
