date,open,high,low,close,volume
2023-11-27,89.43,89.66,88.21,88.25,432766.0
2023-11-28,88.27,88.35,86.3,87.75,438484.0
2023-11-29,88.51,89.83,88.26,89.41,500904.0
2023-11-30,89.41,89.64,87.85,88.9,993557.0
2023-12-01,88.72,91.3,87.58,91.28,720698.0
2023-12-04,90.57,92.61,90.57,91.76,515294.0
2023-12-05,91.15,91.15,88.62,89.35,483504.0
2023-12-06,89.99,92.02,89.24,90.64,504766.0
2023-12-07,90.67,91.73,90.25,91.68,666179.0
2023-12-08,91.43,92.4,90.365,91.02,550520.0
2023-12-11,90.97,91.47,90.08,90.69,628308.0
2023-12-12,90.93,90.93,88.9,89.46,726934.0
2023-12-13,89.62,98.865,89.4406,98.68,1937345.0
2023-12-14,99.5,102.495,99.185,101.31,1920467.0
2023-12-15,102.33,102.69,100.22,101.16,1809410.0
2023-12-18,102.05,103.35,100.26,101.32,969317.0
2023-12-19,101.78,105.27,101.35,104.73,1175688.0
2023-12-20,104.71,107.64,103.82,104.05,1079578.0
2023-12-21,104.81,107.41,104.28,105.76,975489.0
2023-12-22,106.7,109.46,106.66,107.71,1102933.0
2023-12-26,107.98,110.17,107.72,109.64,898318.0
2023-12-27,109.72,111.33,109.45,110.69,673238.0
2023-12-28,110.94,111.41,109.92,110.77,360931.0
2023-12-29,110.2,111.26,108.88,109.31,385098.0
2024-01-02,108.89,111.56,108.14,110.43,622220.0
2024-01-03,109.81,109.81,104.64,105.02,706216.0
2024-01-04,105.69,108.107,105.58,107.72,756554.0
2024-01-05,106.6,109.11,105.74,107.36,453886.0
2024-01-08,106.82,109.775,106.47,109.01,624528.0
2024-01-09,111.34,115.0,109.83,111.26,1038272.0
2024-01-10,109.74,112.31,108.53,111.68,806479.0
2024-01-11,111.12,112.08,109.765,110.83,718092.0
2024-01-12,111.77,112.24,110.27,110.8,393670.0
2024-01-16,109.01,109.45,107.935,108.19,788932.0
2024-01-17,107.43,108.365,105.22,105.75,908284.0
2024-01-18,105.89,106.64,104.93,105.92,607949.0
2024-01-19,106.27,106.78,104.7904,106.43,627926.0
2024-01-22,107.79,107.98,106.68,106.71,629902.0
2024-01-23,107.79,108.0,105.765,107.49,1467445.0
2024-01-24,108.23,108.9,105.99,106.91,726220.0
2024-01-25,108.0,109.33,107.235,108.69,812382.0
2024-01-26,110.66,111.67,109.97,110.0,972427.0
2024-01-29,110.15,110.82,108.93,110.08,771423.0
2024-01-30,109.62,112.0,109.62,111.18,990226.0
2024-01-31,111.33,111.33,107.0,107.18,1521008.0
2024-02-01,108.5,110.0,102.16,109.26,1428712.0
2024-02-02,108.79,108.79,104.19,105.62,1366492.0
2024-02-05,105.08,105.785,103.48,103.9,1160404.0
2024-02-06,103.77,105.85,103.09,104.22,1086680.0
2024-02-07,104.48,104.48,102.38,102.9,880248.0
2024-02-08,102.1,103.46,100.73,103.25,774543.0
2024-02-09,103.18,104.265,102.855,103.76,612443.0
2024-02-12,103.76,105.66,103.43,104.89,694236.0
2024-02-13,102.9,103.835,100.16,101.35,949117.0
2024-02-14,102.04,103.64,101.92,103.56,660712.0
2024-02-15,103.84,105.82,103.17,104.07,724233.0
2024-02-16,103.66,104.345,102.351,102.46,466606.0
2024-02-20,101.3,102.61,101.0,101.98,602849.0
2024-02-21,101.2,103.92,101.2,103.77,568313.0
2024-02-22,103.51,104.84,102.73,104.37,494495.0
2024-02-23,105.13,105.8099,104.351,104.44,402787.0
2024-02-26,103.91,104.9,103.76,103.96,489231.0
2024-02-27,104.77,106.13,104.15,105.63,593890.0
2024-02-28,105.85,107.38,105.6,107.35,885874.0
2024-02-29,108.28,111.18,107.97,109.59,1740322.0
2024-03-01,108.74,109.09,105.87,107.12,1186869.0
2024-03-04,106.92,109.135,106.83,108.51,1007251.0
2024-03-05,108.26,109.5,106.7,107.01,578849.0
2024-03-06,107.7,108.9,106.45,107.31,689281.0
2024-03-07,108.01,108.76,107.605,108.49,575388.0
2024-03-08,108.78,110.75,108.415,109.33,649813.0
2024-03-11,109.56,110.51,108.88,109.24,569870.0
2024-03-12,109.24,109.95,108.285,108.81,448426.0
2024-03-13,109.17,110.135,107.505,108.0,582168.0
2024-03-14,107.13,107.475,103.74,104.88,913794.0
2024-03-15,103.71,105.88,103.42,104.9,1158534.0
2024-03-18,105.11,105.31,103.32,104.16,1027079.0
2024-03-19,104.04,105.07,103.23,104.24,602384.0
2024-03-20,104.07,104.95,103.44,104.67,558840.0
2024-03-21,105.73,106.65,104.895,105.07,776916.0
2024-03-22,104.9,105.01,102.33,103.25,852178.0
2024-03-25,103.36,104.29,102.5,103.0,864491.0
2024-03-26,103.21,104.115,102.37,103.42,684130.0
2024-03-27,104.51,105.66,104.05,105.41,1224431.0
2024-03-28,105.54,106.0,104.85,105.0,656207.0
2024-04-01,105.0,105.0,103.24,103.27,496982.0
2024-04-02,102.32,102.62,100.96,102.21,851581.0
2024-04-03,102.0,103.405,101.815,102.35,459988.0
2024-04-04,103.3,103.92,101.17,101.68,727694.0
2024-04-05,101.62,103.21,101.17,102.28,643796.0
2024-04-08,102.33,106.96,102.12,106.41,1459050.0
2024-04-09,108.0,110.82,107.705,110.72,1756701.0
2024-04-10,108.02,108.9725,106.38,107.9,1439236.0
2024-04-11,109.38,109.65,107.44,108.5,2903814.0
2024-04-12,107.46,108.03,103.34,103.49,994181.0
2024-04-15,104.35,104.65,101.49,102.32,951503.0
2024-04-16,102.03,102.03,99.93,100.28,1058575.0
2024-04-17,100.38,100.88,99.32,100.55,773236.0
2024-04-18,97.99,100.49,97.315,99.38,744383.0
2024-04-19,99.75,101.62,99.51,100.86,731126.0
2024-04-22,101.0,102.155,100.72,100.77,668821.0
2024-04-23,101.92,103.54,100.99,103.5,942558.0
2024-04-24,102.68,104.05,101.64,102.68,632067.0
2024-04-25,102.4,103.23,101.085,102.09,462299.0
2024-04-26,101.92,103.15,101.01,101.51,827386.0
2024-04-29,103.43,107.34,102.415,105.02,943199.0
2024-04-30,104.3,104.845,102.31,102.47,902519.0
2024-05-01,102.81,104.54,101.72,102.6,816106.0
2024-05-02,103.37,103.62,100.34,101.08,675087.0
2024-05-03,102.49,102.64,100.54,100.61,859139.0
2024-05-06,100.89,102.87,100.7,102.82,898201.0
2024-05-07,103.32,103.89,102.8466,103.17,502546.0
2024-05-08,102.97,103.54,102.75,102.83,489319.0
2024-05-09,102.68,104.41,102.03,104.34,403258.0
2024-05-10,104.83,106.13,104.565,104.8,608005.0
2024-05-13,104.94,106.76,104.94,105.55,550835.0
2024-05-14,106.53,107.25,104.69,106.53,884026.0
2024-05-15,108.2,108.49,107.17,107.31,1477389.0
2024-05-16,106.69,109.615,106.17,108.46,1232419.0
2024-05-17,108.78,110.33,107.44,110.23,1087199.0
2024-05-20,110.12,112.255,109.8,112.02,883877.0
2024-05-21,111.54,113.5,109.6528,113.23,1052201.0
2024-05-22,112.88,114.335,112.53,112.67,864122.0
2024-05-23,112.24,113.23,110.7,111.89,1046536.0
2024-05-24,112.15,113.46,111.755,113.27,647663.0
2024-05-28,113.05,113.96,111.03,111.86,1166567.0
2024-05-29,110.86,111.28,108.44,109.75,803464.0
2024-05-30,105.0,108.62,103.41,108.34,2072984.0
2024-05-31,108.61,109.78,107.29,109.26,1451822.0
2024-06-03,109.39,110.82,107.7,108.8,826356.0
2024-06-04,108.81,110.0,107.78,108.53,593255.0
2024-06-05,108.68,110.2706,107.79,109.86,497929.0
2024-06-06,107.31,111.31,106.1,111.02,713452.0
2024-06-07,110.3,111.05,109.6,110.92,736825.0
2024-06-10,110.39,110.43,108.515,109.3,919071.0
2024-06-11,108.8,110.035,108.02,109.7,832482.0
2024-06-12,111.36,112.89,111.33,112.55,1010470.0
2024-06-13,112.03,112.37,109.605,110.72,2137041.0
2024-06-14,110.01,110.7,107.62,108.65,1078325.0
2024-06-17,108.29,109.11,106.8,107.39,629802.0
2024-06-18,107.32,108.375,106.55,107.29,583157.0
2024-06-20,106.3,107.73,105.86,107.5,688600.0
2024-06-21,107.76,109.07,107.08,107.98,844991.0
2024-06-24,108.44,108.44,106.65,106.9,553238.0
2024-06-25,106.65,106.74,104.06,104.64,606368.0
2024-06-26,104.31,104.85,103.82,104.32,809058.0
2024-06-27,103.68,106.02,103.26,105.71,1092608.0
2024-06-28,105.62,106.56,103.11,104.86,1670672.0
2024-07-01,104.87,107.18,102.97,103.0,1070691.0
2024-07-02,102.95,103.75,101.72,102.01,650993.0
2024-07-03,102.63,103.04,101.295,102.56,381600.0
2024-07-05,102.99,103.8,101.86,103.56,475566.0
2024-07-08,104.9,104.97,103.695,104.64,660729.0
2024-07-09,104.84,105.395,102.88,104.01,488551.0
2024-07-10,104.54,106.97,104.0525,106.69,661788.0
2024-07-11,108.2,110.85,107.7,109.82,556635.0
2024-07-12,110.4,111.67,109.27,109.52,1785726.0
2024-07-15,109.29,109.78,107.64,108.11,1109625.0
2024-07-16,108.66,113.79,108.23,113.12,1498572.0
2024-07-17,113.12,114.11,112.47,113.38,799259.0
2024-07-18,111.86,113.74,109.405,109.87,873277.0
2024-07-19,109.99,109.99,106.92,108.15,615457.0
2024-07-22,109.01,110.8,108.03,110.69,520257.0
2024-07-23,112.29,112.29,108.99,110.04,742579.0
2024-07-24,110.34,112.615,110.32,111.61,887129.0
2024-07-25,111.4,114.135,111.4,112.81,1216593.0
2024-07-26,113.94,116.775,113.31,115.15,1384132.0
