date,open,high,low,close,volume
2023-11-27,1.32,1.4,1.2804,1.35,114214.0
2023-11-28,1.34,1.44,1.34,1.36,53760.0
2023-11-29,1.36,1.5,1.29,1.39,200131.0
2023-11-30,1.39,1.81,1.39,1.48,765839.0
2023-12-01,1.4,1.43,1.32,1.34,245794.0
2023-12-04,1.38,1.38,1.26,1.31,136499.0
2023-12-05,1.25,1.3,1.25,1.27,98211.0
2023-12-06,1.26,1.77,1.26,1.54,597344.0
2023-12-07,1.36,1.76,1.33,1.76,229839.0
2023-12-08,1.76,1.92,1.641,1.89,179487.0
2023-12-11,1.91,2.12,1.7706,1.84,346039.0
2023-12-12,1.77,2.2499,1.6,2.21,317228.0
2023-12-13,2.01,2.17,1.86,1.91,289948.0
2023-12-14,1.92,2.0,1.64,1.66,329008.0
2023-12-15,1.67,1.8763,1.55,1.83,389672.0
2023-12-18,1.78,1.86,1.7006,1.8,163276.0
2023-12-19,1.8,2.08,1.75,2.07,273024.0
2023-12-20,2.07,2.92,2.0,2.58,2184081.0
2023-12-21,2.63,2.6591,2.35,2.42,346342.0
2023-12-22,2.4,2.92,2.39,2.86,273293.0
2023-12-26,2.85,2.95,2.51,2.84,315798.0
2023-12-27,2.96,3.02,2.74,2.77,280168.0
2023-12-28,2.75,2.809,2.48,2.57,169195.0
2023-12-29,2.58,2.65,2.17,2.22,268486.0
2024-01-02,2.24,2.3126,2.13,2.22,227482.0
2024-01-03,2.17,2.17,1.76,1.8,261579.0
2024-01-04,1.8,1.9,1.78,1.83,184473.0
2024-01-05,1.81,1.98,1.75,1.96,294559.0
2024-01-08,1.99,1.9993,1.8,1.87,112246.0
2024-01-09,1.87,1.9,1.67,1.69,160909.0
2024-01-10,1.69,1.78,1.6506,1.68,78313.0
2024-01-11,1.66,1.74,1.59,1.65,63513.0
2024-01-12,1.69,1.7,1.61,1.63,71834.0
2024-01-16,1.6,1.7,1.56,1.56,138865.0
2024-01-17,1.55,1.69,1.43,1.45,112227.0
2024-01-18,1.45,1.7799,1.45,1.63,220430.0
2024-01-19,1.67,1.6994,1.5105,1.56,86523.0
2024-01-22,1.56,1.65,1.56,1.61,87330.0
2024-01-23,1.62,1.73,1.6,1.72,49554.0
2024-01-24,1.72,1.8,1.69,1.69,73585.0
2024-01-25,1.74,1.81,1.6826,1.78,65992.0
2024-01-26,1.83,2.1486,1.81,1.98,199199.0
2024-01-29,1.97,2.1,1.92,1.95,94698.0
2024-01-30,1.92,2.05,1.9007,1.96,60652.0
2024-01-31,1.95,2.0,1.79,1.8,63956.0
2024-02-01,1.84,1.86,1.65,1.74,100009.0
2024-02-02,1.73,1.7894,1.6765,1.71,53641.0
2024-02-05,1.7,1.7,1.601,1.62,40674.0
2024-02-06,1.61,1.82,1.61,1.81,42671.0
2024-02-07,1.78,1.9,1.72,1.81,67156.0
2024-02-08,1.79,1.9,1.7607,1.88,69843.0
2024-02-09,1.9,2.05,1.8,1.96,58405.0
2024-02-12,1.96,2.09,1.9,2.01,71122.0
2024-02-13,1.95,2.0268,1.77,1.78,101772.0
2024-02-14,1.83,1.86,1.7,1.86,52519.0
2024-02-15,1.83,1.93,1.75,1.92,108683.0
2024-02-16,1.94,2.25,1.9254,2.1,194268.0
2024-02-20,2.11,2.1992,1.86,1.89,106002.0
2024-02-21,1.92,1.92,1.83,1.84,63406.0
2024-02-22,1.84,1.85,1.71,1.73,89966.0
2024-02-23,1.75,1.75,1.68,1.69,54275.0
2024-02-26,1.71,1.7594,1.68,1.71,41736.0
2024-02-27,1.72,1.76,1.685,1.76,66154.0
2024-02-28,1.8,1.8494,1.7206,1.76,57361.0
2024-02-29,1.81,1.81,1.65,1.67,117078.0
2024-03-01,1.67,1.7994,1.64,1.71,53434.0
2024-03-04,1.7,1.77,1.67,1.73,61483.0
2024-03-05,1.73,1.77,1.65,1.67,48076.0
2024-03-06,1.72,1.7302,1.655,1.67,67077.0
2024-03-07,1.65,1.7,1.6006,1.68,68162.0
2024-03-08,1.76,1.8,1.665,1.69,86932.0
2024-03-11,1.66,1.789,1.66,1.72,55316.0
2024-03-12,1.7,1.7594,1.67,1.69,47398.0
2024-03-13,1.7,1.75,1.58,1.62,108100.0
2024-03-14,1.61,1.6602,1.45,1.5,61345.0
2024-03-15,1.41,1.4763,1.41,1.44,226296.0
2024-03-18,1.63,1.86,1.48,1.49,361513.0
2024-03-19,1.48,1.5095,1.41,1.42,100349.0
2024-03-20,1.42,1.455,1.3,1.43,134665.0
2024-03-21,1.37,1.5299,1.37,1.43,132963.0
2024-03-22,1.39,1.48,1.16,1.21,327770.0
2024-03-25,1.18,1.3099,1.18,1.24,128421.0
2024-03-26,1.23,1.275,1.15,1.15,247310.0
2024-03-27,1.26,1.27,1.18,1.24,122478.0
2024-03-28,1.34,2.19,1.27,1.96,12608119.0
2024-04-01,1.94,2.73,1.62,1.83,6207501.0
2024-04-02,1.77,2.13,1.5694,2.0,1331235.0
2024-04-03,2.0,2.3,1.9907,2.14,1029715.0
2024-04-04,2.17,2.3,1.98,2.22,665485.0
2024-04-05,2.18,2.23,2.06,2.19,398861.0
2024-04-08,2.21,2.21,2.0199,2.04,206117.0
2024-04-09,2.07,2.3192,2.05,2.21,266710.0
2024-04-10,2.15,2.25,2.1004,2.19,184331.0
2024-04-11,2.21,2.32,2.15,2.24,483584.0
2024-04-12,2.21,2.26,2.15,2.19,384963.0
2024-04-15,2.15,2.19,1.86,1.87,382947.0
2024-04-16,1.8,2.2992,1.8,2.28,388292.0
2024-04-17,2.3,2.3609,2.08,2.14,194251.0
2024-04-18,2.17,2.28,2.02,2.09,356737.0
2024-04-19,2.06,2.1,1.91,2.01,264657.0
2024-04-22,2.01,2.01,1.87,1.9,154680.0
2024-04-23,1.91,1.9851,1.8707,1.92,73535.0
2024-04-24,1.91,2.05,1.85,1.95,207446.0
2024-04-25,1.93,1.93,1.78,1.79,130986.0
2024-04-26,1.8,1.84,1.7,1.73,163077.0
2024-04-29,1.72,1.99,1.71,1.84,346812.0
2024-04-30,1.83,1.8457,1.6809,1.71,150847.0
