date,open,high,low,close,volume
2023-11-27,45.54,47.28,45.535,47.21,160244.0
2023-11-28,47.29,47.43,46.58,47.18,144185.0
2023-11-29,47.29,47.775,46.63,46.75,166301.0
2023-11-30,46.75,47.44,46.4,47.25,157305.0
2023-12-01,46.88,48.17,46.88,47.93,112352.0
2023-12-04,49.92,53.14,49.395,52.67,378532.0
2023-12-05,52.45,52.9,52.22,52.37,173909.0
2023-12-06,52.36,53.365,52.18,52.59,208197.0
2023-12-07,52.93,53.44,52.29,53.38,294746.0
2023-12-08,53.62,53.8,53.0,53.77,164225.0
2023-12-11,53.51,54.125,53.38,53.94,218388.0
2023-12-12,53.68,54.72,53.68,54.04,1123551.0
2023-12-13,54.27,55.69,52.8,55.28,500014.0
2023-12-14,55.64,57.31,55.3,57.04,318961.0
2023-12-15,57.14,57.255,56.245,56.44,626292.0
2023-12-18,56.76,56.76,55.4709,55.65,167357.0
2023-12-19,55.74,57.05,55.74,56.96,212779.0
2023-12-20,57.23,58.39,56.8825,57.01,504328.0
2023-12-21,57.11,57.82,56.84,57.8,147725.0
2023-12-22,58.1,58.92,58.07,58.25,164283.0
2023-12-26,58.3,59.2715,58.02,59.16,105026.0
2023-12-27,59.56,59.91,59.0,59.56,113089.0
2023-12-28,59.56,59.8,58.96,59.41,141284.0
2023-12-29,59.26,59.56,58.63,58.75,173883.0
2024-01-02,58.12,58.575,57.71,58.01,227386.0
2024-01-03,57.34,58.27,56.895,57.38,349856.0
2024-01-04,57.73,57.86,57.07,57.78,187303.0
2024-01-05,57.44,58.38,57.39,58.13,225123.0
2024-01-08,58.24,59.36,58.145,59.35,171782.0
2024-01-09,58.44,59.11,58.23,58.74,151393.0
2024-01-10,58.58,58.76,57.26,57.91,278837.0
2024-01-11,57.66,58.01,56.68,57.95,226095.0
2024-01-12,58.41,58.525,57.6,58.27,209693.0
2024-01-16,57.71,58.085,57.31,57.85,145758.0
2024-01-17,57.02,57.7,56.9,57.29,199847.0
2024-01-18,57.47,58.09,56.65,57.49,361724.0
2024-01-19,57.63,58.86,57.33,58.86,190339.0
2024-01-22,59.34,60.49,58.95,60.41,224175.0
2024-01-23,60.89,61.0,59.71,60.35,201756.0
2024-01-24,60.93,61.41,60.4,61.16,248743.0
2024-01-25,61.81,62.0,60.465,61.54,210890.0
2024-01-26,62.06,62.5,61.825,62.21,106019.0
2024-01-29,62.11,63.51,61.87,63.5,122564.0
2024-01-30,63.31,63.76,62.97,63.42,97920.0
2024-01-31,63.48,63.87,61.4,61.66,231722.0
2024-02-01,61.88,62.66,60.635,62.34,128781.0
2024-02-02,61.93,62.9,61.68,62.32,104720.0
2024-02-05,61.6,62.11,61.08,61.37,176681.0
2024-02-06,61.38,61.91,59.61,60.52,202757.0
2024-02-07,60.7,60.7,59.14,59.61,284600.0
2024-02-08,59.92,60.59,56.16,59.76,401295.0
2024-02-09,59.9,60.93,59.0,60.37,225900.0
2024-02-12,60.38,62.88,60.38,62.63,238662.0
2024-02-13,60.65,61.45,59.98,60.88,372650.0
2024-02-14,61.33,61.76,60.89,61.11,244506.0
2024-02-15,61.48,63.5,61.48,63.21,244594.0
2024-02-16,62.51,63.105,62.07,62.15,164010.0
2024-02-20,61.87,62.65,61.39,61.54,142032.0
2024-02-21,61.42,62.13,61.275,62.05,161289.0
2024-02-22,61.84,62.38,60.24,60.53,215748.0
2024-02-23,60.46,61.54,60.27,61.36,146306.0
2024-02-26,61.08,61.615,60.935,61.35,122328.0
2024-02-27,61.4,61.845,60.89,61.59,167854.0
2024-02-28,61.11,61.99,61.11,61.61,138298.0
2024-02-29,62.65,63.23,62.31,62.98,155810.0
2024-03-01,63.01,63.28,62.25,63.23,171875.0
2024-03-04,62.94,63.62,61.925,62.3,288291.0
2024-03-05,62.04,62.64,61.73,61.88,183736.0
2024-03-06,62.44,63.02,61.45,62.78,236494.0
2024-03-07,63.28,63.83,61.87,62.0,231710.0
2024-03-08,61.77,62.48,60.39,61.27,318126.0
2024-03-11,60.93,61.66,60.65,61.25,198390.0
2024-03-12,61.21,61.21,60.25,60.75,131433.0
2024-03-13,60.63,61.55,60.395,61.36,170907.0
2024-03-14,60.71,60.9615,59.4,59.84,300123.0
2024-03-15,59.9,60.93,59.475,60.62,1243643.0
2024-03-18,60.61,60.6499,59.13,59.33,260099.0
2024-03-19,59.12,60.04,59.12,59.77,140846.0
2024-03-20,59.42,61.67,59.35,61.27,204629.0
2024-03-21,61.88,63.6,61.795,63.02,244451.0
2024-03-22,63.23,63.435,61.84,62.39,258240.0
2024-03-25,62.77,63.195,61.48,61.5,204771.0
2024-03-26,61.57,62.12,61.22,61.44,115042.0
2024-03-27,61.93,62.97,61.58,62.79,140206.0
2024-03-28,62.9,65.3499,62.9,65.06,701104.0
2024-04-01,65.02,65.07,63.435,64.03,213593.0
2024-04-02,63.71,64.12,62.89,63.28,242619.0
2024-04-03,62.77,64.295,58.2329,64.13,255506.0
2024-04-04,64.56,65.335,63.03,63.5,179834.0
2024-04-05,63.5,64.2199,63.29,63.49,140645.0
2024-04-08,63.89,64.68,63.64,64.29,92412.0
2024-04-09,64.29,64.47,63.4,64.17,149315.0
2024-04-10,62.85,63.5599,59.04,59.62,323331.0
2024-04-11,59.29,61.56,58.4,60.41,306257.0
2024-04-12,59.85,60.7,59.42,59.99,173829.0
2024-04-15,60.11,60.49,58.695,59.51,185891.0
2024-04-16,59.08,59.76,58.585,58.83,144978.0
2024-04-17,59.07,59.315,58.28,58.64,157436.0
2024-04-18,59.01,59.43,58.46,59.2,140818.0
2024-04-19,59.18,60.86,59.18,60.52,215163.0
2024-04-22,60.72,62.61,60.395,62.44,270559.0
2024-04-23,62.55,64.1,62.48,63.6,180459.0
2024-04-24,62.95,63.2,62.415,62.95,162899.0
2024-04-25,63.52,64.8,60.525,61.64,318658.0
2024-04-26,61.52,62.8072,61.52,62.45,160625.0
2024-04-29,62.88,63.94,62.43,63.12,169303.0
2024-04-30,62.84,62.95,61.83,62.01,134794.0
2024-05-01,62.51,63.18,61.47,61.7,202772.0
2024-05-02,62.32,62.56,61.36,62.4,116047.0
2024-05-03,63.29,63.64,63.09,63.11,77734.0
2024-05-06,63.51,64.2,62.78,63.02,131687.0
2024-05-07,63.24,64.166,63.2,63.46,134294.0
2024-05-08,63.19,63.41,62.39,62.43,119779.0
2024-05-09,62.37,64.2,62.04,63.86,149357.0
2024-05-10,63.89,64.11,62.98,63.26,121403.0
2024-05-13,63.57,63.665,62.68,63.0,117653.0
2024-05-14,63.36,64.0,62.81,63.33,134845.0
2024-05-15,63.81,64.66,63.79,64.24,118312.0
2024-05-16,64.28,64.58,63.83,64.39,129015.0
2024-05-17,64.6,65.36,64.5,64.65,129016.0
